Quarter,Area,"Number of Loans","Average Loan","Total Loan","% Loan Volume","Average Sales Price","Total Sales Volume","% Market Value"
2024Q1,Anchorage,191,405045,77363545,41.4,485074,92649142,40.3
2024Q1,Matanuska-Susitna,118,358890,42348967,22.7,445720,52594929,22.9
2024Q1,"Fairbanks North Star",69,287300,19823721,10.6,355515,24530544,10.7
2024Q1,"Kenai Peninsula",64,337212,21581537,11.6,434289,27794490,12.1
2024Q1,Juneau,17,336475,5720075,3.1,453734,7713470,3.4
2024Q1,"Ketchikan Gateway",16,426622,6825959,3.7,535173,8562760,3.7
2024Q1,"Kodiak Island",8,389976,3119807,1.7,447806,3582450,1.6
2024Q1,Bethel,3,283279,849837,.5,350000,1050000,.5
2024Q1,"Rest of State",34,268399,9125571,4.9,343179,11668080,5.1
2024Q1,"Statewide Total",520,359152,186759019,100.0,442588,230145865,100.0
2024Q2,Anchorage,254,425785,108149327,38.3,510285,129612316,37.5
2024Q2,Matanuska-Susitna,171,365925,62573097,22.2,460609,78764073,22.8
2024Q2,"Fairbanks North Star",90,316136,28452231,10.1,382897,34460763,10.0
2024Q2,"Kenai Peninsula",94,363586,34177078,12.1,470468,44223990,12.8
2024Q2,Juneau,44,458234,20162299,7.1,575778,25334251,7.3
2024Q2,"Ketchikan Gateway",11,504099,5545093,2.0,582744,6410187,1.9
2024Q2,"Kodiak Island",13,361265,4696440,1.7,475231,6178000,1.8
2024Q2,Bethel,1,510400,510400,.2,550000,550000,.2
2024Q2,"Rest of State",56,319732,17905004,6.3,364720,20424309,5.9
2024Q2,"Statewide Total",734,384429,282170969,100.0,471332,345957889,100.0
2023Q1,Anchorage,203,399650,81128980,39.3,466957,94792181,38.4
2023Q1,Matanuska-Susitna,145,369707,53607536,26.0,455414,66035014,26.7
2023Q1,"Fairbanks North Star",92,275628,25357785,12.3,319586,29401957,11.9
2023Q1,"Kenai Peninsula",64,326122,20871822,10.1,405528,25953794,10.5
2023Q1,Juneau,23,410341,9437852,4.6,527655,12136073,4.9
2023Q1,"Ketchikan Gateway",9,390098,3510886,1.7,474444,4270000,1.7
2023Q1,"Kodiak Island",6,357629,2145775,1.0,425667,2554000,1.0
2023Q1,Bethel,4,429651,1718604,.8,481250,1925000,.8
2023Q1,"Rest of State",30,282371,8471129,4.1,329500,9885000,4.0
2023Q1,"Statewide Total",576,358074,206250369,100.0,428738,246953019,100.0
2023Q2,Anchorage,218,421993,91994469,37.4,505949,110296847,37.6
2023Q2,Matanuska-Susitna,161,357561,57567288,23.4,423453,68175854,23.2
2023Q2,"Fairbanks North Star",97,285574,27700639,11.3,335594,32552588,11.1
2023Q2,"Kenai Peninsula",98,316430,31010170,12.6,388757,38098177,13.0
2023Q2,Juneau,29,419876,12176394,4.9,501433,14541551,5.0
2023Q2,"Ketchikan Gateway",15,380518,5707769,2.3,466968,7004525,2.4
2023Q2,"Kodiak Island",13,427639,5559306,2.3,457600,5948800,2.0
2023Q2,Bethel,3,287037,861110,.3,401206,1203617,.4
2023Q2,"Rest of State",45,300829,13537292,5.5,353074,15888350,5.4
2023Q2,"Statewide Total",679,362466,246114437,100.0,432563,293710309,100.0
2023Q3,Anchorage,342,408599,139740777,41.5,506498,173222453,41.8
2023Q3,Matanuska-Susitna,204,362598,73970026,22.0,441614,90089241,21.7
2023Q3,"Fairbanks North Star",126,303262,38211031,11.4,363849,45844962,11.1
2023Q3,"Kenai Peninsula",120,330007,39600788,11.8,413264,49591632,12.0
2023Q3,Juneau,40,425298,17011925,5.1,533496,21339852,5.1
2023Q3,"Ketchikan Gateway",17,393561,6690540,2.0,522158,8876678,2.1
2023Q3,"Kodiak Island",15,430705,6460580,1.9,529247,7938700,1.9
2023Q3,Bethel,6,407147,2442882,.7,452000,2712000,.7
2023Q3,"Rest of State",42,296290,12444193,3.7,355142,14915945,3.6
2023Q3,"Statewide Total",912,369049,336572742,100.0,454530,414531463,100.0
2023Q4,Anchorage,340,397605,135185586,46.2,478870,162815880,45.7
2023Q4,Matanuska-Susitna,186,319775,59478186,20.3,403403,75032876,21.1
2023Q4,"Fairbanks North Star",105,283179,29733768,10.2,335556,35233427,9.9
2023Q4,"Kenai Peninsula",103,300347,30935695,10.6,373323,38452251,10.8
2023Q4,Juneau,38,398182,15130915,5.2,478674,18189594,5.1
2023Q4,"Ketchikan Gateway",8,435136,3481088,1.2,511120,4088960,1.1
2023Q4,"Kodiak Island",6,422894,2537365,.9,490000,2940000,.8
2023Q4,Bethel,2,188500,377000,.1,376000,752000,.2
2023Q4,"Rest of State",50,312450,15622492,5.3,374089,18704454,5.3
2023Q4,"Statewide Total",838,349024,292482095,100.0,425071,356209442,100.0
2023YR,Anchorage,1103,406210,448049812,41.4,490596,541127361,41.3
2023YR,Matanuska-Susitna,696,351470,244623036,22.6,430076,299332985,22.8
2023YR,"Fairbanks North Star",420,288103,121003223,11.2,340555,143032934,10.9
2023YR,"Kenai Peninsula",385,317970,122418475,11.3,395054,152095854,11.6
2023YR,Juneau,130,413516,53757086,5.0,509285,66207070,5.0
2023YR,"Ketchikan Gateway",49,395720,19390283,1.8,494697,24240163,1.8
2023YR,"Kodiak Island",40,417576,16703026,1.5,484538,19381500,1.5
2023YR,Bethel,15,359973,5399596,.5,439508,6592617,.5
2023YR,"Rest of State",167,299851,50075106,4.6,355651,59393749,4.5
2023YR,"Statewide Total",3005,359873,1081419643,100.0,436407,1311404233,100.0
2022Q1,Anchorage,335,384370,128764097,42.0,445408,149211659,41.8
2022Q1,Matanuska-Susitna,179,363129,65000055,21.2,418412,74895778,21.0
2022Q1,"Fairbanks North Star",141,283101,39917249,13.0,326659,46058952,12.9
2022Q1,"Kenai Peninsula",125,295444,36930443,12.0,358529,44816145,12.6
2022Q1,Juneau,33,421583,13912255,4.5,481451,15887871,4.5
2022Q1,"Ketchikan Gateway",5,426150,2130750,.7,503200,2516000,.7
2022Q1,"Kodiak Island",14,317454,4444350,1.4,367500,5145000,1.4
2022Q1,Bethel,7,368078,2576545,.8,414286,2900000,.8
2022Q1,"Rest of State",46,280085,12883894,4.2,330491,15202591,4.3
2022Q1,"Statewide Total",885,346395,306559638,100.0,402976,356633996,100.0
2022Q2,Anchorage,482,394055,189934678,40.4,466587,224894789,40.3
2022Q2,Matanuska-Susitna,296,351637,104084623,22.1,424884,125765575,22.6
2022Q2,"Fairbanks North Star",167,314626,52542528,11.2,364895,60937527,10.9
2022Q2,"Kenai Peninsula",178,310584,55283866,11.8,367633,65438594,11.7
2022Q2,Juneau,62,393155,24375634,5.2,477983,29634923,5.3
2022Q2,"Ketchikan Gateway",23,373617,8593181,1.8,461696,10619000,1.9
2022Q2,"Kodiak Island",20,370987,7419745,1.6,396165,7923300,1.4
2022Q2,Bethel,15,427144,6407156,1.4,484333,7265000,1.3
2022Q2,"Rest of State",72,299683,21577175,4.6,350081,25205867,4.5
2022Q2,"Statewide Total",1315,357581,470218586,100.0,424095,557684575,100.0
2022Q3,Anchorage,500,396899,198449661,41.4,475620,237809942,41.2
2022Q3,Matanuska-Susitna,268,344403,92299942,19.2,419429,112406915,19.5
2022Q3,"Fairbanks North Star",178,296411,52761240,11.0,343042,61061528,10.6
2022Q3,"Kenai Peninsula",186,340995,63425143,13.2,427616,79536499,13.8
2022Q3,Juneau,47,457038,21480769,4.5,560226,26330603,4.6
2022Q3,"Ketchikan Gateway",13,390316,5074111,1.1,490192,6372500,1.1
2022Q3,"Kodiak Island",25,333266,8331640,1.7,409810,10245250,1.8
2022Q3,Bethel,17,422984,7190725,1.5,450941,7666000,1.3
2022Q3,"Rest of State",98,311086,30486425,6.4,371682,36424868,6.3
2022Q3,"Statewide Total",1332,359985,479499656,100.0,433824,577854105,100.0
2022Q4,Anchorage,338,393547,133018892,41.4,485261,164018329,41.8
2022Q4,Matanuska-Susitna,173,352206,60931632,19.0,427354,73932212,18.9
2022Q4,"Fairbanks North Star",157,257483,40424898,12.6,311110,48844238,12.5
2022Q4,"Kenai Peninsula",114,307655,35072676,10.9,371873,42393483,10.8
2022Q4,Juneau,44,429570,18901090,5.9,536063,23586781,6.0
2022Q4,"Ketchikan Gateway",14,316629,4432799,1.4,379384,5311374,1.4
2022Q4,"Kodiak Island",19,339615,6452684,2.0,380579,7231000,1.8
2022Q4,Bethel,3,473476,1420428,.4,535000,1605000,.4
2022Q4,"Rest of State",65,313897,20403296,6.4,387822,25208407,6.4
2022Q4,"Statewide Total",927,346341,321058395,100.0,423011,392130824,100.0
2022YR,Anchorage,1655,392850,650167328,41.2,468843,775934719,41.2
2022YR,Matanuska-Susitna,916,351874,322316252,20.4,422490,387000480,20.5
2022YR,"Fairbanks North Star",643,288718,185645915,11.8,337329,216902245,11.5
2022YR,"Kenai Peninsula",603,316272,190712128,12.1,385049,232184721,12.3
2022YR,Juneau,186,422956,78669748,5.0,513119,95440178,5.1
2022YR,"Ketchikan Gateway",55,367833,20230841,1.3,451252,24818874,1.3
2022YR,"Kodiak Island",78,341646,26648419,1.7,391597,30544550,1.6
2022YR,Bethel,42,418925,17594854,1.1,462762,19436000,1.0
2022YR,"Rest of State",281,303739,85350790,5.4,363138,102041733,5.4
2022YR,"Statewide Total",4459,353742,1577336275,100.0,422584,1884303500,100.0
2021Q1,Anchorage,432,367190,158626196,44.4,424820,183522180,44.4
2021Q1,Matanuska-Susitna,214,295267,63187231,17.7,338457,72429827,17.5
2021Q1,"Fairbanks North Star",154,271344,41787019,11.7,308627,47528490,11.5
2021Q1,"Kenai Peninsula",141,268200,37816139,10.6,320231,45152607,10.9
2021Q1,Juneau,51,374705,19109977,5.3,431336,21998112,5.3
2021Q1,"Ketchikan Gateway",21,300391,6308209,1.8,373267,7838600,1.9
2021Q1,"Kodiak Island",13,296623,3856103,1.1,321962,4185500,1.0
2021Q1,Bethel,9,386437,3477934,1.0,455778,4102000,1.0
2021Q1,"Rest of State",77,303916,23401511,6.5,344686,26540822,6.4
2021Q1,"Statewide Total",1112,321556,357570319,100.0,371671,413298138,100.0
2021Q2,Anchorage,584,384288,224424343,44.2,446883,260979687,44.4
2021Q2,Matanuska-Susitna,306,336870,103082261,20.3,384362,117614650,20.0
2021Q2,"Fairbanks North Star",178,278943,49651786,9.8,322673,57435882,9.8
2021Q2,"Kenai Peninsula",227,279527,63452665,12.5,330392,74998981,12.8
2021Q2,Juneau,68,397829,27052391,5.3,455224,30955216,5.3
2021Q2,"Ketchikan Gateway",22,360979,7941527,1.6,427530,9405667,1.6
2021Q2,"Kodiak Island",21,321273,6746734,1.3,366143,7689000,1.3
2021Q2,Bethel,9,359672,3237052,.6,404111,3637000,.6
2021Q2,"Rest of State",83,262414,21780367,4.3,306409,25431940,4.3
2021Q2,"Statewide Total",1498,338698,507369126,100.0,392622,588148023,100.0
2021Q3,Anchorage,673,377541,254084864,44.2,443977,298796783,44.8
2021Q3,Matanuska-Susitna,332,314223,104321996,18.2,362703,120417485,18.0
2021Q3,"Fairbanks North Star",201,271561,54583684,9.5,305052,61315511,9.2
2021Q3,"Kenai Peninsula",230,291586,67064892,11.7,345468,79457628,11.9
2021Q3,Juneau,77,423309,32594776,5.7,485542,37386696,5.6
2021Q3,"Ketchikan Gateway",43,393970,16940710,2.9,457336,19665450,2.9
2021Q3,"Kodiak Island",34,352856,11997102,2.1,398192,13538543,2.0
