"Alaska Monthly Employment Statistics "

areaname,areatype,areacode,adjusted,year,seriescode,industry,emp_january,emp_february,emp_march,emp_april,emp_may,emp_june,emp_july,emp_august,emp_september,emp_october,emp_november,emp_december,emp_annual_average

Alaska,01,000000,0,2024,"00000000  ","Total Nonfarm",313100,320700,323500,327400,338500,350500,356500,354000,345800,331200,323000,322800,333900
Alaska,01,000000,0,2024,"06000000  ","Goods Producing",36700,39800,40600,40800,40900,49300,54900,49400,46100,41300,37000,36000,42700
Alaska,01,000000,0,2024,"07000000  ",Service-Providing,276400,280900,282900,286600,297600,301200,301600,304600,299700,289900,286000,286800,291200
Alaska,01,000000,0,2024,"10000000  ","Mining and Logging",11800,12000,12200,12300,12300,12600,12900,12900,12800,12600,12300,12600,12400
Alaska,01,000000,0,2024,"10210000  ",Mining,,,,,,,,,,,,,
Alaska,01,000000,0,2024,"10210013  ","Oil & Gas",7900,8000,8200,8200,8000,8100,8300,8300,8400,8300,8300,8400,8200
Alaska,01,000000,0,2024,"20000000  ",Construction,15400,16500,16700,17500,19200,20600,20800,20900,20100,19300,17600,17200,18500
Alaska,01,000000,0,2024,"30000000  ",Manufacturing,9500,11300,11700,11000,9400,16100,21200,15600,13200,9400,7100,6200,11800
Alaska,01,000000,0,2024,"32311700  ","Seafood Processing",,,,,,,,,,,,,
Alaska,01,000000,0,2024,"40000000  ","Trade, Transportation, Utilities",61900,62200,62800,64400,68400,70100,70800,71500,69200,66100,64000,64200,66300
Alaska,01,000000,0,2024,"41000000  ","Wholesale Trade",6300,6300,6400,6400,6500,6600,6600,6600,6500,6500,6500,6500,6500
Alaska,01,000000,0,2024,"42000000  ","Retail Trade",34000,33900,34100,34400,35300,36000,36100,36100,35200,34500,34300,34500,34900
Alaska,01,000000,0,2024,"42445000  ","Food & Beverage Stores",,,,,,,,,,,,,
Alaska,01,000000,0,2024,"42452000  ","General Merchandise Stores",,,,,,,,,,,,,
Alaska,01,000000,0,2024,"43000000  ",Trans/Warehouse/Utilities,21600,22000,22300,23600,26600,27500,28100,28800,27500,25100,23200,23200,25000
Alaska,01,000000,0,2024,"43481000  ","Air Transportation",,,,,,,,,,,,,
Alaska,01,000000,0,2024,"50000000  ",Information,4400,4400,4400,4400,4400,4400,4500,4400,4400,4400,4400,4400,4400
Alaska,01,000000,0,2024,"50517000  ",Telecommunications,,,,,,,,,,,,,
