year,survey_area,unit_type,number_bedrooms,avg_contract_rent,avg_adjusted_rent,median_contract_rent,median_adjusted_rent,units_surveyed,units_vacant,vacancy_rate,pct_include_heat,pct_include_light,pct_include_hot_water,pct_include_water,pct_include_garbage,pct_include_sewer,pct_include_snow
2024,"Municipality of Anchorage",Single-Family,1,1161.00,1358.00,1100.00,1303.00,17,2,11.8,18.0,12.0,29.0,65.0,59.0,59.0,41.0
2024,"Municipality of Anchorage",Single-Family,2,1870.00,2387.00,1951.00,2530.00,305,3,1,7.0,1.0,7.0,11.0,10.0,12.0,7.0
2024,"Municipality of Anchorage",Single-Family,3,2348.00,2831.00,2295.00,2918.00,204,7,3.4,4.0,2.0,3.0,13.0,11.0,11.0,5.0
2024,"Municipality of Anchorage",Single-Family,4,2536.00,2866.00,2500.00,2923.00,35,0,0,11.0,11.0,11.0,43.0,31.0,29.0,14.0
2024,"Municipality of Anchorage",Single-Family,5,2608.00,2901.00,2600.00,2913.00,12,0,0,33.0,33.0,33.0,42.0,33.0,42.0,33.0
2024,"Municipality of Anchorage",Apartment,0,1048.00,1159.00,1050.00,1190.00,606,37,6.1,86.0,47.0,88.0,47.0,99.0,47.0,99.0
2024,"Municipality of Anchorage",Apartment,1,1241.00,1371.00,1220.00,1380.00,2969,132,4.4,84.0,38.0,86.0,39.0,100.0,39.0,97.0
2024,"Municipality of Anchorage",Apartment,2,1478.00,1649.00,1430.00,1610.00,3441,166,4.8,75.0,8.0,79.0,49.0,99.0,49.0,95.0
2024,"Municipality of Anchorage",Apartment,3,1703.00,1898.00,1775.00,1994.00,593,26,4.4,66.0,7.0,67.0,62.0,88.0,60.0,80.0
2024,"Municipality of Anchorage",Apartment,4,2117.00,2378.00,1985.00,2243.00,18,1,5.6,28.0,17.0,22.0,78.0,28.0,44.0,28.0
2024,"Municipality of Anchorage","All Units","All Units",1421.00,1597.00,1375.00,1531.00,8209,374,4.6,74.0,22.0,76.0,44.0,92.0,43.0,89.0
2024,"Bethel Census Area",Single-Family,1,1236.00,1236.00,1100.00,1100.00,19,2,10.5,79.0,11.0,26.0,26.0,16.0,26.0,58.0
2024,"Bethel Census Area",Single-Family,2,1702.00,1702.00,1725.00,1725.00,14,2,14.3,71.0,.0,21.0,7.0,7.0,7.0,64.0
2024,"Bethel Census Area",Apartment,0,1355.00,1355.00,1380.00,1380.00,26,9,34.6,100.0,.0,100.0,96.0,100.0,100.0,100.0
2024,"Bethel Census Area",Apartment,1,1350.00,1350.00,1375.00,1375.00,52,3,5.8,100.0,23.0,100.0,100.0,100.0,100.0,100.0
2024,"Bethel Census Area",Apartment,2,1690.00,1690.00,1700.00,1700.00,71,8,11.3,79.0,4.0,76.0,62.0,72.0,72.0,76.0
2024,"Bethel Census Area",Apartment,3,1919.00,1919.00,2000.00,2000.00,16,2,12.5,50.0,.0,38.0,31.0,19.0,31.0,38.0
2024,"Bethel Census Area","All Units","All Units",1534.00,1534.00,1450.00,1450.00,201,26,12.9,84.0,8.0,73.0,66.0,68.0,70.0,79.0
2024,"Fairbanks North Star Borough",Single-Family,0,961.00,1226.00,750.00,1110.00,18,2,11.1,78.0,39.0,44.0,50.0,50.0,39.0,61.0
2024,"Fairbanks North Star Borough",Single-Family,1,1079.00,1429.00,1100.00,1387.00,72,7,9.7,58.0,21.0,51.0,58.0,32.0,57.0,61.0
2024,"Fairbanks North Star Borough",Single-Family,2,1415.00,2027.00,1500.00,2120.00,93,8,8.6,35.0,9.0,20.0,38.0,29.0,33.0,34.0
2024,"Fairbanks North Star Borough",Single-Family,3,2065.00,2493.00,2110.00,2405.00,460,9,2,74.0,1.0,73.0,78.0,11.0,76.0,4.0
2024,"Fairbanks North Star Borough",Single-Family,4,2265.00,2803.00,2255.00,2582.00,105,3,2.9,70.0,1.0,69.0,72.0,5.0,76.0,3.0
2024,"Fairbanks North Star Borough",Single-Family,5,2689.00,3134.00,2720.00,3044.00,33,2,6.1,85.0,.0,85.0,88.0,6.0,88.0,.0
2024,"Fairbanks North Star Borough",Apartment,0,779.00,836.00,734.00,756.00,224,28,12.5,95.0,72.0,95.0,95.0,86.0,95.0,41.0
2024,"Fairbanks North Star Borough",Apartment,1,1113.00,1219.00,1155.00,1251.00,1108,154,13.9,95.0,22.0,92.0,96.0,89.0,95.0,84.0
2024,"Fairbanks North Star Borough",Apartment,2,1390.00,1600.00,1400.00,1542.00,1237,201,16.2,89.0,7.0,80.0,91.0,83.0,86.0,85.0
2024,"Fairbanks North Star Borough",Apartment,3,1634.00,2011.00,1700.00,2042.00,282,24,8.5,68.0,17.0,51.0,87.0,71.0,80.0,77.0
2024,"Fairbanks North Star Borough",Apartment,4,2118.00,2481.00,2175.00,2521.00,17,0,0,88.0,24.0,35.0,88.0,29.0,88.0,88.0
2024,"Fairbanks North Star Borough","All Units","All Units",1405.00,1641.00,1350.00,1503.00,3650,438,12,85.0,16.0,79.0,88.0,69.0,85.0,66.0
2024,"City and Borough of Juneau",Single-Family,1,1304.00,1410.00,1200.00,1371.00,14,1,7.1,57.0,14.0,50.0,100.0,93.0,100.0,71.0
2024,"City and Borough of Juneau",Single-Family,2,1924.00,2173.00,1800.00,2151.00,23,0,0,26.0,13.0,26.0,91.0,52.0,91.0,70.0
2024,"City and Borough of Juneau",Single-Family,3,1885.00,2254.00,1950.00,2195.00,17,0,0,12.0,6.0,6.0,82.0,41.0,82.0,18.0
2024,"City and Borough of Juneau",Single-Family,4,2159.00,2402.00,2525.00,2734.00,10,1,10,40.0,20.0,40.0,80.0,50.0,80.0,20.0
2024,"City and Borough of Juneau",Apartment,0,1267.00,1301.00,1460.00,1499.00,105,4,3.8,98.0,17.0,99.0,100.0,100.0,100.0,91.0
2024,"City and Borough of Juneau",Apartment,1,1170.00,1231.00,1100.00,1179.00,360,9,2.5,69.0,29.0,66.0,100.0,99.0,100.0,90.0
2024,"City and Borough of Juneau",Apartment,2,1435.00,1565.00,1400.00,1561.00,372,17,4.6,42.0,12.0,35.0,100.0,95.0,100.0,91.0
2024,"City and Borough of Juneau",Apartment,3,1819.00,1980.00,1800.00,1922.00,94,7,7.4,57.0,11.0,48.0,100.0,85.0,100.0,72.0
2024,"City and Borough of Juneau",Apartment,4,1771.00,2039.00,1900.00,2249.00,7,0,0,43.0,14.0,29.0,100.0,57.0,86.0,57.0
2024,"City and Borough of Juneau","All Units","All Units",1386.00,1493.00,1350.00,1495.00,1006,39,3.9,58.0,19.0,53.0,99.0,94.0,99.0,86.0
2024,"Kenai Peninsula Borough",Single-Family,1,927.00,1227.00,890.00,1213.00,43,3,7,33.0,14.0,14.0,53.0,30.0,56.0,63.0
2024,"Kenai Peninsula Borough",Single-Family,2,1297.00,1592.00,1400.00,1623.00,60,1,1.7,15.0,12.0,15.0,72.0,48.0,65.0,58.0
2024,"Kenai Peninsula Borough",Single-Family,3,1345.00,1737.00,1300.00,1670.00,82,3,3.7,7.0,7.0,10.0,62.0,18.0,61.0,27.0
2024,"Kenai Peninsula Borough",Single-Family,4,1609.00,2213.00,1500.00,2068.00,13,1,7.7,.0,.0,.0,23.0,8.0,31.0,23.0
2024,"Kenai Peninsula Borough",Apartment,0,848.00,863.00,850.00,850.00,67,0,0,99.0,91.0,96.0,99.0,97.0,99.0,99.0
2024,"Kenai Peninsula Borough",Apartment,1,890.00,998.00,875.00,968.00,242,7,2.9,76.0,23.0,75.0,97.0,92.0,98.0,97.0
2024,"Kenai Peninsula Borough",Apartment,2,1062.00,1216.00,1001.00,1152.00,512,35,6.8,76.0,19.0,76.0,93.0,90.0,92.0,92.0
2024,"Kenai Peninsula Borough",Apartment,3,1275.00,1482.00,1130.00,1288.00,111,7,6.3,71.0,10.0,80.0,82.0,85.0,84.0,90.0
2024,"Kenai Peninsula Borough","All Units","All Units",1073.00,1251.00,1000.00,1162.00,1142,58,5.1,66.0,21.0,66.0,87.0,80.0,87.0,85.0
2024,"Ketchikan Gateway Borough",Single-Family,1,1047.00,1141.00,1000.00,1236.00,9,3,33.3,78.0,78.0,78.0,78.0,67.0,78.0,56.0
2024,"Ketchikan Gateway Borough",Single-Family,2,1550.00,1731.00,1800.00,1875.00,10,2,20,50.0,40.0,40.0,50.0,40.0,60.0,30.0
2024,"Ketchikan Gateway Borough",Single-Family,3,1402.00,1723.00,1400.00,1710.00,11,1,9.1,9.0,9.0,18.0,45.0,36.0,55.0,9.0
2024,"Ketchikan Gateway Borough",Single-Family,4,1644.00,2114.00,1500.00,2071.00,7,0,0,14.0,.0,.0,29.0,.0,43.0,.0
