"Aleutians East Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Aleutians East Borough",04,000013,1990,January,01,0,1239,1221,18,1.5
"Aleutians East Borough",04,000013,1990,February,02,0,1310,1304,6,.5
"Aleutians East Borough",04,000013,1990,March,03,0,1325,1316,9,.7
"Aleutians East Borough",04,000013,1990,April,04,0,1312,1307,5,.4
"Aleutians East Borough",04,000013,1990,May,05,0,1368,1362,6,.4
"Aleutians East Borough",04,000013,1990,June,06,0,1374,1371,3,.2
"Aleutians East Borough",04,000013,1990,July,07,0,1514,1512,2,.1
"Aleutians East Borough",04,000013,1990,August,08,0,1334,1332,2,.1
"Aleutians East Borough",04,000013,1990,September,09,0,1240,1236,4,.3
"Aleutians East Borough",04,000013,1990,October,10,0,1227,1223,4,.3
"Aleutians East Borough",04,000013,1990,November,11,0,1248,1246,2,.2
"Aleutians East Borough",04,000013,1990,December,12,0,1265,1263,2,.2
"Aleutians East Borough",04,000013,1990,Annual,00,0,1313,1308,5,.4
"Aleutians East Borough",04,000013,1991,January,01,0,1358,1351,7,.5
"Aleutians East Borough",04,000013,1991,February,02,0,1415,1407,8,.6
"Aleutians East Borough",04,000013,1991,March,03,0,1431,1417,14,1.0
"Aleutians East Borough",04,000013,1991,April,04,0,1499,1486,13,.9
"Aleutians East Borough",04,000013,1991,May,05,0,1528,1499,29,1.9
"Aleutians East Borough",04,000013,1991,June,06,0,1521,1504,17,1.1
"Aleutians East Borough",04,000013,1991,July,07,0,1674,1656,18,1.1
"Aleutians East Borough",04,000013,1991,August,08,0,1479,1457,22,1.5
"Aleutians East Borough",04,000013,1991,September,09,0,1362,1339,23,1.7
"Aleutians East Borough",04,000013,1991,October,10,0,1282,1262,20,1.6
"Aleutians East Borough",04,000013,1991,November,11,0,1330,1314,16,1.2
"Aleutians East Borough",04,000013,1991,December,12,0,1349,1333,16,1.2
"Aleutians East Borough",04,000013,1991,Annual,00,0,1436,1419,17,1.2
"Aleutians East Borough",04,000013,1992,January,01,0,1530,1506,24,1.6
"Aleutians East Borough",04,000013,1992,February,02,0,1745,1715,30,1.7
"Aleutians East Borough",04,000013,1992,March,03,0,1762,1734,28,1.6
