"Aleutians West Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Aleutians West Census Area",04,000016,1990,January,01,0,3340,3317,23,.7
"Aleutians West Census Area",04,000016,1990,February,02,0,3559,3539,20,.6
"Aleutians West Census Area",04,000016,1990,March,03,0,3596,3572,24,.7
"Aleutians West Census Area",04,000016,1990,April,04,0,3578,3553,25,.7
"Aleutians West Census Area",04,000016,1990,May,05,0,3722,3697,25,.7
"Aleutians West Census Area",04,000016,1990,June,06,0,3737,3720,17,.5
"Aleutians West Census Area",04,000016,1990,July,07,0,4117,4107,10,.2
"Aleutians West Census Area",04,000016,1990,August,08,0,3633,3617,16,.4
"Aleutians West Census Area",04,000016,1990,September,09,0,3366,3353,13,.4
"Aleutians West Census Area",04,000016,1990,October,10,0,3333,3320,13,.4
"Aleutians West Census Area",04,000016,1990,November,11,0,3396,3383,13,.4
"Aleutians West Census Area",04,000016,1990,December,12,0,3436,3428,8,.2
"Aleutians West Census Area",04,000016,1990,Annual,00,0,3568,3551,17,.5
"Aleutians West Census Area",04,000016,1991,January,01,0,3588,3547,41,1.1
"Aleutians West Census Area",04,000016,1991,February,02,0,3732,3697,35,.9
"Aleutians West Census Area",04,000016,1991,March,03,0,3766,3722,44,1.2
"Aleutians West Census Area",04,000016,1991,April,04,0,3932,3908,24,.6
"Aleutians West Census Area",04,000016,1991,May,05,0,3976,3938,38,1.0
"Aleutians West Census Area",04,000016,1991,June,06,0,3981,3955,26,.7
"Aleutians West Census Area",04,000016,1991,July,07,0,4375,4352,23,.5
"Aleutians West Census Area",04,000016,1991,August,08,0,3864,3829,35,.9
"Aleutians West Census Area",04,000016,1991,September,09,0,3564,3514,50,1.4
"Aleutians West Census Area",04,000016,1991,October,10,0,3365,3316,49,1.5
"Aleutians West Census Area",04,000016,1991,November,11,0,3484,3457,27,.8
"Aleutians West Census Area",04,000016,1991,December,12,0,3530,3501,29,.8
"Aleutians West Census Area",04,000016,1991,Annual,00,0,3763,3728,35,.9
"Aleutians West Census Area",04,000016,1992,January,01,0,3734,3706,28,.7
"Aleutians West Census Area",04,000016,1992,February,02,0,4252,4222,30,.7
"Aleutians West Census Area",04,000016,1992,March,03,0,4297,4269,28,.7
"Aleutians West Census Area",04,000016,1992,April,04,0,4226,4201,25,.6
"Aleutians West Census Area",04,000016,1992,May,05,0,4035,3990,45,1.1
"Aleutians West Census Area",04,000016,1992,June,06,0,4049,3998,51,1.3
"Aleutians West Census Area",04,000016,1992,July,07,0,4319,4259,60,1.4
"Aleutians West Census Area",04,000016,1992,August,08,0,3923,3870,53,1.4
"Aleutians West Census Area",04,000016,1992,September,09,0,3671,3618,53,1.4
"Aleutians West Census Area",04,000016,1992,October,10,0,3376,3330,46,1.4
"Aleutians West Census Area",04,000016,1992,November,11,0,3412,3363,49,1.4
"Aleutians West Census Area",04,000016,1992,December,12,0,3391,3361,30,.9
"Aleutians West Census Area",04,000016,1992,Annual,00,0,3891,3849,42,1.1
"Aleutians West Census Area",04,000016,1993,January,01,0,4078,4040,38,.9
"Aleutians West Census Area",04,000016,1993,February,02,0,4529,4502,27,.6
"Aleutians West Census Area",04,000016,1993,March,03,0,4554,4531,23,.5
"Aleutians West Census Area",04,000016,1993,April,04,0,4059,4010,49,1.2
"Aleutians West Census Area",04,000016,1993,May,05,0,3825,3774,51,1.3
"Aleutians West Census Area",04,000016,1993,June,06,0,3889,3824,65,1.7
"Aleutians West Census Area",04,000016,1993,July,07,0,4425,4372,53,1.2
"Aleutians West Census Area",04,000016,1993,August,08,0,3944,3883,61,1.5
"Aleutians West Census Area",04,000016,1993,September,09,0,3783,3748,35,.9
"Aleutians West Census Area",04,000016,1993,October,10,0,3641,3565,76,2.1
"Aleutians West Census Area",04,000016,1993,November,11,0,3608,3542,66,1.8
"Aleutians West Census Area",04,000016,1993,December,12,0,3493,3446,47,1.3
"Aleutians West Census Area",04,000016,1993,Annual,00,0,3985,3936,49,1.2
"Aleutians West Census Area",04,000016,1994,January,01,0,2826,2754,72,2.5
"Aleutians West Census Area",04,000016,1994,February,02,0,3266,3211,55,1.7
"Aleutians West Census Area",04,000016,1994,March,03,0,3139,3084,55,1.8
"Aleutians West Census Area",04,000016,1994,April,04,0,2776,2705,71,2.6
"Aleutians West Census Area",04,000016,1994,May,05,0,2737,2657,80,2.9
"Aleutians West Census Area",04,000016,1994,June,06,0,2895,2809,86,3.0
"Aleutians West Census Area",04,000016,1994,July,07,0,3293,3216,77,2.3
"Aleutians West Census Area",04,000016,1994,August,08,0,3049,2972,77,2.5
"Aleutians West Census Area",04,000016,1994,September,09,0,2937,2873,64,2.2
