"Bethel Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Bethel Census Area",04,000050,1990,January,01,0,3776,3525,251,6.6
"Bethel Census Area",04,000050,1990,February,02,0,3973,3763,210,5.3
"Bethel Census Area",04,000050,1990,March,03,0,4061,3797,264,6.5
"Bethel Census Area",04,000050,1990,April,04,0,4105,3778,327,8.0
"Bethel Census Area",04,000050,1990,May,05,0,4282,3931,351,8.2
"Bethel Census Area",04,000050,1990,June,06,0,4299,3953,346,8.0
"Bethel Census Area",04,000050,1990,July,07,0,4673,4367,306,6.5
"Bethel Census Area",04,000050,1990,August,08,0,4155,3847,308,7.4
"Bethel Census Area",04,000050,1990,September,09,0,3855,3565,290,7.5
"Bethel Census Area",04,000050,1990,October,10,0,3840,3530,310,8.1
"Bethel Census Area",04,000050,1990,November,11,0,3879,3597,282,7.3
"Bethel Census Area",04,000050,1990,December,12,0,3966,3643,323,8.1
"Bethel Census Area",04,000050,1990,Annual,00,0,4072,3775,297,7.3
"Bethel Census Area",04,000050,1991,January,01,0,4391,4025,366,8.3
"Bethel Census Area",04,000050,1991,February,02,0,4568,4196,372,8.1
"Bethel Census Area",04,000050,1991,March,03,0,4628,4223,405,8.8
"Bethel Census Area",04,000050,1991,April,04,0,4886,4435,451,9.2
"Bethel Census Area",04,000050,1991,May,05,0,4908,4469,439,8.9
"Bethel Census Area",04,000050,1991,June,06,0,4960,4488,472,9.5
"Bethel Census Area",04,000050,1991,July,07,0,5338,4938,400,7.5
"Bethel Census Area",04,000050,1991,August,08,0,4701,4342,359,7.6
"Bethel Census Area",04,000050,1991,September,09,0,4343,3988,355,8.2
"Bethel Census Area",04,000050,1991,October,10,0,4120,3763,357,8.7
"Bethel Census Area",04,000050,1991,November,11,0,4251,3922,329,7.7
"Bethel Census Area",04,000050,1991,December,12,0,4318,3974,344,8.0
"Bethel Census Area",04,000050,1991,Annual,00,0,4617,4230,387,8.4
"Bethel Census Area",04,000050,1992,January,01,0,4919,4521,398,8.1
"Bethel Census Area",04,000050,1992,February,02,0,5595,5150,445,8.0
"Bethel Census Area",04,000050,1992,March,03,0,5688,5205,483,8.5
