"Bristol Bay Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Bristol Bay Borough",04,000060,1990,January,01,0,451,426,25,5.5
"Bristol Bay Borough",04,000060,1990,February,02,0,482,455,27,5.6
"Bristol Bay Borough",04,000060,1990,March,03,0,488,458,30,6.1
"Bristol Bay Borough",04,000060,1990,April,04,0,484,456,28,5.8
"Bristol Bay Borough",04,000060,1990,May,05,0,490,476,14,2.9
"Bristol Bay Borough",04,000060,1990,June,06,0,486,478,8,1.6
"Bristol Bay Borough",04,000060,1990,July,07,0,535,527,8,1.5
"Bristol Bay Borough",04,000060,1990,August,08,0,476,464,12,2.5
"Bristol Bay Borough",04,000060,1990,September,09,0,451,430,21,4.7
"Bristol Bay Borough",04,000060,1990,October,10,0,448,427,21,4.7
"Bristol Bay Borough",04,000060,1990,November,11,0,452,435,17,3.8
"Bristol Bay Borough",04,000060,1990,December,12,0,471,441,30,6.4
"Bristol Bay Borough",04,000060,1990,Annual,00,0,476,456,20,4.2
"Bristol Bay Borough",04,000060,1991,January,01,0,527,481,46,8.7
"Bristol Bay Borough",04,000060,1991,February,02,0,545,501,44,8.1
"Bristol Bay Borough",04,000060,1991,March,03,0,551,504,47,8.5
"Bristol Bay Borough",04,000060,1991,April,04,0,562,530,32,5.7
"Bristol Bay Borough",04,000060,1991,May,05,0,542,534,8,1.5
"Bristol Bay Borough",04,000060,1991,June,06,0,538,536,2,.4
"Bristol Bay Borough",04,000060,1991,July,07,0,601,590,11,1.8
"Bristol Bay Borough",04,000060,1991,August,08,0,540,518,22,4.1
"Bristol Bay Borough",04,000060,1991,September,09,0,500,476,24,4.8
"Bristol Bay Borough",04,000060,1991,October,10,0,478,450,28,5.9
"Bristol Bay Borough",04,000060,1991,November,11,0,499,469,30,6.0
"Bristol Bay Borough",04,000060,1991,December,12,0,511,474,37,7.2
"Bristol Bay Borough",04,000060,1991,Annual,00,0,533,505,28,5.3
"Bristol Bay Borough",04,000060,1992,January,01,0,613,559,54,8.8
"Bristol Bay Borough",04,000060,1992,February,02,0,687,636,51,7.4
"Bristol Bay Borough",04,000060,1992,March,03,0,701,643,58,8.3
"Bristol Bay Borough",04,000060,1992,April,04,0,676,633,43,6.4
"Bristol Bay Borough",04,000060,1992,May,05,0,624,601,23,3.7
"Bristol Bay Borough",04,000060,1992,June,06,0,628,603,25,4.0
"Bristol Bay Borough",04,000060,1992,July,07,0,656,642,14,2.1
"Bristol Bay Borough",04,000060,1992,August,08,0,597,584,13,2.2
"Bristol Bay Borough",04,000060,1992,September,09,0,568,545,23,4.0
"Bristol Bay Borough",04,000060,1992,October,10,0,539,501,38,7.1
"Bristol Bay Borough",04,000060,1992,November,11,0,531,507,24,4.5
"Bristol Bay Borough",04,000060,1992,December,12,0,553,507,46,8.3
"Bristol Bay Borough",04,000060,1992,Annual,00,0,614,580,34,5.5
"Bristol Bay Borough",04,000060,1993,January,01,0,662,610,52,7.9
"Bristol Bay Borough",04,000060,1993,February,02,0,739,680,59,8.0
"Bristol Bay Borough",04,000060,1993,March,03,0,744,684,60,8.1
"Bristol Bay Borough",04,000060,1993,April,04,0,655,606,49,7.5
"Bristol Bay Borough",04,000060,1993,May,05,0,598,570,28,4.7
"Bristol Bay Borough",04,000060,1993,June,06,0,607,577,30,4.9
"Bristol Bay Borough",04,000060,1993,July,07,0,671,661,10,1.5
"Bristol Bay Borough",04,000060,1993,August,08,0,598,587,11,1.8
"Bristol Bay Borough",04,000060,1993,September,09,0,591,567,24,4.1
"Bristol Bay Borough",04,000060,1993,October,10,0,574,538,36,6.3
"Bristol Bay Borough",04,000060,1993,November,11,0,589,534,55,9.3
"Bristol Bay Borough",04,000060,1993,December,12,0,560,520,40,7.1
"Bristol Bay Borough",04,000060,1993,Annual,00,0,633,595,38,6.0
"Bristol Bay Borough",04,000060,1994,January,01,0,483,437,46,9.5
"Bristol Bay Borough",04,000060,1994,February,02,0,566,509,57,10.1
"Bristol Bay Borough",04,000060,1994,March,03,0,554,489,65,11.7
"Bristol Bay Borough",04,000060,1994,April,04,0,466,429,37,7.9
"Bristol Bay Borough",04,000060,1994,May,05,0,436,422,14,3.2
"Bristol Bay Borough",04,000060,1994,June,06,0,459,446,13,2.8
"Bristol Bay Borough",04,000060,1994,July,07,0,516,510,6,1.2
"Bristol Bay Borough",04,000060,1994,August,08,0,483,472,11,2.3
"Bristol Bay Borough",04,000060,1994,September,09,0,465,455,10,2.2
"Bristol Bay Borough",04,000060,1994,October,10,0,447,424,23,5.1
"Bristol Bay Borough",04,000060,1994,November,11,0,428,400,28,6.5
"Bristol Bay Borough",04,000060,1994,December,12,0,431,386,45,10.4
"Bristol Bay Borough",04,000060,1994,Annual,00,0,478,448,30,6.3
"Bristol Bay Borough",04,000060,1995,January,01,0,538,489,49,9.1
"Bristol Bay Borough",04,000060,1995,February,02,0,619,578,41,6.6
"Bristol Bay Borough",04,000060,1995,March,03,0,609,565,44,7.2
"Bristol Bay Borough",04,000060,1995,April,04,0,534,511,23,4.3
"Bristol Bay Borough",04,000060,1995,May,05,0,536,509,27,5.0
"Bristol Bay Borough",04,000060,1995,June,06,0,575,539,36,6.3
"Bristol Bay Borough",04,000060,1995,July,07,0,636,611,25,3.9
"Bristol Bay Borough",04,000060,1995,August,08,0,590,557,33,5.6
"Bristol Bay Borough",04,000060,1995,September,09,0,550,523,27,4.9
"Bristol Bay Borough",04,000060,1995,October,10,0,536,500,36,6.7
"Bristol Bay Borough",04,000060,1995,November,11,0,515,467,48,9.3
"Bristol Bay Borough",04,000060,1995,December,12,0,497,452,45,9.1
"Bristol Bay Borough",04,000060,1995,Annual,00,0,561,525,36,6.4
"Bristol Bay Borough",04,000060,1996,January,01,0,548,499,49,8.9
"Bristol Bay Borough",04,000060,1996,February,02,0,653,599,54,8.3
"Bristol Bay Borough",04,000060,1996,March,03,0,640,591,49,7.7
"Bristol Bay Borough",04,000060,1996,April,04,0,604,566,38,6.3
"Bristol Bay Borough",04,000060,1996,May,05,0,606,572,34,5.6
"Bristol Bay Borough",04,000060,1996,June,06,0,608,561,47,7.7
"Bristol Bay Borough",04,000060,1996,July,07,0,640,609,31,4.8
"Bristol Bay Borough",04,000060,1996,August,08,0,578,547,31,5.4
"Bristol Bay Borough",04,000060,1996,September,09,0,558,525,33,5.9
"Bristol Bay Borough",04,000060,1996,October,10,0,541,514,27,5.0
"Bristol Bay Borough",04,000060,1996,November,11,0,523,478,45,8.6
"Bristol Bay Borough",04,000060,1996,December,12,0,501,455,46,9.2
"Bristol Bay Borough",04,000060,1996,Annual,00,0,583,543,40,6.9
"Bristol Bay Borough",04,000060,1997,January,01,0,586,534,52,8.9
"Bristol Bay Borough",04,000060,1997,February,02,0,656,602,54,8.2
"Bristol Bay Borough",04,000060,1997,March,03,0,671,617,54,8.0
"Bristol Bay Borough",04,000060,1997,April,04,0,635,578,57,9.0
"Bristol Bay Borough",04,000060,1997,May,05,0,598,572,26,4.3
"Bristol Bay Borough",04,000060,1997,June,06,0,596,566,30,5.0
"Bristol Bay Borough",04,000060,1997,July,07,0,637,620,17,2.7
"Bristol Bay Borough",04,000060,1997,August,08,0,552,530,22,4.0
"Bristol Bay Borough",04,000060,1997,September,09,0,575,538,37,6.4
"Bristol Bay Borough",04,000060,1997,October,10,0,570,524,46,8.1
"Bristol Bay Borough",04,000060,1997,November,11,0,548,488,60,10.9
"Bristol Bay Borough",04,000060,1997,December,12,0,517,453,64,12.4
"Bristol Bay Borough",04,000060,1997,Annual,00,0,595,552,43,7.2
"Bristol Bay Borough",04,000060,1998,January,01,0,538,463,75,13.9
"Bristol Bay Borough",04,000060,1998,February,02,0,603,530,73,12.1
"Bristol Bay Borough",04,000060,1998,March,03,0,586,520,66,11.3
"Bristol Bay Borough",04,000060,1998,April,04,0,520,475,45,8.7
"Bristol Bay Borough",04,000060,1998,May,05,0,473,453,20,4.2
"Bristol Bay Borough",04,000060,1998,June,06,0,490,459,31,6.3
"Bristol Bay Borough",04,000060,1998,July,07,0,518,504,14,2.7
"Bristol Bay Borough",04,000060,1998,August,08,0,473,453,20,4.2
"Bristol Bay Borough",04,000060,1998,September,09,0,481,451,30,6.2
"Bristol Bay Borough",04,000060,1998,October,10,0,488,442,46,9.4
"Bristol Bay Borough",04,000060,1998,November,11,0,470,414,56,11.9
"Bristol Bay Borough",04,000060,1998,December,12,0,438,393,45,10.3
"Bristol Bay Borough",04,000060,1998,Annual,00,0,506,463,43,8.5
"Bristol Bay Borough",04,000060,1999,January,01,0,522,456,66,12.6
"Bristol Bay Borough",04,000060,1999,February,02,0,604,520,84,13.9
"Bristol Bay Borough",04,000060,1999,March,03,0,587,509,78,13.3
"Bristol Bay Borough",04,000060,1999,April,04,0,502,442,60,12.0
"Bristol Bay Borough",04,000060,1999,May,05,0,459,426,33,7.2
"Bristol Bay Borough",04,000060,1999,June,06,0,457,430,27,5.9
"Bristol Bay Borough",04,000060,1999,July,07,0,510,495,15,2.9
"Bristol Bay Borough",04,000060,1999,August,08,0,503,485,18,3.6
"Bristol Bay Borough",04,000060,1999,September,09,0,485,463,22,4.5
"Bristol Bay Borough",04,000060,1999,October,10,0,494,452,42,8.5
"Bristol Bay Borough",04,000060,1999,November,11,0,468,411,57,12.2
"Bristol Bay Borough",04,000060,1999,December,12,0,440,387,53,12.0
"Bristol Bay Borough",04,000060,1999,Annual,00,0,502,456,46,9.2
"Bristol Bay Borough",04,000060,2000,January,01,0,669,603,66,9.9
"Bristol Bay Borough",04,000060,2000,February,02,0,639,569,70,11.0
