"Chugach Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Chugach Census Area",04,000063,2020,January,01,0,2843,2561,282,9.9
"Chugach Census Area",04,000063,2020,February,02,0,2927,2620,307,10.5
"Chugach Census Area",04,000063,2020,March,03,0,2976,2635,341,11.5
"Chugach Census Area",04,000063,2020,April,04,0,2957,2596,361,12.2
"Chugach Census Area",04,000063,2020,May,05,0,3180,2831,349,11.0
"Chugach Census Area",04,000063,2020,June,06,0,3601,3277,324,9.0
"Chugach Census Area",04,000063,2020,July,07,0,4079,3783,296,7.3
"Chugach Census Area",04,000063,2020,August,08,0,4112,3917,195,4.7
"Chugach Census Area",04,000063,2020,September,09,0,3395,3199,196,5.8
"Chugach Census Area",04,000063,2020,October,10,0,3034,2799,235,7.7
"Chugach Census Area",04,000063,2020,November,11,0,2945,2689,256,8.7
"Chugach Census Area",04,000063,2020,December,12,0,2949,2702,247,8.4
"Chugach Census Area",04,000063,2020,Annual,00,1,3249,2967,282,8.7
"Chugach Census Area",04,000063,2021,January,01,0,2575,2485,90,3.5
"Chugach Census Area",04,000063,2021,February,02,0,2653,2586,67,2.5
"Chugach Census Area",04,000063,2021,March,03,0,2718,2652,66,2.4
"Chugach Census Area",04,000063,2021,April,04,0,2919,2854,65,2.2
"Chugach Census Area",04,000063,2021,May,05,0,3172,3102,70,2.2
"Chugach Census Area",04,000063,2021,June,06,0,3662,3584,78,2.1
"Chugach Census Area",04,000063,2021,July,07,0,4103,4035,68,1.7
"Chugach Census Area",04,000063,2021,August,08,0,3995,3936,59,1.5
"Chugach Census Area",04,000063,2021,September,09,0,3610,3533,77,2.1
"Chugach Census Area",04,000063,2021,October,10,0,2884,2795,89,3.1
"Chugach Census Area",04,000063,2021,November,11,0,2839,2734,105,3.7
"Chugach Census Area",04,000063,2021,December,12,0,2850,2749,101,3.5
"Chugach Census Area",04,000063,2021,Annual,00,1,3165,3087,78,2.5
"Chugach Census Area",04,000063,2022,January,01,0,2801,2663,138,4.9
"Chugach Census Area",04,000063,2022,February,02,0,2892,2765,127,4.4
"Chugach Census Area",04,000063,2022,March,03,0,2943,2827,116,3.9
"Chugach Census Area",04,000063,2022,April,04,0,3171,3071,100,3.2
"Chugach Census Area",04,000063,2022,May,05,0,3412,3316,96,2.8
"Chugach Census Area",04,000063,2022,June,06,0,3958,3854,104,2.6
"Chugach Census Area",04,000063,2022,July,07,0,4527,4449,78,1.7
"Chugach Census Area",04,000063,2022,August,08,0,4450,4377,73,1.6
"Chugach Census Area",04,000063,2022,September,09,0,3513,3439,74,2.1
"Chugach Census Area",04,000063,2022,October,10,0,3044,2943,101,3.3
"Chugach Census Area",04,000063,2022,November,11,0,2945,2840,105,3.6
"Chugach Census Area",04,000063,2022,December,12,0,2903,2812,91,3.1
"Chugach Census Area",04,000063,2022,Annual,00,1,3380,3280,100,3.0
"Chugach Census Area",04,000063,2023,January,01,0,2902,2732,170,5.9
"Chugach Census Area",04,000063,2023,February,02,0,2999,2798,201,6.7
"Chugach Census Area",04,000063,2023,March,03,0,3099,2901,198,6.4
"Chugach Census Area",04,000063,2023,April,04,0,3222,3069,153,4.7
"Chugach Census Area",04,000063,2023,May,05,0,3437,3305,132,3.8
"Chugach Census Area",04,000063,2023,June,06,0,4067,3930,137,3.4
"Chugach Census Area",04,000063,2023,July,07,0,4526,4414,112,2.5
"Chugach Census Area",04,000063,2023,August,08,0,4334,4222,112,2.6
"Chugach Census Area",04,000063,2023,September,09,0,3650,3526,124,3.4
"Chugach Census Area",04,000063,2023,October,10,0,3179,2978,201,6.3
"Chugach Census Area",04,000063,2023,November,11,0,3098,2882,216,7.0
"Chugach Census Area",04,000063,2023,December,12,0,2998,2801,197,6.6
"Chugach Census Area",04,000063,2023,Annual,00,1,3460,3297,163,4.7
"Chugach Census Area",04,000063,2024,January,01,0,2919,2695,224,7.7
"Chugach Census Area",04,000063,2024,February,02,0,2959,2704,255,8.6
"Chugach Census Area",04,000063,2024,March,03,0,3051,2796,255,8.4
"Chugach Census Area",04,000063,2024,April,04,0,3150,2933,217,6.9
"Chugach Census Area",04,000063,2024,May,05,0,3351,3194,157,4.7
"Chugach Census Area",04,000063,2024,June,06,0,3952,3778,174,4.4
"Chugach Census Area",04,000063,2024,July,07,0,4464,4309,155,3.5
"Chugach Census Area",04,000063,2024,August,08,0,4283,4144,139,3.2
"Chugach Census Area",04,000063,2024,September,09,0,3630,3493,137,3.8
"Chugach Census Area",04,000063,2024,October,10,0,3212,3003,209,6.5
"Chugach Census Area",04,000063,2024,November,11,0,3068,2834,234,7.6
"Chugach Census Area",04,000063,2024,December,12,1,3093,2897,196,6.3
"Chugach Census Area",04,000063,2023,Annual,00,1,3460,3297,163,4.7
