"City and Borough of Juneau NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"City and Borough of Juneau",04,000110,1990,January,01,0,14250,13381,869,6.1
"City and Borough of Juneau",04,000110,1990,February,02,0,14243,13335,908,6.4
"City and Borough of Juneau",04,000110,1990,March,03,0,14488,13696,792,5.5
"City and Borough of Juneau",04,000110,1990,April,04,0,14866,14140,726,4.9
"City and Borough of Juneau",04,000110,1990,May,05,0,15194,14566,628,4.1
"City and Borough of Juneau",04,000110,1990,June,06,0,15659,14943,716,4.6
"City and Borough of Juneau",04,000110,1990,July,07,0,16398,15646,752,4.6
"City and Borough of Juneau",04,000110,1990,August,08,0,16563,15766,797,4.8
"City and Borough of Juneau",04,000110,1990,September,09,0,16126,15341,785,4.9
"City and Borough of Juneau",04,000110,1990,October,10,0,15173,14316,857,5.6
"City and Borough of Juneau",04,000110,1990,November,11,0,14917,14038,879,5.9
"City and Borough of Juneau",04,000110,1990,December,12,0,14538,13628,910,6.3
"City and Borough of Juneau",04,000110,1990,Annual,00,0,15202,14400,802,5.3
"City and Borough of Juneau",04,000110,1991,January,01,0,14286,13260,1026,7.2
"City and Borough of Juneau",04,000110,1991,February,02,0,14447,13337,1110,7.7
"City and Borough of Juneau",04,000110,1991,March,03,0,14688,13638,1050,7.1
"City and Borough of Juneau",04,000110,1991,April,04,0,15032,14196,836,5.6
"City and Borough of Juneau",04,000110,1991,May,05,0,15461,14718,743,4.8
"City and Borough of Juneau",04,000110,1991,June,06,0,15712,14899,813,5.2
"City and Borough of Juneau",04,000110,1991,July,07,0,16566,15687,879,5.3
"City and Borough of Juneau",04,000110,1991,August,08,0,16778,15874,904,5.4
"City and Borough of Juneau",04,000110,1991,September,09,0,16505,15549,956,5.8
"City and Borough of Juneau",04,000110,1991,October,10,0,15414,14442,972,6.3
"City and Borough of Juneau",04,000110,1991,November,11,0,15060,14035,1025,6.8
"City and Borough of Juneau",04,000110,1991,December,12,0,14882,13816,1066,7.2
"City and Borough of Juneau",04,000110,1991,Annual,00,0,15402,14454,948,6.2
"City and Borough of Juneau",04,000110,1992,January,01,0,14699,13450,1249,8.5
"City and Borough of Juneau",04,000110,1992,February,02,0,14627,13443,1184,8.1
"City and Borough of Juneau",04,000110,1992,March,03,0,14976,13860,1116,7.5
"City and Borough of Juneau",04,000110,1992,April,04,0,15342,14384,958,6.2
"City and Borough of Juneau",04,000110,1992,May,05,0,16016,15083,933,5.8
"City and Borough of Juneau",04,000110,1992,June,06,0,16459,15391,1068,6.5
"City and Borough of Juneau",04,000110,1992,July,07,0,17425,16306,1119,6.4
"City and Borough of Juneau",04,000110,1992,August,08,0,17631,16518,1113,6.3
"City and Borough of Juneau",04,000110,1992,September,09,0,17249,16134,1115,6.5
"City and Borough of Juneau",04,000110,1992,October,10,0,16395,15308,1087,6.6
"City and Borough of Juneau",04,000110,1992,November,11,0,16046,14947,1099,6.8
"City and Borough of Juneau",04,000110,1992,December,12,0,15835,14722,1113,7.0
"City and Borough of Juneau",04,000110,1992,Annual,00,0,16058,14962,1096,6.8
"City and Borough of Juneau",04,000110,1993,January,01,0,14895,13804,1091,7.3
"City and Borough of Juneau",04,000110,1993,February,02,0,15039,13910,1129,7.5
"City and Borough of Juneau",04,000110,1993,March,03,0,15421,14421,1000,6.5
"City and Borough of Juneau",04,000110,1993,April,04,0,15634,14781,853,5.5
"City and Borough of Juneau",04,000110,1993,May,05,0,16117,15298,819,5.1
"City and Borough of Juneau",04,000110,1993,June,06,0,16808,15792,1016,6.0
"City and Borough of Juneau",04,000110,1993,July,07,0,17522,16530,992,5.7
"City and Borough of Juneau",04,000110,1993,August,08,0,17592,16566,1026,5.8
"City and Borough of Juneau",04,000110,1993,September,09,0,17296,16274,1022,5.9
"City and Borough of Juneau",04,000110,1993,October,10,0,16517,15456,1061,6.4
"City and Borough of Juneau",04,000110,1993,November,11,0,15684,14713,971,6.2
"City and Borough of Juneau",04,000110,1993,December,12,0,15343,14372,971,6.3
"City and Borough of Juneau",04,000110,1993,Annual,00,0,16156,15160,996,6.2
"City and Borough of Juneau",04,000110,1994,January,01,0,15030,13919,1111,7.4
"City and Borough of Juneau",04,000110,1994,February,02,0,15028,13899,1129,7.5
"City and Borough of Juneau",04,000110,1994,March,03,0,15236,14094,1142,7.5
"City and Borough of Juneau",04,000110,1994,April,04,0,15666,14719,947,6.0
"City and Borough of Juneau",04,000110,1994,May,05,0,16553,15670,883,5.3
"City and Borough of Juneau",04,000110,1994,June,06,0,17042,16079,963,5.7
"City and Borough of Juneau",04,000110,1994,July,07,0,17462,16532,930,5.3
"City and Borough of Juneau",04,000110,1994,August,08,0,17672,16807,865,4.9
"City and Borough of Juneau",04,000110,1994,September,09,0,17039,16157,882,5.2
"City and Borough of Juneau",04,000110,1994,October,10,0,16169,15294,875,5.4
"City and Borough of Juneau",04,000110,1994,November,11,0,15812,14926,886,5.6
"City and Borough of Juneau",04,000110,1994,December,12,0,15390,14533,857,5.6
"City and Borough of Juneau",04,000110,1994,Annual,00,0,16175,15219,956,5.9
"City and Borough of Juneau",04,000110,1995,January,01,0,15304,14300,1004,6.6
"City and Borough of Juneau",04,000110,1995,February,02,0,15247,14277,970,6.4
"City and Borough of Juneau",04,000110,1995,March,03,0,15572,14595,977,6.3
"City and Borough of Juneau",04,000110,1995,April,04,0,16416,15505,911,5.5
"City and Borough of Juneau",04,000110,1995,May,05,0,16983,16139,844,5.0
"City and Borough of Juneau",04,000110,1995,June,06,0,17120,16202,918,5.4
"City and Borough of Juneau",04,000110,1995,July,07,0,18209,17200,1009,5.5
