"City and Borough of Sitka NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"City and Borough of Sitka",04,000220,1990,January,01,0,4227,3961,266,6.3
"City and Borough of Sitka",04,000220,1990,February,02,0,4253,3947,306,7.2
"City and Borough of Sitka",04,000220,1990,March,03,0,4305,4054,251,5.8
"City and Borough of Sitka",04,000220,1990,April,04,0,4325,4186,139,3.2
"City and Borough of Sitka",04,000220,1990,May,05,0,4460,4311,149,3.3
"City and Borough of Sitka",04,000220,1990,June,06,0,4622,4423,199,4.3
"City and Borough of Sitka",04,000220,1990,July,07,0,4845,4631,214,4.4
"City and Borough of Sitka",04,000220,1990,August,08,0,4857,4668,189,3.9
"City and Borough of Sitka",04,000220,1990,September,09,0,4685,4542,143,3.1
"City and Borough of Sitka",04,000220,1990,October,10,0,4473,4238,235,5.3
"City and Borough of Sitka",04,000220,1990,November,11,0,4563,4155,408,8.9
"City and Borough of Sitka",04,000220,1990,December,12,0,4349,4034,315,7.2
"City and Borough of Sitka",04,000220,1990,Annual,00,0,4498,4263,235,5.2
"City and Borough of Sitka",04,000220,1991,January,01,0,4203,3870,333,7.9
"City and Borough of Sitka",04,000220,1991,February,02,0,4239,3893,346,8.2
"City and Borough of Sitka",04,000220,1991,March,03,0,4290,3982,308,7.2
"City and Borough of Sitka",04,000220,1991,April,04,0,4350,4144,206,4.7
"City and Borough of Sitka",04,000220,1991,May,05,0,4468,4296,172,3.8
"City and Borough of Sitka",04,000220,1991,June,06,0,4585,4350,235,5.1
"City and Borough of Sitka",04,000220,1991,July,07,0,4805,4579,226,4.7
"City and Borough of Sitka",04,000220,1991,August,08,0,4813,4633,180,3.7
"City and Borough of Sitka",04,000220,1991,September,09,0,4745,4539,206,4.3
"City and Borough of Sitka",04,000220,1991,October,10,0,4442,4216,226,5.1
"City and Borough of Sitka",04,000220,1991,November,11,0,4414,4097,317,7.2
"City and Borough of Sitka",04,000220,1991,December,12,0,4374,4033,341,7.8
"City and Borough of Sitka",04,000220,1991,Annual,00,0,4477,4219,258,5.8
"City and Borough of Sitka",04,000220,1992,January,01,0,4198,3906,292,7.0
"City and Borough of Sitka",04,000220,1992,February,02,0,4311,3905,406,9.4
"City and Borough of Sitka",04,000220,1992,March,03,0,4384,4026,358,8.2
"City and Borough of Sitka",04,000220,1992,April,04,0,4446,4177,269,6.1
"City and Borough of Sitka",04,000220,1992,May,05,0,4659,4382,277,5.9
"City and Borough of Sitka",04,000220,1992,June,06,0,4715,4471,244,5.2
"City and Borough of Sitka",04,000220,1992,July,07,0,4978,4737,241,4.8
"City and Borough of Sitka",04,000220,1992,August,08,0,5020,4798,222,4.4
"City and Borough of Sitka",04,000220,1992,September,09,0,4847,4686,161,3.3
"City and Borough of Sitka",04,000220,1992,October,10,0,4615,4447,168,3.6
"City and Borough of Sitka",04,000220,1992,November,11,0,4620,4342,278,6.0
"City and Borough of Sitka",04,000220,1992,December,12,0,4584,4277,307,6.7
"City and Borough of Sitka",04,000220,1992,Annual,00,0,4615,4346,269,5.8
"City and Borough of Sitka",04,000220,1993,January,01,0,4336,4031,305,7.0
"City and Borough of Sitka",04,000220,1993,February,02,0,4392,4062,330,7.5
"City and Borough of Sitka",04,000220,1993,March,03,0,4515,4212,303,6.7
"City and Borough of Sitka",04,000220,1993,April,04,0,4515,4316,199,4.4
"City and Borough of Sitka",04,000220,1993,May,05,0,4782,4466,316,6.6
"City and Borough of Sitka",04,000220,1993,June,06,0,4816,4611,205,4.3
"City and Borough of Sitka",04,000220,1993,July,07,0,5031,4827,204,4.1
"City and Borough of Sitka",04,000220,1993,August,08,0,5039,4836,203,4.0
"City and Borough of Sitka",04,000220,1993,September,09,0,4955,4752,203,4.1
"City and Borough of Sitka",04,000220,1993,October,10,0,4834,4513,321,6.6
"City and Borough of Sitka",04,000220,1993,November,11,0,4699,4297,402,8.6
"City and Borough of Sitka",04,000220,1993,December,12,0,4680,4196,484,10.3
"City and Borough of Sitka",04,000220,1993,Annual,00,0,4717,4427,290,6.1
"City and Borough of Sitka",04,000220,1994,January,01,0,4571,3958,613,13.4
"City and Borough of Sitka",04,000220,1994,February,02,0,4553,3952,601,13.2
"City and Borough of Sitka",04,000220,1994,March,03,0,4629,4008,621,13.4
"City and Borough of Sitka",04,000220,1994,April,04,0,4764,4186,578,12.1
"City and Borough of Sitka",04,000220,1994,May,05,0,4977,4457,520,10.4
"City and Borough of Sitka",04,000220,1994,June,06,0,5048,4573,475,9.4
"City and Borough of Sitka",04,000220,1994,July,07,0,5208,4702,506,9.7
"City and Borough of Sitka",04,000220,1994,August,08,0,5160,4779,381,7.4
"City and Borough of Sitka",04,000220,1994,September,09,0,4960,4595,365,7.4
"City and Borough of Sitka",04,000220,1994,October,10,0,4743,4350,393,8.3
"City and Borough of Sitka",04,000220,1994,November,11,0,4592,4244,348,7.6
"City and Borough of Sitka",04,000220,1994,December,12,0,4479,4133,346,7.7
"City and Borough of Sitka",04,000220,1994,Annual,00,0,4807,4328,479,10.0
"City and Borough of Sitka",04,000220,1995,January,01,0,4277,3919,358,8.4
"City and Borough of Sitka",04,000220,1995,February,02,0,4272,3914,358,8.4
"City and Borough of Sitka",04,000220,1995,March,03,0,4291,4001,290,6.8
"City and Borough of Sitka",04,000220,1995,April,04,0,4480,4250,230,5.1
"City and Borough of Sitka",04,000220,1995,May,05,0,4698,4424,274,5.8
"City and Borough of Sitka",04,000220,1995,June,06,0,4755,4442,313,6.6
"City and Borough of Sitka",04,000220,1995,July,07,0,5027,4715,312,6.2
"City and Borough of Sitka",04,000220,1995,August,08,0,5032,4745,287,5.7
"City and Borough of Sitka",04,000220,1995,September,09,0,4795,4576,219,4.6
"City and Borough of Sitka",04,000220,1995,October,10,0,4536,4312,224,4.9
"City and Borough of Sitka",04,000220,1995,November,11,0,4485,4216,269,6.0
"City and Borough of Sitka",04,000220,1995,December,12,0,4404,4124,280,6.4
"City and Borough of Sitka",04,000220,1995,Annual,00,0,4588,4303,285,6.2
"City and Borough of Sitka",04,000220,1996,January,01,0,4260,3867,393,9.2
"City and Borough of Sitka",04,000220,1996,February,02,0,4286,3896,390,9.1
"City and Borough of Sitka",04,000220,1996,March,03,0,4329,3965,364,8.4
"City and Borough of Sitka",04,000220,1996,April,04,0,4402,4146,256,5.8
"City and Borough of Sitka",04,000220,1996,May,05,0,4545,4303,242,5.3
"City and Borough of Sitka",04,000220,1996,June,06,0,4632,4373,259,5.6
"City and Borough of Sitka",04,000220,1996,July,07,0,4871,4644,227,4.7
"City and Borough of Sitka",04,000220,1996,August,08,0,4896,4658,238,4.9
"City and Borough of Sitka",04,000220,1996,September,09,0,4706,4468,238,5.1
"City and Borough of Sitka",04,000220,1996,October,10,0,4492,4220,272,6.1
"City and Borough of Sitka",04,000220,1996,November,11,0,4338,4058,280,6.5
"City and Borough of Sitka",04,000220,1996,December,12,0,4327,4025,302,7.0
"City and Borough of Sitka",04,000220,1996,Annual,00,0,4507,4219,288,6.4
"City and Borough of Sitka",04,000220,1997,January,01,0,4267,3921,346,8.1
"City and Borough of Sitka",04,000220,1997,February,02,0,4304,3956,348,8.1
"City and Borough of Sitka",04,000220,1997,March,03,0,4418,4058,360,8.1
"City and Borough of Sitka",04,000220,1997,April,04,0,4387,4129,258,5.9
"City and Borough of Sitka",04,000220,1997,May,05,0,4587,4356,231,5.0
"City and Borough of Sitka",04,000220,1997,June,06,0,4658,4415,243,5.2
"City and Borough of Sitka",04,000220,1997,July,07,0,4860,4635,225,4.6
"City and Borough of Sitka",04,000220,1997,August,08,0,4866,4669,197,4.0
"City and Borough of Sitka",04,000220,1997,September,09,0,4690,4511,179,3.8
"City and Borough of Sitka",04,000220,1997,October,10,0,4390,4187,203,4.6
"City and Borough of Sitka",04,000220,1997,November,11,0,4350,4114,236,5.4
"City and Borough of Sitka",04,000220,1997,December,12,0,4347,4042,305,7.0
"City and Borough of Sitka",04,000220,1997,Annual,00,0,4510,4249,261,5.8
"City and Borough of Sitka",04,000220,1998,January,01,0,4070,3780,290,7.1
"City and Borough of Sitka",04,000220,1998,February,02,0,4084,3772,312,7.6
"City and Borough of Sitka",04,000220,1998,March,03,0,4188,3885,303,7.2
"City and Borough of Sitka",04,000220,1998,April,04,0,4178,3960,218,5.2
"City and Borough of Sitka",04,000220,1998,May,05,0,4352,4152,200,4.6
"City and Borough of Sitka",04,000220,1998,June,06,0,4495,4217,278,6.2
"City and Borough of Sitka",04,000220,1998,July,07,0,4634,4417,217,4.7
"City and Borough of Sitka",04,000220,1998,August,08,0,4686,4474,212,4.5
"City and Borough of Sitka",04,000220,1998,September,09,0,4507,4281,226,5.0
"City and Borough of Sitka",04,000220,1998,October,10,0,4255,4053,202,4.7
"City and Borough of Sitka",04,000220,1998,November,11,0,4211,3996,215,5.1
"City and Borough of Sitka",04,000220,1998,December,12,0,4154,3893,261,6.3
"City and Borough of Sitka",04,000220,1998,Annual,00,0,4318,4073,245,5.7
"City and Borough of Sitka",04,000220,1999,January,01,0,3998,3736,262,6.6
"City and Borough of Sitka",04,000220,1999,February,02,0,4095,3780,315,7.7
"City and Borough of Sitka",04,000220,1999,March,03,0,4079,3820,259,6.3
"City and Borough of Sitka",04,000220,1999,April,04,0,4161,3945,216,5.2
"City and Borough of Sitka",04,000220,1999,May,05,0,4421,4184,237,5.4
"City and Borough of Sitka",04,000220,1999,June,06,0,4554,4294,260,5.7
"City and Borough of Sitka",04,000220,1999,July,07,0,4748,4533,215,4.5
"City and Borough of Sitka",04,000220,1999,August,08,0,4672,4481,191,4.1
"City and Borough of Sitka",04,000220,1999,September,09,0,4574,4394,180,3.9
"City and Borough of Sitka",04,000220,1999,October,10,0,4302,4091,211,4.9
"City and Borough of Sitka",04,000220,1999,November,11,0,4180,3997,183,4.4
"City and Borough of Sitka",04,000220,1999,December,12,0,4143,3948,195,4.7
"City and Borough of Sitka",04,000220,1999,Annual,00,0,4327,4100,227,5.2
"City and Borough of Sitka",04,000220,2000,January,01,0,4378,4127,251,5.7
"City and Borough of Sitka",04,000220,2000,February,02,0,4526,4261,265,5.9
"City and Borough of Sitka",04,000220,2000,March,03,0,4570,4329,241,5.3
"City and Borough of Sitka",04,000220,2000,April,04,0,4365,4144,221,5.1
"City and Borough of Sitka",04,000220,2000,May,05,0,4541,4324,217,4.8
"City and Borough of Sitka",04,000220,2000,June,06,0,4529,4289,240,5.3
"City and Borough of Sitka",04,000220,2000,July,07,0,4655,4472,183,3.9
"City and Borough of Sitka",04,000220,2000,August,08,0,4699,4520,179,3.8
"City and Borough of Sitka",04,000220,2000,September,09,0,4425,4251,174,3.9
"City and Borough of Sitka",04,000220,2000,October,10,0,4311,4129,182,4.2
"City and Borough of Sitka",04,000220,2000,November,11,0,4268,4066,202,4.7
"City and Borough of Sitka",04,000220,2000,December,12,0,4232,4029,203,4.8
"City and Borough of Sitka",04,000220,2000,Annual,00,0,4458,4245,213,4.8
"City and Borough of Sitka",04,000220,2001,January,01,0,4233,3973,260,6.1
"City and Borough of Sitka",04,000220,2001,February,02,0,4259,4006,253,5.9
"City and Borough of Sitka",04,000220,2001,March,03,0,4421,4182,239,5.4
"City and Borough of Sitka",04,000220,2001,April,04,0,4359,4166,193,4.4
"City and Borough of Sitka",04,000220,2001,May,05,0,4499,4320,179,4.0
"City and Borough of Sitka",04,000220,2001,June,06,0,4668,4467,201,4.3
"City and Borough of Sitka",04,000220,2001,July,07,0,4737,4555,182,3.8
"City and Borough of Sitka",04,000220,2001,August,08,0,4761,4594,167,3.5
"City and Borough of Sitka",04,000220,2001,September,09,0,4568,4408,160,3.5
"City and Borough of Sitka",04,000220,2001,October,10,0,4431,4235,196,4.4
"City and Borough of Sitka",04,000220,2001,November,11,0,4411,4179,232,5.3
"City and Borough of Sitka",04,000220,2001,December,12,0,4379,4109,270,6.2
"City and Borough of Sitka",04,000220,2001,Annual,00,0,4477,4266,211,4.7
"City and Borough of Sitka",04,000220,2002,January,01,0,4316,3999,317,7.3
"City and Borough of Sitka",04,000220,2002,February,02,0,4406,4099,307,7.0
"City and Borough of Sitka",04,000220,2002,March,03,0,4530,4208,322,7.1
"City and Borough of Sitka",04,000220,2002,April,04,0,4526,4249,277,6.1
"City and Borough of Sitka",04,000220,2002,May,05,0,4590,4332,258,5.6
"City and Borough of Sitka",04,000220,2002,June,06,0,4671,4394,277,5.9
"City and Borough of Sitka",04,000220,2002,July,07,0,5000,4773,227,4.5
"City and Borough of Sitka",04,000220,2002,August,08,0,5068,4854,214,4.2
"City and Borough of Sitka",04,000220,2002,September,09,0,4767,4544,223,4.7
"City and Borough of Sitka",04,000220,2002,October,10,0,4587,4360,227,4.9
"City and Borough of Sitka",04,000220,2002,November,11,0,4516,4250,266,5.9
"City and Borough of Sitka",04,000220,2002,December,12,0,4472,4171,301,6.7
"City and Borough of Sitka",04,000220,2002,Annual,00,0,4621,4353,268,5.8
"City and Borough of Sitka",04,000220,2003,January,01,0,4555,4229,326,7.2
"City and Borough of Sitka",04,000220,2003,February,02,0,4593,4257,336,7.3
"City and Borough of Sitka",04,000220,2003,March,03,0,4562,4236,326,7.1
"City and Borough of Sitka",04,000220,2003,April,04,0,4625,4355,270,5.8
"City and Borough of Sitka",04,000220,2003,May,05,0,4716,4461,255,5.4
"City and Borough of Sitka",04,000220,2003,June,06,0,4779,4479,300,6.3
"City and Borough of Sitka",04,000220,2003,July,07,0,4994,4742,252,5.0
"City and Borough of Sitka",04,000220,2003,August,08,0,5074,4838,236,4.7
"City and Borough of Sitka",04,000220,2003,September,09,0,4792,4554,238,5.0
"City and Borough of Sitka",04,000220,2003,October,10,0,4464,4209,255,5.7
"City and Borough of Sitka",04,000220,2003,November,11,0,4510,4208,302,6.7
"City and Borough of Sitka",04,000220,2003,December,12,0,4452,4117,335,7.5
"City and Borough of Sitka",04,000220,2003,Annual,00,0,4676,4390,286,6.1
"City and Borough of Sitka",04,000220,2004,January,01,0,4260,3889,371,8.7
"City and Borough of Sitka",04,000220,2004,February,02,0,4286,3911,375,8.7
"City and Borough of Sitka",04,000220,2004,March,03,0,4428,4096,332,7.5
"City and Borough of Sitka",04,000220,2004,April,04,0,4482,4199,283,6.3
"City and Borough of Sitka",04,000220,2004,May,05,0,4677,4406,271,5.8
"City and Borough of Sitka",04,000220,2004,June,06,0,4782,4486,296,6.2
"City and Borough of Sitka",04,000220,2004,July,07,0,4934,4687,247,5.0
"City and Borough of Sitka",04,000220,2004,August,08,0,4975,4754,221,4.4
"City and Borough of Sitka",04,000220,2004,September,09,0,4788,4565,223,4.7
"City and Borough of Sitka",04,000220,2004,October,10,0,4525,4286,239,5.3
"City and Borough of Sitka",04,000220,2004,November,11,0,4538,4238,300,6.6
"City and Borough of Sitka",04,000220,2004,December,12,0,4384,4079,305,7.0
"City and Borough of Sitka",04,000220,2004,Annual,00,0,4589,4300,289,6.3
"City and Borough of Sitka",04,000220,2005,January,01,0,4361,4033,328,7.5
"City and Borough of Sitka",04,000220,2005,February,02,0,4429,4084,345,7.8
"City and Borough of Sitka",04,000220,2005,March,03,0,4565,4268,297,6.5
"City and Borough of Sitka",04,000220,2005,April,04,0,4657,4398,259,5.6
"City and Borough of Sitka",04,000220,2005,May,05,0,4812,4575,237,4.9
"City and Borough of Sitka",04,000220,2005,June,06,0,5053,4794,259,5.1
"City and Borough of Sitka",04,000220,2005,July,07,0,5115,4881,234,4.6
