"City and Borough of Wrangell NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"City and Borough of Wrangell",04,000275,2010,January,01,0,991,854,137,13.8
"City and Borough of Wrangell",04,000275,2010,February,02,0,1005,871,134,13.3
"City and Borough of Wrangell",04,000275,2010,March,03,0,1044,928,116,11.1
"City and Borough of Wrangell",04,000275,2010,April,04,0,1084,1000,84,7.7
"City and Borough of Wrangell",04,000275,2010,May,05,0,1075,993,82,7.6
"City and Borough of Wrangell",04,000275,2010,June,06,0,1057,981,76,7.2
"City and Borough of Wrangell",04,000275,2010,July,07,0,1105,1044,61,5.5
"City and Borough of Wrangell",04,000275,2010,August,08,0,1095,1035,60,5.5
"City and Borough of Wrangell",04,000275,2010,September,09,0,1030,968,62,6.0
"City and Borough of Wrangell",04,000275,2010,October,10,0,948,882,66,7.0
"City and Borough of Wrangell",04,000275,2010,November,11,0,932,862,70,7.5
"City and Borough of Wrangell",04,000275,2010,December,12,0,962,881,81,8.4
"City and Borough of Wrangell",04,000275,2010,Annual,00,1,1028,942,86,8.4
"City and Borough of Wrangell",04,000275,2011,January,01,0,954,855,99,10.4
"City and Borough of Wrangell",04,000275,2011,February,02,0,998,903,95,9.5
"City and Borough of Wrangell",04,000275,2011,March,03,0,1041,951,90,8.6
"City and Borough of Wrangell",04,000275,2011,April,04,0,1051,973,78,7.4
"City and Borough of Wrangell",04,000275,2011,May,05,0,1091,1018,73,6.7
"City and Borough of Wrangell",04,000275,2011,June,06,0,1012,937,75,7.4
"City and Borough of Wrangell",04,000275,2011,July,07,0,1141,1077,64,5.6
"City and Borough of Wrangell",04,000275,2011,August,08,0,1169,1107,62,5.3
"City and Borough of Wrangell",04,000275,2011,September,09,0,1097,1031,66,6.0
"City and Borough of Wrangell",04,000275,2011,October,10,0,996,918,78,7.8
"City and Borough of Wrangell",04,000275,2011,November,11,0,1024,937,87,8.5
"City and Borough of Wrangell",04,000275,2011,December,12,0,1000,894,106,10.6
"City and Borough of Wrangell",04,000275,2011,Annual,00,1,1048,967,81,7.7
"City and Borough of Wrangell",04,000275,2012,January,01,0,961,849,112,11.7
"City and Borough of Wrangell",04,000275,2012,February,02,0,949,840,109,11.5
"City and Borough of Wrangell",04,000275,2012,March,03,0,995,886,109,11.0
"City and Borough of Wrangell",04,000275,2012,April,04,0,1040,953,87,8.4
"City and Borough of Wrangell",04,000275,2012,May,05,0,1067,987,80,7.5
"City and Borough of Wrangell",04,000275,2012,June,06,0,1094,1011,83,7.6
"City and Borough of Wrangell",04,000275,2012,July,07,0,1133,1060,73,6.4
"City and Borough of Wrangell",04,000275,2012,August,08,0,1112,1045,67,6.0
"City and Borough of Wrangell",04,000275,2012,September,09,0,1008,942,66,6.5
"City and Borough of Wrangell",04,000275,2012,October,10,0,959,888,71,7.4
"City and Borough of Wrangell",04,000275,2012,November,11,0,967,893,74,7.7
