"City and Borough of Yakutat NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"City and Borough of Yakutat",04,000282,1994,January,01,0,304,237,67,22.0
"City and Borough of Yakutat",04,000282,1994,February,02,0,307,238,69,22.5
"City and Borough of Yakutat",04,000282,1994,March,03,0,306,239,67,21.9
"City and Borough of Yakutat",04,000282,1994,April,04,0,306,251,55,18.0
"City and Borough of Yakutat",04,000282,1994,May,05,0,309,267,42,13.6
"City and Borough of Yakutat",04,000282,1994,June,06,0,294,274,20,6.8
"City and Borough of Yakutat",04,000282,1994,July,07,0,317,281,36,11.4
"City and Borough of Yakutat",04,000282,1994,August,08,0,314,287,27,8.6
"City and Borough of Yakutat",04,000282,1994,September,09,0,286,276,10,3.5
"City and Borough of Yakutat",04,000282,1994,October,10,0,279,262,17,6.1
"City and Borough of Yakutat",04,000282,1994,November,11,0,293,254,39,13.3
"City and Borough of Yakutat",04,000282,1994,December,12,0,283,248,35,12.4
"City and Borough of Yakutat",04,000282,1994,Annual,00,0,300,260,40,13.3
"City and Borough of Yakutat",04,000282,1995,January,01,0,296,257,39,13.2
"City and Borough of Yakutat",04,000282,1995,February,02,0,296,257,39,13.2
"City and Borough of Yakutat",04,000282,1995,March,03,0,288,262,26,9.0
"City and Borough of Yakutat",04,000282,1995,April,04,0,313,277,36,11.5
"City and Borough of Yakutat",04,000282,1995,May,05,0,311,289,22,7.1
"City and Borough of Yakutat",04,000282,1995,June,06,0,319,290,29,9.1
"City and Borough of Yakutat",04,000282,1995,July,07,0,323,309,14,4.3
"City and Borough of Yakutat",04,000282,1995,August,08,0,318,311,7,2.2
"City and Borough of Yakutat",04,000282,1995,September,09,0,305,299,6,2.0
"City and Borough of Yakutat",04,000282,1995,October,10,0,289,283,6,2.1
"City and Borough of Yakutat",04,000282,1995,November,11,0,287,276,11,3.8
"City and Borough of Yakutat",04,000282,1995,December,12,0,295,271,24,8.1
"City and Borough of Yakutat",04,000282,1995,Annual,00,0,304,282,22,7.2
"City and Borough of Yakutat",04,000282,1996,January,01,0,313,276,37,11.8
"City and Borough of Yakutat",04,000282,1996,February,02,0,307,278,29,9.4
"City and Borough of Yakutat",04,000282,1996,March,03,0,311,283,28,9.0
"City and Borough of Yakutat",04,000282,1996,April,04,0,317,296,21,6.6
"City and Borough of Yakutat",04,000282,1996,May,05,0,327,306,21,6.4
"City and Borough of Yakutat",04,000282,1996,June,06,0,331,313,18,5.4
"City and Borough of Yakutat",04,000282,1996,July,07,0,348,331,17,4.9
"City and Borough of Yakutat",04,000282,1996,August,08,0,345,332,13,3.8
"City and Borough of Yakutat",04,000282,1996,September,09,0,330,319,11,3.3
"City and Borough of Yakutat",04,000282,1996,October,10,0,306,301,5,1.6
"City and Borough of Yakutat",04,000282,1996,November,11,0,306,290,16,5.2
"City and Borough of Yakutat",04,000282,1996,December,12,0,300,287,13,4.3
"City and Borough of Yakutat",04,000282,1996,Annual,00,0,320,301,19,5.9
"City and Borough of Yakutat",04,000282,1997,January,01,0,302,276,26,8.6
"City and Borough of Yakutat",04,000282,1997,February,02,0,302,279,23,7.6
"City and Borough of Yakutat",04,000282,1997,March,03,0,307,285,22,7.2
"City and Borough of Yakutat",04,000282,1997,April,04,0,326,290,36,11.0
"City and Borough of Yakutat",04,000282,1997,May,05,0,337,307,30,8.9
"City and Borough of Yakutat",04,000282,1997,June,06,0,340,310,30,8.8
"City and Borough of Yakutat",04,000282,1997,July,07,0,353,326,27,7.6
"City and Borough of Yakutat",04,000282,1997,August,08,0,347,329,18,5.2
"City and Borough of Yakutat",04,000282,1997,September,09,0,343,317,26,7.6
"City and Borough of Yakutat",04,000282,1997,October,10,0,312,294,18,5.8
"City and Borough of Yakutat",04,000282,1997,November,11,0,326,290,36,11.0
"City and Borough of Yakutat",04,000282,1997,December,12,0,318,283,35,11.0
"City and Borough of Yakutat",04,000282,1997,Annual,00,0,326,299,27,8.3
"City and Borough of Yakutat",04,000282,1998,January,01,0,304,258,46,15.1
"City and Borough of Yakutat",04,000282,1998,February,02,0,323,258,65,20.1
"City and Borough of Yakutat",04,000282,1998,March,03,0,333,266,67,20.1
"City and Borough of Yakutat",04,000282,1998,April,04,0,325,271,54,16.6
"City and Borough of Yakutat",04,000282,1998,May,05,0,322,284,38,11.8
"City and Borough of Yakutat",04,000282,1998,June,06,0,335,289,46,13.7
"City and Borough of Yakutat",04,000282,1998,July,07,0,354,303,51,14.4
"City and Borough of Yakutat",04,000282,1998,August,08,0,348,305,43,12.4
"City and Borough of Yakutat",04,000282,1998,September,09,0,320,293,27,8.4
"City and Borough of Yakutat",04,000282,1998,October,10,0,302,277,25,8.3
"City and Borough of Yakutat",04,000282,1998,November,11,0,303,273,30,9.9
"City and Borough of Yakutat",04,000282,1998,December,12,0,300,267,33,11.0
"City and Borough of Yakutat",04,000282,1998,Annual,00,0,323,279,44,13.6
"City and Borough of Yakutat",04,000282,1999,January,01,0,288,252,36,12.5
"City and Borough of Yakutat",04,000282,1999,February,02,0,285,255,30,10.5
"City and Borough of Yakutat",04,000282,1999,March,03,0,279,257,22,7.9
"City and Borough of Yakutat",04,000282,1999,April,04,0,287,265,22,7.7
"City and Borough of Yakutat",04,000282,1999,May,05,0,320,281,39,12.2
"City and Borough of Yakutat",04,000282,1999,June,06,0,327,289,38,11.6
"City and Borough of Yakutat",04,000282,1999,July,07,0,327,305,22,6.7
"City and Borough of Yakutat",04,000282,1999,August,08,0,321,303,18,5.6
"City and Borough of Yakutat",04,000282,1999,September,09,0,322,297,25,7.8
"City and Borough of Yakutat",04,000282,1999,October,10,0,289,275,14,4.8
"City and Borough of Yakutat",04,000282,1999,November,11,0,289,269,20,6.9
"City and Borough of Yakutat",04,000282,1999,December,12,0,291,265,26,8.9
"City and Borough of Yakutat",04,000282,1999,Annual,00,0,302,276,26,8.6
"City and Borough of Yakutat",04,000282,2000,January,01,0,305,275,30,9.8
"City and Borough of Yakutat",04,000282,2000,February,02,0,331,298,33,10.0
"City and Borough of Yakutat",04,000282,2000,March,03,0,348,320,28,8.0
"City and Borough of Yakutat",04,000282,2000,April,04,0,361,332,29,8.0
"City and Borough of Yakutat",04,000282,2000,May,05,0,376,347,29,7.7
"City and Borough of Yakutat",04,000282,2000,June,06,0,414,384,30,7.2
"City and Borough of Yakutat",04,000282,2000,July,07,0,449,428,21,4.7
"City and Borough of Yakutat",04,000282,2000,August,08,0,441,425,16,3.6
"City and Borough of Yakutat",04,000282,2000,September,09,0,429,414,15,3.5
"City and Borough of Yakutat",04,000282,2000,October,10,0,390,372,18,4.6
"City and Borough of Yakutat",04,000282,2000,November,11,0,301,271,30,10.0
