"Denali Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Denali Borough",04,000068,1990,January,01,0,1034,830,204,19.7
"Denali Borough",04,000068,1990,February,02,0,1015,828,187,18.4
"Denali Borough",04,000068,1990,March,03,0,1040,839,201,19.3
"Denali Borough",04,000068,1990,April,04,0,1057,832,225,21.3
"Denali Borough",04,000068,1990,May,05,0,1122,877,245,21.8
"Denali Borough",04,000068,1990,June,06,0,957,897,60,6.3
"Denali Borough",04,000068,1990,July,07,0,971,924,47,4.8
"Denali Borough",04,000068,1990,August,08,0,934,911,23,2.5
"Denali Borough",04,000068,1990,September,09,0,924,886,38,4.1
"Denali Borough",04,000068,1990,October,10,0,989,869,120,12.1
"Denali Borough",04,000068,1990,November,11,0,982,850,132,13.4
"Denali Borough",04,000068,1990,December,12,0,977,848,129,13.2
"Denali Borough",04,000068,1990,Annual,00,0,1000,866,134,13.4
"Denali Borough",04,000068,1991,January,01,0,994,845,149,15.0
"Denali Borough",04,000068,1991,February,02,0,978,841,137,14.0
"Denali Borough",04,000068,1991,March,03,0,1005,845,160,15.9
"Denali Borough",04,000068,1991,April,04,0,1010,860,150,14.9
"Denali Borough",04,000068,1991,May,05,0,979,882,97,9.9
"Denali Borough",04,000068,1991,June,06,0,988,902,86,8.7
"Denali Borough",04,000068,1991,July,07,0,987,918,69,7.0
"Denali Borough",04,000068,1991,August,08,0,985,919,66,6.7
"Denali Borough",04,000068,1991,September,09,0,1010,921,89,8.8
"Denali Borough",04,000068,1991,October,10,0,1080,919,161,14.9
"Denali Borough",04,000068,1991,November,11,0,1071,909,162,15.1
"Denali Borough",04,000068,1991,December,12,0,1056,899,157,14.9
"Denali Borough",04,000068,1991,Annual,00,0,1012,888,124,12.3
"Denali Borough",04,000068,1992,January,01,0,1049,889,160,15.3
"Denali Borough",04,000068,1992,February,02,0,1041,884,157,15.1
"Denali Borough",04,000068,1992,March,03,0,1024,904,120,11.7
"Denali Borough",04,000068,1992,April,04,0,1010,907,103,10.2
"Denali Borough",04,000068,1992,May,05,0,1032,960,72,7.0
"Denali Borough",04,000068,1992,June,06,0,1051,985,66,6.3
"Denali Borough",04,000068,1992,July,07,0,1052,1001,51,4.8
"Denali Borough",04,000068,1992,August,08,0,1049,990,59,5.6
"Denali Borough",04,000068,1992,September,09,0,1049,985,64,6.1
"Denali Borough",04,000068,1992,October,10,0,1052,939,113,10.7
"Denali Borough",04,000068,1992,November,11,0,1064,949,115,10.8
"Denali Borough",04,000068,1992,December,12,0,1067,942,125,11.7
"Denali Borough",04,000068,1992,Annual,00,0,1045,945,100,9.6
"Denali Borough",04,000068,1993,January,01,0,995,876,119,12.0
"Denali Borough",04,000068,1993,February,02,0,1008,865,143,14.2
"Denali Borough",04,000068,1993,March,03,0,1024,881,143,14.0
"Denali Borough",04,000068,1993,April,04,0,1008,885,123,12.2
"Denali Borough",04,000068,1993,May,05,0,1021,948,73,7.1
"Denali Borough",04,000068,1993,June,06,0,1011,965,46,4.5
"Denali Borough",04,000068,1993,July,07,0,993,965,28,2.8
"Denali Borough",04,000068,1993,August,08,0,1010,973,37,3.7
"Denali Borough",04,000068,1993,September,09,0,1010,964,46,4.6
"Denali Borough",04,000068,1993,October,10,0,1045,937,108,10.3
"Denali Borough",04,000068,1993,November,11,0,1101,944,157,14.3
"Denali Borough",04,000068,1993,December,12,0,1040,918,122,11.7
"Denali Borough",04,000068,1993,Annual,00,0,1022,927,95,9.3
"Denali Borough",04,000068,1994,January,01,0,1074,934,140,13.0
"Denali Borough",04,000068,1994,February,02,0,1100,927,173,15.7
"Denali Borough",04,000068,1994,March,03,0,1112,926,186,16.7
"Denali Borough",04,000068,1994,April,04,0,1069,947,122,11.4
"Denali Borough",04,000068,1994,May,05,0,1054,992,62,5.9
"Denali Borough",04,000068,1994,June,06,0,1061,1023,38,3.6
"Denali Borough",04,000068,1994,July,07,0,1079,1042,37,3.4
"Denali Borough",04,000068,1994,August,08,0,1064,1033,31,2.9
"Denali Borough",04,000068,1994,September,09,0,1052,1027,25,2.4
"Denali Borough",04,000068,1994,October,10,0,1098,998,100,9.1
"Denali Borough",04,000068,1994,November,11,0,1138,988,150,13.2
"Denali Borough",04,000068,1994,December,12,0,1101,976,125,11.4
"Denali Borough",04,000068,1994,Annual,00,0,1083,984,99,9.1
"Denali Borough",04,000068,1995,January,01,0,1151,985,166,14.4
"Denali Borough",04,000068,1995,February,02,0,1108,971,137,12.4
"Denali Borough",04,000068,1995,March,03,0,1115,974,141,12.6
"Denali Borough",04,000068,1995,April,04,0,1100,1000,100,9.1
"Denali Borough",04,000068,1995,May,05,0,1108,1045,63,5.7
"Denali Borough",04,000068,1995,June,06,0,1121,1079,42,3.7
"Denali Borough",04,000068,1995,July,07,0,1118,1083,35,3.1
"Denali Borough",04,000068,1995,August,08,0,1122,1080,42,3.7
"Denali Borough",04,000068,1995,September,09,0,1127,1069,58,5.1
"Denali Borough",04,000068,1995,October,10,0,1176,1041,135,11.5
"Denali Borough",04,000068,1995,November,11,0,1205,1037,168,13.9
"Denali Borough",04,000068,1995,December,12,0,1177,1015,162,13.8
"Denali Borough",04,000068,1995,Annual,00,0,1136,1032,104,9.2
"Denali Borough",04,000068,1996,January,01,0,1201,1024,177,14.7
"Denali Borough",04,000068,1996,February,02,0,1206,1027,179,14.8
"Denali Borough",04,000068,1996,March,03,0,1197,1036,161,13.5
"Denali Borough",04,000068,1996,April,04,0,1193,1063,130,10.9
"Denali Borough",04,000068,1996,May,05,0,1173,1119,54,4.6
"Denali Borough",04,000068,1996,June,06,0,1205,1160,45,3.7
"Denali Borough",04,000068,1996,July,07,0,1201,1171,30,2.5
"Denali Borough",04,000068,1996,August,08,0,1175,1151,24,2.0
"Denali Borough",04,000068,1996,September,09,0,1189,1136,53,4.5
"Denali Borough",04,000068,1996,October,10,0,1254,1137,117,9.3
"Denali Borough",04,000068,1996,November,11,0,1256,1112,144,11.5
"Denali Borough",04,000068,1996,December,12,0,1217,1091,126,10.4
"Denali Borough",04,000068,1996,Annual,00,0,1205,1102,103,8.5
"Denali Borough",04,000068,1997,January,01,0,1205,1036,169,14.0
"Denali Borough",04,000068,1997,February,02,0,1232,1039,193,15.7
"Denali Borough",04,000068,1997,March,03,0,1229,1045,184,15.0
"Denali Borough",04,000068,1997,April,04,0,1218,1061,157,12.9
"Denali Borough",04,000068,1997,May,05,0,1192,1112,80,6.7
"Denali Borough",04,000068,1997,June,06,0,1209,1140,69,5.7
"Denali Borough",04,000068,1997,July,07,0,1225,1156,69,5.6
"Denali Borough",04,000068,1997,August,08,0,1206,1142,64,5.3
"Denali Borough",04,000068,1997,September,09,0,1222,1135,87,7.1
"Denali Borough",04,000068,1997,October,10,0,1270,1132,138,10.9
"Denali Borough",04,000068,1997,November,11,0,1257,1113,144,11.5
"Denali Borough",04,000068,1997,December,12,0,1242,1103,139,11.2
"Denali Borough",04,000068,1997,Annual,00,0,1225,1101,124,10.1
"Denali Borough",04,000068,1998,January,01,0,1200,1031,169,14.1
"Denali Borough",04,000068,1998,February,02,0,1201,1027,174,14.5
"Denali Borough",04,000068,1998,March,03,0,1201,1033,168,14.0
"Denali Borough",04,000068,1998,April,04,0,1137,1046,91,8.0
"Denali Borough",04,000068,1998,May,05,0,1163,1095,68,5.8
"Denali Borough",04,000068,1998,June,06,0,1177,1121,56,4.8
"Denali Borough",04,000068,1998,July,07,0,1176,1135,41,3.5
"Denali Borough",04,000068,1998,August,08,0,1157,1115,42,3.6
"Denali Borough",04,000068,1998,September,09,0,1131,1099,32,2.8
"Denali Borough",04,000068,1998,October,10,0,1222,1085,137,11.2
"Denali Borough",04,000068,1998,November,11,0,1199,1067,132,11.0
"Denali Borough",04,000068,1998,December,12,0,1173,1058,115,9.8
"Denali Borough",04,000068,1998,Annual,00,0,1178,1076,102,8.7
"Denali Borough",04,000068,1999,January,01,0,1143,1007,136,11.9
"Denali Borough",04,000068,1999,February,02,0,1134,1002,132,11.6
"Denali Borough",04,000068,1999,March,03,0,1148,1010,138,12.0
"Denali Borough",04,000068,1999,April,04,0,1145,1038,107,9.3
"Denali Borough",04,000068,1999,May,05,0,1168,1087,81,6.9
"Denali Borough",04,000068,1999,June,06,0,1142,1105,37,3.2
"Denali Borough",04,000068,1999,July,07,0,1141,1098,43,3.8
"Denali Borough",04,000068,1999,August,08,0,1109,1075,34,3.1
"Denali Borough",04,000068,1999,September,09,0,1134,1072,62,5.5
"Denali Borough",04,000068,1999,October,10,0,1162,1041,121,10.4
"Denali Borough",04,000068,1999,November,11,0,1180,1037,143,12.1
"Denali Borough",04,000068,1999,December,12,0,1176,1036,140,11.9
"Denali Borough",04,000068,1999,Annual,00,0,1149,1051,98,8.5
"Denali Borough",04,000068,2000,January,01,0,845,704,141,16.7
"Denali Borough",04,000068,2000,February,02,0,864,734,130,15.0
"Denali Borough",04,000068,2000,March,03,0,921,796,125,13.6
"Denali Borough",04,000068,2000,April,04,0,1079,972,107,9.9
"Denali Borough",04,000068,2000,May,05,0,1567,1481,86,5.5
"Denali Borough",04,000068,2000,June,06,0,1944,1874,70,3.6
"Denali Borough",04,000068,2000,July,07,0,2111,2052,59,2.8
"Denali Borough",04,000068,2000,August,08,0,2061,2003,58,2.8
"Denali Borough",04,000068,2000,September,09,0,1751,1682,69,3.9
"Denali Borough",04,000068,2000,October,10,0,1247,1146,101,8.1
"Denali Borough",04,000068,2000,November,11,0,871,762,109,12.5
"Denali Borough",04,000068,2000,December,12,0,833,725,108,13.0
"Denali Borough",04,000068,2000,Annual,00,0,1341,1244,97,7.2
"Denali Borough",04,000068,2001,January,01,0,790,671,119,15.1
"Denali Borough",04,000068,2001,February,02,0,810,697,113,14.0
"Denali Borough",04,000068,2001,March,03,0,854,744,110,12.9
"Denali Borough",04,000068,2001,April,04,0,940,835,105,11.2
"Denali Borough",04,000068,2001,May,05,0,1690,1608,82,4.9
"Denali Borough",04,000068,2001,June,06,0,2170,2109,61,2.8
"Denali Borough",04,000068,2001,July,07,0,2238,2181,57,2.5
"Denali Borough",04,000068,2001,August,08,0,2305,2248,57,2.5
"Denali Borough",04,000068,2001,September,09,0,2120,2049,71,3.3
"Denali Borough",04,000068,2001,October,10,0,1501,1391,110,7.3
"Denali Borough",04,000068,2001,November,11,0,963,845,118,12.3
"Denali Borough",04,000068,2001,December,12,0,1019,906,113,11.1
"Denali Borough",04,000068,2001,Annual,00,0,1450,1357,93,6.4
"Denali Borough",04,000068,2002,January,01,0,829,693,136,16.4
"Denali Borough",04,000068,2002,February,02,0,867,726,141,16.3
"Denali Borough",04,000068,2002,March,03,0,912,774,138,15.1
"Denali Borough",04,000068,2002,April,04,0,1067,955,112,10.5
"Denali Borough",04,000068,2002,May,05,0,1801,1723,78,4.3
"Denali Borough",04,000068,2002,June,06,0,2293,2217,76,3.3
"Denali Borough",04,000068,2002,July,07,0,2411,2348,63,2.6
"Denali Borough",04,000068,2002,August,08,0,2418,2352,66,2.7
"Denali Borough",04,000068,2002,September,09,0,2199,2124,75,3.4
"Denali Borough",04,000068,2002,October,10,0,1553,1423,130,8.4
"Denali Borough",04,000068,2002,November,11,0,962,794,168,17.5
"Denali Borough",04,000068,2002,December,12,0,1009,860,149,14.8
"Denali Borough",04,000068,2002,Annual,00,0,1527,1416,111,7.3
"Denali Borough",04,000068,2003,January,01,0,781,615,166,21.3
"Denali Borough",04,000068,2003,February,02,0,796,626,170,21.4
