"Haines Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Haines Borough",04,000100,1990,January,01,0,1059,941,118,11.1
"Haines Borough",04,000100,1990,February,02,0,1036,938,98,9.5
"Haines Borough",04,000100,1990,March,03,0,1056,964,92,8.7
"Haines Borough",04,000100,1990,April,04,0,1052,996,56,5.3
"Haines Borough",04,000100,1990,May,05,0,1097,1025,72,6.6
"Haines Borough",04,000100,1990,June,06,0,1104,1052,52,4.7
"Haines Borough",04,000100,1990,July,07,0,1150,1101,49,4.3
"Haines Borough",04,000100,1990,August,08,0,1164,1110,54,4.6
"Haines Borough",04,000100,1990,September,09,0,1140,1079,61,5.4
"Haines Borough",04,000100,1990,October,10,0,1093,1007,86,7.9
"Haines Borough",04,000100,1990,November,11,0,1082,989,93,8.6
"Haines Borough",04,000100,1990,December,12,0,1074,959,115,10.7
"Haines Borough",04,000100,1990,Annual,00,0,1092,1013,79,7.2
"Haines Borough",04,000100,1991,January,01,0,1042,910,132,12.7
"Haines Borough",04,000100,1991,February,02,0,1039,915,124,11.9
"Haines Borough",04,000100,1991,March,03,0,1039,936,103,9.9
"Haines Borough",04,000100,1991,April,04,0,1090,973,117,10.7
"Haines Borough",04,000100,1991,May,05,0,1164,1009,155,13.3
"Haines Borough",04,000100,1991,June,06,0,1263,1022,241,19.1
"Haines Borough",04,000100,1991,July,07,0,1274,1077,197,15.5
"Haines Borough",04,000100,1991,August,08,0,1290,1089,201,15.6
"Haines Borough",04,000100,1991,September,09,0,1291,1067,224,17.4
"Haines Borough",04,000100,1991,October,10,0,1185,991,194,16.4
"Haines Borough",04,000100,1991,November,11,0,1143,964,179,15.7
"Haines Borough",04,000100,1991,December,12,0,1102,948,154,14.0
"Haines Borough",04,000100,1991,Annual,00,0,1160,992,168,14.5
"Haines Borough",04,000100,1992,January,01,0,1092,882,210,19.2
"Haines Borough",04,000100,1992,February,02,0,1074,881,193,18.0
"Haines Borough",04,000100,1992,March,03,0,1119,908,211,18.9
"Haines Borough",04,000100,1992,April,04,0,1101,943,158,14.4
"Haines Borough",04,000100,1992,May,05,0,1138,988,150,13.2
"Haines Borough",04,000100,1992,June,06,0,1128,1009,119,10.5
"Haines Borough",04,000100,1992,July,07,0,1172,1069,103,8.8
"Haines Borough",04,000100,1992,August,08,0,1155,1083,72,6.2
"Haines Borough",04,000100,1992,September,09,0,1139,1057,82,7.2
"Haines Borough",04,000100,1992,October,10,0,1085,1003,82,7.6
"Haines Borough",04,000100,1992,November,11,0,1078,979,99,9.2
"Haines Borough",04,000100,1992,December,12,0,1079,964,115,10.7
"Haines Borough",04,000100,1992,Annual,00,0,1114,981,133,11.9
"Haines Borough",04,000100,1993,January,01,0,1038,903,135,13.0
"Haines Borough",04,000100,1993,February,02,0,1054,910,144,13.7
"Haines Borough",04,000100,1993,March,03,0,1076,943,133,12.4
"Haines Borough",04,000100,1993,April,04,0,1096,967,129,11.8
"Haines Borough",04,000100,1993,May,05,0,1106,1001,105,9.5
"Haines Borough",04,000100,1993,June,06,0,1112,1032,80,7.2
"Haines Borough",04,000100,1993,July,07,0,1142,1081,61,5.3
"Haines Borough",04,000100,1993,August,08,0,1131,1085,46,4.1
"Haines Borough",04,000100,1993,September,09,0,1121,1064,57,5.1
"Haines Borough",04,000100,1993,October,10,0,1082,1011,71,6.6
"Haines Borough",04,000100,1993,November,11,0,1064,962,102,9.6
"Haines Borough",04,000100,1993,December,12,0,1089,939,150,13.8
"Haines Borough",04,000100,1993,Annual,00,0,1093,992,101,9.2
"Haines Borough",04,000100,1994,January,01,0,1118,953,165,14.8
"Haines Borough",04,000100,1994,February,02,0,1132,950,182,16.1
"Haines Borough",04,000100,1994,March,03,0,1144,964,180,15.7
"Haines Borough",04,000100,1994,April,04,0,1157,1006,151,13.1
"Haines Borough",04,000100,1994,May,05,0,1155,1071,84,7.3
"Haines Borough",04,000100,1994,June,06,0,1172,1099,73,6.2
"Haines Borough",04,000100,1994,July,07,0,1202,1131,71,5.9
"Haines Borough",04,000100,1994,August,08,0,1223,1148,75,6.1
"Haines Borough",04,000100,1994,September,09,0,1213,1105,108,8.9
"Haines Borough",04,000100,1994,October,10,0,1156,1045,111,9.6
"Haines Borough",04,000100,1994,November,11,0,1112,1020,92,8.3
"Haines Borough",04,000100,1994,December,12,0,1119,993,126,11.3
"Haines Borough",04,000100,1994,Annual,00,0,1158,1040,118,10.2
"Haines Borough",04,000100,1995,January,01,0,1159,959,200,17.3
"Haines Borough",04,000100,1995,February,02,0,1153,957,196,17.0
"Haines Borough",04,000100,1995,March,03,0,1147,981,166,14.5
"Haines Borough",04,000100,1995,April,04,0,1184,1040,144,12.2
"Haines Borough",04,000100,1995,May,05,0,1167,1081,86,7.4
"Haines Borough",04,000100,1995,June,06,0,1188,1086,102,8.6
"Haines Borough",04,000100,1995,July,07,0,1247,1153,94,7.5
"Haines Borough",04,000100,1995,August,08,0,1242,1161,81,6.5
"Haines Borough",04,000100,1995,September,09,0,1200,1120,80,6.7
"Haines Borough",04,000100,1995,October,10,0,1141,1054,87,7.6
"Haines Borough",04,000100,1995,November,11,0,1188,1032,156,13.1
"Haines Borough",04,000100,1995,December,12,0,1183,1010,173,14.6
"Haines Borough",04,000100,1995,Annual,00,0,1183,1053,130,11.0
"Haines Borough",04,000100,1996,January,01,0,1150,957,193,16.8
"Haines Borough",04,000100,1996,February,02,0,1143,963,180,15.7
"Haines Borough",04,000100,1996,March,03,0,1169,983,186,15.9
"Haines Borough",04,000100,1996,April,04,0,1179,1028,151,12.8
"Haines Borough",04,000100,1996,May,05,0,1143,1065,78,6.8
"Haines Borough",04,000100,1996,June,06,0,1152,1084,68,5.9
"Haines Borough",04,000100,1996,July,07,0,1234,1150,84,6.8
"Haines Borough",04,000100,1996,August,08,0,1227,1153,74,6.0
"Haines Borough",04,000100,1996,September,09,0,1191,1106,85,7.1
"Haines Borough",04,000100,1996,October,10,0,1184,1044,140,11.8
"Haines Borough",04,000100,1996,November,11,0,1157,1005,152,13.1
"Haines Borough",04,000100,1996,December,12,0,1170,998,172,14.7
"Haines Borough",04,000100,1996,Annual,00,0,1175,1045,130,11.1
"Haines Borough",04,000100,1997,January,01,0,1205,988,217,18.0
"Haines Borough",04,000100,1997,February,02,0,1208,997,211,17.5
"Haines Borough",04,000100,1997,March,03,0,1197,1021,176,14.7
"Haines Borough",04,000100,1997,April,04,0,1182,1041,141,11.9
"Haines Borough",04,000100,1997,May,05,0,1187,1098,89,7.5
"Haines Borough",04,000100,1997,June,06,0,1201,1113,88,7.3
"Haines Borough",04,000100,1997,July,07,0,1228,1169,59,4.8
"Haines Borough",04,000100,1997,August,08,0,1230,1177,53,4.3
"Haines Borough",04,000100,1997,September,09,0,1217,1137,80,6.6
"Haines Borough",04,000100,1997,October,10,0,1149,1055,94,8.2
"Haines Borough",04,000100,1997,November,11,0,1173,1037,136,11.6
"Haines Borough",04,000100,1997,December,12,0,1161,1018,143,12.3
"Haines Borough",04,000100,1997,Annual,00,0,1195,1071,124,10.4
"Haines Borough",04,000100,1998,January,01,0,1214,1025,189,15.6
"Haines Borough",04,000100,1998,February,02,0,1195,1023,172,14.4
"Haines Borough",04,000100,1998,March,03,0,1248,1054,194,15.5
"Haines Borough",04,000100,1998,April,04,0,1214,1074,140,11.5
"Haines Borough",04,000100,1998,May,05,0,1236,1126,110,8.9
"Haines Borough",04,000100,1998,June,06,0,1250,1145,105,8.4
"Haines Borough",04,000100,1998,July,07,0,1276,1198,78,6.1
"Haines Borough",04,000100,1998,August,08,0,1275,1214,61,4.8
"Haines Borough",04,000100,1998,September,09,0,1241,1162,79,6.4
"Haines Borough",04,000100,1998,October,10,0,1205,1100,105,8.7
"Haines Borough",04,000100,1998,November,11,0,1192,1084,108,9.1
"Haines Borough",04,000100,1998,December,12,0,1208,1057,151,12.5
"Haines Borough",04,000100,1998,Annual,00,0,1229,1105,124,10.1
"Haines Borough",04,000100,1999,January,01,0,1199,1012,187,15.6
"Haines Borough",04,000100,1999,February,02,0,1238,1024,214,17.3
"Haines Borough",04,000100,1999,March,03,0,1252,1035,217,17.3
"Haines Borough",04,000100,1999,April,04,0,1267,1069,198,15.6
"Haines Borough",04,000100,1999,May,05,0,1269,1135,134,10.6
"Haines Borough",04,000100,1999,June,06,0,1264,1165,99,7.8
"Haines Borough",04,000100,1999,July,07,0,1293,1229,64,4.9
"Haines Borough",04,000100,1999,August,08,0,1272,1215,57,4.5
"Haines Borough",04,000100,1999,September,09,0,1232,1191,41,3.3
"Haines Borough",04,000100,1999,October,10,0,1216,1109,107,8.8
"Haines Borough",04,000100,1999,November,11,0,1228,1085,143,11.6
"Haines Borough",04,000100,1999,December,12,0,1221,1070,151,12.4
"Haines Borough",04,000100,1999,Annual,00,0,1246,1112,134,10.8
"Haines Borough",04,000100,2000,January,01,0,1060,897,163,15.4
"Haines Borough",04,000100,2000,February,02,0,1091,932,159,14.6
"Haines Borough",04,000100,2000,March,03,0,1116,952,164,14.7
"Haines Borough",04,000100,2000,April,04,0,1192,1061,131,11.0
"Haines Borough",04,000100,2000,May,05,0,1477,1372,105,7.1
"Haines Borough",04,000100,2000,June,06,0,1673,1580,93,5.6
"Haines Borough",04,000100,2000,July,07,0,1838,1765,73,4.0
"Haines Borough",04,000100,2000,August,08,0,2042,1979,63,3.1
"Haines Borough",04,000100,2000,September,09,0,1785,1719,66,3.7
"Haines Borough",04,000100,2000,October,10,0,1290,1204,86,6.7
"Haines Borough",04,000100,2000,November,11,0,1142,1027,115,10.1
"Haines Borough",04,000100,2000,December,12,0,1063,936,127,11.9
"Haines Borough",04,000100,2000,Annual,00,0,1397,1285,112,8.0
"Haines Borough",04,000100,2001,January,01,0,1045,891,154,14.7
"Haines Borough",04,000100,2001,February,02,0,1055,896,159,15.1
"Haines Borough",04,000100,2001,March,03,0,1076,923,153,14.2
"Haines Borough",04,000100,2001,April,04,0,1106,964,142,12.8
"Haines Borough",04,000100,2001,May,05,0,1304,1205,99,7.6
"Haines Borough",04,000100,2001,June,06,0,1394,1297,97,7.0
"Haines Borough",04,000100,2001,July,07,0,1518,1438,80,5.3
"Haines Borough",04,000100,2001,August,08,0,1685,1611,74,4.4
"Haines Borough",04,000100,2001,September,09,0,1652,1576,76,4.6
"Haines Borough",04,000100,2001,October,10,0,1112,993,119,10.7
"Haines Borough",04,000100,2001,November,11,0,1046,899,147,14.1
"Haines Borough",04,000100,2001,December,12,0,1000,832,168,16.8
"Haines Borough",04,000100,2001,Annual,00,0,1249,1127,122,9.8
"Haines Borough",04,000100,2002,January,01,0,1008,821,187,18.6
"Haines Borough",04,000100,2002,February,02,0,1019,836,183,18.0
"Haines Borough",04,000100,2002,March,03,0,1050,861,189,18.0
"Haines Borough",04,000100,2002,April,04,0,1103,940,163,14.8
"Haines Borough",04,000100,2002,May,05,0,1409,1291,118,8.4
"Haines Borough",04,000100,2002,June,06,0,1458,1338,120,8.2
"Haines Borough",04,000100,2002,July,07,0,1607,1497,110,6.8
"Haines Borough",04,000100,2002,August,08,0,1756,1654,102,5.8
"Haines Borough",04,000100,2002,September,09,0,1700,1599,101,5.9
"Haines Borough",04,000100,2002,October,10,0,1219,1077,142,11.6
"Haines Borough",04,000100,2002,November,11,0,1072,913,159,14.8
"Haines Borough",04,000100,2002,December,12,0,949,779,170,17.9
"Haines Borough",04,000100,2002,Annual,00,0,1279,1134,145,11.3
"Haines Borough",04,000100,2003,January,01,0,976,782,194,19.9
"Haines Borough",04,000100,2003,February,02,0,990,793,197,19.9
"Haines Borough",04,000100,2003,March,03,0,1021,828,193,18.9
"Haines Borough",04,000100,2003,April,04,0,1100,913,187,17.0
"Haines Borough",04,000100,2003,May,05,0,1329,1180,149,11.2
"Haines Borough",04,000100,2003,June,06,0,1425,1284,141,9.9
"Haines Borough",04,000100,2003,July,07,0,2104,1979,125,5.9
"Haines Borough",04,000100,2003,August,08,0,2106,1992,114,5.4
"Haines Borough",04,000100,2003,September,09,0,1584,1472,112,7.1
"Haines Borough",04,000100,2003,October,10,0,1294,1152,142,11.0
"Haines Borough",04,000100,2003,November,11,0,1186,1023,163,13.7
"Haines Borough",04,000100,2003,December,12,0,1213,1045,168,13.8
"Haines Borough",04,000100,2003,Annual,00,0,1361,1204,157,11.5
"Haines Borough",04,000100,2004,January,01,0,1074,887,187,17.4
"Haines Borough",04,000100,2004,February,02,0,1041,844,197,18.9
"Haines Borough",04,000100,2004,March,03,0,1083,897,186,17.2
"Haines Borough",04,000100,2004,April,04,0,1158,1005,153,13.2
"Haines Borough",04,000100,2004,May,05,0,1354,1232,122,9.0
"Haines Borough",04,000100,2004,June,06,0,1542,1418,124,8.0
"Haines Borough",04,000100,2004,July,07,0,2211,2100,111,5.0
"Haines Borough",04,000100,2004,August,08,0,2219,2122,97,4.4
"Haines Borough",04,000100,2004,September,09,0,1779,1679,100,5.6
"Haines Borough",04,000100,2004,October,10,0,1280,1157,123,9.6
"Haines Borough",04,000100,2004,November,11,0,1123,983,140,12.5
"Haines Borough",04,000100,2004,December,12,0,1081,941,140,13.0
"Haines Borough",04,000100,2004,Annual,00,0,1412,1272,140,9.9
"Haines Borough",04,000100,2005,January,01,0,1015,849,166,16.4
"Haines Borough",04,000100,2005,February,02,0,1081,895,186,17.2
"Haines Borough",04,000100,2005,March,03,0,1107,939,168,15.2
"Haines Borough",04,000100,2005,April,04,0,1207,1066,141,11.7
"Haines Borough",04,000100,2005,May,05,0,1494,1367,127,8.5
"Haines Borough",04,000100,2005,June,06,0,1644,1539,105,6.4
"Haines Borough",04,000100,2005,July,07,0,2282,2184,98,4.3
"Haines Borough",04,000100,2005,August,08,0,2299,2208,91,4.0
"Haines Borough",04,000100,2005,September,09,0,1860,1761,99,5.3
"Haines Borough",04,000100,2005,October,10,0,1288,1158,130,10.1
"Haines Borough",04,000100,2005,November,11,0,1209,1066,143,11.8
"Haines Borough",04,000100,2005,December,12,0,1165,1022,143,12.3
"Haines Borough",04,000100,2005,Annual,00,0,1471,1338,133,9.0
"Haines Borough",04,000100,2006,January,01,0,1064,916,148,13.9
"Haines Borough",04,000100,2006,February,02,0,1043,880,163,15.6
"Haines Borough",04,000100,2006,March,03,0,1068,909,159,14.9
"Haines Borough",04,000100,2006,April,04,0,1125,991,134,11.9
"Haines Borough",04,000100,2006,May,05,0,1395,1289,106,7.6
"Haines Borough",04,000100,2006,June,06,0,1597,1501,96,6.0
"Haines Borough",04,000100,2006,July,07,0,2301,2211,90,3.9
"Haines Borough",04,000100,2006,August,08,0,2326,2247,79,3.4
"Haines Borough",04,000100,2006,September,09,0,1891,1808,83,4.4
"Haines Borough",04,000100,2006,October,10,0,1325,1229,96,7.2
"Haines Borough",04,000100,2006,November,11,0,1171,1053,118,10.1
"Haines Borough",04,000100,2006,December,12,0,1079,951,128,11.9
"Haines Borough",04,000100,2006,Annual,00,0,1449,1332,117,8.1
"Haines Borough",04,000100,2007,January,01,0,1047,908,139,13.3
"Haines Borough",04,000100,2007,February,02,0,1019,885,134,13.2
