"Hoonah-Angoon Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Hoonah-Angoon Census Area",04,000105,2010,January,01,0,961,758,203,21.1
"Hoonah-Angoon Census Area",04,000105,2010,February,02,0,973,765,208,21.4
"Hoonah-Angoon Census Area",04,000105,2010,March,03,0,987,794,193,19.6
"Hoonah-Angoon Census Area",04,000105,2010,April,04,0,1026,860,166,16.2
"Hoonah-Angoon Census Area",04,000105,2010,May,05,0,1157,1021,136,11.8
"Hoonah-Angoon Census Area",04,000105,2010,June,06,0,1165,1039,126,10.8
"Hoonah-Angoon Census Area",04,000105,2010,July,07,0,1259,1143,116,9.2
"Hoonah-Angoon Census Area",04,000105,2010,August,08,0,1215,1107,108,8.9
"Hoonah-Angoon Census Area",04,000105,2010,September,09,0,1115,1005,110,9.9
"Hoonah-Angoon Census Area",04,000105,2010,October,10,0,973,838,135,13.9
"Hoonah-Angoon Census Area",04,000105,2010,November,11,0,973,804,169,17.4
"Hoonah-Angoon Census Area",04,000105,2010,December,12,0,992,805,187,18.9
"Hoonah-Angoon Census Area",04,000105,2010,Annual,00,1,1067,912,155,14.5
"Hoonah-Angoon Census Area",04,000105,2011,January,01,0,972,757,215,22.1
"Hoonah-Angoon Census Area",04,000105,2011,February,02,0,962,740,222,23.1
"Hoonah-Angoon Census Area",04,000105,2011,March,03,0,967,759,208,21.5
"Hoonah-Angoon Census Area",04,000105,2011,April,04,0,1023,851,172,16.8
"Hoonah-Angoon Census Area",04,000105,2011,May,05,0,1171,1017,154,13.2
"Hoonah-Angoon Census Area",04,000105,2011,June,06,0,1193,1040,153,12.8
"Hoonah-Angoon Census Area",04,000105,2011,July,07,0,1261,1125,136,10.8
"Hoonah-Angoon Census Area",04,000105,2011,August,08,0,1268,1140,128,10.1
"Hoonah-Angoon Census Area",04,000105,2011,September,09,0,1225,1091,134,10.9
"Hoonah-Angoon Census Area",04,000105,2011,October,10,0,1104,950,154,13.9
"Hoonah-Angoon Census Area",04,000105,2011,November,11,0,1019,852,167,16.4
"Hoonah-Angoon Census Area",04,000105,2011,December,12,0,997,810,187,18.8
"Hoonah-Angoon Census Area",04,000105,2011,Annual,00,1,1097,928,169,15.4
"Hoonah-Angoon Census Area",04,000105,2012,January,01,0,992,783,209,21.1
"Hoonah-Angoon Census Area",04,000105,2012,February,02,0,964,755,209,21.7
"Hoonah-Angoon Census Area",04,000105,2012,March,03,0,968,768,200,20.7
"Hoonah-Angoon Census Area",04,000105,2012,April,04,0,978,809,169,17.3
"Hoonah-Angoon Census Area",04,000105,2012,May,05,0,1170,1025,145,12.4
"Hoonah-Angoon Census Area",04,000105,2012,June,06,0,1321,1180,141,10.7
