"Kenai Peninsula Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Kenai Peninsula Borough",04,000122,1990,January,01,0,17368,14634,2734,15.7
"Kenai Peninsula Borough",04,000122,1990,February,02,0,17727,15023,2704,15.3
"Kenai Peninsula Borough",04,000122,1990,March,03,0,17920,15383,2537,14.2
"Kenai Peninsula Borough",04,000122,1990,April,04,0,18569,16048,2521,13.6
"Kenai Peninsula Borough",04,000122,1990,May,05,0,19287,17105,2182,11.3
"Kenai Peninsula Borough",04,000122,1990,June,06,0,20366,18343,2023,9.9
"Kenai Peninsula Borough",04,000122,1990,July,07,0,21632,19897,1735,8.0
"Kenai Peninsula Borough",04,000122,1990,August,08,0,20992,19170,1822,8.7
"Kenai Peninsula Borough",04,000122,1990,September,09,0,18724,16652,2072,11.1
"Kenai Peninsula Borough",04,000122,1990,October,10,0,18571,16287,2284,12.3
"Kenai Peninsula Borough",04,000122,1990,November,11,0,18196,15793,2403,13.2
"Kenai Peninsula Borough",04,000122,1990,December,12,0,18035,15625,2410,13.4
"Kenai Peninsula Borough",04,000122,1990,Annual,00,0,18949,16663,2286,12.1
"Kenai Peninsula Borough",04,000122,1991,January,01,0,18375,15604,2771,15.1
"Kenai Peninsula Borough",04,000122,1991,February,02,0,18749,15790,2959,15.8
"Kenai Peninsula Borough",04,000122,1991,March,03,0,18867,16010,2857,15.1
"Kenai Peninsula Borough",04,000122,1991,April,04,0,19566,16992,2574,13.2
"Kenai Peninsula Borough",04,000122,1991,May,05,0,19841,17536,2305,11.6
"Kenai Peninsula Borough",04,000122,1991,June,06,0,20875,18497,2378,11.4
"Kenai Peninsula Borough",04,000122,1991,July,07,0,22458,20334,2124,9.5
"Kenai Peninsula Borough",04,000122,1991,August,08,0,21525,19556,1969,9.1
"Kenai Peninsula Borough",04,000122,1991,September,09,0,19928,17790,2138,10.7
"Kenai Peninsula Borough",04,000122,1991,October,10,0,18791,16228,2563,13.6
"Kenai Peninsula Borough",04,000122,1991,November,11,0,18620,15568,3052,16.4
"Kenai Peninsula Borough",04,000122,1991,December,12,0,18423,15239,3184,17.3
"Kenai Peninsula Borough",04,000122,1991,Annual,00,0,19668,17095,2573,13.1
"Kenai Peninsula Borough",04,000122,1992,January,01,0,18503,14855,3648,19.7
"Kenai Peninsula Borough",04,000122,1992,February,02,0,19287,15322,3965,20.6
"Kenai Peninsula Borough",04,000122,1992,March,03,0,19236,15712,3524,18.3
"Kenai Peninsula Borough",04,000122,1992,April,04,0,19473,16298,3175,16.3
"Kenai Peninsula Borough",04,000122,1992,May,05,0,20086,17213,2873,14.3
"Kenai Peninsula Borough",04,000122,1992,June,06,0,22191,19081,3110,14.0
"Kenai Peninsula Borough",04,000122,1992,July,07,0,22639,20113,2526,11.2
"Kenai Peninsula Borough",04,000122,1992,August,08,0,21242,19157,2085,9.8
"Kenai Peninsula Borough",04,000122,1992,September,09,0,20587,18259,2328,11.3
"Kenai Peninsula Borough",04,000122,1992,October,10,0,19835,17095,2740,13.8
"Kenai Peninsula Borough",04,000122,1992,November,11,0,19226,16317,2909,15.1
"Kenai Peninsula Borough",04,000122,1992,December,12,0,19082,16113,2969,15.6
"Kenai Peninsula Borough",04,000122,1992,Annual,00,0,20116,17128,2988,14.9
"Kenai Peninsula Borough",04,000122,1993,January,01,0,18211,14905,3306,18.2
"Kenai Peninsula Borough",04,000122,1993,February,02,0,19267,15651,3616,18.8
"Kenai Peninsula Borough",04,000122,1993,March,03,0,19743,16443,3300,16.7
"Kenai Peninsula Borough",04,000122,1993,April,04,0,19738,16691,3047,15.4
"Kenai Peninsula Borough",04,000122,1993,May,05,0,20167,17646,2521,12.5
"Kenai Peninsula Borough",04,000122,1993,June,06,0,22645,20013,2632,11.6
"Kenai Peninsula Borough",04,000122,1993,July,07,0,23750,21671,2079,8.8
"Kenai Peninsula Borough",04,000122,1993,August,08,0,22638,20778,1860,8.2
"Kenai Peninsula Borough",04,000122,1993,September,09,0,20334,18491,1843,9.1
"Kenai Peninsula Borough",04,000122,1993,October,10,0,20306,17803,2503,12.3
"Kenai Peninsula Borough",04,000122,1993,November,11,0,19602,17026,2576,13.1
"Kenai Peninsula Borough",04,000122,1993,December,12,0,19053,16495,2558,13.4
"Kenai Peninsula Borough",04,000122,1993,Annual,00,0,20454,17801,2653,13.0
"Kenai Peninsula Borough",04,000122,1994,January,01,0,19293,16137,3156,16.4
"Kenai Peninsula Borough",04,000122,1994,February,02,0,20940,17518,3422,16.3
"Kenai Peninsula Borough",04,000122,1994,March,03,0,20975,17710,3265,15.6
"Kenai Peninsula Borough",04,000122,1994,April,04,0,20249,17330,2919,14.4
"Kenai Peninsula Borough",04,000122,1994,May,05,0,20611,18211,2400,11.6
"Kenai Peninsula Borough",04,000122,1994,June,06,0,22805,20344,2461,10.8
"Kenai Peninsula Borough",04,000122,1994,July,07,0,23992,21603,2389,10.0
"Kenai Peninsula Borough",04,000122,1994,August,08,0,23017,20969,2048,8.9
"Kenai Peninsula Borough",04,000122,1994,September,09,0,20903,18985,1918,9.2
"Kenai Peninsula Borough",04,000122,1994,October,10,0,20563,18037,2526,12.3
"Kenai Peninsula Borough",04,000122,1994,November,11,0,19703,17293,2410,12.2
"Kenai Peninsula Borough",04,000122,1994,December,12,0,19162,16618,2544,13.3
"Kenai Peninsula Borough",04,000122,1994,Annual,00,0,21018,18396,2622,12.5
"Kenai Peninsula Borough",04,000122,1995,January,01,0,20501,17215,3286,16.0
"Kenai Peninsula Borough",04,000122,1995,February,02,0,20943,17660,3283,15.7
"Kenai Peninsula Borough",04,000122,1995,March,03,0,20957,17908,3049,14.5
"Kenai Peninsula Borough",04,000122,1995,April,04,0,20794,17983,2811,13.5
"Kenai Peninsula Borough",04,000122,1995,May,05,0,21223,18915,2308,10.9
"Kenai Peninsula Borough",04,000122,1995,June,06,0,22685,20329,2356,10.4
"Kenai Peninsula Borough",04,000122,1995,July,07,0,24220,21929,2291,9.5
"Kenai Peninsula Borough",04,000122,1995,August,08,0,23498,21453,2045,8.7
"Kenai Peninsula Borough",04,000122,1995,September,09,0,21640,19574,2066,9.5
"Kenai Peninsula Borough",04,000122,1995,October,10,0,21319,18694,2625,12.3
"Kenai Peninsula Borough",04,000122,1995,November,11,0,20383,17629,2754,13.5
"Kenai Peninsula Borough",04,000122,1995,December,12,0,19723,16872,2851,14.5
"Kenai Peninsula Borough",04,000122,1995,Annual,00,0,21491,18847,2644,12.3
"Kenai Peninsula Borough",04,000122,1996,January,01,0,20640,17109,3531,17.1
"Kenai Peninsula Borough",04,000122,1996,February,02,0,21480,17815,3665,17.1
"Kenai Peninsula Borough",04,000122,1996,March,03,0,21651,18287,3364,15.5
"Kenai Peninsula Borough",04,000122,1996,April,04,0,21418,18272,3146,14.7
"Kenai Peninsula Borough",04,000122,1996,May,05,0,22428,19499,2929,13.1
"Kenai Peninsula Borough",04,000122,1996,June,06,0,23530,20915,2615,11.1
"Kenai Peninsula Borough",04,000122,1996,July,07,0,25048,22566,2482,9.9
"Kenai Peninsula Borough",04,000122,1996,August,08,0,24305,22270,2035,8.4
