"Ketchikan Gateway Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Ketchikan Gateway Borough",04,000130,1990,January,01,0,7202,6407,795,11.0
"Ketchikan Gateway Borough",04,000130,1990,February,02,0,7310,6384,926,12.7
"Ketchikan Gateway Borough",04,000130,1990,March,03,0,7254,6557,697,9.6
"Ketchikan Gateway Borough",04,000130,1990,April,04,0,7362,6770,592,8.0
"Ketchikan Gateway Borough",04,000130,1990,May,05,0,7497,6973,524,7.0
"Ketchikan Gateway Borough",04,000130,1990,June,06,0,7599,7153,446,5.9
"Ketchikan Gateway Borough",04,000130,1990,July,07,0,7899,7490,409,5.2
"Ketchikan Gateway Borough",04,000130,1990,August,08,0,7914,7548,366,4.6
"Ketchikan Gateway Borough",04,000130,1990,September,09,0,7760,7345,415,5.3
"Ketchikan Gateway Borough",04,000130,1990,October,10,0,7390,6853,537,7.3
"Ketchikan Gateway Borough",04,000130,1990,November,11,0,7368,6721,647,8.8
"Ketchikan Gateway Borough",04,000130,1990,December,12,0,7315,6525,790,10.8
"Ketchikan Gateway Borough",04,000130,1990,Annual,00,0,7489,6894,595,7.9
"Ketchikan Gateway Borough",04,000130,1991,January,01,0,7227,6224,1003,13.9
"Ketchikan Gateway Borough",04,000130,1991,February,02,0,7215,6259,956,13.3
"Ketchikan Gateway Borough",04,000130,1991,March,03,0,7202,6402,800,11.1
"Ketchikan Gateway Borough",04,000130,1991,April,04,0,7376,6663,713,9.7
"Ketchikan Gateway Borough",04,000130,1991,May,05,0,7550,6909,641,8.5
"Ketchikan Gateway Borough",04,000130,1991,June,06,0,7671,6992,679,8.9
"Ketchikan Gateway Borough",04,000130,1991,July,07,0,7954,7362,592,7.4
"Ketchikan Gateway Borough",04,000130,1991,August,08,0,7885,7451,434,5.5
"Ketchikan Gateway Borough",04,000130,1991,September,09,0,7737,7299,438,5.7
"Ketchikan Gateway Borough",04,000130,1991,October,10,0,7284,6778,506,6.9
"Ketchikan Gateway Borough",04,000130,1991,November,11,0,7251,6588,663,9.1
"Ketchikan Gateway Borough",04,000130,1991,December,12,0,7317,6486,831,11.4
"Ketchikan Gateway Borough",04,000130,1991,Annual,00,0,7472,6784,688,9.2
"Ketchikan Gateway Borough",04,000130,1992,January,01,0,7361,6231,1130,15.4
"Ketchikan Gateway Borough",04,000130,1992,February,02,0,7313,6229,1084,14.8
"Ketchikan Gateway Borough",04,000130,1992,March,03,0,7313,6419,894,12.2
"Ketchikan Gateway Borough",04,000130,1992,April,04,0,7359,6664,695,9.4
"Ketchikan Gateway Borough",04,000130,1992,May,05,0,7658,6988,670,8.7
"Ketchikan Gateway Borough",04,000130,1992,June,06,0,7779,7131,648,8.3
"Ketchikan Gateway Borough",04,000130,1992,July,07,0,8057,7555,502,6.2
"Ketchikan Gateway Borough",04,000130,1992,August,08,0,8065,7652,413,5.1
