"Kodiak Island Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Kodiak Island Borough",04,000150,1990,January,01,0,5575,5274,301,5.4
"Kodiak Island Borough",04,000150,1990,February,02,0,5891,5414,477,8.1
"Kodiak Island Borough",04,000150,1990,March,03,0,5860,5544,316,5.4
"Kodiak Island Borough",04,000150,1990,April,04,0,6066,5784,282,4.6
"Kodiak Island Borough",04,000150,1990,May,05,0,6473,6166,307,4.7
"Kodiak Island Borough",04,000150,1990,June,06,0,6992,6611,381,5.4
"Kodiak Island Borough",04,000150,1990,July,07,0,7488,7171,317,4.2
"Kodiak Island Borough",04,000150,1990,August,08,0,7166,6909,257,3.6
"Kodiak Island Borough",04,000150,1990,September,09,0,6260,6002,258,4.1
"Kodiak Island Borough",04,000150,1990,October,10,0,6057,5871,186,3.1
"Kodiak Island Borough",04,000150,1990,November,11,0,6096,5693,403,6.6
"Kodiak Island Borough",04,000150,1990,December,12,0,6226,5631,595,9.6
"Kodiak Island Borough",04,000150,1990,Annual,00,0,6346,6006,340,5.4
"Kodiak Island Borough",04,000150,1991,January,01,0,5925,5651,274,4.6
"Kodiak Island Borough",04,000150,1991,February,02,0,6028,5719,309,5.1
"Kodiak Island Borough",04,000150,1991,March,03,0,6059,5799,260,4.3
"Kodiak Island Borough",04,000150,1991,April,04,0,6410,6154,256,4.0
"Kodiak Island Borough",04,000150,1991,May,05,0,7259,6351,908,12.5
"Kodiak Island Borough",04,000150,1991,June,06,0,7402,6700,702,9.5
"Kodiak Island Borough",04,000150,1991,July,07,0,7590,7364,226,3.0
"Kodiak Island Borough",04,000150,1991,August,08,0,7289,7083,206,2.8
"Kodiak Island Borough",04,000150,1991,September,09,0,7014,6443,571,8.1
"Kodiak Island Borough",04,000150,1991,October,10,0,6664,5876,788,11.8
"Kodiak Island Borough",04,000150,1991,November,11,0,6578,5639,939,14.3
"Kodiak Island Borough",04,000150,1991,December,12,0,6419,5518,901,14.0
"Kodiak Island Borough",04,000150,1991,Annual,00,0,6719,6191,528,7.9
"Kodiak Island Borough",04,000150,1992,January,01,0,6398,5368,1030,16.1
"Kodiak Island Borough",04,000150,1992,February,02,0,5871,5536,335,5.7
"Kodiak Island Borough",04,000150,1992,March,03,0,6010,5676,334,5.6
"Kodiak Island Borough",04,000150,1992,April,04,0,6517,5889,628,9.6
"Kodiak Island Borough",04,000150,1992,May,05,0,7297,6219,1078,14.8
"Kodiak Island Borough",04,000150,1992,June,06,0,7271,6894,377,5.2
"Kodiak Island Borough",04,000150,1992,July,07,0,7598,7268,330,4.3
"Kodiak Island Borough",04,000150,1992,August,08,0,7727,6923,804,10.4
"Kodiak Island Borough",04,000150,1992,September,09,0,7265,6597,668,9.2
"Kodiak Island Borough",04,000150,1992,October,10,0,6738,6176,562,8.3
"Kodiak Island Borough",04,000150,1992,November,11,0,7230,5896,1334,18.5
"Kodiak Island Borough",04,000150,1992,December,12,0,6868,5823,1045,15.2
"Kodiak Island Borough",04,000150,1992,Annual,00,0,6899,6189,710,10.3
"Kodiak Island Borough",04,000150,1993,January,01,0,6455,5410,1045,16.2
"Kodiak Island Borough",04,000150,1993,February,02,0,6048,5681,367,6.1
"Kodiak Island Borough",04,000150,1993,March,03,0,6358,5969,389,6.1
"Kodiak Island Borough",04,000150,1993,April,04,0,6716,6059,657,9.8
"Kodiak Island Borough",04,000150,1993,May,05,0,7875,6407,1468,18.6
"Kodiak Island Borough",04,000150,1993,June,06,0,7731,7266,465,6.0
"Kodiak Island Borough",04,000150,1993,July,07,0,8171,7865,306,3.7
"Kodiak Island Borough",04,000150,1993,August,08,0,7909,7542,367,4.6
"Kodiak Island Borough",04,000150,1993,September,09,0,8063,6712,1351,16.8
"Kodiak Island Borough",04,000150,1993,October,10,0,6820,6462,358,5.2
"Kodiak Island Borough",04,000150,1993,November,11,0,7042,6179,863,12.3
"Kodiak Island Borough",04,000150,1993,December,12,0,6948,5988,960,13.8
"Kodiak Island Borough",04,000150,1993,Annual,00,0,7178,6462,716,10.0
"Kodiak Island Borough",04,000150,1994,January,01,0,7048,5930,1118,15.9
"Kodiak Island Borough",04,000150,1994,February,02,0,6892,6437,455,6.6
"Kodiak Island Borough",04,000150,1994,March,03,0,7035,6509,526,7.5
"Kodiak Island Borough",04,000150,1994,April,04,0,7360,6368,992,13.5
"Kodiak Island Borough",04,000150,1994,May,05,0,8483,6691,1792,21.1
"Kodiak Island Borough",04,000150,1994,June,06,0,8282,7475,807,9.7
"Kodiak Island Borough",04,000150,1994,July,07,0,8309,7939,370,4.5
"Kodiak Island Borough",04,000150,1994,August,08,0,8201,7706,495,6.0
"Kodiak Island Borough",04,000150,1994,September,09,0,7913,6977,936,11.8
"Kodiak Island Borough",04,000150,1994,October,10,0,6981,6629,352,5.0
"Kodiak Island Borough",04,000150,1994,November,11,0,7928,6356,1572,19.8
"Kodiak Island Borough",04,000150,1994,December,12,0,7490,6107,1383,18.5
"Kodiak Island Borough",04,000150,1994,Annual,00,0,7660,6760,900,11.7
"Kodiak Island Borough",04,000150,1995,January,01,0,6644,6165,479,7.2
"Kodiak Island Borough",04,000150,1995,February,02,0,6670,6325,345,5.2
"Kodiak Island Borough",04,000150,1995,March,03,0,6717,6414,303,4.5
"Kodiak Island Borough",04,000150,1995,April,04,0,7100,6441,659,9.3
"Kodiak Island Borough",04,000150,1995,May,05,0,7850,6774,1076,13.7
"Kodiak Island Borough",04,000150,1995,June,06,0,8303,7281,1022,12.3
"Kodiak Island Borough",04,000150,1995,July,07,0,8221,7853,368,4.5
"Kodiak Island Borough",04,000150,1995,August,08,0,7959,7683,276,3.5
"Kodiak Island Borough",04,000150,1995,September,09,0,8478,7011,1467,17.3
"Kodiak Island Borough",04,000150,1995,October,10,0,7046,6695,351,5.0
"Kodiak Island Borough",04,000150,1995,November,11,0,7497,6314,1183,15.8
"Kodiak Island Borough",04,000150,1995,December,12,0,7448,6044,1404,18.9
"Kodiak Island Borough",04,000150,1995,Annual,00,0,7494,6750,744,9.9
"Kodiak Island Borough",04,000150,1996,January,01,0,6626,6025,601,9.1
"Kodiak Island Borough",04,000150,1996,February,02,0,6673,6274,399,6.0
"Kodiak Island Borough",04,000150,1996,March,03,0,6811,6440,371,5.4
"Kodiak Island Borough",04,000150,1996,April,04,0,6972,6435,537,7.7
"Kodiak Island Borough",04,000150,1996,May,05,0,7664,6867,797,10.4
"Kodiak Island Borough",04,000150,1996,June,06,0,8603,7365,1238,14.4
"Kodiak Island Borough",04,000150,1996,July,07,0,8312,7947,365,4.4
"Kodiak Island Borough",04,000150,1996,August,08,0,8721,7843,878,10.1
"Kodiak Island Borough",04,000150,1996,September,09,0,7502,7111,391,5.2
"Kodiak Island Borough",04,000150,1996,October,10,0,7031,6517,514,7.3
"Kodiak Island Borough",04,000150,1996,November,11,0,6876,6190,686,10.0
"Kodiak Island Borough",04,000150,1996,December,12,0,7191,5982,1209,16.8
"Kodiak Island Borough",04,000150,1996,Annual,00,0,7416,6750,666,9.0
"Kodiak Island Borough",04,000150,1997,January,01,0,6751,5979,772,11.4
"Kodiak Island Borough",04,000150,1997,February,02,0,6664,6250,414,6.2
"Kodiak Island Borough",04,000150,1997,March,03,0,6634,6277,357,5.4
"Kodiak Island Borough",04,000150,1997,April,04,0,7188,6459,729,10.1
"Kodiak Island Borough",04,000150,1997,May,05,0,7811,6731,1080,13.8
"Kodiak Island Borough",04,000150,1997,June,06,0,8012,7344,668,8.3
"Kodiak Island Borough",04,000150,1997,July,07,0,8398,7953,445,5.3
"Kodiak Island Borough",04,000150,1997,August,08,0,8233,7656,577,7.0
"Kodiak Island Borough",04,000150,1997,September,09,0,7506,7001,505,6.7
"Kodiak Island Borough",04,000150,1997,October,10,0,6847,6402,445,6.5
"Kodiak Island Borough",04,000150,1997,November,11,0,6805,6159,646,9.5
"Kodiak Island Borough",04,000150,1997,December,12,0,7041,6000,1041,14.8
"Kodiak Island Borough",04,000150,1997,Annual,00,0,7324,6684,640,8.7
"Kodiak Island Borough",04,000150,1998,January,01,0,6576,5990,586,8.9
"Kodiak Island Borough",04,000150,1998,February,02,0,6417,6017,400,6.2
"Kodiak Island Borough",04,000150,1998,March,03,0,6465,6041,424,6.6
"Kodiak Island Borough",04,000150,1998,April,04,0,6476,6099,377,5.8
"Kodiak Island Borough",04,000150,1998,May,05,0,7470,6474,996,13.3
"Kodiak Island Borough",04,000150,1998,June,06,0,7454,7011,443,5.9
"Kodiak Island Borough",04,000150,1998,July,07,0,7604,7285,319,4.2
"Kodiak Island Borough",04,000150,1998,August,08,0,7664,7177,487,6.4
"Kodiak Island Borough",04,000150,1998,September,09,0,7074,6728,346,4.9
"Kodiak Island Borough",04,000150,1998,October,10,0,6610,6211,399,6.0
"Kodiak Island Borough",04,000150,1998,November,11,0,6879,5948,931,13.5
"Kodiak Island Borough",04,000150,1998,December,12,0,6745,5839,906,13.4
"Kodiak Island Borough",04,000150,1998,Annual,00,0,6953,6402,551,7.9
"Kodiak Island Borough",04,000150,1999,January,01,0,6226,5820,406,6.5
"Kodiak Island Borough",04,000150,1999,February,02,0,6275,5910,365,5.8
"Kodiak Island Borough",04,000150,1999,March,03,0,6370,6023,347,5.4
"Kodiak Island Borough",04,000150,1999,April,04,0,6571,6149,422,6.4
"Kodiak Island Borough",04,000150,1999,May,05,0,7464,6413,1051,14.1
"Kodiak Island Borough",04,000150,1999,June,06,0,7275,6880,395,5.4
"Kodiak Island Borough",04,000150,1999,July,07,0,7584,7228,356,4.7
"Kodiak Island Borough",04,000150,1999,August,08,0,7341,7045,296,4.0
"Kodiak Island Borough",04,000150,1999,September,09,0,6947,6635,312,4.5
"Kodiak Island Borough",04,000150,1999,October,10,0,6556,6227,329,5.0
"Kodiak Island Borough",04,000150,1999,November,11,0,6838,5934,904,13.2
"Kodiak Island Borough",04,000150,1999,December,12,0,6559,5781,778,11.9
"Kodiak Island Borough",04,000150,1999,Annual,00,0,6834,6337,497,7.3
"Kodiak Island Borough",04,000150,2000,January,01,0,6168,5712,456,7.4
"Kodiak Island Borough",04,000150,2000,February,02,0,6577,6188,389,5.9
"Kodiak Island Borough",04,000150,2000,March,03,0,6405,5997,408,6.4
"Kodiak Island Borough",04,000150,2000,April,04,0,6330,5925,405,6.4
"Kodiak Island Borough",04,000150,2000,May,05,0,6377,5873,504,7.9
"Kodiak Island Borough",04,000150,2000,June,06,0,6796,6143,653,9.6
"Kodiak Island Borough",04,000150,2000,July,07,0,7345,7023,322,4.4
"Kodiak Island Borough",04,000150,2000,August,08,0,7259,6947,312,4.3
"Kodiak Island Borough",04,000150,2000,September,09,0,6942,6027,915,13.2
"Kodiak Island Borough",04,000150,2000,October,10,0,6403,5837,566,8.8
"Kodiak Island Borough",04,000150,2000,November,11,0,6155,5332,823,13.4
"Kodiak Island Borough",04,000150,2000,December,12,0,5810,5041,769,13.2
"Kodiak Island Borough",04,000150,2000,Annual,00,0,6548,6004,544,8.3
"Kodiak Island Borough",04,000150,2001,January,01,0,6439,5787,652,10.1
"Kodiak Island Borough",04,000150,2001,February,02,0,6583,6129,454,6.9
"Kodiak Island Borough",04,000150,2001,March,03,0,6568,6098,470,7.2
"Kodiak Island Borough",04,000150,2001,April,04,0,6259,5803,456,7.3
"Kodiak Island Borough",04,000150,2001,May,05,0,6470,5840,630,9.7
"Kodiak Island Borough",04,000150,2001,June,06,0,6508,5897,611,9.4
"Kodiak Island Borough",04,000150,2001,July,07,0,7308,6934,374,5.1
"Kodiak Island Borough",04,000150,2001,August,08,0,7205,6708,497,6.9
"Kodiak Island Borough",04,000150,2001,September,09,0,6398,5936,462,7.2
"Kodiak Island Borough",04,000150,2001,October,10,0,6142,5671,471,7.7
"Kodiak Island Borough",04,000150,2001,November,11,0,5958,5099,859,14.4
"Kodiak Island Borough",04,000150,2001,December,12,0,5548,4683,865,15.6
"Kodiak Island Borough",04,000150,2001,Annual,00,0,6449,5882,567,8.8
"Kodiak Island Borough",04,000150,2002,January,01,0,5916,5210,706,11.9
"Kodiak Island Borough",04,000150,2002,February,02,0,6445,5887,558,8.7
"Kodiak Island Borough",04,000150,2002,March,03,0,6345,5841,504,7.9
"Kodiak Island Borough",04,000150,2002,April,04,0,6152,5629,523,8.5
"Kodiak Island Borough",04,000150,2002,May,05,0,6108,5649,459,7.5
"Kodiak Island Borough",04,000150,2002,June,06,0,6469,5571,898,13.9
"Kodiak Island Borough",04,000150,2002,July,07,0,7030,6621,409,5.8
"Kodiak Island Borough",04,000150,2002,August,08,0,7028,6516,512,7.3
"Kodiak Island Borough",04,000150,2002,September,09,0,6296,5825,471,7.5
"Kodiak Island Borough",04,000150,2002,October,10,0,6189,5759,430,6.9
"Kodiak Island Borough",04,000150,2002,November,11,0,5982,5440,542,9.1
"Kodiak Island Borough",04,000150,2002,December,12,0,5717,4972,745,13.0
"Kodiak Island Borough",04,000150,2002,Annual,00,0,6306,5743,563,8.9
"Kodiak Island Borough",04,000150,2003,January,01,0,5912,5337,575,9.7
"Kodiak Island Borough",04,000150,2003,February,02,0,6208,5729,479,7.7
"Kodiak Island Borough",04,000150,2003,March,03,0,6360,5679,681,10.7
"Kodiak Island Borough",04,000150,2003,April,04,0,5884,5384,500,8.5
"Kodiak Island Borough",04,000150,2003,May,05,0,5808,5139,669,11.5
"Kodiak Island Borough",04,000150,2003,June,06,0,5980,5370,610,10.2
"Kodiak Island Borough",04,000150,2003,July,07,0,6197,5767,430,6.9
"Kodiak Island Borough",04,000150,2003,August,08,0,6035,5607,428,7.1
"Kodiak Island Borough",04,000150,2003,September,09,0,5888,5490,398,6.8
"Kodiak Island Borough",04,000150,2003,October,10,0,5999,5520,479,8.0
"Kodiak Island Borough",04,000150,2003,November,11,0,5888,5059,829,14.1
"Kodiak Island Borough",04,000150,2003,December,12,0,5526,4700,826,14.9
"Kodiak Island Borough",04,000150,2003,Annual,00,0,5973,5398,575,9.6
"Kodiak Island Borough",04,000150,2004,January,01,0,6297,5797,500,7.9
"Kodiak Island Borough",04,000150,2004,February,02,0,6336,5857,479,7.6
"Kodiak Island Borough",04,000150,2004,March,03,0,6247,5791,456,7.3
"Kodiak Island Borough",04,000150,2004,April,04,0,6206,5734,472,7.6
"Kodiak Island Borough",04,000150,2004,May,05,0,6137,5499,638,10.4
"Kodiak Island Borough",04,000150,2004,June,06,0,6541,5941,600,9.2
