"Kusilvak Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Kusilvak Census Area",04,000158,1990,January,01,0,1268,1130,138,10.9
"Kusilvak Census Area",04,000158,1990,February,02,0,1326,1205,121,9.1
"Kusilvak Census Area",04,000158,1990,March,03,0,1398,1216,182,13.0
"Kusilvak Census Area",04,000158,1990,April,04,0,1388,1209,179,12.9
"Kusilvak Census Area",04,000158,1990,May,05,0,1463,1258,205,14.0
"Kusilvak Census Area",04,000158,1990,June,06,0,1449,1266,183,12.6
"Kusilvak Census Area",04,000158,1990,July,07,0,1583,1399,184,11.6
"Kusilvak Census Area",04,000158,1990,August,08,0,1407,1232,175,12.4
"Kusilvak Census Area",04,000158,1990,September,09,0,1312,1140,172,13.1
"Kusilvak Census Area",04,000158,1990,October,10,0,1295,1130,165,12.7
"Kusilvak Census Area",04,000158,1990,November,11,0,1318,1152,166,12.6
"Kusilvak Census Area",04,000158,1990,December,12,0,1303,1167,136,10.4
"Kusilvak Census Area",04,000158,1990,Annual,00,0,1376,1209,167,12.1
"Kusilvak Census Area",04,000158,1991,January,01,0,1441,1298,143,9.9
"Kusilvak Census Area",04,000158,1991,February,02,0,1515,1350,165,10.9
"Kusilvak Census Area",04,000158,1991,March,03,0,1566,1361,205,13.1
"Kusilvak Census Area",04,000158,1991,April,04,0,1665,1428,237,14.2
"Kusilvak Census Area",04,000158,1991,May,05,0,1695,1439,256,15.1
"Kusilvak Census Area",04,000158,1991,June,06,0,1682,1446,236,14.0
"Kusilvak Census Area",04,000158,1991,July,07,0,1786,1590,196,11.0
"Kusilvak Census Area",04,000158,1991,August,08,0,1616,1399,217,13.4
"Kusilvak Census Area",04,000158,1991,September,09,0,1457,1285,172,11.8
"Kusilvak Census Area",04,000158,1991,October,10,0,1367,1213,154,11.3
"Kusilvak Census Area",04,000158,1991,November,11,0,1431,1263,168,11.7
"Kusilvak Census Area",04,000158,1991,December,12,0,1450,1280,170,11.7
"Kusilvak Census Area",04,000158,1991,Annual,00,0,1556,1363,193,12.4
"Kusilvak Census Area",04,000158,1992,January,01,0,1637,1469,168,10.3
"Kusilvak Census Area",04,000158,1992,February,02,0,1863,1673,190,10.2
"Kusilvak Census Area",04,000158,1992,March,03,0,1891,1689,202,10.7
"Kusilvak Census Area",04,000158,1992,April,04,0,1831,1664,167,9.1
"Kusilvak Census Area",04,000158,1992,May,05,0,1795,1580,215,12.0
"Kusilvak Census Area",04,000158,1992,June,06,0,1833,1583,250,13.6
