"Lake and Peninsula Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Lake and Peninsula Borough",04,000164,1990,January,01,0,426,389,37,8.7
"Lake and Peninsula Borough",04,000164,1990,February,02,0,452,416,36,8.0
"Lake and Peninsula Borough",04,000164,1990,March,03,0,464,419,45,9.7
"Lake and Peninsula Borough",04,000164,1990,April,04,0,473,417,56,11.8
"Lake and Peninsula Borough",04,000164,1990,May,05,0,478,435,43,9.0
"Lake and Peninsula Borough",04,000164,1990,June,06,0,457,436,21,4.6
"Lake and Peninsula Borough",04,000164,1990,July,07,0,498,482,16,3.2
"Lake and Peninsula Borough",04,000164,1990,August,08,0,437,425,12,2.7
"Lake and Peninsula Borough",04,000164,1990,September,09,0,400,394,6,1.5
"Lake and Peninsula Borough",04,000164,1990,October,10,0,403,389,14,3.5
"Lake and Peninsula Borough",04,000164,1990,November,11,0,419,396,23,5.5
"Lake and Peninsula Borough",04,000164,1990,December,12,0,423,403,20,4.7
"Lake and Peninsula Borough",04,000164,1990,Annual,00,0,444,417,27,6.1
"Lake and Peninsula Borough",04,000164,1991,January,01,0,462,440,22,4.8
"Lake and Peninsula Borough",04,000164,1991,February,02,0,488,459,29,5.9
"Lake and Peninsula Borough",04,000164,1991,March,03,0,510,463,47,9.2
"Lake and Peninsula Borough",04,000164,1991,April,04,0,535,486,49,9.2
"Lake and Peninsula Borough",04,000164,1991,May,05,0,530,489,41,7.7
"Lake and Peninsula Borough",04,000164,1991,June,06,0,526,490,36,6.8
"Lake and Peninsula Borough",04,000164,1991,July,07,0,570,540,30,5.3
"Lake and Peninsula Borough",04,000164,1991,August,08,0,499,474,25,5.0
"Lake and Peninsula Borough",04,000164,1991,September,09,0,458,436,22,4.8
"Lake and Peninsula Borough",04,000164,1991,October,10,0,452,412,40,8.8
"Lake and Peninsula Borough",04,000164,1991,November,11,0,471,429,42,8.9
"Lake and Peninsula Borough",04,000164,1991,December,12,0,477,435,42,8.8
"Lake and Peninsula Borough",04,000164,1991,Annual,00,0,498,463,35,7.0
"Lake and Peninsula Borough",04,000164,1992,January,01,0,536,496,40,7.5
"Lake and Peninsula Borough",04,000164,1992,February,02,0,631,567,64,10.1
"Lake and Peninsula Borough",04,000164,1992,March,03,0,645,572,73,11.3
"Lake and Peninsula Borough",04,000164,1992,April,04,0,632,564,68,10.8
"Lake and Peninsula Borough",04,000164,1992,May,05,0,589,536,53,9.0
"Lake and Peninsula Borough",04,000164,1992,June,06,0,610,537,73,12.0
"Lake and Peninsula Borough",04,000164,1992,July,07,0,615,572,43,7.0
"Lake and Peninsula Borough",04,000164,1992,August,08,0,558,519,39,7.0
"Lake and Peninsula Borough",04,000164,1992,September,09,0,523,485,38,7.3
"Lake and Peninsula Borough",04,000164,1992,October,10,0,485,447,38,7.8
"Lake and Peninsula Borough",04,000164,1992,November,11,0,486,451,35,7.2
"Lake and Peninsula Borough",04,000164,1992,December,12,0,486,451,35,7.2
"Lake and Peninsula Borough",04,000164,1992,Annual,00,0,566,516,50,8.8
"Lake and Peninsula Borough",04,000164,1993,January,01,0,546,505,41,7.5
"Lake and Peninsula Borough",04,000164,1993,February,02,0,620,563,57,9.2
"Lake and Peninsula Borough",04,000164,1993,March,03,0,628,568,60,9.6
"Lake and Peninsula Borough",04,000164,1993,April,04,0,546,502,44,8.1
"Lake and Peninsula Borough",04,000164,1993,May,05,0,520,472,48,9.2
"Lake and Peninsula Borough",04,000164,1993,June,06,0,520,479,41,7.9
"Lake and Peninsula Borough",04,000164,1993,July,07,0,577,547,30,5.2
"Lake and Peninsula Borough",04,000164,1993,August,08,0,513,486,27,5.3
"Lake and Peninsula Borough",04,000164,1993,September,09,0,493,469,24,4.9
"Lake and Peninsula Borough",04,000164,1993,October,10,0,476,445,31,6.5
"Lake and Peninsula Borough",04,000164,1993,November,11,0,481,444,37,7.7
"Lake and Peninsula Borough",04,000164,1993,December,12,0,476,432,44,9.2
"Lake and Peninsula Borough",04,000164,1993,Annual,00,0,533,493,40,7.5
"Lake and Peninsula Borough",04,000164,1994,January,01,0,551,511,40,7.3
"Lake and Peninsula Borough",04,000164,1994,February,02,0,636,595,41,6.4
"Lake and Peninsula Borough",04,000164,1994,March,03,0,620,573,47,7.6
"Lake and Peninsula Borough",04,000164,1994,April,04,0,543,503,40,7.4
"Lake and Peninsula Borough",04,000164,1994,May,05,0,527,493,34,6.5
"Lake and Peninsula Borough",04,000164,1994,June,06,0,562,522,40,7.1
"Lake and Peninsula Borough",04,000164,1994,July,07,0,626,597,29,4.6
"Lake and Peninsula Borough",04,000164,1994,August,08,0,591,552,39,6.6
"Lake and Peninsula Borough",04,000164,1994,September,09,0,562,534,28,5.0
"Lake and Peninsula Borough",04,000164,1994,October,10,0,519,496,23,4.4
"Lake and Peninsula Borough",04,000164,1994,November,11,0,494,466,28,5.7
"Lake and Peninsula Borough",04,000164,1994,December,12,0,467,451,16,3.4
"Lake and Peninsula Borough",04,000164,1994,Annual,00,0,558,524,34,6.1
"Lake and Peninsula Borough",04,000164,1995,January,01,0,552,510,42,7.6
"Lake and Peninsula Borough",04,000164,1995,February,02,0,644,603,41,6.4
"Lake and Peninsula Borough",04,000164,1995,March,03,0,644,590,54,8.4
"Lake and Peninsula Borough",04,000164,1995,April,04,0,576,533,43,7.5
"Lake and Peninsula Borough",04,000164,1995,May,05,0,574,532,42,7.3
"Lake and Peninsula Borough",04,000164,1995,June,06,0,616,562,54,8.8
"Lake and Peninsula Borough",04,000164,1995,July,07,0,686,637,49,7.1
"Lake and Peninsula Borough",04,000164,1995,August,08,0,633,582,51,8.1
"Lake and Peninsula Borough",04,000164,1995,September,09,0,582,545,37,6.4
"Lake and Peninsula Borough",04,000164,1995,October,10,0,551,523,28,5.1
"Lake and Peninsula Borough",04,000164,1995,November,11,0,513,488,25,4.9
"Lake and Peninsula Borough",04,000164,1995,December,12,0,507,470,37,7.3
"Lake and Peninsula Borough",04,000164,1995,Annual,00,0,590,548,42,7.1
"Lake and Peninsula Borough",04,000164,1996,January,01,0,551,498,53,9.6
"Lake and Peninsula Borough",04,000164,1996,February,02,0,632,598,34,5.4
"Lake and Peninsula Borough",04,000164,1996,March,03,0,643,590,53,8.2
"Lake and Peninsula Borough",04,000164,1996,April,04,0,608,565,43,7.1
"Lake and Peninsula Borough",04,000164,1996,May,05,0,617,571,46,7.5
"Lake and Peninsula Borough",04,000164,1996,June,06,0,630,560,70,11.1
"Lake and Peninsula Borough",04,000164,1996,July,07,0,668,608,60,9.0
"Lake and Peninsula Borough",04,000164,1996,August,08,0,584,546,38,6.5
"Lake and Peninsula Borough",04,000164,1996,September,09,0,552,524,28,5.1
"Lake and Peninsula Borough",04,000164,1996,October,10,0,542,513,29,5.4
"Lake and Peninsula Borough",04,000164,1996,November,11,0,514,477,37,7.2
"Lake and Peninsula Borough",04,000164,1996,December,12,0,497,454,43,8.7
"Lake and Peninsula Borough",04,000164,1996,Annual,00,0,587,542,45,7.7
"Lake and Peninsula Borough",04,000164,1997,January,01,0,546,512,34,6.2
"Lake and Peninsula Borough",04,000164,1997,February,02,0,618,578,40,6.5
"Lake and Peninsula Borough",04,000164,1997,March,03,0,632,591,41,6.5
"Lake and Peninsula Borough",04,000164,1997,April,04,0,610,554,56,9.2
"Lake and Peninsula Borough",04,000164,1997,May,05,0,587,549,38,6.5
"Lake and Peninsula Borough",04,000164,1997,June,06,0,583,543,40,6.9
"Lake and Peninsula Borough",04,000164,1997,July,07,0,624,595,29,4.6
"Lake and Peninsula Borough",04,000164,1997,August,08,0,544,508,36,6.6
"Lake and Peninsula Borough",04,000164,1997,September,09,0,557,516,41,7.4
"Lake and Peninsula Borough",04,000164,1997,October,10,0,530,503,27,5.1
"Lake and Peninsula Borough",04,000164,1997,November,11,0,492,468,24,4.9
"Lake and Peninsula Borough",04,000164,1997,December,12,0,467,435,32,6.9
"Lake and Peninsula Borough",04,000164,1997,Annual,00,0,566,529,37,6.5
"Lake and Peninsula Borough",04,000164,1998,January,01,0,607,555,52,8.6
"Lake and Peninsula Borough",04,000164,1998,February,02,0,690,637,53,7.7
"Lake and Peninsula Borough",04,000164,1998,March,03,0,698,624,74,10.6
"Lake and Peninsula Borough",04,000164,1998,April,04,0,631,569,62,9.8
"Lake and Peninsula Borough",04,000164,1998,May,05,0,614,544,70,11.4
"Lake and Peninsula Borough",04,000164,1998,June,06,0,615,552,63,10.2
"Lake and Peninsula Borough",04,000164,1998,July,07,0,646,603,43,6.7
"Lake and Peninsula Borough",04,000164,1998,August,08,0,587,544,43,7.3
"Lake and Peninsula Borough",04,000164,1998,September,09,0,565,543,22,3.9
"Lake and Peninsula Borough",04,000164,1998,October,10,0,556,531,25,4.5
"Lake and Peninsula Borough",04,000164,1998,November,11,0,535,498,37,6.9
"Lake and Peninsula Borough",04,000164,1998,December,12,0,507,472,35,6.9
"Lake and Peninsula Borough",04,000164,1998,Annual,00,0,604,556,48,7.9
"Lake and Peninsula Borough",04,000164,1999,January,01,0,615,565,50,8.1
"Lake and Peninsula Borough",04,000164,1999,February,02,0,714,644,70,9.8
"Lake and Peninsula Borough",04,000164,1999,March,03,0,698,632,66,9.5
