"Municipality of Anchorage NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Municipality of Anchorage",04,000020,1990,January,01,0,122116,115075,7041,5.8
"Municipality of Anchorage",04,000020,1990,February,02,0,120973,114212,6761,5.6
"Municipality of Anchorage",04,000020,1990,March,03,0,122306,115633,6673,5.5
"Municipality of Anchorage",04,000020,1990,April,04,0,119375,112558,6817,5.7
"Municipality of Anchorage",04,000020,1990,May,05,0,121519,114765,6754,5.6
"Municipality of Anchorage",04,000020,1990,June,06,0,123370,117110,6260,5.1
"Municipality of Anchorage",04,000020,1990,July,07,0,124937,118960,5977,4.8
"Municipality of Anchorage",04,000020,1990,August,08,0,123131,117109,6022,4.9
"Municipality of Anchorage",04,000020,1990,September,09,0,123168,116814,6354,5.2
"Municipality of Anchorage",04,000020,1990,October,10,0,125027,119051,5976,4.8
"Municipality of Anchorage",04,000020,1990,November,11,0,125252,118837,6415,5.1
"Municipality of Anchorage",04,000020,1990,December,12,0,124699,118235,6464,5.2
"Municipality of Anchorage",04,000020,1990,Annual,00,0,122990,116530,6460,5.3
"Municipality of Anchorage",04,000020,1991,January,01,0,120967,113700,7267,6.0
"Municipality of Anchorage",04,000020,1991,February,02,0,121244,113112,8132,6.7
"Municipality of Anchorage",04,000020,1991,March,03,0,121713,113441,8272,6.8
"Municipality of Anchorage",04,000020,1991,April,04,0,121601,113667,7934,6.5
"Municipality of Anchorage",04,000020,1991,May,05,0,121501,113361,8140,6.7
"Municipality of Anchorage",04,000020,1991,June,06,0,124326,115925,8401,6.8
"Municipality of Anchorage",04,000020,1991,July,07,0,124795,116895,7900,6.3
"Municipality of Anchorage",04,000020,1991,August,08,0,123695,116193,7502,6.1
"Municipality of Anchorage",04,000020,1991,September,09,0,122954,114732,8222,6.7
"Municipality of Anchorage",04,000020,1991,October,10,0,124885,116732,8153,6.5
"Municipality of Anchorage",04,000020,1991,November,11,0,124885,116408,8477,6.8
"Municipality of Anchorage",04,000020,1991,December,12,0,126019,117608,8411,6.7
"Municipality of Anchorage",04,000020,1991,Annual,00,0,123216,115148,8068,6.5
"Municipality of Anchorage",04,000020,1992,January,01,0,125033,115664,9369,7.5
"Municipality of Anchorage",04,000020,1992,February,02,0,124882,115107,9775,7.8
"Municipality of Anchorage",04,000020,1992,March,03,0,124793,115107,9686,7.8
"Municipality of Anchorage",04,000020,1992,April,04,0,123902,114775,9127,7.4
"Municipality of Anchorage",04,000020,1992,May,05,0,125599,116374,9225,7.3
"Municipality of Anchorage",04,000020,1992,June,06,0,127978,118144,9834,7.7
"Municipality of Anchorage",04,000020,1992,July,07,0,129920,121052,8868,6.8
"Municipality of Anchorage",04,000020,1992,August,08,0,128432,120131,8301,6.5
"Municipality of Anchorage",04,000020,1992,September,09,0,128161,119363,8798,6.9
"Municipality of Anchorage",04,000020,1992,October,10,0,128365,120005,8360,6.5
"Municipality of Anchorage",04,000020,1992,November,11,0,130502,121954,8548,6.6
"Municipality of Anchorage",04,000020,1992,December,12,0,131365,123238,8127,6.2
"Municipality of Anchorage",04,000020,1992,Annual,00,0,127412,118410,9002,7.1
