"Municipality of Skagway NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Municipality of Skagway",04,000230,2010,January,01,0,621,449,172,27.7
"Municipality of Skagway",04,000230,2010,February,02,0,600,423,177,29.5
"Municipality of Skagway",04,000230,2010,March,03,0,585,441,144,24.6
"Municipality of Skagway",04,000230,2010,April,04,0,609,502,107,17.6
"Municipality of Skagway",04,000230,2010,May,05,0,832,778,54,6.5
"Municipality of Skagway",04,000230,2010,June,06,0,881,830,51,5.8
"Municipality of Skagway",04,000230,2010,July,07,0,902,857,45,5.0
"Municipality of Skagway",04,000230,2010,August,08,0,879,836,43,4.9
"Municipality of Skagway",04,000230,2010,September,09,0,822,775,47,5.7
"Municipality of Skagway",04,000230,2010,October,10,0,655,542,113,17.3
"Municipality of Skagway",04,000230,2010,November,11,0,618,453,165,26.7
"Municipality of Skagway",04,000230,2010,December,12,0,625,447,178,28.5
"Municipality of Skagway",04,000230,2010,Annual,00,1,719,611,108,15.0
"Municipality of Skagway",04,000230,2011,January,01,0,606,423,183,30.2
"Municipality of Skagway",04,000230,2011,February,02,0,587,408,179,30.5
"Municipality of Skagway",04,000230,2011,March,03,0,571,421,150,26.3
"Municipality of Skagway",04,000230,2011,April,04,0,585,472,113,19.3
"Municipality of Skagway",04,000230,2011,May,05,0,842,769,73,8.7
"Municipality of Skagway",04,000230,2011,June,06,0,879,810,69,7.8
"Municipality of Skagway",04,000230,2011,July,07,0,906,843,63,7.0
"Municipality of Skagway",04,000230,2011,August,08,0,892,832,60,6.7
"Municipality of Skagway",04,000230,2011,September,09,0,831,768,63,7.6
"Municipality of Skagway",04,000230,2011,October,10,0,645,513,132,20.5
"Municipality of Skagway",04,000230,2011,November,11,0,621,453,168,27.1
"Municipality of Skagway",04,000230,2011,December,12,0,607,443,164,27.0
"Municipality of Skagway",04,000230,2011,Annual,00,1,714,596,118,16.5
"Municipality of Skagway",04,000230,2012,January,01,0,612,436,176,28.8
"Municipality of Skagway",04,000230,2012,February,02,0,575,409,166,28.9
"Municipality of Skagway",04,000230,2012,March,03,0,576,432,144,25.0
"Municipality of Skagway",04,000230,2012,April,04,0,586,479,107,18.3
"Municipality of Skagway",04,000230,2012,May,05,0,878,807,71,8.1
"Municipality of Skagway",04,000230,2012,June,06,0,980,913,67,6.8
"Municipality of Skagway",04,000230,2012,July,07,0,1003,945,58,5.8
"Municipality of Skagway",04,000230,2012,August,08,0,979,924,55,5.6
"Municipality of Skagway",04,000230,2012,September,09,0,889,835,54,6.1
"Municipality of Skagway",04,000230,2012,October,10,0,696,593,103,14.8
"Municipality of Skagway",04,000230,2012,November,11,0,614,478,136,22.1
"Municipality of Skagway",04,000230,2012,December,12,0,634,486,148,23.3
"Municipality of Skagway",04,000230,2012,Annual,00,1,752,645,107,14.2
"Municipality of Skagway",04,000230,2013,January,01,0,627,470,157,25.0
"Municipality of Skagway",04,000230,2013,February,02,0,601,451,150,25.0
"Municipality of Skagway",04,000230,2013,March,03,0,576,453,123,21.4
"Municipality of Skagway",04,000230,2013,April,04,0,613,515,98,16.0
"Municipality of Skagway",04,000230,2013,May,05,0,937,876,61,6.5
"Municipality of Skagway",04,000230,2013,June,06,0,1026,968,58,5.7
"Municipality of Skagway",04,000230,2013,July,07,0,1060,1008,52,4.9
"Municipality of Skagway",04,000230,2013,August,08,0,1036,989,47,4.5
"Municipality of Skagway",04,000230,2013,September,09,0,956,907,49,5.1
"Municipality of Skagway",04,000230,2013,October,10,0,795,690,105,13.2
"Municipality of Skagway",04,000230,2013,November,11,0,632,495,137,21.7
"Municipality of Skagway",04,000230,2013,December,12,0,618,476,142,23.0
"Municipality of Skagway",04,000230,2013,Annual,00,1,790,692,98,12.4
"Municipality of Skagway",04,000230,2014,January,01,0,628,475,153,24.4
"Municipality of Skagway",04,000230,2014,February,02,0,620,454,166,26.8
"Municipality of Skagway",04,000230,2014,March,03,0,602,460,142,23.6
"Municipality of Skagway",04,000230,2014,April,04,0,620,524,96,15.5
"Municipality of Skagway",04,000230,2014,May,05,0,996,941,55,5.5
