"Nome Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Nome Census Area",04,000180,1990,January,01,0,3019,2697,322,10.7
"Nome Census Area",04,000180,1990,February,02,0,3033,2718,315,10.4
"Nome Census Area",04,000180,1990,March,03,0,3045,2738,307,10.1
"Nome Census Area",04,000180,1990,April,04,0,3068,2714,354,11.5
"Nome Census Area",04,000180,1990,May,05,0,3167,2801,366,11.6
"Nome Census Area",04,000180,1990,June,06,0,3342,3023,319,9.5
"Nome Census Area",04,000180,1990,July,07,0,3294,3006,288,8.7
"Nome Census Area",04,000180,1990,August,08,0,3316,3042,274,8.3
"Nome Census Area",04,000180,1990,September,09,0,3222,2954,268,8.3
"Nome Census Area",04,000180,1990,October,10,0,3209,3004,205,6.4
"Nome Census Area",04,000180,1990,November,11,0,3194,2965,229,7.2
"Nome Census Area",04,000180,1990,December,12,0,3267,2987,280,8.6
"Nome Census Area",04,000180,1990,Annual,00,0,3181,2887,294,9.2
"Nome Census Area",04,000180,1991,January,01,0,3190,2905,285,8.9
"Nome Census Area",04,000180,1991,February,02,0,3265,2938,327,10.0
"Nome Census Area",04,000180,1991,March,03,0,3287,2968,319,9.7
"Nome Census Area",04,000180,1991,April,04,0,3377,2999,378,11.2
"Nome Census Area",04,000180,1991,May,05,0,3367,2970,397,11.8
"Nome Census Area",04,000180,1991,June,06,0,3422,2952,470,13.7
"Nome Census Area",04,000180,1991,July,07,0,3315,2875,440,13.3
"Nome Census Area",04,000180,1991,August,08,0,3248,2908,340,10.5
"Nome Census Area",04,000180,1991,September,09,0,3203,2882,321,10.0
"Nome Census Area",04,000180,1991,October,10,0,3192,2880,312,9.8
"Nome Census Area",04,000180,1991,November,11,0,3154,2853,301,9.5
"Nome Census Area",04,000180,1991,December,12,0,3232,2849,383,11.9
"Nome Census Area",04,000180,1991,Annual,00,0,3271,2915,356,10.9
"Nome Census Area",04,000180,1992,January,01,0,3180,2738,442,13.9
"Nome Census Area",04,000180,1992,February,02,0,3189,2728,461,14.5
"Nome Census Area",04,000180,1992,March,03,0,3214,2772,442,13.8
"Nome Census Area",04,000180,1992,April,04,0,3175,2731,444,14.0
"Nome Census Area",04,000180,1992,May,05,0,3121,2672,449,14.4
"Nome Census Area",04,000180,1992,June,06,0,3199,2676,523,16.3
"Nome Census Area",04,000180,1992,July,07,0,3140,2726,414,13.2
"Nome Census Area",04,000180,1992,August,08,0,3061,2736,325,10.6
"Nome Census Area",04,000180,1992,September,09,0,2980,2695,285,9.6
"Nome Census Area",04,000180,1992,October,10,0,3084,2816,268,8.7
"Nome Census Area",04,000180,1992,November,11,0,3194,2886,308,9.6
"Nome Census Area",04,000180,1992,December,12,0,3237,2902,335,10.3
"Nome Census Area",04,000180,1992,Annual,00,0,3148,2757,391,12.4
"Nome Census Area",04,000180,1993,January,01,0,3181,2811,370,11.6
"Nome Census Area",04,000180,1993,February,02,0,3299,2907,392,11.9
"Nome Census Area",04,000180,1993,March,03,0,3335,2953,382,11.5
"Nome Census Area",04,000180,1993,April,04,0,3267,2835,432,13.2
"Nome Census Area",04,000180,1993,May,05,0,3273,2795,478,14.6
"Nome Census Area",04,000180,1993,June,06,0,3413,2901,512,15.0
"Nome Census Area",04,000180,1993,July,07,0,3262,2850,412,12.6
"Nome Census Area",04,000180,1993,August,08,0,3180,2825,355,11.2
"Nome Census Area",04,000180,1993,September,09,0,3113,2785,328,10.5
"Nome Census Area",04,000180,1993,October,10,0,3216,2899,317,9.9
"Nome Census Area",04,000180,1993,November,11,0,3275,2947,328,10.0
"Nome Census Area",04,000180,1993,December,12,0,3274,2929,345,10.5
"Nome Census Area",04,000180,1993,Annual,00,0,3258,2870,388,11.9
"Nome Census Area",04,000180,1994,January,01,0,3500,3056,444,12.7
"Nome Census Area",04,000180,1994,February,02,0,3504,3047,457,13.0
"Nome Census Area",04,000180,1994,March,03,0,3506,3059,447,12.7
