"North Slope Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"North Slope Borough",04,000185,1990,January,01,0,2679,2535,144,5.4
"North Slope Borough",04,000185,1990,February,02,0,2658,2556,102,3.8
"North Slope Borough",04,000185,1990,March,03,0,2668,2572,96,3.6
"North Slope Borough",04,000185,1990,April,04,0,2650,2552,98,3.7
"North Slope Borough",04,000185,1990,May,05,0,2756,2634,122,4.4
"North Slope Borough",04,000185,1990,June,06,0,2963,2843,120,4.0
"North Slope Borough",04,000185,1990,July,07,0,2937,2827,110,3.7
"North Slope Borough",04,000185,1990,August,08,0,2939,2860,79,2.7
"North Slope Borough",04,000185,1990,September,09,0,2856,2776,80,2.8
"North Slope Borough",04,000185,1990,October,10,0,2922,2824,98,3.4
"North Slope Borough",04,000185,1990,November,11,0,2880,2788,92,3.2
"North Slope Borough",04,000185,1990,December,12,0,2903,2809,94,3.2
"North Slope Borough",04,000185,1990,Annual,00,0,2818,2715,103,3.7
"North Slope Borough",04,000185,1991,January,01,0,2917,2786,131,4.5
"North Slope Borough",04,000185,1991,February,02,0,2952,2820,132,4.5
"North Slope Borough",04,000185,1991,March,03,0,2981,2848,133,4.5
"North Slope Borough",04,000185,1991,April,04,0,2962,2879,83,2.8
"North Slope Borough",04,000185,1991,May,05,0,2962,2850,112,3.8
"North Slope Borough",04,000185,1991,June,06,0,2978,2832,146,4.9
"North Slope Borough",04,000185,1991,July,07,0,2875,2760,115,4.0
"North Slope Borough",04,000185,1991,August,08,0,2904,2790,114,3.9
"North Slope Borough",04,000185,1991,September,09,0,2909,2767,142,4.9
"North Slope Borough",04,000185,1991,October,10,0,2944,2765,179,6.1
"North Slope Borough",04,000185,1991,November,11,0,2867,2738,129,4.5
"North Slope Borough",04,000185,1991,December,12,0,2852,2734,118,4.1
"North Slope Borough",04,000185,1991,Annual,00,0,2925,2797,128,4.4
"North Slope Borough",04,000185,1992,January,01,0,2831,2703,128,4.5
"North Slope Borough",04,000185,1992,February,02,0,2812,2694,118,4.2
"North Slope Borough",04,000185,1992,March,03,0,2828,2739,89,3.1
"North Slope Borough",04,000185,1992,April,04,0,2811,2697,114,4.1
"North Slope Borough",04,000185,1992,May,05,0,2770,2641,129,4.7
"North Slope Borough",04,000185,1992,June,06,0,2802,2644,158,5.6
"North Slope Borough",04,000185,1992,July,07,0,2821,2693,128,4.5
"North Slope Borough",04,000185,1992,August,08,0,2814,2703,111,3.9
"North Slope Borough",04,000185,1992,September,09,0,2795,2663,132,4.7
"North Slope Borough",04,000185,1992,October,10,0,2892,2782,110,3.8
"North Slope Borough",04,000185,1992,November,11,0,2962,2850,112,3.8
"North Slope Borough",04,000185,1992,December,12,0,2980,2866,114,3.8
"North Slope Borough",04,000185,1992,Annual,00,0,2843,2723,120,4.2
"North Slope Borough",04,000185,1993,January,01,0,2895,2788,107,3.7
"North Slope Borough",04,000185,1993,February,02,0,3039,2883,156,5.1
"North Slope Borough",04,000185,1993,March,03,0,3085,2929,156,5.1
"North Slope Borough",04,000185,1993,April,04,0,2938,2811,127,4.3
"North Slope Borough",04,000185,1993,May,05,0,2912,2772,140,4.8
"North Slope Borough",04,000185,1993,June,06,0,3055,2878,177,5.8
"North Slope Borough",04,000185,1993,July,07,0,2955,2828,127,4.3
"North Slope Borough",04,000185,1993,August,08,0,2949,2802,147,5.0
