"Northwest Arctic Borough NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Northwest Arctic Borough",04,000188,1990,January,01,0,1971,1684,287,14.6
"Northwest Arctic Borough",04,000188,1990,February,02,0,1965,1699,266,13.5
"Northwest Arctic Borough",04,000188,1990,March,03,0,2018,1710,308,15.3
"Northwest Arctic Borough",04,000188,1990,April,04,0,2062,1694,368,17.8
"Northwest Arctic Borough",04,000188,1990,May,05,0,2199,1749,450,20.5
"Northwest Arctic Borough",04,000188,1990,June,06,0,2336,1889,447,19.1
"Northwest Arctic Borough",04,000188,1990,July,07,0,2251,1878,373,16.6
"Northwest Arctic Borough",04,000188,1990,August,08,0,2242,1900,342,15.3
"Northwest Arctic Borough",04,000188,1990,September,09,0,2146,1845,301,14.0
"Northwest Arctic Borough",04,000188,1990,October,10,0,2139,1877,262,12.2
"Northwest Arctic Borough",04,000188,1990,November,11,0,2059,1852,207,10.1
"Northwest Arctic Borough",04,000188,1990,December,12,0,2061,1865,196,9.5
"Northwest Arctic Borough",04,000188,1990,Annual,00,0,2121,1804,317,14.9
"Northwest Arctic Borough",04,000188,1991,January,01,0,2043,1822,221,10.8
"Northwest Arctic Borough",04,000188,1991,February,02,0,2144,1842,302,14.1
"Northwest Arctic Borough",04,000188,1991,March,03,0,2171,1860,311,14.3
"Northwest Arctic Borough",04,000188,1991,April,04,0,2202,1882,320,14.5
"Northwest Arctic Borough",04,000188,1991,May,05,0,2240,1863,377,16.8
"Northwest Arctic Borough",04,000188,1991,June,06,0,2256,1852,404,17.9
"Northwest Arctic Borough",04,000188,1991,July,07,0,2201,1805,396,18.0
"Northwest Arctic Borough",04,000188,1991,August,08,0,2164,1823,341,15.8
"Northwest Arctic Borough",04,000188,1991,September,09,0,2196,1808,388,17.7
"Northwest Arctic Borough",04,000188,1991,October,10,0,2166,1807,359,16.6
"Northwest Arctic Borough",04,000188,1991,November,11,0,2124,1789,335,15.8
"Northwest Arctic Borough",04,000188,1991,December,12,0,2123,1787,336,15.8
"Northwest Arctic Borough",04,000188,1991,Annual,00,0,2169,1828,341,15.7
"Northwest Arctic Borough",04,000188,1992,January,01,0,2094,1716,378,18.1
"Northwest Arctic Borough",04,000188,1992,February,02,0,2119,1710,409,19.3
"Northwest Arctic Borough",04,000188,1992,March,03,0,2118,1738,380,17.9
"Northwest Arctic Borough",04,000188,1992,April,04,0,2117,1712,405,19.1
"Northwest Arctic Borough",04,000188,1992,May,05,0,2153,1676,477,22.2
"Northwest Arctic Borough",04,000188,1992,June,06,0,2200,1679,521,23.7
"Northwest Arctic Borough",04,000188,1992,July,07,0,2181,1710,471,21.6
"Northwest Arctic Borough",04,000188,1992,August,08,0,2191,1716,475,21.7
"Northwest Arctic Borough",04,000188,1992,September,09,0,2171,1691,480,22.1
"Northwest Arctic Borough",04,000188,1992,October,10,0,2214,1765,449,20.3
"Northwest Arctic Borough",04,000188,1992,November,11,0,2244,1810,434,19.3
"Northwest Arctic Borough",04,000188,1992,December,12,0,2202,1819,383,17.4
"Northwest Arctic Borough",04,000188,1992,Annual,00,0,2168,1729,439,20.2
"Northwest Arctic Borough",04,000188,1993,January,01,0,2095,1767,328,15.7
"Northwest Arctic Borough",04,000188,1993,February,02,0,2204,1830,374,17.0
"Northwest Arctic Borough",04,000188,1993,March,03,0,2234,1857,377,16.9
"Northwest Arctic Borough",04,000188,1993,April,04,0,2148,1783,365,17.0
"Northwest Arctic Borough",04,000188,1993,May,05,0,2159,1757,402,18.6
"Northwest Arctic Borough",04,000188,1993,June,06,0,2309,1826,483,20.9
"Northwest Arctic Borough",04,000188,1993,July,07,0,2178,1792,386,17.7
"Northwest Arctic Borough",04,000188,1993,August,08,0,2172,1777,395,18.2
"Northwest Arctic Borough",04,000188,1993,September,09,0,2128,1752,376,17.7
"Northwest Arctic Borough",04,000188,1993,October,10,0,2184,1823,361,16.5
"Northwest Arctic Borough",04,000188,1993,November,11,0,2160,1853,307,14.2
"Northwest Arctic Borough",04,000188,1993,December,12,0,2138,1841,297,13.9
"Northwest Arctic Borough",04,000188,1993,Annual,00,0,2176,1805,371,17.0
"Northwest Arctic Borough",04,000188,1994,January,01,0,2257,1929,328,14.5
"Northwest Arctic Borough",04,000188,1994,February,02,0,2302,1923,379,16.5
"Northwest Arctic Borough",04,000188,1994,March,03,0,2329,1931,398,17.1
"Northwest Arctic Borough",04,000188,1994,April,04,0,2256,1865,391,17.3
"Northwest Arctic Borough",04,000188,1994,May,05,0,2242,1856,386,17.2
"Northwest Arctic Borough",04,000188,1994,June,06,0,2322,1897,425,18.3
"Northwest Arctic Borough",04,000188,1994,July,07,0,2246,1892,354,15.8
"Northwest Arctic Borough",04,000188,1994,August,08,0,2230,1903,327,14.7
"Northwest Arctic Borough",04,000188,1994,September,09,0,2255,1925,330,14.6
"Northwest Arctic Borough",04,000188,1994,October,10,0,2248,1935,313,13.9
"Northwest Arctic Borough",04,000188,1994,November,11,0,2236,1928,308,13.8
"Northwest Arctic Borough",04,000188,1994,December,12,0,2221,1960,261,11.8
"Northwest Arctic Borough",04,000188,1994,Annual,00,0,2262,1912,350,15.5
"Northwest Arctic Borough",04,000188,1995,January,01,0,2210,1864,346,15.7
"Northwest Arctic Borough",04,000188,1995,February,02,0,2207,1848,359,16.3
