"Southeast Fairbanks Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Southeast Fairbanks Census Area",04,000240,1990,January,01,0,2262,1879,383,16.9
"Southeast Fairbanks Census Area",04,000240,1990,February,02,0,2281,1874,407,17.8
"Southeast Fairbanks Census Area",04,000240,1990,March,03,0,2285,1898,387,16.9
"Southeast Fairbanks Census Area",04,000240,1990,April,04,0,2269,1883,386,17.0
"Southeast Fairbanks Census Area",04,000240,1990,May,05,0,2299,1980,319,13.9
"Southeast Fairbanks Census Area",04,000240,1990,June,06,0,2239,2026,213,9.5
"Southeast Fairbanks Census Area",04,000240,1990,July,07,0,2198,2088,110,5.0
"Southeast Fairbanks Census Area",04,000240,1990,August,08,0,2181,2059,122,5.6
"Southeast Fairbanks Census Area",04,000240,1990,September,09,0,2207,2001,206,9.3
"Southeast Fairbanks Census Area",04,000240,1990,October,10,0,2245,1967,278,12.4
"Southeast Fairbanks Census Area",04,000240,1990,November,11,0,2225,1921,304,13.7
"Southeast Fairbanks Census Area",04,000240,1990,December,12,0,2271,1919,352,15.5
"Southeast Fairbanks Census Area",04,000240,1990,Annual,00,0,2247,1958,289,12.9
"Southeast Fairbanks Census Area",04,000240,1991,January,01,0,2160,1774,386,17.9
"Southeast Fairbanks Census Area",04,000240,1991,February,02,0,2161,1766,395,18.3
"Southeast Fairbanks Census Area",04,000240,1991,March,03,0,2134,1777,357,16.7
"Southeast Fairbanks Census Area",04,000240,1991,April,04,0,2111,1807,304,14.4
"Southeast Fairbanks Census Area",04,000240,1991,May,05,0,2139,1853,286,13.4
"Southeast Fairbanks Census Area",04,000240,1991,June,06,0,2162,1893,269,12.4
"Southeast Fairbanks Census Area",04,000240,1991,July,07,0,2157,1929,228,10.6
"Southeast Fairbanks Census Area",04,000240,1991,August,08,0,2123,1929,194,9.1
"Southeast Fairbanks Census Area",04,000240,1991,September,09,0,2145,1932,213,9.9
"Southeast Fairbanks Census Area",04,000240,1991,October,10,0,2166,1929,237,10.9
"Southeast Fairbanks Census Area",04,000240,1991,November,11,0,2194,1907,287,13.1
"Southeast Fairbanks Census Area",04,000240,1991,December,12,0,2219,1890,329,14.8
"Southeast Fairbanks Census Area",04,000240,1991,Annual,00,0,2156,1866,290,13.5
"Southeast Fairbanks Census Area",04,000240,1992,January,01,0,2183,1817,366,16.8
"Southeast Fairbanks Census Area",04,000240,1992,February,02,0,2182,1807,375,17.2
"Southeast Fairbanks Census Area",04,000240,1992,March,03,0,2156,1847,309,14.3
"Southeast Fairbanks Census Area",04,000240,1992,April,04,0,2163,1855,308,14.2
"Southeast Fairbanks Census Area",04,000240,1992,May,05,0,2235,1963,272,12.2
"Southeast Fairbanks Census Area",04,000240,1992,June,06,0,2277,2014,263,11.6
"Southeast Fairbanks Census Area",04,000240,1992,July,07,0,2267,2045,222,9.8
"Southeast Fairbanks Census Area",04,000240,1992,August,08,0,2218,2025,193,8.7
"Southeast Fairbanks Census Area",04,000240,1992,September,09,0,2222,2015,207,9.3
