"Yukon-Koyukuk Census Area NOT SEASONALLY adjusted",
"Area Name","Area Type","Area Code",Year,month,period,"Preliminary if value is 1","Labor Force",Employment,Unemployment,"Unemployment Rate"
"Yukon-Koyukuk Census Area",04,000290,1990,January,01,0,1949,1606,343,17.6
"Yukon-Koyukuk Census Area",04,000290,1990,February,02,0,1903,1601,302,15.9
"Yukon-Koyukuk Census Area",04,000290,1990,March,03,0,1960,1623,337,17.2
"Yukon-Koyukuk Census Area",04,000290,1990,April,04,0,1921,1609,312,16.2
"Yukon-Koyukuk Census Area",04,000290,1990,May,05,0,1973,1694,279,14.1
"Yukon-Koyukuk Census Area",04,000290,1990,June,06,0,2073,1733,340,16.4
"Yukon-Koyukuk Census Area",04,000290,1990,July,07,0,2041,1785,256,12.5
"Yukon-Koyukuk Census Area",04,000290,1990,August,08,0,1936,1761,175,9.0
"Yukon-Koyukuk Census Area",04,000290,1990,September,09,0,1962,1711,251,12.8
"Yukon-Koyukuk Census Area",04,000290,1990,October,10,0,1930,1680,250,13.0
"Yukon-Koyukuk Census Area",04,000290,1990,November,11,0,1931,1642,289,15.0
"Yukon-Koyukuk Census Area",04,000290,1990,December,12,0,1949,1641,308,15.8
"Yukon-Koyukuk Census Area",04,000290,1990,Annual,00,0,1961,1674,287,14.6
"Yukon-Koyukuk Census Area",04,000290,1991,January,01,0,1915,1585,330,17.2
"Yukon-Koyukuk Census Area",04,000290,1991,February,02,0,1940,1580,360,18.6
"Yukon-Koyukuk Census Area",04,000290,1991,March,03,0,1929,1589,340,17.6
"Yukon-Koyukuk Census Area",04,000290,1991,April,04,0,1950,1616,334,17.1
"Yukon-Koyukuk Census Area",04,000290,1991,May,05,0,2013,1656,357,17.7
"Yukon-Koyukuk Census Area",04,000290,1991,June,06,0,2085,1692,393,18.8
"Yukon-Koyukuk Census Area",04,000290,1991,July,07,0,1988,1723,265,13.3
"Yukon-Koyukuk Census Area",04,000290,1991,August,08,0,1995,1726,269,13.5
"Yukon-Koyukuk Census Area",04,000290,1991,September,09,0,2008,1727,281,14.0
"Yukon-Koyukuk Census Area",04,000290,1991,October,10,0,2050,1725,325,15.9
"Yukon-Koyukuk Census Area",04,000290,1991,November,11,0,1997,1705,292,14.6
"Yukon-Koyukuk Census Area",04,000290,1991,December,12,0,1999,1689,310,15.5
"Yukon-Koyukuk Census Area",04,000290,1991,Annual,00,0,1989,1668,321,16.1
"Yukon-Koyukuk Census Area",04,000290,1992,January,01,0,1974,1598,376,19.0
"Yukon-Koyukuk Census Area",04,000290,1992,February,02,0,2022,1590,432,21.4
"Yukon-Koyukuk Census Area",04,000290,1992,March,03,0,2055,1625,430,20.9
"Yukon-Koyukuk Census Area",04,000290,1992,April,04,0,1983,1631,352,17.8
"Yukon-Koyukuk Census Area",04,000290,1992,May,05,0,2119,1727,392,18.5
"Yukon-Koyukuk Census Area",04,000290,1992,June,06,0,2289,1771,518,22.6
"Yukon-Koyukuk Census Area",04,000290,1992,July,07,0,2153,1800,353,16.4
"Yukon-Koyukuk Census Area",04,000290,1992,August,08,0,2115,1781,334,15.8
"Yukon-Koyukuk Census Area",04,000290,1992,September,09,0,2114,1773,341,16.1
"Yukon-Koyukuk Census Area",04,000290,1992,October,10,0,1966,1691,275,14.0
"Yukon-Koyukuk Census Area",04,000290,1992,November,11,0,2000,1708,292,14.6
"Yukon-Koyukuk Census Area",04,000290,1992,December,12,0,1979,1695,284,14.4
"Yukon-Koyukuk Census Area",04,000290,1992,Annual,00,0,2064,1699,365,17.7
"Yukon-Koyukuk Census Area",04,000290,1993,January,01,0,1853,1608,245,13.2
"Yukon-Koyukuk Census Area",04,000290,1993,February,02,0,1914,1588,326,17.0
"Yukon-Koyukuk Census Area",04,000290,1993,March,03,0,1951,1616,335,17.2
"Yukon-Koyukuk Census Area",04,000290,1993,April,04,0,1942,1624,318,16.4
"Yukon-Koyukuk Census Area",04,000290,1993,May,05,0,2105,1740,365,17.3
"Yukon-Koyukuk Census Area",04,000290,1993,June,06,0,2117,1771,346,16.3
"Yukon-Koyukuk Census Area",04,000290,1993,July,07,0,2085,1772,313,15.0
"Yukon-Koyukuk Census Area",04,000290,1993,August,08,0,2024,1785,239,11.8
"Yukon-Koyukuk Census Area",04,000290,1993,September,09,0,2042,1770,272,13.3
"Yukon-Koyukuk Census Area",04,000290,1993,October,10,0,2030,1720,310,15.3
"Yukon-Koyukuk Census Area",04,000290,1993,November,11,0,2046,1731,315,15.4
"Yukon-Koyukuk Census Area",04,000290,1993,December,12,0,1948,1684,264,13.6
"Yukon-Koyukuk Census Area",04,000290,1993,Annual,00,0,2005,1701,304,15.2
"Yukon-Koyukuk Census Area",04,000290,1994,January,01,0,1829,1538,291,15.9
"Yukon-Koyukuk Census Area",04,000290,1994,February,02,0,1897,1527,370,19.5
"Yukon-Koyukuk Census Area",04,000290,1994,March,03,0,1933,1524,409,21.2
"Yukon-Koyukuk Census Area",04,000290,1994,April,04,0,1914,1559,355,18.5
"Yukon-Koyukuk Census Area",04,000290,1994,May,05,0,1977,1635,342,17.3
"Yukon-Koyukuk Census Area",04,000290,1994,June,06,0,1984,1683,301,15.2
"Yukon-Koyukuk Census Area",04,000290,1994,July,07,0,2062,1715,347,16.8
"Yukon-Koyukuk Census Area",04,000290,1994,August,08,0,2009,1700,309,15.4
"Yukon-Koyukuk Census Area",04,000290,1994,September,09,0,1950,1691,259,13.3
"Yukon-Koyukuk Census Area",04,000290,1994,October,10,0,1892,1645,247,13.1
"Yukon-Koyukuk Census Area",04,000290,1994,November,11,0,1909,1625,284,14.9
"Yukon-Koyukuk Census Area",04,000290,1994,December,12,0,1860,1609,251,13.5
"Yukon-Koyukuk Census Area",04,000290,1994,Annual,00,0,1935,1621,314,16.2
"Yukon-Koyukuk Census Area",04,000290,1995,January,01,0,1983,1597,386,19.5
"Yukon-Koyukuk Census Area",04,000290,1995,February,02,0,1989,1578,411,20.7
"Yukon-Koyukuk Census Area",04,000290,1995,March,03,0,1976,1580,396,20.0
"Yukon-Koyukuk Census Area",04,000290,1995,April,04,0,1921,1622,299,15.6
"Yukon-Koyukuk Census Area",04,000290,1995,May,05,0,2080,1697,383,18.4
"Yukon-Koyukuk Census Area",04,000290,1995,June,06,0,2201,1752,449,20.4
"Yukon-Koyukuk Census Area",04,000290,1995,July,07,0,2159,1758,401,18.6
"Yukon-Koyukuk Census Area",04,000290,1995,August,08,0,2084,1754,330,15.8
"Yukon-Koyukuk Census Area",04,000290,1995,September,09,0,2010,1736,274,13.6
"Yukon-Koyukuk Census Area",04,000290,1995,October,10,0,1986,1691,295,14.9
"Yukon-Koyukuk Census Area",04,000290,1995,November,11,0,1998,1683,315,15.8
"Yukon-Koyukuk Census Area",04,000290,1995,December,12,0,1961,1646,315,16.1
"Yukon-Koyukuk Census Area",04,000290,1995,Annual,00,0,2030,1675,355,17.5
"Yukon-Koyukuk Census Area",04,000290,1996,January,01,0,1960,1590,370,18.9
"Yukon-Koyukuk Census Area",04,000290,1996,February,02,0,1972,1597,375,19.0
"Yukon-Koyukuk Census Area",04,000290,1996,March,03,0,2023,1609,414,20.5
"Yukon-Koyukuk Census Area",04,000290,1996,April,04,0,2060,1652,408,19.8
"Yukon-Koyukuk Census Area",04,000290,1996,May,05,0,2169,1735,434,20.0
"Yukon-Koyukuk Census Area",04,000290,1996,June,06,0,2215,1802,413,18.6
"Yukon-Koyukuk Census Area",04,000290,1996,July,07,0,2155,1818,337,15.6
"Yukon-Koyukuk Census Area",04,000290,1996,August,08,0,2039,1787,252,12.4
"Yukon-Koyukuk Census Area",04,000290,1996,September,09,0,2000,1762,238,11.9
"Yukon-Koyukuk Census Area",04,000290,1996,October,10,0,2064,1767,297,14.4
"Yukon-Koyukuk Census Area",04,000290,1996,November,11,0,2065,1728,337,16.3
"Yukon-Koyukuk Census Area",04,000290,1996,December,12,0,2051,1695,356,17.4
"Yukon-Koyukuk Census Area",04,000290,1996,Annual,00,0,2065,1712,353,17.1
"Yukon-Koyukuk Census Area",04,000290,1997,January,01,0,1989,1621,368,18.5
"Yukon-Koyukuk Census Area",04,000290,1997,February,02,0,2026,1628,398,19.6
"Yukon-Koyukuk Census Area",04,000290,1997,March,03,0,2024,1637,387,19.1
"Yukon-Koyukuk Census Area",04,000290,1997,April,04,0,1962,1664,298,15.2
"Yukon-Koyukuk Census Area",04,000290,1997,May,05,0,2029,1742,287,14.1
"Yukon-Koyukuk Census Area",04,000290,1997,June,06,0,2076,1786,290,14.0
"Yukon-Koyukuk Census Area",04,000290,1997,July,07,0,2042,1809,233,11.4
"Yukon-Koyukuk Census Area",04,000290,1997,August,08,0,1978,1786,192,9.7
"Yukon-Koyukuk Census Area",04,000290,1997,September,09,0,2025,1778,247,12.2
"Yukon-Koyukuk Census Area",04,000290,1997,October,10,0,1996,1772,224,11.2
"Yukon-Koyukuk Census Area",04,000290,1997,November,11,0,2002,1742,260,13.0
"Yukon-Koyukuk Census Area",04,000290,1997,December,12,0,1961,1725,236,12.0
"Yukon-Koyukuk Census Area",04,000290,1997,Annual,00,0,2009,1724,285,14.2
"Yukon-Koyukuk Census Area",04,000290,1998,January,01,0,2070,1760,310,15.0
"Yukon-Koyukuk Census Area",04,000290,1998,February,02,0,2093,1755,338,16.1
"Yukon-Koyukuk Census Area",04,000290,1998,March,03,0,2110,1763,347,16.4
"Yukon-Koyukuk Census Area",04,000290,1998,April,04,0,2073,1787,286,13.8
"Yukon-Koyukuk Census Area",04,000290,1998,May,05,0,2152,1873,279,13.0
"Yukon-Koyukuk Census Area",04,000290,1998,June,06,0,2209,1913,296,13.4
"Yukon-Koyukuk Census Area",04,000290,1998,July,07,0,2217,1939,278,12.5
"Yukon-Koyukuk Census Area",04,000290,1998,August,08,0,2138,1904,234,10.9
"Yukon-Koyukuk Census Area",04,000290,1998,September,09,0,2112,1876,236,11.2
"Yukon-Koyukuk Census Area",04,000290,1998,October,10,0,2068,1851,217,10.5
"Yukon-Koyukuk Census Area",04,000290,1998,November,11,0,2102,1823,279,13.3
"Yukon-Koyukuk Census Area",04,000290,1998,December,12,0,2068,1806,262,12.7
"Yukon-Koyukuk Census Area",04,000290,1998,Annual,00,0,2118,1838,280,13.2
"Yukon-Koyukuk Census Area",04,000290,1999,January,01,0,2063,1737,326,15.8
"Yukon-Koyukuk Census Area",04,000290,1999,February,02,0,2098,1729,369,17.6
