X,Y,OBJECTID,Place,Geo_Src,e_Pop_Age_Total,m_Pop_Age_Total,e_Pop_Age_under_5,m_Pop_Age_under_5,e_Pop_Age_5_9,m_Pop_Age_5_9,e_Pop_Age_10_14,m_Pop_Age_10_14,e_Pop_Age_15_19,m_Pop_Age_15_19,e_Pop_Age_20_24,m_Pop_Age_20_24,e_Pop_Age_25_34,m_Pop_Age_25_34,e_Pop_Age_35_44,m_Pop_Age_35_44,e_Pop_Age_45_54,m_Pop_Age_45_54,e_Pop_Age_55_59,m_Pop_Age_55_59,e_Pop_Age_60_64,m_Pop_Age_60_64,e_Pop_Age_65_74,m_Pop_Age_65_74,e_Pop_Age_75_84,m_Pop_Age_75_84,e_Pop_Age_85_plus,m_Pop_Age_85_plus,e_Pop_Age_Median_age,m_Pop_Age_Median_age,e_Pop_Age_under_18,m_Pop_Age_under_18,e_Pop_Age_18_plus,m_Pop_Age_18_plus,e_Pop_Age_21_plus,m_Pop_Age_21_plus,e_Pop_Age_62_plus,m_Pop_Age_62_plus,e_Pop_Age_65_plus,m_Pop_Age_65_plus,Start_Year,End_Year,PlaceID,IsMostRecent
-16911618.9820708,9826137.26375013,1,Alaska,S,700703,,52380,235,49409,987,51467,1016,53532,456,55110,546,98377,563,94875,584,110271,456,49663,933,32938,883,33611,267,14829,404,4241,381,33.8,0.1,,,514606,328,482621,744,70676,709,52681,273,2007,2011,{FBDAD97E-3A9C-4408-A295-197720B2C16C},
-17864787.2224834,7429017.81475925,2,Aleutians East Borough,C,3084,,62,52,49,30,65,43,105,44,338,118,668,156,633,157,699,112,278,81,74,37,100,71,10,10,3,4,39.3,2.1,,,2863,136,2758,140,171,77,113,74,2007,2011,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},
-19852584.4046835,6792787.78010287,3,Aleutians West Census Area,C,5488,,191,49,251,71,224,48,217,49,369,108,863,157,1018,163,1264,180,509,131,299,124,226,119,53,37,4,5,41.5,2,,,4663,149,4531,144,391,155,283,148,2007,2011,{62DAD683-3FFC-4453-9FD2-D2EE794E9231},
-16686218.0875525,8675653.72291914,4,Anchorage,C,287390,,21326,,19890,772,20549,772,21121,131,24441,131,43588,84,39512,119,44430,84,18712,595,13075,597,12950,111,6084,292,1712,297,33,0.2,,,212674,,199915,444,28166,496,20746,80,2007,2011,{41989645-CCA3-466B-9817-909C7EBD3FF1},
-17828194.9368115,8609515.82662756,5,Bethel Census Area,C,16973,,1781,44,1635,115,1715,114,1727,82,1333,51,2197,122,2151,101,2019,66,956,106,484,68,590,22,314,44,71,31,25.9,0.4,,,10786,38,9799,84,1277,66,975,23,2007,2011,{5F365A90-E7FE-4110-A895-042798D82840},
-17479082.6841936,8121685.35202224,6,Bristol Bay Borough,C,1035,105,49,28,58,23,103,33,82,29,48,27,111,38,111,30,239,53,115,35,45,25,51,28,13,9,10,9,41.9,6.6,,,768,78,737,74,97,38,74,33,2007,2011,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A},
-16587254.777931,9316925.80601147,7,Denali Borough,C,1770,250,114,40,84,41,89,46,131,79,48,42,183,101,328,88,468,147,207,73,30,21,79,54,9,13,0,78,42.8,5.3,,,1416,216,1352,210,101,59,88,56,2007,2011,{E39576F3-5473-4050-AD4E-430B55770A08},
-17649411.3818178,8181381.18887475,8,Dillingham Census Area,C,4845,,418,32,387,53,473,53,507,34,384,24,562,31,517,33,728,30,310,50,205,53,224,22,103,15,27,17,29.1,0.6,,,3238,32,2960,50,479,40,354,27,2007,2011,{B7761367-B709-408C-BD0F-D9C9E2C5943F},
-16444751.118177,9567696.47175318,9,Fairbanks North Star Borough,C,96161,,7732,78,6882,382,6232,387,7058,166,10188,189,15564,199,12651,252,13439,182,6267,388,4115,385,3972,103,1662,159,399,133,30.8,0.3,,,71348,,66447,366,8310,358,6033,97,2007,2011,{B5ACCECA-F853-4F79-AD96-1CCA33463183},
-15077988.5827901,8231204.39941615,10,Haines Borough,C,2519,250,157,72,141,82,192,96,82,49,78,48,346,100,332,117,386,106,253,127,160,85,204,65,121,65,67,67,44,3.9,,,1975,214,1943,208,509,87,392,72,2007,2011,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518},
