X,Y,OBJECTID,Place,Geo_Src,e_Households_Total,m_Households_Total,e_Household_Inc_under_10000,m_Household_Inc_under_10000,e_Household_Inc_10000_14999,m_Household_Inc_10000_14999,e_Household_Inc_25000_34999,m_Household_Inc_25000_34999,e_Household_Inc_35000_49999,m_Household_Inc_35000_49999,e_Household_Inc_50000_74999,m_Household_Inc_50000_74999,e_Household_Inc_75000_99999,m_Household_Inc_75000_99999,e_Household_Inc_100000_149999,m_Household_Inc_100000_149999,e_Household_Inc_15000_24999,m_Household_Inc_15000_24999,e_Household_Inc_150000_199999,m_Household_Inc_150000_199999,e_Household_Inc_200000_Plus,m_Household_Inc_200000_Plus,e_Household_Median_Income,m_Household_Median_Income,e_Household_Mean_Income,m_Household_Mean_Income,e_Household_With_Earnings,m_Household_With_Earnings,e_Household_Mean_Earnings,m_Household_Mean_Earnings,e_Household_With_SS,m_Household_With_SS,e_Household_Mean_SS_Income,m_Household_Mean_SS_Income,e_Household_Mean_Retire_Inc,m_Household_Mean_Retire_Inc,e_Household_Mean_Sup_SS_Inc,m_Household_Mean_Sup_SS_Inc,e_Household_Mean_Assist_Inc,m_Household_Mean_Assist_Inc,Start_Year,End_Year,IsMostRecent,PlaceID
-16911618.9820708,9826137.26375013,1,Alaska,S,252920,1108,9605,574,9211,618,18350,780,21058,924,30298,1014,48326,1192,38715,1139,47090,1281,17929,737,12338,653,69014,793,84767,1076,222399,1273,79657,1086,46017,924,14674,235,29015,974,8304,356,4059,189,2007,2011,,{FBDAD97E-3A9C-4408-A295-197720B2C16C}
-17864787.2224834,7429017.81475925,2,Aleutians East Borough,C,336,210,8,9,5,8,49,33,32,26,39,29,100,62,43,34,32,28,20,16,8,9,57083,6368,67263,6078,316,196,61669,6307,41,28,18376,4047,9010,4670,14400,15676,5545,2355,2007,2011,,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C}
-19852584.4046835,6792787.78010287,3,Aleutians West Census Area,C,1255,290,63,26,33,21,98,39,73,30,132,74,226,63,230,80,273,71,98,42,29,20,75179,5608,82729,6187,1154,274,79381,6329,122,41,12674,1793,21486,5133,9783,2622,7287,2125,2007,2011,,{62DAD683-3FFC-4453-9FD2-D2EE794E9231}
-16686218.0875525,8675653.72291914,4,Anchorage,C,105123,773,2964,355,3310,449,5997,504,8149,665,12471,738,19287,878,16706,828,20117,867,8937,586,7185,531,75485,1150,94073,1907,94161,901,88729,1969,17145,642,15276,489,30790,2169,8593,616,3966,329,2007,2011,,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-17828194.9368115,8609515.82662756,5,Bethel Census Area,C,4295,177,307,62,242,47,439,74,508,90,583,85,742,102,445,109,562,110,310,109,157,69,52063,3199,69727,3725,3815,195,65333,3746,855,69,10987,640,16875,3691,6098,616,5043,452,2007,2011,,{5F365A90-E7FE-4110-A895-042798D82840}
-17479082.6841936,8121685.35202224,6,Bristol Bay Borough,C,424,53,18,13,5,12,15,10,18,11,48,21,95,26,48,18,113,36,44,19,20,14,80000,18349,91508,6678,387,51,86492,5817,75,27,14137,2506,24887,8501,7407,2367,3320,1185,2007,2011,,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A}
-16587254.777931,9316925.80601147,7,Denali Borough,C,699,89,17,19,37,35,25,26,24,22,94,46,132,53,169,56,127,54,57,43,17,20,82898,19141,83741,10132,627,88,74709,9091,101,46,16680,2885,31825,3825,11600,8954,3350,73,2007,2011,,{E39576F3-5473-4050-AD4E-430B55770A08}
-17649411.3818178,8181381.18887475,8,Dillingham Census Area,C,1369,84,86,29,59,24,128,33,102,34,199,41,301,46,165,40,177,45,77,27,75,35,57681,3857,74417,5070,1258,81,69183,5377,252,37,13006,1411,16306,4657,10036,2101,4218,755,2007,2011,,{B7761367-B709-408C-BD0F-D9C9E2C5943F}
-16444751.118177,9567696.47175318,9,Fairbanks North Star Borough,C,35583,577,1592,291,1203,229,2360,352,3147,389,4086,514,6961,435,5966,620,6737,560,2243,362,1288,230,68922,2076,81952,2950,31477,620,76782,3048,5167,313,14592,735,30447,2136,7428,1028,4239,705,2007,2011,,{B5ACCECA-F853-4F79-AD96-1CCA33463183}
-15077988.5827901,8231204.39941615,10,Haines Borough,C,1176,120,37,39,88,60,132,66,31,29,276,102,271,93,175,83,71,50,52,39,43,48,51667,8055,66432,11460,1001,132,55567,12293,370,94,14882,1742,29617,5538,6870,6746,2198,1006,2007,2011,,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518}
-15048736.4948378,7983383.94265552,11,Hoonah-Angoon Census Area,C,966,108,63,33,74,31,115,41,112,32,123,37,171,41,145,40,110,32,37,25,16,14,49545,5494,61984,6704,808,109,55368,8057,246,45,15155,1455,23041,4737,7590,2810,4352,1231,2007,2011,,{967B027B-54A6-488D-841D-F748CE107A1A}
-14962078.6937559,8030570.02206249,12,Juneau,C,12379,243,352,142,256,77,662,175,626,154,1442,200,2605,320,2027,242,2827,280,977,183,605,133,77465,4021,93994,4457,11038,341,85942,4974,2319,214,15230,1180,32288,2788,8768,3462,3884,744,2007,2011,,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF}
-16817185.4041281,8509544.53082017,13,Kenai Peninsula Borough,C,22390,433,1173,185,1072,217,2353,247,2379,273,2503,252,4358,282,2737,293,3987,318,1176,169,652,119,59256,2629,73367,2208,18329,470,68935,2176,5515,352,14848,508,29937,3821,8754,890,3748,485,2007,2011,,{3D00FF95-7311-402B-9DD4-1CE3321F245E}
-14657139.8094437,7429930.42392975,14,Ketchikan Gateway Borough,C,5479,238,304,119,192,79,558,162,480,130,760,197,1028,188,719,156,1028,181,257,90,153,73,57243,5285,71835,4155,4706,285,66501,4490,1255,148,12586,1074,23753,2761,11353,2956,4935,2038,2007,2011,,{E60C34A3-5913-4148-9A40-D84C112C6316}
