X,Y,OBJECTID,Place,Geo_Src,e_Total_Units,m_Total_Units,e_Total_Occupied_Units,m_Total_Occupied_Units,e_Vacant_Units,m_Vacant_Units,e_Owner_Vacancy_Rate,m_Owner_Vacancy_Rate,e_Rental_Vacancy_Rate,m_Rental_Vacancy_Rate,Start_Year,End_Year,PlaceID
-16911618.9820708,9826137.26375013,1,Alaska,S,304373,160,252920,1108,51453,1099,1.4,0.2,5.5,0.5,2007,2011,{FBDAD97E-3A9C-4408-A295-197720B2C16C}
-17864787.2224834,7429017.81475925,2,Aleutians East Borough,C,535,215,336,210,199,30,9.8,8.8,6.3,6.4,2007,2011,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C}
-19852584.4046835,6792787.78010287,3,Aleutians West Census Area,C,2268,295,1255,290,1013,45,5.1,2.4,13.2,4,2007,2011,{62DAD683-3FFC-4453-9FD2-D2EE794E9231}
-16686218.0875525,8675653.72291914,4,Anchorage,C,112804,338,105123,773,7681,714,1.2,0.4,4.1,0.8,2007,2011,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-17828194.9368115,8609515.82662756,5,Bethel Census Area,C,5884,51,4295,177,1589,169,0.1,0.2,6.1,3.1,2007,2011,{5F365A90-E7FE-4110-A895-042798D82840}
-17479082.6841936,8121685.35202224,6,Bristol Bay Borough,C,952,46,424,53,528,38,1.9,2.2,17.3,6.7,2007,2011,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A}
-16587254.777931,9316925.80601147,7,Denali Borough,C,1507,91,699,89,808,100,2.7,2,8,7,2007,2011,{E39576F3-5473-4050-AD4E-430B55770A08}
-17649411.3818178,8181381.18887475,8,Dillingham Census Area,C,2416,46,1369,84,1047,69,1,1.3,11.7,4.5,2007,2011,{B7761367-B709-408C-BD0F-D9C9E2C5943F}
-16444751.118177,9567696.47175318,9,Fairbanks North Star Borough,C,41191,224,35583,577,5608,506,1.1,0.7,8.1,1.6,2007,2011,{B5ACCECA-F853-4F79-AD96-1CCA33463183}
-15077988.5827901,8231204.39941615,10,Haines Borough,C,1668,142,1176,120,492,124,3.5,4,7.2,8.2,2007,2011,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518}
-15048736.4948378,7983383.94265552,11,Hoonah-Angoon Census Area,C,1761,92,966,108,795,66,6,3,10.2,5.5,2007,2011,{967B027B-54A6-488D-841D-F748CE107A1A}
-14962078.6937559,8030570.02206249,12,Juneau,C,13049,133,12379,243,670,185,1.3,0.9,2,1.4,2007,2011,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF}
-16817185.4041281,8509544.53082017,13,Kenai Peninsula Borough,C,30137,242,22390,433,7747,357,1.5,0.6,3.8,1.1,2007,2011,{3D00FF95-7311-402B-9DD4-1CE3321F245E}
-14657139.8094437,7429930.42392975,14,Ketchikan Gateway Borough,C,6182,102,5479,238,703,199,1.5,1.6,11.3,6.1,2007,2011,{E60C34A3-5913-4148-9A40-D84C112C6316}
-16964836.6934302,7923993.22957199,15,Kodiak Island Borough,C,5323,100,4445,198,878,201,1.8,2.3,3.2,2.4,2007,2011,{2A6D400C-A4AB-4D07-92B6-DA9584C8C852}
-17461200.9527081,7980415.41283284,16,Lake and Peninsula Borough,C,1605,62,562,65,1043,47,0.8,1.3,8.5,4.3,2007,2011,{08965FEC-CECD-4B69-9010-FEC9535D56A9}
-16598667.700856,8764845.10272645,17,Matanuska-Susitna Borough,C,40206,134,30609,429,9597,397,1.8,0.6,5.7,1.5,2007,2011,{851E4746-8FE8-4393-9369-E3F9F1633855}
-18284961.2940734,9564519.04249024,18,Nome Census Area,C,3975,45,2756,136,1219,133,0.4,0.4,5.5,3,2007,2011,{6825185D-29C7-42DB-A603-4F37EDDF219C}
-17452941.2456418,11502979.9634856,19,North Slope Borough,C,2517,128,1966,160,551,97,1.9,2.6,6.8,3.5,2007,2011,{2DA35656-FC1D-4370-A191-64BB54EB5787}
-18100557.8568522,10126255.5868285,20,Northwest Arctic Borough,C,2699,56,1797,94,902,72,1.5,2,4.6,2.3,2007,2011,{351F5989-A7A7-4518-A5E4-E67316B8C2DD}
-14800532.6582321,7721876.6231104,21,Petersburg Census Area,C,2049,110,1564,138,485,86,2.6,1.9,7.1,6.6,2007,2011,{7737E8B0-0AD4-44D1-B699-FF5E01E8AE3B}
-14791655.2627998,7442966.61866863,22,Prince of Wales-Hyder Census Area,C,2996,44,2351,92,645,93,0.8,0.7,9.2,3.5,2007,2011,{7ED5387A-A8FC-42E5-B364-246EE5926A4D}
-15065826.601253,7770144.80039453,23,Sitka,C,4078,66,3632,163,446,146,0.3,0.4,1.5,2.4,2007,2011,{99E9981F-255D-4678-9D2E-704DC07798D6}
-15062828.5556362,8279546.78541121,24,Skagway,C,638,82,430,90,208,44,0,8.7,6.3,9.2,2007,2011,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9}
-15943021.6241255,9315564.93027635,25,Southeast Fairbanks Census Area,C,3873,197,2523,220,1350,109,2.4,2,10.2,3.7,2007,2011,{9E47F9E2-5A8D-4DD2-96DE-4A9F52F35A57}
-16114687.4108778,8722067.99700202,26,Valdez-Cordova Census Area,C,6031,97,3793,181,2238,163,2.1,1.3,9.2,5.5,2007,2011,{47D3091E-8C06-4BC8-B4D6-CF0ECF3B0F54}
-18166327.890096,8926584.6256831,27,Kusilvak Census Area,C,2177,26,1714,66,463,61,0.4,0.5,1.4,1.1,2007,2011,{EF9C5E4E-265E-4453-B87F-401952925FE6}
-14736875.9211032,7652635.44015356,28,Wrangell,C,1376,97,1004,78,372,75,2.7,2.7,9.2,11.1,2007,2011,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1}
-15556902.4498982,8302149.31659159,29,Yakutat,C,449,38,259,45,190,30,0,17.1,5.6,4.9,2007,2011,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B}
-16812037.2290032,9668260.5175691,30,Yukon-Koyukuk Census Area,C,4027,56,2041,97,1986,79,1.3,0.8,14.5,4,2007,2011,{1F2FC561-C032-423A-85B7-32591979EA75}
-19663507.7911574,6776337.60629079,31,Adak,P,824,42,54,25,770,38,32.3,14.9,62.5,14.3,2007,2011,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86}
-17162487.1875705,7749255.80747254,32,Akhiok,P,39,25,38,23,1,4,0,46.7,0,98.3,2007,2011,{68670103-A544-40F0-AD9E-7215DEC2434C}
-17972431.0159371,8606059.10759937,33,Akiachak,P,169,27,145,29,24,11,0,18.8,3,9.5,2007,2011,{D381614D-1B3D-4C01-A916-B139441D4A88}
-17948041.6926256,8604612.88598838,34,Akiak,P,98,19,89,20,9,6,0,31.6,0,46.7,2007,2011,{B9E3D976-5DA3-4850-884A-E7818D521898}
-18453825.976754,7195635.68739133,35,Akutan,P,22,15,18,14,4,5,0,92,0,82.3,2007,2011,{D57C95FC-45D5-44E0-B99B-5325C15EBE66}
-18330707.5476733,9023905.19268546,36,Alakanuk,P,166,20,144,21,22,11,0,21.7,0,37.9,2007,2011,{8142710A-7405-430F-9A0B-C44338B4B31A}
-16998632.6281501,10030290.617505,37,Alatna,P,7,4,2,4,5,4,,,33.3,65.4,2007,2011,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB}
-15697227.7428421,9008184.66778997,38,Alcan Border,P,17,15,12,17,5,8,,,29.4,61.6,2007,2011,{3A2BEA63-41B6-445E-BF20-B04461C94803}
-17657678.5273638,8240980.59809748,39,Aleknagik,P,125,22,65,21,60,15,0,42.2,18.2,21.7,2007,2011,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9}
-17018639.3674516,7968179.28755084,40,Aleneva,P,10,17,10,17,0,78,,,0,82.3,2007,2011,{29D4602C-A471-4961-BBEC-AB22938F5F26}
-16992862.437114,10031835.3089084,41,Allakaket,P,58,14,38,14,20,8,0,61.3,0,58.2,2007,2011,{D9E1C7EB-2990-486A-BEC6-DF457C95E944}
-17572508.2979883,10180738.1984948,42,Ambler,P,100,18,63,15,37,12,0,35.8,16.7,20.5,2007,2011,{E98663F6-E635-4427-85F1-48E3042D196E}
-16891159.3456548,10489279.941021,43,Anaktuvuk Pass,P,129,28,110,30,19,11,0,33.4,5.1,8.1,2007,2011,{C8F22DE3-2D24-49CD-A867-3855226D712F}
-16902085.2269946,8350131.34239944,44,Anchor Point,P,1285,82,959,95,326,58,2.7,2.1,5.4,6.7,2007,2011,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83}
-16686218.0875525,8675653.72291914,45,Anchorage,P,112804,338,105123,773,7681,714,1.2,0.4,4.1,0.8,2007,2011,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-16607841.8425473,9437496.73630837,46,Anderson,P,169,36,96,33,73,23,4.8,7,0,63.1,2007,2011,{3999FA6E-F8E0-4528-9406-C991F8BB8C52}
-14981471.2754118,7862919.3185571,47,Angoon,P,251,49,166,45,85,27,10.8,10.8,0,23.1,2007,2011,{B81542E6-6232-4F35-AEC4-F6C46F2BBDE1}
-17758530.6291833,8759944.08337012,48,Aniak,P,228,29,193,31,35,15,0,18.6,5.3,8,2007,2011,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060}
-17833307.7073289,9015553.00610678,49,Anvik,P,53,14,36,14,17,9,0,61.3,0,61.3,2007,2011,{AED9D55C-5519-4DA0-A4A7-28349D8498CD}
-16200942.2921759,10485277.8122488,50,Arctic Village,P,68,17,46,15,22,11,0,41.6,30,39.4,2007,2011,{3FD9E5F5-DE1E-47BC-A8FC-ECEFCA7C2EA8}
-19391877.4279502,6835970.93964706,51,Atka,P,47,15,24,13,23,9,0,55.5,66.7,60,2007,2011,{C80F8014-AF4E-4834-B4A8-DED62C0786C1}
-18064527.563622,8593130.12141586,52,Atmautluak,P,66,20,63,19,3,5,0,36.2,0,75.1,2007,2011,{887F3239-34EE-4A3A-9B7A-522E212DA730}
