X,Y,OBJECTID,Place,Geo_Src,e_Per_Capita_Income,m_Per_Capita_Income,e_median_Household_Income,m_median_Household_Income,e_median_Family_Income,m_median_Family_Income,e_Pop_of_Poverty_Det,m_Pop_of_Poverty_Det,e_Pop_Below_125pct_Poverty,m_Pop_Below_125pct_Poverty,e_Pop_Below_Poverty,m_Pop_Below_Poverty,e_Pop_18_64_of_Poverty_Det,m_Pop_18_64_of_Poverty_Det,e_Pop_18_64_Below_Poverty,m_Pop_18_64_Below_Poverty,e_Pop_65_plus_of_Poverty_Det,m_Pop_65_plus_of_Poverty_Det,e_Pop_65_plus_Below_Poverty,m_Pop_65_plus_Below_Poverty,e_Pop_under_18_of_Poverty_Det,m_Pop_under_18_of_Poverty_Det,e_Pop_under_18_Below_Poverty,m_Pop_under_18_Below_Poverty,e_Households_Below_Poverty,m_Households_Below_Poverty,Start_Year,End_Year,PlaceID
-16911618.9820708,9826137.26375013,3463,Alaska,S,31944,423,69014,793,80178,993,,,,,,,,,,,,,,,,,,,11032,661,2007,2011,{FBDAD97E-3A9C-4408-A295-197720B2C16C}
-17864787.2224834,7429017.81475925,3464,Aleutians East Borough,C,24387,3218,57083,6368,61429,9122,,,,,,,,,,,,,,,,,,,21,17,2007,2011,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C}
-19852584.4046835,6792787.78010287,3465,Aleutians West Census Area,C,31188,2765,75179,5608,77560,11704,,,,,,,,,,,,,,,,,,,34,20,2007,2011,{62DAD683-3FFC-4453-9FD2-D2EE794E9231}
-16686218.0875525,8675653.72291914,3466,Anchorage,C,35580,672,75485,1150,87708,1548,,,,,,,,,,,,,,,,,,,3804,458,2007,2011,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-17828194.9368115,8609515.82662756,3467,Bethel Census Area,C,18392,955,52063,3199,56554,3229,,,,,,,,,,,,,,,,,,,571,66,2007,2011,{5F365A90-E7FE-4110-A895-042798D82840}
-17479082.6841936,8121685.35202224,3468,Bristol Bay Borough,C,35981,3913,80000,18349,93542,14786,,,,,,,,,,,,,,,,,,,10,9,2007,2011,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A}
-16587254.777931,9316925.80601147,3469,Denali Borough,C,38804,6459,82898,19141,87750,18701,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{E39576F3-5473-4050-AD4E-430B55770A08}
-17649411.3818178,8181381.18887475,3470,Dillingham Census Area,C,22603,1402,57681,3857,62760,8359,,,,,,,,,,,,,,,,,,,120,37,2007,2011,{B7761367-B709-408C-BD0F-D9C9E2C5943F}
-16444751.118177,9567696.47175318,3471,Fairbanks North Star Borough,C,31532,1084,68922,2076,79015,3545,,,,,,,,,,,,,,,,,,,1291,268,2007,2011,{B5ACCECA-F853-4F79-AD96-1CCA33463183}
-15077988.5827901,8231204.39941615,3472,Haines Borough,C,30090,3990,51667,8055,67206,12490,,,,,,,,,,,,,,,,,,,17,23,2007,2011,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518}
-15048736.4948378,7983383.94265552,3473,Hoonah-Angoon Census Area,C,28398,3404,49545,5494,55972,11313,,,,,,,,,,,,,,,,,,,73,29,2007,2011,{967B027B-54A6-488D-841D-F748CE107A1A}
-14962078.6937559,8030570.02206249,3474,Juneau,C,37294,1611,77465,4021,91454,4157,,,,,,,,,,,,,,,,,,,351,108,2007,2011,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF}
-16817185.4041281,8509544.53082017,3475,Kenai Peninsula Borough,C,30256,941,59256,2629,73196,1918,,,,,,,,,,,,,,,,,,,806,144,2007,2011,{3D00FF95-7311-402B-9DD4-1CE3321F245E}
-14657139.8094437,7429930.42392975,3476,Ketchikan Gateway Borough,C,29998,1595,57243,5285,81815,5855,,,,,,,,,,,,,,,,,,,167,65,2007,2011,{E60C34A3-5913-4148-9A40-D84C112C6316}
-16964836.6934302,7923993.22957199,3477,Kodiak Island Borough,C,26720,1322,66326,5525,68289,10393,,,,,,,,,,,,,,,,,,,289,81,2007,2011,{2A6D400C-A4AB-4D07-92B6-DA9584C8C852}
-17461200.9527081,7980415.41283284,3478,Lake and Peninsula Borough,C,21210,2491,51429,6658,55179,6178,,,,,,,,,,,,,,,,,,,61,21,2007,2011,{08965FEC-CECD-4B69-9010-FEC9535D56A9}
-16598667.700856,8764845.10272645,3479,Matanuska-Susitna Borough,C,29292,604,70343,1779,79597,2403,,,,,,,,,,,,,,,,,,,1476,208,2007,2011,{851E4746-8FE8-4393-9369-E3F9F1633855}
-18284961.2940734,9564519.04249024,3480,Nome Census Area,C,20325,1289,52435,4834,51144,5140,,,,,,,,,,,,,,,,,,,371,53,2007,2011,{6825185D-29C7-42DB-A603-4F37EDDF219C}
-17452941.2456418,11502979.9634856,3481,North Slope Borough,C,35423,8550,76667,8480,84394,5610,,,,,,,,,,,,,,,,,,,122,47,2007,2011,{2DA35656-FC1D-4370-A191-64BB54EB5787}
-18100557.8568522,10126255.5868285,3482,Northwest Arctic Borough,C,21751,2133,59893,4471,55778,3922,,,,,,,,,,,,,,,,,,,236,47,2007,2011,{351F5989-A7A7-4518-A5E4-E67316B8C2DD}
-14800532.6582321,7721876.6231104,3483,Petersburg Census Area,C,31279,2529,64216,10768,86538,10133,,,,,,,,,,,,,,,,,,,61,44,2007,2011,{7737E8B0-0AD4-44D1-B699-FF5E01E8AE3B}
-14791655.2627998,7442966.61866863,3484,Prince of Wales-Hyder Census Area,C,24902,1343,45513,3083,52404,4572,,,,,,,,,,,,,,,,,,,193,62,2007,2011,{7ED5387A-A8FC-42E5-B364-246EE5926A4D}
-15065826.601253,7770144.80039453,3485,Sitka,C,32451,2315,69798,7590,75693,8953,,,,,,,,,,,,,,,,,,,89,68,2007,2011,{99E9981F-255D-4678-9D2E-704DC07798D6}
-15062828.5556362,8279546.78541121,3486,Skagway,C,36108,6517,73000,6545,88125,26067,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9}
-15943021.6241255,9315564.93027635,3487,Southeast Fairbanks Census Area,C,29014,2240,59917,6243,61689,8652,,,,,,,,,,,,,,,,,,,138,56,2007,2011,{9E47F9E2-5A8D-4DD2-96DE-4A9F52F35A57}
-16114687.4108778,8722067.99700202,3488,Valdez-Cordova Census Area,C,31029,2540,62238,9499,87373,8384,,,,,,,,,,,,,,,,,,,105,35,2007,2011,{47D3091E-8C06-4BC8-B4D6-CF0ECF3B0F54}
-18166327.890096,8926584.6256831,3489,Kusilvak Census Area,C,11476,459,39583,2301,40067,3142,,,,,,,,,,,,,,,,,,,370,51,2007,2011,{EF9C5E4E-265E-4453-B87F-401952925FE6}
-14736875.9211032,7652635.44015356,3490,Wrangell,C,29643,4307,50000,5936,54773,19885,,,,,,,,,,,,,,,,,,,40,38,2007,2011,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1}
-15556902.4498982,8302149.31659159,3491,Yakutat,C,37556,7606,74844,9257,81250,17656,,,,,,,,,,,,,,,,,,,2,3,2007,2011,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B}
-16812037.2290032,9668260.5175691,3492,Yukon-Koyukuk Census Area,C,19923,911,35335,3786,49417,4731,,,,,,,,,,,,,,,,,,,214,38,2007,2011,{1F2FC561-C032-423A-85B7-32591979EA75}
