X,Y,OBJECTID,Place,Geo_Src,e_Total_Pop,m_Total_Pop,e_One_Race,m_One_Race,e_AmInd_AKNat,m_AmInd_AKNat,e_Asian,m_Asian,e_Black_AfricanAm,m_Black_AfricanAm,e_NatHI_PacIslander,m_NatHI_PacIslander,e_Other_Race,m_Other_Race,e_White,m_White,e_Two_or_More,m_Two_or_More,e_Black_AfrAm_and_AmInd_AKNat,m_Black_AfrAm_and_AmInd_AKNat,e_White_and_AmInd_AKNat,m_White_and_AmInd_AKNat,e_White_and_Asian,m_White_and_Asian,e_White_and_Black_AfricanAm,m_White_and_Black_AfricanAm,Start_Year,End_Year,IsMostRecent,PlaceID
-16911618.9820708,9826137.26375013,1,Alaska,S,700703,,645299,1875,97628,1803,35912,744,23426,766,6848,348,8981,954,472504,1247,55404,1875,2250,610,31047,1589,6828,692,5150,663,2007,2011,,{FBDAD97E-3A9C-4408-A295-197720B2C16C}
-17864787.2224834,7429017.81475925,2,Aleutians East Borough,C,3084,,2976,53,474,260,1250,271,486,179,26,41,51,49,689,151,108,52,2,3,68,35,3,13,0,78,2007,2011,,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C}
-19852584.4046835,6792787.78010287,3,Aleutians West Census Area,C,5488,,5148,124,921,207,1373,255,361,185,131,127,309,103,2053,241,340,125,14,25,181,78,51,42,9,39,2007,2011,,{62DAD683-3FFC-4453-9FD2-D2EE794E9231}
-16686218.0875525,8675653.72291914,4,Anchorage,C,287390,,260648,1402,18720,1200,22013,637,15844,613,5520,285,5147,868,193404,987,26742,1402,1779,572,11679,1110,3805,577,3143,547,2007,2011,,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-17828194.9368115,8609515.82662756,5,Bethel Census Area,C,16973,,16050,243,13759,263,178,52,77,46,4,9,0,78,2032,61,923,243,41,25,808,242,23,36,10,15,2007,2011,,{5F365A90-E7FE-4110-A895-042798D82840}
-17479082.6841936,8121685.35202224,6,Bristol Bay Borough,C,1035,105,874,98,318,71,2,5,1,11,5,6,0,78,548,82,161,58,0,78,130,50,2,3,1,8,2007,2011,,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A}
-16587254.777931,9316925.80601147,7,Denali Borough,C,1770,250,1695,250,50,31,68,122,18,87,0,78,3,7,1556,237,75,47,0,78,35,30,39,50,1,8,2007,2011,,{E39576F3-5473-4050-AD4E-430B55770A08}
-17649411.3818178,8181381.18887475,8,Dillingham Census Area,C,4845,,4327,143,3272,144,47,16,16,16,21,29,60,38,911,11,518,143,10,8,451,136,20,16,6,8,2007,2011,,{B7761367-B709-408C-BD0F-D9C9E2C5943F}
-16444751.118177,9567696.47175318,9,Fairbanks North Star Borough,C,96161,,89760,696,6705,578,2536,183,4352,337,364,104,1190,295,74613,446,6401,696,77,78,3572,560,992,197,1015,305,2007,2011,,{B5ACCECA-F853-4F79-AD96-1CCA33463183}
-15077988.5827901,8231204.39941615,10,Haines Borough,C,2519,250,2301,259,211,82,22,26,5,36,0,78,0,78,2063,268,218,107,0,78,195,103,15,31,0,78,2007,2011,,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518}
-15048736.4948378,7983383.94265552,11,Hoonah-Angoon Census Area,C,2029,171,1815,168,716,114,27,23,9,7,10,13,32,25,1021,101,214,61,15,18,168,58,1,3,0,78,2007,2011,,{967B027B-54A6-488D-841D-F748CE107A1A}
-14962078.6937559,8030570.02206249,12,Juneau,C,31244,,27970,412,3538,357,1687,215,240,96,215,60,448,201,21842,245,3274,412,57,52,1989,366,496,200,171,94,2007,2011,,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF}
-16817185.4041281,8509544.53082017,13,Kenai Peninsula Borough,C,54718,,51974,388,4008,363,773,115,305,70,93,88,275,142,46520,184,2744,388,7,8,2049,366,178,112,143,52,2007,2011,,{3D00FF95-7311-402B-9DD4-1CE3321F245E}
-14657139.8094437,7429930.42392975,14,Ketchikan Gateway Borough,C,13417,,12131,279,1968,245,748,132,61,60,0,78,196,113,9158,111,1286,279,54,75,763,232,227,143,35,35,2007,2011,,{E60C34A3-5913-4148-9A40-D84C112C6316}
-16964836.6934302,7923993.22957199,15,Kodiak Island Borough,C,13488,,13019,159,2136,134,2735,97,150,35,19,20,277,225,7702,216,469,159,0,78,270,81,28,32,52,67,2007,2011,,{2A6D400C-A4AB-4D07-92B6-DA9584C8C852}
-17461200.9527081,7980415.41283284,16,Lake and Peninsula Borough,C,1540,137,1466,136,903,108,17,30,7,71,7,11,3,5,529,110,74,28,3,4,65,27,1,2,0,78,2007,2011,,{08965FEC-CECD-4B69-9010-FEC9535D56A9}
-16598667.700856,8764845.10272645,17,Matanuska-Susitna Borough,C,86817,,80680,438,4045,344,1056,207,859,122,180,71,482,167,74058,260,6137,438,77,52,4239,369,518,149,444,72,2007,2011,,{851E4746-8FE8-4393-9369-E3F9F1633855}
-18284961.2940734,9564519.04249024,18,Nome Census Area,C,9443,,8681,183,6806,188,85,39,148,118,32,34,30,32,1580,50,762,183,16,17,659,162,28,29,0,78,2007,2011,,{6825185D-29C7-42DB-A603-4F37EDDF219C}
-17452941.2456418,11502979.9634856,19,North Slope Borough,C,9088,,8480,189,5268,228,95,79,47,38,71,78,121,105,2878,42,608,189,38,34,423,154,29,45,0,78,2007,2011,,{2DA35656-FC1D-4370-A191-64BB54EB5787}
-18100557.8568522,10126255.5868285,20,Northwest Arctic Borough,C,7532,,6986,128,5955,165,91,75,26,22,9,12,18,29,887,11,546,128,28,21,425,112,29,31,14,14,2007,2011,,{351F5989-A7A7-4518-A5E4-E67316B8C2DD}
-14791655.2627998,7442966.61866863,22,Prince of Wales-Hyder Census Area,C,5541,,5157,91,2292,101,49,5,7,10,17,23,19,23,2773,26,384,91,4,6,280,83,23,5,0,78,2007,2011,,{7ED5387A-A8FC-42E5-B364-246EE5926A4D}
-15065826.601253,7770144.80039453,23,Sitka,C,8879,,8127,204,1629,149,379,117,34,32,0,78,93,99,5992,120,752,204,0,78,502,150,120,89,5,7,2007,2011,,{99E9981F-255D-4678-9D2E-704DC07798D6}
-15062828.5556362,8279546.78541121,24,Skagway,C,1105,171,1043,169,14,16,108,126,10,23,0,78,0,78,911,90,62,37,0,78,49,32,3,4,0,78,2007,2011,,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9}
-15943021.6241255,9315564.93027635,25,Southeast Fairbanks Census Area,C,7000,,6587,94,637,95,63,30,163,10,32,43,5,9,5687,34,413,94,5,10,380,94,10,14,0,78,2007,2011,,{9E47F9E2-5A8D-4DD2-96DE-4A9F52F35A57}
-18166327.890096,8926584.6256831,27,Kusilvak Census Area,C,7473,,7102,76,6797,84,21,12,9,11,24,28,0,78,251,4,371,76,8,9,319,72,6,9,17,16,2007,2011,,{EF9C5E4E-265E-4453-B87F-401952925FE6}
-14736875.9211032,7652635.44015356,28,Wrangell,C,2353,,2120,110,415,131,22,31,21,39,9,15,0,78,1653,136,233,110,1,2,94,60,1,3,23,46,2007,2011,,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1}
-15556902.4498982,8302149.31659159,29,Yakutat,C,731,127,625,124,280,80,9,17,40,70,7,9,8,14,281,97,106,40,0,78,98,39,0,78,0,78,2007,2011,,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B}
-16812037.2290032,9668260.5175691,30,Yukon-Koyukuk Census Area,C,5613,,5138,120,3823,125,35,24,4,5,25,29,5,7,1246,13,475,120,6,7,412,111,11,22,13,10,2007,2011,,{1F2FC561-C032-423A-85B7-32591979EA75}
-19663507.7911574,6776337.60629079,31,Adak,P,124,53,103,47,18,19,2,6,0,78,0,78,21,27,62,33,21,21,0,78,11,15,2,7,0,78,2007,2011,,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86}
-17162487.1875705,7749255.80747254,32,Akhiok,P,131,85,131,85,113,86,2,5,2,4,0,78,0,78,14,16,0,78,0,78,0,78,0,78,0,78,2007,2011,,{68670103-A544-40F0-AD9E-7215DEC2434C}
-17972431.0159371,8606059.10759937,33,Akiachak,P,644,120,638,119,594,112,0,78,0,78,0,78,0,78,44,33,6,5,2,3,4,5,0,78,0,78,2007,2011,,{D381614D-1B3D-4C01-A916-B139441D4A88}
-17948041.6926256,8604612.88598838,34,Akiak,P,331,81,327,81,305,73,0,78,0,78,0,78,0,78,22,20,4,6,0,78,4,6,0,78,0,78,2007,2011,,{B9E3D976-5DA3-4850-884A-E7818D521898}
-18453825.976754,7195635.68739133,35,Akutan,P,946,179,939,176,50,31,508,159,192,95,5,12,20,23,164,98,7,13,0,78,1,2,0,78,0,78,2007,2011,,{D57C95FC-45D5-44E0-B99B-5325C15EBE66}
-18330707.5476733,9023905.19268546,36,Alakanuk,P,533,86,518,88,473,93,0,78,1,2,0,78,0,78,44,34,15,12,0,78,11,12,0,78,0,78,2007,2011,,{8142710A-7405-430F-9A0B-C44338B4B31A}
-16998632.6281501,10030290.617505,37,Alatna,P,8,11,8,11,8,11,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,2007,2011,,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB}
-15697227.7428421,9008184.66778997,38,Alcan Border,P,24,34,24,34,0,78,0,78,0,78,0,78,0,78,24,34,0,78,0,78,0,78,0,78,0,78,2007,2011,,{3A2BEA63-41B6-445E-BF20-B04461C94803}
-17657678.5273638,8240980.59809748,39,Aleknagik,P,254,78,245,79,210,76,0,78,0,78,0,78,0,78,35,27,9,10,0,78,9,10,0,78,0,78,2007,2011,,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9}
-17018639.3674516,7968179.28755084,40,Aleneva,P,75,113,75,113,0,78,0,78,0,78,0,78,0,78,75,113,0,78,0,78,0,78,0,78,0,78,2007,2011,,{29D4602C-A471-4961-BBEC-AB22938F5F26}
-16992862.437114,10031835.3089084,41,Allakaket,P,65,29,61,27,58,26,0,78,0,78,0,78,0,78,3,4,4,5,0,78,4,5,0,78,0,78,2007,2011,,{D9E1C7EB-2990-486A-BEC6-DF457C95E944}
-17572508.2979883,10180738.1984948,42,Ambler,P,260,89,257,89,226,86,0,78,0,78,0,78,0,78,31,21,3,4,0,78,3,4,0,78,0,78,2007,2011,,{E98663F6-E635-4427-85F1-48E3042D196E}
-16891159.3456548,10489279.941021,43,Anaktuvuk Pass,P,407,101,353,98,314,89,0,78,7,8,0,78,0,78,32,33,54,28,5,6,49,28,0,78,0,78,2007,2011,,{C8F22DE3-2D24-49CD-A867-3855226D712F}
-16902085.2269946,8350131.34239944,44,Anchor Point,P,2025,257,1945,243,100,62,9,21,0,78,0,78,8,13,1828,236,80,49,0,78,39,26,12,17,0,78,2007,2011,,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83}
-16686218.0875525,8675653.72291914,45,Anchorage,P,287390,,260648,1402,18720,1200,22013,637,15844,613,5520,285,5147,868,193404,987,26742,1402,1779,572,11679,1110,3805,577,3143,547,2007,2011,,{41989645-CCA3-466B-9817-909C7EBD3FF1}
-16607841.8425473,9437496.73630837,46,Anderson,P,403,151,392,150,0,78,0,78,13,42,0,78,3,7,376,144,11,12,0,78,10,10,0,78,1,8,2007,2011,,{3999FA6E-F8E0-4528-9406-C991F8BB8C52}
-14981471.2754118,7862919.3185571,47,Angoon,P,399,86,362,87,319,84,1,3,0,78,0,78,0,78,42,26,37,22,5,9,15,16,0,78,0,78,2007,2011,,{B81542E6-6232-4F35-AEC4-F6C46F2BBDE1}
-17758530.6291833,8759944.08337012,48,Aniak,P,564,102,502,96,348,73,0,78,0,78,0,78,0,78,154,66,62,36,0,78,62,36,0,78,0,78,2007,2011,,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060}
-17833307.7073289,9015553.00610678,49,Anvik,P,102,39,101,39,101,39,0,78,0,78,0,78,0,78,0,78,1,2,0,78,1,2,0,78,0,78,2007,2011,,{AED9D55C-5519-4DA0-A4A7-28349D8498CD}
-16200942.2921759,10485277.8122488,50,Arctic Village,P,84,33,80,31,77,31,0,78,0,78,0,78,0,78,3,4,4,6,4,6,0,78,0,78,0,78,2007,2011,,{3FD9E5F5-DE1E-47BC-A8FC-ECEFCA7C2EA8}
-19391877.4279502,6835970.93964706,51,Atka,P,60,33,60,33,45,29,0,78,0,78,0,78,2,4,13,13,0,78,0,78,0,78,0,78,0,78,2007,2011,,{C80F8014-AF4E-4834-B4A8-DED62C0786C1}
-18064527.563622,8593130.12141586,52,Atmautluak,P,326,87,318,86,318,86,0,78,0,78,0,78,0,78,0,78,8,10,0,78,8,10,0,78,0,78,2007,2011,,{887F3239-34EE-4A3A-9B7A-522E212DA730}
-17524309.1239729,11227484.1041681,53,Atqasuk,P,325,94,305,91,280,86,0,78,0,78,0,78,0,78,25,28,20,26,0,78,20,26,0,78,0,78,2007,2011,,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A}
19277285.2935183,6950872.61663701,54,Attu Station,P,18,35,18,35,0,78,0,78,0,78,1,5,0,78,17,31,0,78,0,78,0,78,0,78,0,78,2007,2011,,{4B169010-F268-45A8-8444-F0B5873ABDEE}
-16409897.2332955,9557080.87200411,55,Badger,P,19266,1122,18015,1146,768,380,343,173,343,233,0,78,137,101,16424,1000,1251,411,0,78,924,369,83,71,175,133,2007,2011,,{DAC7203E-0D8F-434C-A2FA-C699EDD5B8CB}
-17450559.5702569,11501957.3747615,56,Utqiagvik,P,4153,43,3789,166,1958,362,66,62,34,36,57,19,117,105,1557,350,364,163,19,30,225,119,29,45,0,78,2007,2011,,{2697EF3A-7387-4208-B455-A046543D1AA7}
