X,Y,OBJECTID,Place,Geo_Src,e_Pop_Total,m_Pop_Total,e_Pop_Male,m_Pop_Male,e_Pop_Female,m_Pop_Female,Start_Year,End_Year,PlaceID,IsMostRecent
-16911618.9820708,9826137.26375013,1,Alaska,S,700703,,363548,462,337155,462,2007,2011,{FBDAD97E-3A9C-4408-A295-197720B2C16C},
-17864787.2224834,7429017.81475925,2,Aleutians East Borough,C,3084,,2232,206,852,205,2007,2011,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},
-19852584.4046835,6792787.78010287,3,Aleutians West Census Area,C,5488,,3624,204,1864,204,2007,2011,{62DAD683-3FFC-4453-9FD2-D2EE794E9231},
-16686218.0875525,8675653.72291914,4,Anchorage,C,287390,,145572,,141818,,2007,2011,{41989645-CCA3-466B-9817-909C7EBD3FF1},
-17828194.9368115,8609515.82662756,5,Bethel Census Area,C,16973,,8812,81,8161,81,2007,2011,{5F365A90-E7FE-4110-A895-042798D82840},
-17479082.6841936,8121685.35202224,6,Bristol Bay Borough,C,1035,105,539,63,496,63,2007,2011,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A},
-16587254.777931,9316925.80601147,7,Denali Borough,C,1770,250,913,156,857,187,2007,2011,{E39576F3-5473-4050-AD4E-430B55770A08},
-17649411.3818178,8181381.18887475,8,Dillingham Census Area,C,4845,,2535,36,2310,36,2007,2011,{B7761367-B709-408C-BD0F-D9C9E2C5943F},
-16444751.118177,9567696.47175318,9,Fairbanks North Star Borough,C,96161,,50777,131,45384,131,2007,2011,{B5ACCECA-F853-4F79-AD96-1CCA33463183},
-15077988.5827901,8231204.39941615,10,Haines Borough,C,2519,250,1383,173,1136,151,2007,2011,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518},
-15048736.4948378,7983383.94265552,11,Hoonah-Angoon Census Area,C,2029,171,1038,148,991,86,2007,2011,{967B027B-54A6-488D-841D-F748CE107A1A},
-14962078.6937559,8030570.02206249,12,Juneau,C,31244,,15875,114,15369,114,2007,2011,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF},
-16817185.4041281,8509544.53082017,13,Kenai Peninsula Borough,C,54718,,28588,81,26130,81,2007,2011,{3D00FF95-7311-402B-9DD4-1CE3321F245E},
-14657139.8094437,7429930.42392975,14,Ketchikan Gateway Borough,C,13417,,6825,143,6592,143,2007,2011,{E60C34A3-5913-4148-9A40-D84C112C6316},
-16964836.6934302,7923993.22957199,15,Kodiak Island Borough,C,13488,,7151,135,6337,135,2007,2011,{2A6D400C-A4AB-4D07-92B6-DA9584C8C852},
-17461200.9527081,7980415.41283284,16,Lake and Peninsula Borough,C,1540,137,769,95,771,72,2007,2011,{08965FEC-CECD-4B69-9010-FEC9535D56A9},
-16598667.700856,8764845.10272645,17,Matanuska-Susitna Borough,C,86817,,44822,124,41995,124,2007,2011,{851E4746-8FE8-4393-9369-E3F9F1633855},
-18284961.2940734,9564519.04249024,18,Nome Census Area,C,9443,,5058,59,4385,59,2007,2011,{6825185D-29C7-42DB-A603-4F37EDDF219C},
-17452941.2456418,11502979.9634856,19,North Slope Borough,C,9088,,5368,260,3720,260,2007,2011,{2DA35656-FC1D-4370-A191-64BB54EB5787},
-18100557.8568522,10126255.5868285,20,Northwest Arctic Borough,C,7532,,4048,24,3484,24,2007,2011,{351F5989-A7A7-4518-A5E4-E67316B8C2DD},
-14791655.2627998,7442966.61866863,22,Prince of Wales-Hyder Census Area,C,5541,,3018,28,2523,28,2007,2011,{7ED5387A-A8FC-42E5-B364-246EE5926A4D},
-15065826.601253,7770144.80039453,23,Sitka,C,8879,,4376,118,4503,118,2007,2011,{99E9981F-255D-4678-9D2E-704DC07798D6},
-15062828.5556362,8279546.78541121,24,Skagway,C,1105,171,631,157,474,77,2007,2011,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9},
-15943021.6241255,9315564.93027635,25,Southeast Fairbanks Census Area,C,7000,,3866,31,3134,31,2007,2011,{9E47F9E2-5A8D-4DD2-96DE-4A9F52F35A57},
-18166327.890096,8926584.6256831,27,Kusilvak Census Area,C,7473,,3925,17,3548,17,2007,2011,{EF9C5E4E-265E-4453-B87F-401952925FE6},
