OBJECTID,CommunityName,TaxYear,AsofDate,IsMostRecent,EntityName,DidCommunityReport,SalesTaxPercentage,TotalSalesTaxRevUSD,BedTaxRate,BedTaxRevUSD,AlcoholTaxRate,AlcoholTaxRevUSD,CarRentalTaxRate,CarRentalTaxRevUSD,RawFishTaxRate,RawFishTaxRevUSD,TobaccoTaxRate,TobaccoTaxRevUSD,MarijuanaTaxRate,MarijuanaTaxRevUSD,OtherSpecialTaxes,TotalRevforSpecialTaxesUSD,EffectivePropertyTaxMillRate,PropertyTaxRevUSD,TotalTaxRevUSD,TaxableDatasetLink,CommunityID,EntityID
1,Aleutians East Borough,2023,2024/01/01 09:00:00+00,1,Aleutians East Borough,1,0,0,0,0,0,0,0,0,2%,4824613,0,0,0,0,,0,,,4824613,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0}
2,Aleutians_East_Borough,2022,2023/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,6054977,,,,,,6054977,,,6054977,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0}
3,Aleutians_East_Borough,2021,2022/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4057971,,,,,,4057971,,,4057971,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0}
4,Aleutians_East_Borough,2020,2021/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4714015,,,,,,4714015,,,4714015,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0}
5,Aleutians_East_Borough,2019,2020/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4530157,,,,,,4530157,,,4530157,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0}
6,Aleutians_East_Borough,2018,2019/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4951066,,,,,,4951066,,,4951066,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0}
7,Aleutians_East_Borough,2017,2018/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4714403,,,,,,4714403,,,4714403,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0}
8,Anchorage,2023,2024/01/01 09:00:00+00,1,Municipality of Anchorage,1,0,0,12%,39797519,,15893264,,12635887,0,0,,20986097,,5798412,,23070338,16.355,618957211,737138729,https://www.commerce.alaska.gov/dcra/admin/Taxable,{41989645-CCA3-466B-9817-909C7EBD3FF1},{99A3D5AD-ADD2-40FB-9173-F1A86A4A0AEA}
9,Bristol Bay Borough,2023,2024/01/01 09:00:00+00,1,Bristol Bay Borough,1,0,0,10%,318240,0,0,0,0,3%,2950650,0,0,0,0,,4389489,11.5,5183598,12841979,https://www.commerce.alaska.gov/dcra/admin/Taxable,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A},{DA8EFCB0-171D-4581-836A-6AE64FC46769}
10,Bristol_Bay_Borough,2022,2023/01/01 09:00:00+00,0,Bristol Bay Borough,1,,,10%,182826,,,,,3%,2633722,,,,,,2816548,11.5,5183598,8000146,https://www.commerce.alaska.gov/dcra/admin/Taxable,{CBAA2CFE-4E76-4196-AD94-319FF272CF9A},{DA8EFCB0-171D-4581-836A-6AE64FC46769}
