X,Y,OBJECTID,Community,Region,RUBA_Region,Operator_Certification,Preventive_Maintenance_Plan,Compliance,Utility_Management_Training,Meetings_of_the_Governing_Body,Budget,Revenue,Workers_Compensation_Insurance,Payroll_Liability_Compliance,TOTAL_SCORE,Season,DataYear,IsMostRecent,AsOfDate,Shape,Date_,Communityname
-149.190781634,64.3433579520001,1,Anderson,DEC,Fairbanks,10,15,10,0,2,13,5,5,0,60,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Anderson
-149.190781634,64.3433579520001,2,Anderson,DEC,Fairbanks,10,15,10,0,0,10,5,5,0,55,Spring,2018,0,2018/02/01 09:00:00+00,,2018/02/01 09:00:00+00,Anderson
-149.190781634,64.3433579520001,3,Anderson,DEC,Fairbanks,10,15,10,0,5,15,15,5,5,80,Fall,2017,0,2017/08/01 08:00:00+00,,2017/08/01 08:00:00+00,Anderson
-149.190781634,64.3433579520001,4,Anderson,DEC,Fairbanks,10,25,10,0,5,15,15,5,5,90,Spring,2017,0,2017/02/01 09:00:00+00,,2017/02/01 09:00:00+00,Anderson
-149.190781634,64.3433579520001,5,Anderson,DEC,Fairbanks,10,25,10,0,5,15,15,5,0,85,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Anderson
-134.580846253,57.499569497,6,Angoon,DEC,Juneau,3,15,0,5,0,0,0,5,5,73,Spring,2020,0,2020/02/01 09:00:00+00,,2020/02/01 09:00:00+00,Angoon
-134.580846253,57.499569497,7,Angoon,DEC,Juneau,3,15,0,5,5,10,5,5,5,53,Fall,2019,0,2019/08/01 08:00:00+00,,2019/08/01 08:00:00+00,Angoon
-134.580846253,57.499569497,8,Angoon,DEC,Juneau,3,15,0,5,5,13,15,5,5,66,Spring,2019,0,2019/02/01 09:00:00+00,,2019/02/01 09:00:00+00,Angoon
-134.580846253,57.499569497,9,Angoon,DEC,Juneau,3,15,0,5,0,0,0,5,0,28,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Angoon
-134.580846253,57.499569497,10,Angoon,DEC,Juneau,3,15,0,5,2,10,0,5,0,40,Spring,2018,0,2018/02/01 09:00:00+00,,2018/02/01 09:00:00+00,Angoon
-134.580846253,57.499569497,11,Angoon,DEC,Juneau,3,15,0,5,2,10,0,5,0,40,Fall,2017,0,2017/08/01 08:00:00+00,,2017/08/01 08:00:00+00,Angoon
-134.580846253,57.499569497,12,Angoon,DEC,Juneau,3,15,0,5,5,10,0,5,5,48,Spring,2017,0,2017/02/01 09:00:00+00,,2017/02/01 09:00:00+00,Angoon
-134.580846253,57.499569497,13,Angoon,DEC,Juneau,3,15,0,5,0,10,5,5,0,43,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Angoon
-159.527594877,61.578763877,14,Aniak,YKHC,Bethel,10,25,10,5,5,15,20,5,5,100,Spring,2020,0,2020/02/01 09:00:00+00,,2020/02/01 09:00:00+00,Aniak
-159.527594877,61.578763877,15,Aniak,YKHC,Bethel,10,15,10,5,5,15,20,5,5,90,Fall,2019,0,2019/08/01 08:00:00+00,,2019/08/01 08:00:00+00,Aniak
-159.527594877,61.578763877,16,Aniak,YKHC,Bethel,10,0,10,5,5,15,20,5,5,75,Spring,2019,0,2019/02/01 09:00:00+00,,2019/02/01 09:00:00+00,Aniak
-159.527594877,61.578763877,17,Aniak,YKHC,Bethel,10,25,10,5,5,15,20,5,5,100,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Aniak
-159.527594877,61.578763877,18,Aniak,YKHC,Bethel,10,25,10,5,5,15,15,5,5,95,Spring,2018,0,2018/02/01 09:00:00+00,,2018/02/01 09:00:00+00,Aniak
-159.527594877,61.578763877,19,Aniak,YKHC,Bethel,10,25,10,5,5,15,20,5,5,100,Fall,2017,0,2017/08/01 08:00:00+00,,2017/08/01 08:00:00+00,Aniak
-159.527594877,61.578763877,20,Aniak,YKHC,Bethel,10,25,10,5,5,15,15,5,5,95,Spring,2017,0,2017/02/01 09:00:00+00,,2017/02/01 09:00:00+00,Aniak
-159.527594877,61.578763877,21,Aniak,YKHC,Bethel,10,25,10,5,5,15,20,5,0,95,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Aniak
-160.199328799,62.6525299510001,22,Anvik,YKHC,Bethel,5,15,0,5,5,15,20,5,5,45,Spring,2020,0,2020/02/01 09:00:00+00,,2020/02/01 09:00:00+00,Anvik
-160.199328799,62.6525299510001,23,Anvik,YKHC,Bethel,5,15,0,5,0,10,0,5,5,45,Fall,2019,0,2019/08/01 08:00:00+00,,2019/08/01 08:00:00+00,Anvik
-160.199328799,62.6525299510001,24,Anvik,YKHC,Bethel,5,15,0,5,0,10,0,5,5,45,Spring,2019,0,2019/02/01 09:00:00+00,,2019/02/01 09:00:00+00,Anvik
-160.199328799,62.6525299510001,25,Anvik,YKHC,Bethel,5,15,5,5,0,10,0,5,5,50,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Anvik
-160.199328799,62.6525299510001,26,Anvik,YKHC,Bethel,5,15,5,5,0,10,0,5,0,45,Spring,2018,0,2018/02/01 09:00:00+00,,2018/02/01 09:00:00+00,Anvik
-160.199328799,62.6525299510001,27,Anvik,YKHC,Bethel,5,15,0,5,0,10,0,5,0,40,Fall,2017,0,2017/08/01 08:00:00+00,,2017/08/01 08:00:00+00,Anvik
-160.199328799,62.6525299510001,28,Anvik,YKHC,Bethel,5,15,0,5,0,10,0,5,0,40,Spring,2017,0,2017/02/01 09:00:00+00,,2017/02/01 09:00:00+00,Anvik
-160.199328799,62.6525299510001,29,Anvik,YKHC,Bethel,5,15,0,0,0,10,0,5,0,35,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Anvik
-145.535540782,68.1284616790001,30,Arctic Village,TCC,Fairbanks,7,15,0,5,0,10,0,5,0,42,Spring,2020,0,2020/02/01 09:00:00+00,,2020/02/01 09:00:00+00,Arctic Village
-145.535540782,68.1284616790001,31,Arctic Village,TCC,Fairbanks,7,15,0,5,2,13,5,5,5,57,Fall,2019,0,2019/08/01 08:00:00+00,,2019/08/01 08:00:00+00,Arctic Village
-145.535540782,68.1284616790001,32,Arctic Village,TCC,Fairbanks,5,15,0,5,2,0,15,5,5,52,Spring,2019,0,2019/02/01 09:00:00+00,,2019/02/01 09:00:00+00,Arctic Village
-145.535540782,68.1284616790001,33,Arctic Village,TCC,Fairbanks,0,15,0,5,2,0,5,5,5,37,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Arctic Village
-145.535540782,68.1284616790001,34,Arctic Village,TCC,Fairbanks,0,15,0,5,0,0,5,5,0,30,Spring,2018,0,2018/02/01 09:00:00+00,,2018/02/01 09:00:00+00,Arctic Village
-145.535540782,68.1284616790001,35,Arctic Village,TCC,Fairbanks,3,15,0,5,2,0,5,0,0,30,Fall,2017,0,2017/08/01 08:00:00+00,,2017/08/01 08:00:00+00,Arctic Village
-145.535540782,68.1284616790001,36,Arctic Village,TCC,Fairbanks,0,15,0,5,0,0,5,5,0,30,Spring,2017,0,2017/02/01 09:00:00+00,,2017/02/01 09:00:00+00,Arctic Village
-145.535540782,68.1284616790001,37,Arctic Village,TCC,Fairbanks,5,15,0,5,0,0,0,5,5,35,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Arctic Village
-174.200198813,52.1978076350001,38,Atka,DEC,Anchorage,0,15,5,5,0,10,0,5,0,50,Spring,2020,0,2020/02/01 09:00:00+00,,2020/02/01 09:00:00+00,Atka
-174.200198813,52.1978076350001,39,Atka,DEC,Anchorage,0,15,5,5,5,10,5,5,2,52,Fall,2019,0,2019/08/01 08:00:00+00,,2019/08/01 08:00:00+00,Atka
-174.200198813,52.1978076350001,40,Atka,DEC,Anchorage,0,15,5,0,5,15,5,5,0,50,Spring,2019,0,2019/02/01 09:00:00+00,,2019/02/01 09:00:00+00,Atka
-174.200198813,52.1978076350001,41,Atka,DEC,Anchorage,0,15,0,0,0,10,0,5,0,30,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Atka
-174.200198813,52.1978076350001,42,Atka,DEC,Anchorage,0,15,0,0,0,10,0,5,0,30,Spring,2018,0,2018/02/01 09:00:00+00,,2018/02/01 09:00:00+00,Atka
-174.200198813,52.1978076350001,43,Atka,DEC,Anchorage,0,15,0,5,0,0,0,5,0,25,Fall,2017,0,2017/08/01 08:00:00+00,,2017/08/01 08:00:00+00,Atka
-174.200198813,52.1978076350001,44,Atka,DEC,Anchorage,0,15,0,5,0,10,0,5,5,40,Spring,2017,0,2017/02/01 09:00:00+00,,2017/02/01 09:00:00+00,Atka
-174.200198813,52.1978076350001,45,Atka,DEC,Anchorage,0,25,5,5,5,0,5,5,5,55,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Atka
-162.276412108,60.8572982650001,46,Atmautluak,YKHC,Bethel,3,15,10,5,5,10,5,5,0,33,Spring,2020,0,2020/02/01 09:00:00+00,,2020/02/01 09:00:00+00,Atmautluak
-162.276412108,60.8572982650001,47,Atmautluak,YKHC,Bethel,0,15,5,5,0,0,5,0,0,30,Fall,2019,0,2019/08/01 08:00:00+00,,2019/08/01 08:00:00+00,Atmautluak
-162.276412108,60.8572982650001,48,Atmautluak,YKHC,Bethel,0,15,5,5,0,0,0,0,0,25,Spring,2019,0,2019/02/01 09:00:00+00,,2019/02/01 09:00:00+00,Atmautluak
-162.276412108,60.8572982650001,49,Atmautluak,YKHC,Bethel,0,15,5,5,0,0,0,5,0,30,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Atmautluak
-162.276412108,60.8572982650001,50,Atmautluak,YKHC,Bethel,0,15,5,5,0,0,0,5,0,30,Spring,2018,0,2018/02/01 09:00:00+00,,2018/02/01 09:00:00+00,Atmautluak
-162.276412108,60.8572982650001,51,Atmautluak,YKHC,Bethel,0,15,5,5,0,10,0,5,0,40,Fall,2017,0,2017/08/01 08:00:00+00,,2017/08/01 08:00:00+00,Atmautluak
-162.276412108,60.8572982650001,52,Atmautluak,YKHC,Bethel,0,15,5,5,0,10,0,0,0,35,Spring,2017,0,2017/02/01 09:00:00+00,,2017/02/01 09:00:00+00,Atmautluak
-162.276412108,60.8572982650001,53,Atmautluak,YKHC,Bethel,0,15,10,5,0,0,0,0,0,30,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Atmautluak
-157.423547297,70.4821365240001,54,Atqasuk,NS Communities,Fairbanks,10,15,5,0,0,0,0,5,0,35,Fall,2020,0,2020/07/01 08:00:00+00,,2020/07/01 08:00:00+00,Atqasuk
-157.423547297,70.4821365240001,55,Atqasuk,NS Communities,Fairbanks,10,15,5,5,0,0,0,0,0,47,Spring,2020,0,2020/02/01 09:00:00+00,,2020/02/01 09:00:00+00,Atqasuk
-157.423547297,70.4821365240001,56,Atqasuk,NS Communities,Fairbanks,10,15,10,0,2,10,0,5,0,52,Fall,2019,0,2019/08/01 08:00:00+00,,2019/08/01 08:00:00+00,Atqasuk
-157.423547297,70.4821365240001,57,Atqasuk,NS Communities,Fairbanks,5,15,10,0,0,0,0,5,0,35,Spring,2019,0,2019/02/01 09:00:00+00,,2019/02/01 09:00:00+00,Atqasuk
-157.423547297,70.4821365240001,58,Atqasuk,NS Communities,Fairbanks,10,15,10,0,2,0,0,5,0,42,Fall,2018,0,2018/08/01 08:00:00+00,,2018/08/01 08:00:00+00,Atqasuk
