OBJECTID,NAME,BOROUGH,FIPS,TOTALPOP,DataYear,last_edited_date
1,Aleutians East Borough,013,02013,3141,2010,
2,Aleutians West Census Area,016,02016,5561,2010,
3,Southeast Fairbanks Census Area,240,02240,7029,2010,
4,Dillingham Census Area,070,02070,4847,2010,
5,Lake and Peninsula Borough,164,02164,1631,2010,
6,North Slope Borough,185,02185,9430,2010,
7,Hoonah-Angoon Census Area,105,02105,2150,2010,
8,Kodiak Island Borough,150,02150,13592,2010,
9,Skagway Municipality,230,02230,968,2010,
10,Northwest Arctic Borough,188,02188,7523,2010,
11,Ketchikan Gateway Borough,130,02130,13477,2010,
12,Wade Hampton Census Area,270,02270,7459,2010,
13,Fairbanks North Star Borough,090,02090,97581,2010,
14,Juneau City and Borough,110,02110,31275,2010,
15,Nome Census Area,180,02180,9492,2010,
16,Prince of Wales-Hyder Census Area,198,02198,5559,2010,
17,Sitka City and Borough,220,02220,8881,2010,
18,Petersburg Census Area,195,02195,3815,2010,
19,Wrangell City and Borough,275,02275,2369,2010,
20,Matanuska-Susitna Borough,170,02170,88995,2010,
21,Yukon-Koyukuk Census Area,290,02290,5588,2010,
22,Yakutat City and Borough,282,02282,662,2010,
23,Kenai Peninsula Borough,122,02122,55400,2010,
24,Valdez-Cordova Census Area,261,02261,9636,2010,
25,Haines Borough,100,02100,2508,2010,
26,Bristol Bay Borough,060,02060,997,2010,
27,Bethel Census Area,050,02050,17013,2010,
28,Denali Borough,068,02068,1826,2010,
29,Anchorage Municipality,020,02020,291826,2010,
134,Aleutian Islands Division,,,8057,1970,
135,Kenai-Cook Inlet Division,,,14250,1970,
136,Sitka Division,,,6109,1970,
137,Ketchikan Division,,,10041,1970,
138,Prince Of Wales Division,,,2106,1970,
139,Wrangell-Petersburg Division,,,4913,1970,
140,Fairbanks Division,,,45864,1970,
141,Juneau Division,,,13556,1970,
142,Haines Division,,,1504,1970,
143,Bristol Bay Borough,,,1147,1970,
144,Matanuska-Susitna Division,,,6509,1970,
145,Anchorage Division,,,124542,1970,
146,Outer Ketchikan Division,,,1676,1970,
147,Angoon Division,,,503,1970,
148,Skagway-Yakutat Division,,,2157,1970,
149,Seward Division,,,2336,1970,
150,Kodiak Division,,,9409,1970,
151,Bethel Division,,,7579,1970,
152,Bristol Bay Division,,,3485,1970,
153,Wade Hampton Division,,,3917,1970,
154,Nome Division,,,5749,1970,
155,Kobuk Division,,,4434,1970,
156,Kuskokwim Division,,,2306,1970,
157,Barrow Division,,,2663,1970,
158,Yukon-Koyukuk Division,,,4752,1970,
159,Upper Yukon Division,,,1684,1970,
160,Southeast Fairbanks Division,,,4179,1970,
161,Valdez-Chitina-Whittier Division,,,3098,1970,
162,Cordova-McCarthy Division,,,1857,1970,
163,Southeast Fairbanks Census Area,,,5676,1980,
164,Kenai Peninsula Borough,,,25282,1980,
165,North Slope Borough,,,4199,1980,
166,Sitka Borough,,,7803,1980,
167,Skagway-Yakutat-Angoon Census Area,,,3478,1980,
168,Kobuk Census Area,,,4831,1980,
169,Ketchikan Gateway Borough,,,11316,1980,
170,Prince of Wales-Outer Ketchikan Census Area,,,3822,1980,
171,Wrangell-Petersburg Census Area,,,6167,1980,
172,Wade Hampton Census Area,,,4665,1980,
173,Fairbanks North Star Borough,,,53983,1980,
174,Yukon-Koyukuk Census Area,,,7873,1980,
175,Juneau Borough,,,19528,1980,
176,Nome Census Area,,,6537,1980,
177,Valdez-Cordova Census Area,,,8348,1980,
178,Haines Borough,,,1680,1980,
179,Bristol Bay Borough,,,1094,1980,
180,Bethel Census Area,,,10999,1980,
181,Matanuska-Susitna Borough,,,17816,1980,
182,Anchorage Borough,,,174431,1980,
183,Kodiak Island Borough,,,9939,1980,
184,Dillingham Census Area,,,4616,1980,
185,Aleutian Islands Census Area,,,7768,1980,
186,Aleutians East Borough,,,2464,1990,
187,Aleutians West Census Area,,,9478,1990,
188,Southeast Fairbanks Census Area,,,5913,1990,
189,Dillingham Census Area,,,4012,1990,
190,Lake and Peninsula Borough,,,1668,1990,
191,Kenai Peninsula Borough,,,40802,1990,
192,North Slope Borough,,,5979,1990,
193,Sitka City and Borough,,,8588,1990,
194,Kodiak Island Borough,,,13309,1990,
195,Skagway-Yakutat-Angoon Census Area,,,4385,1990,
196,Northwest Arctic Borough,,,6113,1990,
197,Ketchikan Gateway Borough,,,13828,1990,
198,Prince of Wales-Outer Ketchikan Census Area,,,6278,1990,
199,Wrangell-Petersburg Census Area,,,7042,1990,
200,Wade Hampton Census Area,,,5791,1990,
201,Fairbanks North Star Borough,,,77720,1990,
