X,Y,OBJECTID,CommunityName,Coastal,AsOfDate,Description
1042115.23995418,1199030.95630824,1,Skagway,Yes,2018/03/12 00:00:00+00,"The Municipality of Skagway is accessible by road via the Klondike Highway, which provides a connection through British Columbia and the Yukon Territory, Canada, to the lower 48 states or north to Interior Alaska. Skagway is accessed by air, road, and water services. The state owns a paved runway and Skagway receives regular state ferry and barge services. A breakwater, ferry terminal, small boat harbor, boat launch and boat haul-out are available, as well as three deep-draft docks for cruise and cargo ship berthing, cargo loading and storage. Freight arrives by barge, ferry and truck."
1296030.65760968,812250.477347349,2,Craig,Yes,2018/03/12 00:00:00+00,"Scheduled air transportation to Ketchikan is available from the nearby Klawock Airport. Scheduled seaplane service is available from a city-owned seaplane base in Craig. A U.S. Coast Guard heliport is maintained in Craig. The Interisland Ferry Authority provides daily service to Hollis 30 miles away and enables transportation of passengers, cargo, and vehicles to the island. There are two small boat harbors at North Cove and South Cove, a small transient float and dock in the downtown area, and a boat launch ramp at North Cove. The J.T. Brown Marine Industrial Center was completed in 2006 and includes a dock, boat launch, and boat haulout services. Freight arrives by cargo plane, barge, and ferry in Hollis. A paved road exists between Hollis, Craig, Klawock, Coffman Cove, Thorne Bay and the Klawock airport."
-255124.356889429,1013454.33727143,3,Dillingham,Yes,2018/03/12 00:00:00+00,"Dillingham can be reached by air and sea. The state-owned airport provides a paved runway and regular jet flights are available from Anchorage. A seaplane base is available 3 miles west at Shannon's Pond; it is owned by the U.S. Bureau of Land Management, Division of Lands. A heliport is available at Kanakanak Hospital. There is a city-operated small boat harbor with 320 slips, a dock, barge landing, boat launch, and boat haul-out facilities. It is a tidal harbor and only for seasonal use. Two barge lines make scheduled trips from Seattle. There is a 23-mile DOT-maintained paved road to Aleknagik; it was first constructed in 1960."
-136929.048131091,1645322.79517116,4,Galena,No,2018/03/12 00:00:00+00,"Galena serves as the transportation and commercial center for surrounding villages in the western Interior of Alaska. The former Galena Air Force Station field, now the Edward G. Pitka, Sr. airport, has daily flights to Fairbanks through several small carriers. Barge companies use the Yukon River to deliver goods to Galena. The Yukon River is also used as a transportation corridor to nearby villages year-round. Galena has no paved roads, but there are 45 miles of gravel roadways and 276.8 miles of undeveloped roads which are used for subsistence and recreation. Pickups, cars, snow machines, skiffs, and ATVs are used for local travel. During winter, the frozen rivers are used for travel to Ruby, Koyukuk, Kaltag, and Nulato. A winter trail is available to Huslia."
138629.431092521,1075412.72159425,5,Homer,Yes,2018/03/12 00:00:00+00,"Homer is accessible through the Sterling Highway. It is often referred to as 'The End of the Road,' because it lies at the terminus of the Sterling Highway. The state owns and operates the Homer Airport, which has an asphalt runway and float plane basin and a seaplane base at Beluga Lake. The city is served by scheduled and chartered aircraft services. There are additional private landing strips in the vicinity. The Alaska Marine Highway and local ferry services provide water transportation. The deep-water dock can accommodate 30-foot drafts and 340-foot vessels. There is a cruise ship dock, a boat harbor with moorage for 920 vessels, and a 4-lane boat launch ramp."
1076331.88668661,1052302.38252826,6,Hoonah,Yes,2018/03/12 00:00:00+00,Hoonah is dependent on air and water transportation for movement of small freight and passengers. The state owns and operates an airport with an asphalt runway and a seaplane base that are both served by scheduled small aircraft from Juneau. A state ferry terminal and harbor/dock area are available. Freight arrives by barge or plane. There is a widespread logging road system on northwest Chichagof Island.
1325135.64850376,790122.786706786,7,Hydaburg,Yes,2018/03/12 00:00:00+00,"Hydaburg has a seaplane base with scheduled flights from Hydaburg that connect in Ketchikan. Hydaburg has a heliport available as well. The city recently completed improvements to the Hydaburg Small Boat Harbor. A road leads to Craig, Klawock and Hollis, where the state ferry docks. Weekly barges from Seattle deliver goods, and cargo is also trucked to Hydaburg from the neighboring sea port communities. Hydaburg now has a Transit system with transit to Craig, Klawock and Hollis."
1198537.96643152,956568.247197351,8,Kake,Yes,2018/03/12 00:00:00+00,"Kake can be reached by air and sea. There are scheduled float plane and air taxi flights from Juneau and Sitka. Kake has a state-owned lighted, paved runway west of town and a seaplane base at the city dock. Kake does participate in the Essential Air Services program which subsidizes the cost of commercial air flights. State ferry and barge services are available. Facilities also include a small boat harbor, boat launch, deep water dock, and state ferry terminal. There are about 120 miles of logging roads in the Kake area, but no connections to other communities on Kupreanof Island."
-529656.810844552,593924.882474006,9,King Cove,Yes,2018/03/12 00:00:00+00,"King Cove is accessible by air and sea only. A state-owned gravel runway is available. Gale force crosswinds are common, as the airport lies in a valley between two volcanic peaks. Currently a hovercraft provides regular service to nearby Cold Bay, which enjoys more stable flying conditions. Cold Bay Airport also has a longer runway allowing the airport to handle larger planes. A high priority for local transportation has long been construction of an access road between King Cove and Cold Bay to provide a more reliable link to the outside world during emergencies. As of the Fall of 2012, the City of King Cove awaited a final decision on a proposed land transfer that would allow the access road to be extended directly to Cold Bay. In addition to air travel and limited road access, the state ferry provides bi-monthly service to King Cove between May and October. In addition, one public deep-water dock is available in King Cove. The dock can be used by fuel and cargo barges, the state ferry, and large fishing vessels. In addition, a new harbor is operated by the City and provides additional moorage for larger vessels ranging between 60 and 150 feet in length."
1296632.86162785,821637.582139224,10,Klawock,Yes,2018/03/12 00:00:00+00,"Klawock is dependent on air transportation from Ketchikan, although it is connected to other communities through the island road system. The only airstrip on Prince of Wales Island is located here, with a paved runway. A seaplane base is operated by the state on the Klawock River. Ferry transportation is available to Hollis, 23 miles away. Klawock has a small boat harbor and boat launch ramp. A deep draft dock is located at Klawock Island, which is primarily used for loading timber. Freight arrives by cargo plane, barge, and truck."
-545130.115627811,1662011.78006188,11,Nome,Yes,2018/03/12 00:00:00+00,"Nome is a regional center of transportation for surrounding villages. The Port of Nome plays an essential role in regional transportation infrastructure. Nome is primarily accessible by air, although containerized household goods, building materials, vehicles, heavy equipment, and all petroleum products arrive by water during summer months. There are 10-12 cargo barges and 8-10 fuel barges/tankers that make scheduled deliveries each season. An additional trans-loading facility in the Inner Harbor was built in 2013 to address congestion at the existing barge ramp and allow more efficient transfers of cargo and rolling stock. The Small Boat Harbor plays host to about 25 commercial fishing vessels and a large offshore mining fleet which at times exceeds capacity. Alaska DOT's Snake River Bridge Replacement Project was completed in 2013 and will facilitate the increased traffic to and from the Port. Two state-owned airports are located in the community. The Nome Airport, located one mile northwest of the City, has two paved runways. Nome City Field, less than one mile north of the City, offers an additional gravel strip. Scheduled jet flights are available, as well as charter and helicopter services. Regional travel is facilitated by a network of 230 miles of gravel roads between Nome and the communities of Teller, Solomon, and Council. A network of winter trails links with outlying communities during winter months."
1036362.75188977,1023817.93801456,12,Pelican,Yes,2018/03/12 00:00:00+00,"Pelican is dependent on float planes and the Alaska Marine Highway System ferry for travel. Daily scheduled air taxi services are available from Juneau. Facilities include a small boat harbor with a seaplane dock and state ferry terminal. The ferry provides two monthly departures to Juneau during summer months and one monthly departure during winter. According to a survey conducted by the AFSC in 2011, water taxi service is also available to Pelican. Barge service is available only on an as-needed basis. During winter months, fog, high winds, and high seas can limit access to the community. No paved roads are present in Pelican, and a boardwalk serves as the town's main thoroughfare due to the lack of flat land."
-476820.244012596,1374720.1165265,13,Saint Mary's,No,2018/03/12 00:00:00+00,"Saint Mary's is served by barge and aircraft. The state-owned gravel runway with a crosswind strip provides year-round access. The airfield is capable of receiving large jet aircraft. A 22-mile road links St. Mary's to Andreafsky, Pitka's Point, and Mountain Village. They are not maintained during winter months but are used by snow machines. Plans are in place to upgrade the road from Saint Mary's to Mountain Village in the summer of 2014. When this project is complete the road will be available for use year round. The Andreafsky River provides the only deep-water dock in the area."
-411466.861134354,612219.93928279,14,Sand Point,Yes,2018/03/12 00:00:00+00,"Sand Point has a state-owned airport with a asphalt runway. Direct flights to Anchorage are available. Marine facilities include a 25-acre boat harbor with four docks, 134 boat slips, a harbormaster office, barge off-loading area, and a 150-ton lift. Regular barge services supply the community. The state ferry operates between Sand Point and Unalaska, Akutan, False Pass, Cold Bay, and King Cove between May and October."
128947.580591873,1051951.17416714,15,Seldovia,Yes,2018/03/12 00:00:00+00,"A state-owned gravel airstrip and a seaplane base are available. Direct flights are provided to Homer. The state ferry system connects to Homer, where the Sterling Highway provides road access. Water taxis from Homer also service the community. A harbor, boat wash down, and boat haul-out facility are available."
90121.6496562936,1691441.77576932,16,Tanana,No,2018/03/12 00:00:00+00,"Tanana is located in Interior Alaska about two miles west of the junction of the Tanana and Yukon Rivers. The community lies 130 air miles west of Fairbanks. Tanana is accessible only by air and river transportation. The city maintains 32 miles of local roads. Work began on a new road from Manley Hot Springs to Tanana in the fall of 2013. The city operates a dock on the river; barged goods can be offloaded at a staging and storage area. The state owns and operates the Ralph M. Calhoun Memorial Airport, which has a lighted, gravel runway. Float planes land on the Yukon River. Cars, trucks, snow machines, ATVs, and riverboats are used for local transportation. Groceries and other small items are shipped to the village by air, or by barge during the barging season from May to September."
-821101.945279297,506511.382085757,17,Unalaska,Yes,2018/03/12 00:00:00+00,"Daily scheduled flights serve the community at the state-owned 3,900' long by 100' wide paved runway. A seaplane base is also available. The state ferry operates bi-monthly from Kodiak between April and October. There are ten major docks in Unalaska; three are operated by the city. The International Port of Dutch Harbor serves fishing vessels and shipping, with 5,200' of moorage and 1,232' of floating dock. The small boat harbor provides 238 moorage slips. The Unalaska Marine Center and US Coast Guard Dock offer cargo, passenger, and other port services."
-101340.08517859,2367854.78395269,18,Utqiagvik,Yes,2018/03/12 00:00:00+00,Regularly-scheduled jet services provide Barrow's only year-round access. The state-owned Wiley Post-Will Rogers Memorial Airport serves as the regional transportation center for the borough. The airport has an asphalt runway. Marine and land transportation provide seasonal access.
240926.821971153,1297506.21747755,19,Wasilla,No,2018/03/12 00:00:00+00,"Wasilla is well connected by land to surrounding communities. The George Parks Highway and Glenn Highway connect Wasilla to Anchorage, Fairbanks, Denali National Park, and Palmer, as well as a number of smaller communities. The Alaska Railroad serves Wasilla on the Anchorage to Fairbanks route, while Mat-Su Valley Public Transportation provides bus service between Wasilla, Palmer, and Anchorage. Commercial air service is available at Anchorage International Airport, located 45 miles away. Wasilla's municipal airport has a paved runway with parking for transient aircraft. Numerous additional private airstrips also operate in the vicinity. Float planes land at Wasilla Lake, Jacobsen Lake, and Lake Lucille."
-410419.292109424,612521.081979354,20,Aleutians East Borough,No,2018/03/12 00:00:00+00,"Several airports are accessible in the borough, and float planes can land in many communities. Marine cargo vessels also provide transportation. The state ferry operates during the summer months. Local transportation is primarily by fishing boats or skiffs, since there are no roads."
-174131.512002457,973954.57522615,21,Bristol Bay Borough,No,2018/03/12 00:00:00+00,"King Salmon is the hub for the area. There are scheduled and charter flights available from Anchorage. There is a runway, and the Naknek River is used by float planes. Barge service is available into Naknek and is delivered by a 15.5-mile road connecting to King Salmon. Goods are flown or lightered to South Naknek."
297183.015943376,1667834.53924264,22,Fairbanks North Star Borough,No,2018/03/12 00:00:00+00,"Fairbanks is at the confluence of the Richardson Highway, George Parks Highway, Steese Highway, and Elliott Highway, connecting the Interior to Anchorage, Canada, and the lower 48 states. The Dalton Highway to Prudhoe Bay begins about 75 miles north of town. Goods are transported to Fairbanks by truck, air, and the Alaska Railroad. Regularly-scheduled jet flights are available at the state-owned Fairbanks International Airport. An asphalt runway and a gravel landing strip, heliport, and seaplane landing area are available. A public seaplane base is also located on the Chena River, and there are several privately-owned airstrips and heliports in the vicinity. The Fairbanks North Star Borough also has 36 multi-use motorized recreational trails ranging over 717 linear miles. These trails are built and maintained year-round through the borough Comprehensive Recreational Trail Plan program."
160336.429556835,1170577.5215573,23,Kenai Peninsula Borough,Yes,2018/03/12 00:00:00+00,"Kenai has access to the Sterling Highway. The City-owned Kenai Municipal Airport provides a grooved asphalt runway, gravel strip, and a water runway at the float plane basin. A flight service station is available. Float plane facilities are also available at Island Lake and Arness Lake. There are five additional privately-owned airstrips in the vicinity. The Kenai City Dock and boat ramp are located near the mouth of the Kenai River. There are also a number of private commercial fish processing docks. Moorage is by buoys anchored in the Kenai River."
1389547.45199975,828859.515709213,24,Ketchikan Gateway Borough,Yes,2018/03/12 00:00:00+00,"Regularly-scheduled jet services offer air service. The state-owned Ketchikan International Airport has a paved, lighted, asphalt runway. The airport lies on Gravina Island, a 10-minute ferry ride from Ketchikan's waterfront. Ketchikan is a regional transportation hub, with numerous air taxi services to surrounding communities. There are four major float plane landing facilities: Tongass Narrows, Peninsula Point, Ketchikan Harbor, and Murphy's. Ketchikan is the first port of call in Alaska for cruise ships and Alaska Marine Highway vessels. Harbor and docking facilities include a breakwater, a deep draft dock, five small boat harbors, a dry dock and ship repair yard, boat launch, and a state ferry terminal. The shipyard is privately owned. The Inter-Island Ferry Authority operates a once-daily, year-round ferry service between Ketchikan and Hollis."
95012.8624791748,866766.046510966,25,Kodiak Island Borough,No,2018/03/12 00:00:00+00,"Kodiak is accessible by air and sea. The state-owned Kodiak airport has three asphalt runways. Kodiak Municipal Airport offers another shorter, paved runway for small aircraft. Two passenger airlines serve Kodiak with several daily flights to and from Anchorage, and a number of air taxi services provide flights to five remote villages only accessible by boat or aircraft. City-owned seaplane bases at Trident Basin and Lilly Lake accommodate floatplane traffic. The Alaska Marine Highway System operates a ferry service between Kodiak and Homer, as well as other ports as far west as Dutch Harbor. The Port of Kodiak includes 2 boat harbors with 600 boat slips up to 160 feet in length. Three deep-draft piers accommodate ferries, cruise ships, container ships, military vessels and a variety of large commercial fishing vessels. Boat launch ramps and 150 ton vessel lift are also available. The City of Kodiak opened a shipyard in 2010. Vessels up to 42 feet by 180 feet and 660 tons can be lifted for maintenance and rebuild. A breakwater on Near Island provides another 60 acres of mooring space at St. Herman Harbor. Approximately 140 miles of state roads connect island communities on the east side of the island."
258510.87220626,1300733.82621299,26,Matanuska-Susitna Borough,No,2018/03/12 00:00:00+00,"The Matanuska-Susitna Borough can be accessed via the Glenn Highway, George Parks Highway, and Denali Highway. There are four public transit providers operating throughout the borough and connecting to Anchorage. Ocean access is provided thruogh Port MacKenzie, at the head of Cook Inlet along the Knik Arm. The port includes a 1250' trestle dock with -60 feet of water at low tide, and a 500 foot bulkhead barge dock with -20 feet of water at low tide. The docks are configured to handle bulk commodities. A 32-mile rail extension is being completed to connect the port to the Alaska Railroad mainline. The Alaska Railroad bisects the Matanuska-Susitna Borough on its way from Anchorage to Fairbanks. There are over 180-miles of rail within the borough along which passengers can board or disembark at 'whistle stops'. The borough has the highest concentration of public and private airports in the nation. With 10 public airports and over 200 private airports, over 1,000 aircraft, more pilots per capita than most of the rest of Alaska and the nation, and millions of dollars of economic impacts to the region's economy, aviation is vitally important to the economy of the region and lifestyle of its residents. The largest concentration of airports occurs between the Cities of Wasilla and Palmer, but the Willow and Talkeetna areas also have a significant number of airports. Most of the airports are privately owned and operated and used for travel, sightseeing, and recreation. There are also public airports at Palmer, Wasilla, and Talkeetna. The borough has many active floatplane lakes, some of which have been registered with the Federal Aviation Administration. Virtually all lakes large enough are used for floatplane operations at some time during the year. There are over 2,000 miles of hiking, snowshoeing, skiing, snowmobiling, and ATV trails throughout the borough."
-1537200.80409957,470990.071658981,27,Adak,Yes,2018/03/12 00:00:00+00,"Adak Airport is a State of Alaska owned and maintained certificated airport and has two asphalt paved runways. The community participates in the Essential Air Services program, which helps funds commercial air flights. Alaska Airlines operates passenger and cargo jet service. There are three deep water docks and fueling facilities and additional facilities that service the fishing industry. In 2006, a 315 foot sheet pile dock was installed, and in 2011 dredging of the harbor basin and entrance was completed. In 2014, plans were in place to expand the basin of Sweeper Cove Small Boat Harbor and install moorage floats, vessel haul-out capabilities, new breakwaters and utility services. This project will go forward as funding is secured. There is no harbormaster for the Adak Small Boat Harbor, but there is a private harbormaster for the other docks. Adak has approximately 16 miles of paved roads, as well as gravel and dirt roads."
-10519.3318614154,771139.191692125,29,Akhiok,Yes,2018/03/12 00:00:00+00,This area is used as a seasonal fish camp.
-390087.745779022,1235043.28228904,30,Akiak,No,2018/03/12 00:00:00+00,"Akiak has a state-owned airport with a gravel runway in good condition. The strip provides chartered or private air access year-round. Several air carriers offer passenger flight service. Snow machines, ATVs, and skiffs are used extensively for local transportation to nearby villages. There are no docking facilities."
-766479.910475392,525927.743350198,31,Akutan,Yes,2018/03/12 00:00:00+00,"Akutan is only accessible by boat and amphibious aircraft. The land-based Akutan Airport was opened in September 2012 on Akun Island, and services Akutan by a helicopter. Daily scheduled air service is provided by Grant Aviation from nearby Dutch Harbor/Unalaska, and is subsidized by the Essential Air Service. The state ferry M/V Tustumena serves Akutan on its westbound route to Dutch Harbor and its eastbound route to Homer during the months of April and October. Akutan is the second largest seafood port in north America. Akutan has a 100-foot public dock and a 58-vessel mooring basin and breakwater was completed by the Army Corps of Engineers in September 2013. Trident Seafoods owns several commercial docks. In 2013, the city applied for ARRA funding for a two-mile harbor access road, with the purpose of connecting the village/city of Akutan with the Trident Seafoods shore plant and the harbor."
-542392.68206103,1456437.72182411,32,Alakanuk,Yes,2018/03/12 00:00:00+00,"A state-owned and -managed gravel airstrip is available. Alakanuk is easily accessible from the Yukon River and Bering Sea by barge and riverboat. Most passengers and mail arrive by air. There are no roads connecting Alakanuk with other population centers in the region, but ice roads are used in winter. Snow machines and boats are used for local travel."
-262308.612461073,1040822.18417894,33,Aleknagik,No,2018/03/12 00:00:00+00,"Aleknagik is the only village in the region with surface access to Dillingham via the 22-mile Aleknagik Lake Road, which was paved in 2004. Regular flights from Dillingham arrive at the New Aleknagik airport. The city owns and operates a 100' dock on the north shore of Aleknagik Lake, which is not road-accessible. A breakwater, barge landing, boat launch ramp and boatlift are also available on the north shore. Moody's Marina serves as a fueling station for boats and seaplanes. Skiffs are used to travel to Dillingham, across the lake. The Lake Aleknagik State Recreation Site on the south shore, the gateway to Wood-Tikchik state parks, has a boat launch and float plane accommodations. An ice road connects north and south shores in the winter. Several barge companies provide lighterage service from Dillingham to Aleknagik via the Wood River. Vehicles, skiffs and ATVs and snow machines are the most frequent means of local transportation."
60176.824355894,1845337.73673645,34,Allakaket,No,2018/03/12 00:00:00+00,"Allakaket has no road link, but winter trails connect it with Hughes, Bettles, and Tanana. River transportation is important in summer, but there is no commercial barge access due to shallow water. A state-owned gravel runway is accessible year-round."
-168357.796042103,1908076.86269952,35,Ambler,No,2018/03/12 00:00:00+00,"Ambler's major means of transportation are by barge, plane, small boat, and snow machine. There are no roads linking the city to other parts of the state. A state-owned lighted, gravel airstrip, with a gravel crosswind airstrip is located one and a half miles from the city. In addition, daily scheduled services are provided out of Kotzebue, and air taxis provide charter flights. Crowley Marine Services barges fuel and supplies to Ambler each summer. Boats are used for inter-village travel and subsistence activities. ATVs and snow machines are commonly used in winter."
94894.1751459759,2021732.21131396,36,Anaktuvuk Pass,No,2018/03/12 00:00:00+00,"A gravel airstrip is owned and operated by the North Slope Borough and provides Anaktuvuk Pass with year-round access. There is no road to Anaktuvuk Pass, all goods and services are received by air. Snow machines and ATVs are used for local transportation."
231980.126647679,1606209.55215741,37,Anderson,No,2018/03/12 00:00:00+00,"Anderson is located about 55 air miles (76 driving miles) southwest of Fairbanks. The 6 mile access road runs west from the George Parks Highway at Mile Post 283.5. The Alaska Railroad runs close to Anderson but doesn't have a station there. Most goods are brought in by truck. A state-owned, lighted asphalt runway is located at Clear Airport, 4 miles south of town along the access road. Charters and private aircraft serve the airstrip. A private dirt strip is located at Clear Sky Lodge. Lost Slough, a large slough of the Nenana River, is located less than a mile west of town. It is used for fishing, but the river is too shallow for cargo transportation."
1144736.49530355,1001399.30409643,38,Angoon,Yes,2018/03/12 00:00:00+00,"Angoon is accessible only by float plane or boat. Scheduled and charter float plane services are available from the state-owned seaplane base on Kootznahoo Inlet. Angoon's facilities also include a deep draft dock, a small boat harbor with 45 berths, and state ferry terminal. Freight arrives by barge and ferry."
-292239.010092156,1301035.34428872,39,Aniak,No,2018/03/12 00:00:00+00,"Access to Aniak is limited to air and water. The state-owned airport has an asphalt runway that is lighted, and is equipped for instrument approaches. Regular flights are provided by several carriers, including charter operators. Float planes can also land on Aniak Slough. Fuel and supplies are brought in by barge during the summer; other goods are delivered by air year-round. There is no road connection to other villages, although trails and the frozen Kuskokwim River are used by snow machines during winter. When the river is frozen, it is used as an ice road to access Chuathbaluk, Crooked Creek and Bethel. A winter trail is marked to Kalskag (15 mi)."
-316464.020166387,1423712.40568258,40,Anvik,No,2018/03/12 00:00:00+00,"The Anvik River, west of the Yukon, allows access during the summer by barge and float plane. The city would like to develop additional dock and harbor facilities. The state-owned gravel airstrip provides year-round access. Three miles of local roads are used by all-terrain vehicles, snow machines, and dog teams."
-1366062.6920054,452266.93070329,41,Atka,Yes,2018/03/12 00:00:00+00,"Atka has a state-owned, city-maintained asphalt, lighted runway. Scheduled air services are available three times weekly from Unalaska. Planes can be chartered from Cold Bay or Unalaska. Freight service is provided from April to October. The city dock and port facility is located 5 miles from town in Nazan Bay."
-130178.283503762,2281005.01007065,42,Atqasuk,No,2018/03/12 00:00:00+00,"Air travel provides the only year-round access, while land transportation provides seasonal access. The North Slope Borough owns and operates the Edward Burnell Sr. Memorial Airport, which has a gravel runway. 'Cat-trains' are sometimes used to transport freight overland from Barrow during winter months. Snow machines, ATVs, and boats are used for local transportation."
-420708.278583235,1225426.14136511,43,Bethel,Yes,2018/03/12 00:00:00+00,"Bethel is the regional transportation hub for the Yukon-Kuskokwim Delta and the main port on the Kuskokwim River. Bethel has 38 miles of public roads and is connected by road to several nearby villages during the summer. A 28-mile ice road along the Kuskokwim River connects the community with neighboring villages in the winter. The Bethel Airport is the third busiest in the state, with daily service to and from Anchorage and 56 surrounding villages. Bethel maintains a medium-draft port for ocean-going vessels, as well as the Bethel cargo dock, a petro port, a small boat harbor, a float plane beach and a seawall. Transportation within the community is served by taxi and a public transit system. A series of traditional trails provide access within the city and to nearby communities. Trail users walk, ride bicycles, or use ATVs during the summer and rely on snowmachines, dog teams, or cross country skis in the winter."
109496.401507577,1886970.73243223,44,Bettles,No,2018/03/12 00:00:00+00,"During four months of the year, the Bettles Winter Road, a 30-mile winter trail, gives residents access to the Dalton Highway, which leads to Fairbanks. The Koyukuk River is used in the summer, but no commercial barge is available. The state-owned airport is classified as a transport center, with a manned FAA contract weather station, a gravel runway, and a float pond. Trucks, cars, snow machines, and ATVs are used for local transportation."
-578884.171153793,1762943.25312878,45,Brevig Mission,Yes,2018/03/12 00:00:00+00,"Brevig Mission is accessible by air and sea and, in the winter, over land or ice. A cargo ship visits annually. The state-owned gravel airstrip with a gravel crosswind strip enables year-round access. Regular air service is available from Nome, and charters are provided from Nome and Teller. Teller is 5 miles away by boat. A 72-mile gravel road between Teller and Nome is maintained by the state during the summer."
-324000.541170265,1797365.1997631,46,Buckland,Yes,2018/03/12 00:00:00+00,"Buckland's major means of transportation are plane, small boat, barge, and snow machine; there are no roads outside of the village. Buckland has a state-owned gravel airstrip, which serves a number of scheduled and chartered flights. Crowley Marine barges in fuel and various lighterage companies deliver cargo and supplies each summer."
-566470.863051303,1173895.33647436,47,Chefornak,Yes,2018/03/12 00:00:00+00,"A state-owned gravel airstrip provides chartered and private air access year-round, and a seaplane base is available. There are two cars that provide transportation to the airport. Although there are no docking facilities, a number of fishing boats and skiffs are used for local travel. Snow machines are relied upon during the winter. Winter trails are marked to Kipnuk (20 mi) and Kasigluk (83 mi). Boardwalks are located within the village for pedestrians."
-611354.424221957,1336742.93808656,48,Chevak,No,2018/03/12 00:00:00+00,"Local transportation is done by small boat, small aircraft, ATV, or snow machine. The community is connected by a system of sand and gravel roads, and wooden boardwalks. Trails in the area are utilized for subsistence activities, and winter trails connect to Hooper Bay (17 miles), Scammon Bay (25 miles), and Newtok (50 miles). The airport, completed in 2006, is owned and maintained by the State of Alaska. The airstrip provides regional charter and private air access year-round. As of 2014, the community was seeking funds to widen and extend the runway. Seaplanes have the use of a dock. Each spring the community experiences flooding that adversely affects major traffic areas within town."
-272640.696692714,708170.914671806,49,Chignik,Yes,2018/03/12 00:00:00+00,"Chignik is accessible by air and sea. There is a state-owned gravel runway maintained by the city. Regular flights run from King Salmon. Flights directly from Anchorage can be scheduled on an as-needed basis. Barge services arrive weekly, from late spring through early fall, and monthly during the remainder of the year. The state ferry operates bi-monthly from Kodiak between May and October. A 600' privately-owned dock and boat haul-out are available. A public small boat harbor accommodates more than thirty fishing vessels, and a regional public dock is under development. Four-wheel drive vehicles are the primary means of local transportation, ATVs are a secondary means, and skiffs are used to travel to surrounding communities."
