OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
1,Alaska,2022,All Fisheries Combined,9008,13599,4972,6955,789336328, ,932396932, ,,,,,2024/01/02 09:00:00+00
2,Alaska,2022,Crab,697,819,455,519,61485410, ,11374670, ,,,,,2024/01/02 09:00:00+00
3,Alaska,2022,Halibut,1258,1369,1041,1089,98407062, ,16726825, ,,,,,2024/01/02 09:00:00+00
4,Alaska,2022,Herring,1264,1494,147,161,12293610, ,80793939, ,,,,,2024/01/02 09:00:00+00
5,Alaska,2022,Other Finfish,15,15,2,2,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
6,Alaska,2022,Other Groundfish,596,719,257,279,88005048, ,382309414, ,,,,,2024/01/02 09:00:00+00
7,Alaska,2022,Other Shellfish,545,652,193,236,9367049, ,2662386, ,,,,,2024/01/02 09:00:00+00
8,Alaska,2022,Sablefish,452,523,398,450,79376231, ,26156603, ,,,,,2024/01/02 09:00:00+00
9,Alaska,2022,Salmon,7283,8008,4019,4219,440385451, ,412364861, ,,,,,2024/01/02 09:00:00+00
10,Alaska,2021,All Fisheries Combined,9023,13539,5112,6971,783924322, ,1027619905, ,,,,,2024/01/02 09:00:00+00
11,Alaska,2021,Crab,628,713,326,350,102716362, ,18160401, ,,,,,2024/01/02 09:00:00+00
12,Alaska,2021,Halibut,1226,1311,929,959,89283436, ,17085756, ,,,,,2024/01/02 09:00:00+00
13,Alaska,2021,Herring,1252,1487,159,169,8173814, ,68064184, ,,,,,2024/01/02 09:00:00+00
14,Alaska,2021,Other Finfish,34,34,1,1,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
15,Alaska,2021,Other Groundfish,620,762,274,307,62899176, ,364371680, ,,,,,2024/01/02 09:00:00+00
16,Alaska,2021,Other Shellfish,594,704,301,342,18000800, ,2903373, ,,,,,2024/01/02 09:00:00+00
17,Alaska,2021,Sablefish,438,514,343,405,53108940, ,20043513, ,,,,,2024/01/02 09:00:00+00
18,Alaska,2021,Salmon,7304,8014,4232,4438,449741414, ,536990618, ,,,,,2024/01/02 09:00:00+00
19,Alaska,2020,All Fisheries Combined,9122,13587,5351,7255,450400086, ,756611747, ,,,,,2024/01/02 09:00:00+00
20,Alaska,2020,Crab,623,718,364,406,72479601, ,21249644, ,,,,,2024/01/02 09:00:00+00
21,Alaska,2020,Halibut,1282,1344,964,988,0,Yes,0,Yes,14976761,48445134,964,987,2024/01/02 09:00:00+00
22,Alaska,2020,Herring,1254,1494,148,153,3964455, ,17218719, ,,,,,2024/01/02 09:00:00+00
23,Alaska,2020,Other Finfish,27,27,2,2,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
24,Alaska,2020,Other Groundfish,588,722,248,279,64295954, ,376503113, ,,,,,2024/01/02 09:00:00+00
25,Alaska,2020,Other Shellfish,576,685,314,355,11220469, ,3147978, ,,,,,2024/01/02 09:00:00+00
26,Alaska,2020,Sablefish,450,564,328,425,30806681, ,15098448, ,,,,,2024/01/02 09:00:00+00
27,Alaska,2020,Salmon,7364,8033,4441,4647,219143207, ,308403914, ,,,,,2024/01/02 09:00:00+00
28,Alaska,2019,All Fisheries Combined,9277,13875,6038,8144,662660178, ,1025191285, ,,,,,2024/01/02 09:00:00+00
29,Alaska,2019,Crab,644,731,387,429,61298492, ,16834363, ,,,,,2024/01/02 09:00:00+00
30,Alaska,2019,Halibut,1394,1438,1196,1214,64634609, ,16319163, ,,,,,2024/01/02 09:00:00+00
31,Alaska,2019,Herring,1261,1512,160,161,4160995, ,41735005, ,,,,,2024/01/02 09:00:00+00
32,Alaska,2019,Other Finfish,43,43,9,9,2912, ,2992, ,,,,,2024/01/02 09:00:00+00
33,Alaska,2019,Other Groundfish,664,836,314,351,75540366, ,384412223, ,,,,,2024/01/02 09:00:00+00
34,Alaska,2019,Other Shellfish,600,713,317,366,15033150, ,4007284, ,,,,,2024/01/02 09:00:00+00
35,Alaska,2019,Sablefish,470,550,402,469,36229023, ,13363325, ,,,,,2024/01/02 09:00:00+00
36,Alaska,2019,Salmon,7415,8052,4963,5145,405760631, ,548516930, ,,,,,2024/01/02 09:00:00+00
37,Alaska,2018,All Fisheries Combined,9377,14065,6049,8133,581406518,,844359935,,,,,,2019/04/18 08:00:00+00
38,Alaska,2018,Crab,648,764,357,423,53404679,,14574340,,,,,,2019/04/18 08:00:00+00
39,Alaska,2018,Halibut,1428,1466,1183,1193,52323891,,13589254,,,,,,2019/04/18 08:00:00+00
40,Alaska,2018,Herring,1279,1531,168,184,5470548,,36819437,,,,,,2019/04/18 08:00:00+00
41,Alaska,2018,Other Finfish,64,64,27,27,53507,,36029,,,,,,2019/04/18 08:00:00+00
42,Alaska,2018,Other Groundfish,680,865,283,324,79856466,,412336516,,,,,,2019/04/18 08:00:00+00
43,Alaska,2018,Other Shellfish,581,697,306,353,13557742,,3998072,,,,,,2019/04/18 08:00:00+00
44,Alaska,2018,Sablefish,482,552,426,478,44806867,,13381404,,,,,,2019/04/18 08:00:00+00
45,Alaska,2018,Salmon,7492,8126,4962,5151,331932818,,349624883,,,,,,2019/04/18 08:00:00+00
46,Alaska,2017,All Fisheries Combined,9496,14257,6274,8429,763889655,,1300630334,,,,,,2019/04/18 08:00:00+00
47,Alaska,2017,Crab,659,780,326,410,46701391,,10748119,,,,,,2019/04/18 08:00:00+00
48,Alaska,2017,Halibut,1476,1522,1286,1297,77950387,,16855934,,,,,,2019/04/18 08:00:00+00
49,Alaska,2017,Herring,1281,1535,178,195,6364460,,53673629,,,,,,2019/04/18 08:00:00+00
50,Alaska,2017,Other Finfish,67,67,28,28,30009,,20239,,,,,,2019/04/18 08:00:00+00
51,Alaska,2017,Other Groundfish,785,965,339,376,89962716,,533486596,,,,,,2019/04/18 08:00:00+00
52,Alaska,2017,Other Shellfish,598,714,304,352,11852276,,3205305,,,,,,2019/04/18 08:00:00+00
53,Alaska,2017,Sablefish,487,554,428,490,57952648,,12537107,,,,,,2019/04/18 08:00:00+00
54,Alaska,2017,Salmon,7523,8120,5105,5281,473075769,,670103405,,,,,,2019/04/18 08:00:00+00
