X,Y,OBJECTID,CommunityID,CommunityName,IncorporationType,AreaType,BoroughCensusArea,ANCSARegionalCorporation,NativeRegionalHealthCarePro,ANCSARegionalNonProfit,SchoolDistrict,DCRAAlaskaRegion,ClimateRegion,EnergyRegion,EconomicRegion,ARDORRegion,RecordersOffice,Section,Township,Range,Meridian,sqMiLand,sqMiWater
-168062.499280089,899298.276394709,1479,{08965FEC-CECD-4B69-9010-FEC9535D56A9},Lake and Peninsula Borough,Non-Unified Home Rule Borough,Community,Lake and Peninsula Borough,Bristol Bay Native Corporation,Yukon-Kuskokwim Health Corporation,"Bristol Bay Native Association, Incorporated",Lake and Peninsula Borough School District,Southwest Region,Western Transitional,Bristol Bay,Southwest Economic Region,Southwest Alaska Municipal Conference,,27,006S,034W,S,23782,7125
244851.204268498,1554216.24330167,1480,{E39576F3-5473-4050-AD4E-430B55770A08},Denali Borough,Non-Unified Home Rule Borough,Community,Denali Borough,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Denali Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,,,29,012S,007W,F,12749.7,24.9
-102112.735659614,2368208.02597276,1481,{2DA35656-FC1D-4370-A191-64BB54EB5787},North Slope Borough,Non-Unified Home Rule Borough,Community,North Slope Borough,Arctic Slope Regional Corporation,"Arctic Slope Native Association, Limited","Arctic Slope Native Association, Limited",North Slope Borough School District,Northern Region,Arctic,,Northern Economic Region,,,24,002S,001W,U,88817.1,5945.5
1041546.65601907,1173104.96179083,1482,{EE7CEC95-7451-4BA9-B25F-B1C7F2362518},Haines Borough,Non-Unified Home Rule Borough,Community,Haines Borough,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Haines Borough School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,,34,030S,059E,C,2343.7,382.1
162354.134025602,1092835.21425893,1483,{71833F98-63B0-41B7-8D06-F86C7A19B0BD},Voznesenka Village,Locality,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated","Council of Athabascan Tribal Governments, Incorporated","Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Homer - 309,25,004S,011W,S,,
-377344.622897493,1906418.53323502,1484,{351F5989-A7A7-4518-A5E4-E67316B8C2DD},Northwest Arctic Borough,Non-Unified Home Rule Borough,Community,Northwest Arctic Borough,"NANA Regional Corporation, Incorporated",Maniilaq Association,Maniilaq Association,Northwest Arctic Borough School District,Northwest Region,Arctic,,Northern Economic Region,Northwest Arctic Borough Economic Development Council,,3,017N,018W,K,35898.3,4863.7
1261271.08419403,957469.206997323,1485,{3D32B916-2AAC-4B36-A357-1CCB20E08A73},Petersburg Borough,Non-Unified Home Rule Borough,Community,Petersburg Borough,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Petersburg Borough School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,,27,058S,079E,C,2921,908
796588.039603731,1148740.78088062,1486,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B},Yakutat,Non-Unified Home Rule Borough,Community,City and Borough of Yakutat,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Yakutat School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Juneau - 101,30,027S,034E,C,7650.5,1808.8
219654.775923324,1255116.01268035,1487,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,Unified Home Rule Borough,Community,Municipality of Anchorage,"Cook Inlet Region, Incorporated",Alaska Native Tribal Health Consortium - ANTHC,"Cook Inlet Tribal Council, Incorporated",Anchorage School District,Southcentral Region,Gulf Coast Transitional,Railbelt,Anchorage/Mat-Su Economic Region,Anchorage Economic Development Corporation,Anchorage - 301,18,013N,003W,S,1697.2,263.9
1128714.87957736,1089944.96465042,1488,{E5B6208B-DD7F-4DBA-951C-0C5D616E79BF},Juneau,Unified Home Rule Borough,Community,City and Borough of Juneau,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Juneau Borough School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Juneau - 101,23,041S,067E,C,2716.7,538.3
1115221.96070411,940259.193283325,1489,{99E9981F-255D-4678-9D2E-704DC07798D6},Sitka,Unified Home Rule Borough,Community,City and Borough of Sitka,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Sitka School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Sitka - 103,35,055S,063E,C,2874,1937.5
1306628.34428561,932518.315928681,1490,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1},Wrangell,Unified Home Rule Borough,Community,City and Borough of Wrangell,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Wrangell Public School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Wrangell - 104,25,062S,083E,C,2582,883
1296749.85462015,826496.682441108,1491,{8CE0B6D0-3B5A-4A3B-A0FF-CF88A52A2F48},Big Salt,Unincorporated,Community,Prince of Wales-Hyder Census Area,Sealaska Corporation,Southeast Alaska Regional Health Consortium,Central Council of the Tlingit and Haida Indian Tribes of Alaska,Klawock City School District,Southeast Region,Southeast Maritime,Southeast,Southeast Economic Region,Southeast Conference,Ketchikan - 102,10,073S,081E,C,0,0
163036.79807432,1094929.17988325,1492,{B2ABA72D-670E-40F3-92D0-454C259DF94A},Razdolna Village,Locality,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated","Tanana Chiefs Conference, Department of Health Services","Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Homer - 309,24,004S,011W,S,,
286748.564275066,1663572.15678091,1493,{AC412614-F26A-44A1-AF0C-6818321D60A5},Ptarmigan Heights,Locality,Community,Fairbanks North Star Borough,"Doyon, Limited",Southeast Alaska Regional Health Consortium,Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,11,006S,013W,S,,
281272.449231142,1670197.82040574,1494,{F4459E94-16D4-4F7F-B434-DF84BF0E2AD9},Ester Dome,Locality,Community,Fairbanks North Star Borough,"Doyon, Limited","Tanana Chiefs Conference, Department of Health Services",Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,25,001N,003W,F,,
298806.233639095,1699080.3309055,1495,{B043E26D-53A6-4E96-8A4B-7A5E4AE142C0},Haystack,Locality,Community,Fairbanks North Star Borough,"Doyon, Limited",,Tanana Chiefs Conference,Fairbanks North Star Borough School District,Interior Region,Continental,Railbelt,Interior Economic Region,Fairbanks North Star Borough Economic Development Commission,Fairbanks - 401,6,003N,001E,F,,
163610.124814811,1092933.37341036,1496,{42DB4ABE-BFBA-4450-A725-03EE74F34A74},Kachemak Selo,Locality,Community,Kenai Peninsula Borough,"Cook Inlet Region, Incorporated",,"Cook Inlet Tribal Council, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Region,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,Kenai Peninsula Economic Development District,Homer - 309,31,004S,010W,S,,
