X,Y,OBJECTID,CommunityName,IncorporationType,Population,Source,DataYear,CommunityAreaTypeName
-130179.525861584,2281005.03230254,1,Atqasuk,2nd Class City,248,DCCED Certified,2016,Community
-272641.915673634,708171.073460952,2,Chignik,2nd Class City,96,DCCED Certified,2016,Community
256230.40442159,1305085.13899414,3,Farm Loop,Census Designated Place,1198,DCCED Certified,2016,Place of Interest
-228053.382392943,1604048.25793828,4,Kaltag,2nd Class City,172,DCCED Certified,2016,Community
1033754.65854322,1180028.39876018,5,Lutak,Census Designated Place,71,DCCED Certified,2016,Place of Interest
-377345.822372229,1906418.58116836,6,Northwest Arctic Borough,Non-Unified Home Rule Borough,7944,DCCED Certified,2016,Community
205612.056276728,1356772.7150459,7,Susitna North,Census Designated Place,1500,DCCED Certified,2016,Place of Interest
109495.160712797,1886970.79354587,8,Bettles,2nd Class City,11,DCCED Certified,2015,Community
151372.627970904,1084665.91051406,9,Fritz Creek,Census Designated Place,2024,Department of Labor and Workforce Development Estimate,2015,Community
177178.478700454,1172748.98875314,10,Funny River,Census Designated Place,877,Department of Labor and Workforce Development Estimate,2015,Community
448519.435046842,1399145.2187377,11,Gakona,Unincorporated Census Designated Place,205,Department of Labor and Workforce Development Estimate,2015,Community
-136930.264533332,1645322.8711367,12,Galena,1st Class City,484,DCCED Certified,2015,Community
-861998.954714851,1650244.0948119,13,Gambell,2nd Class City,698,DCCED Certified,2015,Community
1074353.57404135,1045499.38432392,14,Game Creek,Unincorporated Census Designated Place,18,Department of Labor and Workforce Development Estimate,2015,Place of Interest
251772.212861708,1297369.94536932,15,Gateway,Census Designated Place,6472,Department of Labor and Workforce Development Estimate,2015,Community
329326.301743621,1328445.71063366,16,Glacier View,Census Designated Place,247,Department of Labor and Workforce Development Estimate,2015,Community
439626.450919453,1376652.80795984,17,Glennallen,Unincorporated Census Designated Place,473,Department of Labor and Workforce Development Estimate,2015,Community
447304.051362243,1574535.41928412,18,Gold Sand Acres,Unincorporated,0,Department of Labor and Workforce Development Estimate,2015,Community
-431920.832844917,1649447.70853771,19,Golovin,2nd Class City,185,DCCED Certified,2015,Community
-431809.410641146,1038370.52998029,20,Goodnews Bay,2nd Class City,267,DCCED Certified,2015,Community
-307075.684978314,1451345.66566966,21,Grayling,2nd Class City,176,DCCED Certified,2015,Community
445412.654199145,1394980.58120467,22,Gulkana,Unincorporated Census Designated Place,114,Department of Labor and Workforce Development Estimate,2015,Community
1050531.08053102,1080255.13578639,23,Gustavus,2nd Class City,533,DCCED Certified,2015,Community
-280194.960905991,709704.934092457,24,Chignik Lagoon,Census Designated Place,85,DCCED Certified,2016,Community
-294537.833390566,704373.112042544,25,Chignik Lake,Census Designated Place,64,DCCED Certified,2016,Community
105904.171318265,847470.945897264,26,Chiniak,Census Designated Place,46,DCCED Certified,2016,Place of Interest
620241.421585954,1398669.37789593,27,Chisana,Unincorporated Census Designated Place,4,DCCED Certified,2016,Place of Interest
477049.511091391,1432884.65986376,28,Chistochina,Unincorporated Census Designated Place,88,DCCED Certified,2016,Community
505209.434057254,1318323.36338686,29,Chitina,Unincorporated Census Designated Place,104,DCCED Certified,2016,Community
-277208.32474227,1299382.0395778,30,Chuathbaluk,2nd Class City,118,DCCED Certified,2016,Community
453137.328724413,1797102.5674427,31,Circle,Unincorporated Census Designated Place,108,DCCED Certified,2016,Community
1115220.67484787,940259.297605514,32,City and Borough of Sitka,Unified Home Rule Borough,8920,DCCED Certified,2016,Community
143380.401020965,1140419.44502553,33,Clam Gulch,Census Designated Place,167,DCCED Certified,2016,Community
-261538.012610842,990939.377471944,34,Clark's Point,2nd Class City,54,DCCED Certified,2016,Community
1296626.40124041,875531.421165456,35,Coffman Cove,2nd Class City,204,DCCED Certified,2016,Community
147296.352254568,1156546.17263257,36,Cohoe,Census Designated Place,1489,DCCED Certified,2016,Community
-553099.206449505,613456.321491174,37,Cold Bay,2nd Class City,59,DCCED Certified,2016,Community
165267.505139373,1926764.33569298,38,Coldfoot,Unincorporated Census Designated Place,8,DCCED Certified,2016,Place of Interest
229361.852471945,1174878.75156961,39,Cooper Landing,Census Designated Place,250,DCCED Certified,2016,Community
453407.617757306,1360664.88459182,40,Copper Center,Unincorporated Census Designated Place,315,DCCED Certified,2016,Community
449341.002617589,1201051.24327367,41,Cordova,Home Rule City,2386,DCCED Certified,2016,Community
1007107.40951449,1181897.81569748,42,Covenant Life,Census Designated Place,57,DCCED Certified,2016,Place of Interest
1296029.36558087,812250.576492947,43,Craig,1st Class City,1102,DCCED Certified,2016,Community
-215168.893662071,1328137.49475481,44,Crooked Creek,Unincorporated Census Designated Place,92,DCCED Certified,2016,Community
253927.740643429,1168042.84768789,45,Crown Point,Census Designated Place,63,DCCED Certified,2016,Community
238268.74664755,1570151.81382958,46,Ferry,Census Designated Place,27,DCCED Certified,2016,Place of Interest
250360.007387906,1310626.65046863,47,Fishhook,Census Designated Place,5805,DCCED Certified,2016,Community
-206090.348391085,1392912.06253855,48,Flat,Unincorporated Census Designated Place,0,DCCED Certified,2016,Place of Interest
403399.816431679,1583732.98732988,49,Fort Greely,Unincorporated Census Designated Place,477,DCCED Certified,2016,Community
389072.307254684,1871099.7990719,50,Fort Yukon,2nd Class City,558,DCCED Certified,2016,Community
233382.384274499,1635058.99555354,51,Four Mile Road,Unincorporated Census Designated Place,36,DCCED Certified,2016,Place of Interest
172137.395334282,1099907.15533493,52,Fox River,Census Designated Place,674,DCCED Certified,2016,Place of Interest
151372.627970904,1084665.91051406,53,Fritz Creek,Census Designated Place,2107,DCCED Certified,2016,Community
177178.478700454,1172748.98875314,54,Funny River,Census Designated Place,951,DCCED Certified,2016,Community
448519.435046842,1399145.2187377,55,Gakona,Unincorporated Census Designated Place,199,DCCED Certified,2016,Community
-136930.264533332,1645322.8711367,56,Galena,1st Class City,488,DCCED Certified,2016,Community
-861998.954714851,1650244.0948119,57,Gambell,2nd Class City,721,DCCED Certified,2016,Community
1074353.57404135,1045499.38432392,58,Game Creek,Unincorporated Census Designated Place,21,DCCED Certified,2016,Place of Interest
251772.212861708,1297369.94536932,59,Gateway,Census Designated Place,7084,DCCED Certified,2016,Community
329326.301743621,1328445.71063366,60,Glacier View,Census Designated Place,245,DCCED Certified,2016,Community
439626.450919453,1376652.80795984,61,Glennallen,Unincorporated Census Designated Place,459,DCCED Certified,2016,Community
447304.051362243,1574535.41928412,62,Gold Sand Acres,Unincorporated,71,DCCED Certified,2016,Community
-431920.832844917,1649447.70853771,63,Golovin,2nd Class City,182,DCCED Certified,2016,Community
-431809.410641146,1038370.52998029,64,Goodnews Bay,2nd Class City,265,DCCED Certified,2016,Community
-307075.684978314,1451345.66566966,65,Grayling,2nd Class City,189,DCCED Certified,2016,Community
445412.654199145,1394980.58120467,66,Gulkana,Unincorporated Census Designated Place,110,DCCED Certified,2016,Community
1050531.08053102,1080255.13578639,67,Gustavus,2nd Class City,558,DCCED Certified,2016,Community
-26066.0341954539,839943.217720194,68,Karluk,Census Designated Place,24,DCCED Certified,2016,Community
1338592.77344132,833795.508697213,69,Kasaan,2nd Class City,89,DCCED Certified,2016,Community
-459493.036753183,1241856.72899398,70,Kasigluk,Unincorporated Census Designated Place,602,DCCED Certified,2016,Community
150945.802218357,1151749.85054242,71,Kasilof,Census Designated Place,532,DCCED Certified,2016,Community
150303.757152971,1177925.81354164,72,Kenai,Home Rule City,7098,DCCED Certified,2016,Community
160335.189559504,1170577.6343987,73,Kenai Peninsula Borough,2nd Class Borough,58060,DCCED Certified,2016,Community
475263.982565207,1339051.89897511,74,Kenny Lake,Unincorporated Census Designated Place,302,DCCED Certified,2016,Community
1390949.46071987,828555.191281473,75,Ketchikan,Home Rule City,8191,DCCED Certified,2016,Community
1389546.15986738,828859.61142743,76,Ketchikan Gateway Borough,2nd Class Borough,13758,DCCED Certified,2016,Community
-281948.838499008,1904401.9970097,77,Kiana,2nd Class City,421,DCCED Certified,2016,Community
-529658.010371663,593925.062444231,78,King Cove,1st Class City,923,DCCED Certified,2016,Community
-154173.067110536,967957.922090339,79,King Salmon,Census Designated Place,316,DCCED Certified,2016,Community
-556950.421676264,1147348.56010866,80,Kipnuk,Unincorporated Census Designated Place,673,DCCED Certified,2016,Community
-447226.987289272,2009807.22968578,81,Kivalina,2nd Class City,429,DCCED Certified,2016,Community
1296631.56988456,821637.681263856,82,Klawock,1st Class City,814,DCCED Certified,2016,Community
1303728.51185933,820922.606672623,83,Klawock Lake,Unincorporated,44,DCCED Certified,2016,Community
1012027.38837764,1184049.09555054,84,Klukwan,Unincorporated Census Designated Place,95,DCCED Certified,2016,Community
268214.856425977,1289956.53334929,85,Knik River,Census Designated Place,795,DCCED Certified,2016,Community
232079.550898615,1289597.13692596,86,Knik-Fairview,Census Designated Place,18493,DCCED Certified,2016,Community
-126723.908380746,1886093.92757466,87,Kobuk,2nd Class City,148,DCCED Certified,2016,Community
95026.27985464,866748.071608713,88,Kodiak,Home Rule City,6124,DCCED Certified,2016,Community
95011.6199027456,866766.181137952,89,Kodiak Island Borough,2nd Class Borough,13563,DCCED Certified,2016,Community
158598.943293933,1674612.30815467,90,Manley Hot Springs,Unincorporated Census Designated Place,127,DCCED Certified,2016,Community
-289404.995552482,1009209.35286284,91,Manokotak,2nd Class City,496,DCCED Certified,2016,Community
-422940.310617769,1348502.68131537,92,Marshall,2nd Class City,459,DCCED Certified,2016,Community
258509.627423267,1300733.9298901,93,Matanuska-Susitna Borough,2nd Class Borough,102598,DCCED Certified,2016,Community
586267.515886663,1321554.3531905,94,McCarthy,Unincorporated Census Designated Place,32,DCCED Certified,2016,Community
-80397.3307664457,1443158.2115088,95,McGrath,2nd Class City,302,DCCED Certified,2016,Community
250382.860466904,1539173.91577385,96,Denali Park,Census Designated Place,189,DCCED Certified,2016,Community
232199.326424662,1301642.97804888,97,Meadow Lakes,Census Designated Place,8540,DCCED Certified,2016,Community
-666098.967390566,1216835.77501392,98,Mekoryuk,2nd Class City,215,DCCED Certified,2016,Community
388219.4094364,1363330.35291249,99,Mendeltna,Unincorporated Census Designated Place,40,DCCED Certified,2016,Community
514788.504749838,1479498.72464914,100,Mentasta Lake,Unincorporated Census Designated Place,113,DCCED Certified,2016,Community
-567220.171676952,1248842.14219408,101,Mertarvik,Unincorporated Census Designated Place,0,DCCED Certified,2016,Place of Interest
1403403.93163677,807389.271110538,102,Metlakatla,Indian reservation organized under federal law,1467,DCCED Certified,2016,Community
218081.827119088,1695656.67465434,103,Minto,Unincorporated Census Designated Place,212,DCCED Certified,2016,Community
253474.099665576,1175537.10518763,104,Moose Pass,Census Designated Place,231,DCCED Certified,2016,Community
1003258.19631202,1186954.58182795,105,Mosquito Lake,Census Designated Place,256,DCCED Certified,2016,Place of Interest
-504641.714678906,1383006.58358768,106,Mountain Village,2nd Class City,860,DCCED Certified,2016,Community
1047828.83314496,1166265.20728616,107,Mud Bay,Census Designated Place,195,DCCED Certified,2016,Place of Interest
219653.533150323,1255116.11945574,108,Municipality of Anchorage,Unified Home Rule Borough,299037,DCCED Certified,2016,Community
1042113.96096509,1199031.05835886,109,Municipality of Skagway,1st Class Borough,1065,DCCED Certified,2016,Community
564351.8566282,1424359.0004402,110,Nabesna,Unincorporated Census Designated Place,1,DCCED Certified,2016,Place of Interest
-174280.650938381,974060.04566549,111,Naknek,Census Designated Place,494,DCCED Certified,2016,Community
269748.241453032,1313906.4751877,112,Sutton-Alpine,Census Designated Place,1426,DCCED Certified,2016,Community
-104231.378830169,1448041.67138072,113,Takotna,Unincorporated Census Designated Place,64,DCCED Certified,2016,Community
200805.325875181,1377989.19354065,114,Talkeetna,Census Designated Place,903,DCCED Certified,2016,Community
528913.242653236,1532292.10191689,115,Tanacross,Unincorporated Census Designated Place,110,DCCED Certified,2016,Community
243840.798915417,1300864.27998361,116,Tanaina,Census Designated Place,9121,DCCED Certified,2016,Community
90120.4148750471,1691441.85128758,117,Tanana,1st Class City,224,DCCED Certified,2016,Community
395312.475013265,1231228.68050019,118,Tatitlek,Unincorporated Census Designated Place,90,DCCED Certified,2016,Community
446539.23185435,1370184.56519406,119,Tazlina,Unincorporated Census Designated Place,260,DCCED Certified,2016,Community
-574544.346944187,1754008.56663688,120,Teller,2nd Class City,263,DCCED Certified,2016,Community
1098842.30817246,1020605.91972509,121,Tenakee Springs,2nd Class City,140,DCCED Certified,2016,Community
574649.399645128,1512987.82606618,122,Tetlin,Unincorporated Census Designated Place,110,DCCED Certified,2016,Community
1326318.07666163,846815.192903919,123,Thorne Bay,2nd Class City,532,DCCED Certified,2016,Community
-364121.721021177,1024741.90872815,124,Togiak,2nd Class City,893,DCCED Certified,2016,Community
