OBJECTID,EntityName,NumberOfDropouts,DropoutRate,SchoolYear,Year,shape
18,Kodiak Island Borough School District,10,0.008,2011/2012,2012,
19,Kodiak Island Borough School District,18,0.015,2012/2013,2013,
20,Kodiak Island Borough School District,22,0.018,2013/2014,2014,
21,Kodiak Island Borough School District,15,0.013,2014/2015,2015,
22,Kodiak Island Borough School District,13,0.012,2015/2016,2016,
23,Kodiak Island Borough School District,13,0.012,2015/2016,2016,
24,Kodiak Island Borough School District,15,0.014,2016/2017,2017,
45,Southwest Region School District,17,0.059,2011/2012,2012,
46,Southwest Region School District,23,0.091,2012/2013,2013,
47,Southwest Region School District,24,0.097,2013/2014,2014,
48,Southwest Region School District,15,0.061,2014/2015,2015,
49,Southwest Region School District,16,0.071,2015/2016,2016,
50,Southwest Region School District,16,0.071,2015/2016,2016,
51,Southwest Region School District,12,0.055,2016/2017,2017,
53,Northwest Arctic Borough School District,40,0.051,2016/2017,2017,
75,Nome Public Schools,9,0.033,2011/2012,2012,
76,Nome Public Schools,8,0.028,2012/2013,2013,
77,Nome Public Schools,4,0.014,2013/2014,2014,
78,Nome Public Schools,3,0.011,2014/2015,2015,
79,Nome Public Schools,13,0.043,2015/2016,2016,
80,Nome Public Schools,13,0.043,2015/2016,2016,
81,Nome Public Schools,12,0.044,2016/2017,2017,
104,Kuspuk School District,24,0.146,2011/2012,2012,
105,Kuspuk School District,14,0.093,2012/2013,2013,
106,Kuspuk School District,15,0.106,2013/2014,2014,
107,Kuspuk School District,13,0.091,2014/2015,2015,
108,Kuspuk School District,11,0.087,2015/2016,2016,
109,Kuspuk School District,11,0.087,2015/2016,2016,
110,Kuspuk School District,14,0.109,2016/2017,2017,
123,Denali Borough School District,4,0.014,2011/2012,2012,
124,Denali Borough School District,9,0.025,2012/2013,2013,
125,Denali Borough School District,12,0.033,2013/2014,2014,
126,Denali Borough School District,29,0.08,2014/2015,2015,
127,Denali Borough School District,26,0.07,2015/2016,2016,
128,Denali Borough School District,26,0.07,2015/2016,2016,
129,Denali Borough School District,8,0.021,2016/2017,2017,
150,Juneau Borough School District,77,0.033,2011/2012,2012,
151,Juneau Borough School District,72,0.031,2012/2013,2013,
152,Juneau Borough School District,78,0.034,2013/2014,2014,
153,Juneau Borough School District,84,0.038,2014/2015,2015,
154,Juneau Borough School District,61,0.028,2015/2016,2016,
155,Juneau Borough School District,61,0.028,2015/2016,2016,
156,Juneau Borough School District,75,0.034,2016/2017,2017,
178,Galena City School District,24,0.015,2011/2012,2012,
179,Galena City School District,32,0.019,2012/2013,2013,
180,Galena City School District,29,0.017,2013/2014,2014,
181,Galena City School District,26,0.014,2014/2015,2015,
182,Galena City School District,26,0.014,2015/2016,2016,
183,Galena City School District,26,0.014,2015/2016,2016,
184,Galena City School District,47,0.024,2016/2017,2017,
206,Wrangell Public School District,3,0.017,2011/2012,2012,
207,Wrangell Public School District,2,0.011,2012/2013,2013,
208,Wrangell Public School District,3,0.02,2013/2014,2014,
209,Wrangell Public School District,0,0,2014/2015,2015,
210,Wrangell Public School District,0,0,2015/2016,2016,
211,Wrangell Public School District,0,0,2015/2016,2016,
212,Wrangell Public School District,0,0,2016/2017,2017,
231,Hydaburg City School District,2,0.1,2011/2012,2012,
232,Hydaburg City School District,0,0,2012/2013,2013,
233,Hydaburg City School District,0,0,2013/2014,2014,
234,Hydaburg City School District,1,0.035,2014/2015,2015,
235,Hydaburg City School District,2,0.057,2015/2016,2016,
236,Hydaburg City School District,2,0.057,2015/2016,2016,
237,Hydaburg City School District,0,0,2016/2017,2017,
259,North Slope Borough School District,45,0.072,2011/2012,2012,
260,North Slope Borough School District,45,0.068,2012/2013,2013,
261,North Slope Borough School District,59,0.087,2013/2014,2014,
262,North Slope Borough School District,63,0.09,2014/2015,2015,
263,North Slope Borough School District,71,0.099,2015/2016,2016,
264,North Slope Borough School District,71,0.099,2015/2016,2016,
265,North Slope Borough School District,72,0.095,2016/2017,2017,
286,Lower Kuskokwim School District,203,0.128,2011/2012,2012,
287,Lower Kuskokwim School District,135,0.084,2012/2013,2013,
288,Lower Kuskokwim School District,122,0.071,2013/2014,2014,
289,Lower Kuskokwim School District,134,0.077,2014/2015,2015,
290,Lower Kuskokwim School District,160,0.089,2015/2016,2016,
291,Lower Kuskokwim School District,160,0.089,2015/2016,2016,
292,Lower Kuskokwim School District,136,0.076,2016/2017,2017,
312,Pribilof School District,1,0.026,2011/2012,2012,
313,Pribilof School District,0,0,2012/2013,2013,
314,Pribilof School District,0,0,2013/2014,2014,
315,Pribilof School District,1,0.027,2014/2015,2015,
316,Pribilof School District,1,0.037,2015/2016,2016,
317,Pribilof School District,1,0.037,2015/2016,2016,
318,Pribilof School District,1,0.091,2016/2017,2017,
340,Copper River School District,7,0.032,2011/2012,2012,
341,Copper River School District,8,0.037,2012/2013,2013,
