X,Y,OBJECTID,CommunityName,EntityName,LocalTaxableFullValue,StateTaxableOilandGasFullValue,TotalFVD,Population,PerCapitaFullValue,FVDYear,TaxableDatabaseLink,PeriodStartDate,PeriodEndDate,DataYear,AsOfDate
-160.48211409,55.3445109900001,1,Aleutians East Borough,Aleutians East Borough,194151700,0,194151700,3032,64034,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-165.77353925,54.13431811,2,Akutan,City of Akutan,28213600,0,28213600,1000,28213,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-162.71498738,55.2065679500001,3,Cold Bay,City of Cold Bay,19493200,0,19493200,59,330393,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-163.41473878,54.8550308600001,4,False Pass,City of False Pass,4558700,0,4558700,73,62447,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-162.31126632,55.0595082400001,5,King Cove,City of King Cove,61482000,0,61482000,923,66611,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-160.49809006,55.34090243,6,Sand Point,City of Sand Point,54426000,0,54426000,943,57715,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.89484742,61.21627757,7,Municipality of Anchorage,Municipality of Anchorage,40073466000,170985490,40244451490,299037,134580,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-157.01727128,58.7273345300001,8,Bristol Bay Borough,Bristol Bay Borough,425550600,0,425550600,874,486900,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.00584489,63.8703844300001,9,Denali Borough,Denali Borough,360678200,0,360678200,1810,199269,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.19078163,64.34335795,10,Anderson,City of Anderson,12133000,0,12133000,238,50978,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-147.72571273,64.8451325500001,11,Fairbanks North Star Borough,Fairbanks North Star Borough,10610516700,735113850,11345630550,98957,114652,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-147.72124822,64.83969225,12,Fairbanks,City of Fairbanks,3706655000,54943220,3761598220,31957,117708,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-147.35149648,64.7549026500001,13,North Pole,City of North Pole,460793800,0,460793800,2145,214822,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-135.44794697,59.2343054,14,Haines Borough,Haines Borough,412100700,0,412100700,2466,167113,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-134.40663973,58.2998397100001,15,City and Borough of Juneau,City and Borough of Juneau,5415382900,0,5415382900,32739,165410,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-151.07134684,60.4895404100001,16,Kenai Peninsula Borough,Kenai Peninsula Borough,8796818400,1468599690,10265418090,58060,176807,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-151.53200662,59.64718757,17,Homer,City of Homer,970077900,4384620,974462520,5252,185541,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-151.45273429,59.66696928,18,Kachemak,City of Kachemak,94914700,0,94914700,479,198151,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-151.24880589,60.5590139000001,19,Kenai,City of Kenai,1031052100,45868140,1076920240,7098,151721,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-151.71857386,59.44059723,20,Seldovia,City of Seldovia,46614600,0,46614600,206,226284,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.43922421,60.10312795,21,Seward,City of Seward,414380700,13349940,427730640,2663,160619,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-151.06585198,60.4904472100001,22,Soldotna,City of Soldotna,755973800,0,755973800,4376,172754,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-131.66732712,55.3491724900001,23,Ketchikan Gateway Borough,Ketchikan Gateway Borough,1769524600,0,1769524600,13758,128617,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-131.64802329,55.3424333300001,24,Ketchikan,City of Ketchikan,1011778100,0,1011778100,8191,123523,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-131.59761777,55.3189242300001,25,Saxman,City of Saxman,31180900,0,31180900,418,74595,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-152.39772094,57.7931666200001,26,Kodiak Island Borough,Kodiak Island Borough,1605839600,0,1605839600,13563,118398,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
