OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketURL,TotalWages,UnemploymentInsuranceClaimants,EmploymentRate
1,Northern Economic Region,2016,15960,10914,2424,1020,1389,2806,3275,5576,0.50999999,342,0.03,5297,5617,3763,2861,8474,9009,9316,8694,6685,4582,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,396879838,1828,0.680000007152557
2,Northern Economic Region,2001,14540,10869,2660,1162,1621,3649,1777,6200,0.56999999,297,0.03,5037,5832,3192,1962,8543,8979,9173,8692,6551,5117,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,283652844,2140,0.75
3,Northern Economic Region,2002,14608,10830,2629,1148,1573,3610,1870,5663,0.51999998,313,0.03,5045,5785,3325,2056,8621,9059,9180,8730,6763,5025,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,290748071,2469,0.740000009536743
4,Northern Economic Region,2003,14700,10742,2792,1123,1537,3410,1880,5662,0.52999997,313,0.03,5020,5722,3464,2196,8597,8914,8905,8498,6575,4800,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,285010596,2673,0.730000019073486
5,Northern Economic Region,2004,14968,10822,2813,1125,1540,3403,1942,5570,0.50999999,330,0.03,5065,5757,3578,2325,8408,8788,9051,8624,6436,4930,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,288993193,2623,0.720000028610229
6,Northern Economic Region,2005,14942,10609,2734,1119,1474,3332,1951,5583,0.52999997,335,0.03,5037,5572,3638,2391,8254,8548,8777,8325,6161,4772,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,287130555,2361,0.709999978542328
7,Northern Economic Region,2006,14927,10585,2712,1085,1509,3160,2119,5593,0.52999997,344,0.03,5052,5533,3639,2438,8137,8623,8852,8479,6307,4858,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,297727391,2074,0.709999978542328
8,Northern Economic Region,2007,15054,10634,2614,1118,1455,3200,2248,5675,0.52999997,325,0.03,5101,5533,3734,2528,8313,8696,8946,8483,6421,4907,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,308430994,1936,0.709999978542328
9,Northern Economic Region,2008,15254,10888,2703,1166,1491,3101,2427,5802,0.52999997,337,0.03,5164,5724,3784,2578,8377,8915,9275,8677,6531,5121,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,321846199,2068,0.709999978542328
10,Northern Economic Region,2009,15448,10831,2656,1058,1506,3065,2547,5529,0.50999999,339,0.03,5145,5686,3819,2622,8366,8857,9194,8759,6605,4818,http://live.laborstats.alaska.gov/alari/index.cfm?r=4&goreg=go&b=0&p=0,330456249,2542,0.699999988079071
