OBJECTID,CommunityName,Erosion_Ranking,Flood_Ranking,Permafrost_Ranking,Weighted_Total,Flood_Group,Erosion_Group,Permafrost_Group,Threat_Assessemt_Rank,Status14c3,MunicipalLandTrust,Status,TOTAL_SCORE,DataYear,Season,Key_Hazard_Threat,Hazards_Summary,Risk_MAP_Community_,NFIP_Community_
1,Utqiagvik,28,37,41,106,2,1,1,33,Completed,No,,45,2020,Fall,,,,
2,White Mountain,27,24,19,70,,,,,Not Completed,No,,62,2020,Fall,,,,
3,Cold Bay,,,,,,,,,,,,25,2020,Fall,,,,
4,Tazlina,19,23,19,61,,,,,Not Completed,Yes,No,100,2020,Fall,,,,
5,Fort Yukon,24,37,27,88,1,2,2,13,Completed,No,,59,2020,Fall,"Flooding
Riverine erosion","Fort Yukon is subject to flooding, riverine erosion, permafrost degradation, severe weather events and wildland fires. The community has a history of significant flooding of the Yukon and Porcupine Rivers which inundates most of the community. According to the USACE Floodplain Mapping and Data website, flooding in Fort Yukon occurs in mid-May during the breakup of the Yukon and Porcupine Rivers and is caused mainly by ice jams. The most damaging flood on record for Fort Yukon took place 1949 as a result of ice jams on the Porcupine River which resulted in 7-foot deep floodwaters in the community.  In May 2015, a State Disaster Declaration was issued by then-Governor Walker for severe flooding at Fort Yukon which damaged roads and community infrastructure. In 2013, Fort Yukon was part of a Federal Disaster Declaration for spring floods that caused extensive damage to a communities along the Yukon River. ",Prioritized 2018,No
6,Kake,26,26,0,52,,,,,Not Completed,No,,53,2020,Fall,,,,
7,Kotlik,36,31,26,93,1,1,2,10,Not Completed,No,,63,2020,Fall,"Riverine erosion
Flooding","Kotlik is impacted by erosion, flood, severe weather, subsidence due to permafrost degradation and wildland fire.   Kotlik�s location makes the village susceptible to bank erosion in areas where community development has taken place, including the south bank of the Kotlik River, the north bank of the Kotlik River on East Island, and on the peninsula (i.e. West Island) between the Kotlik and Little Kotlik Rivers. Erosion of the bank of the Kotlik River has been actively occurring each year since at least the early 1980s as evidenced funding provided by the State of Alaska and the US Army Corps of Engineers in the 1980s for an erosion control study, a coastal erosion study, a preliminary design and assessment and more the one million dollars in appropriations for erosion control.",No,Yes
8,Napakiak,51,40,21,112,1,1,3,5,Not Completed,No,,63,2020,Fall,"Riverine erosion
Flooding
Permafrost degradation","Napakiak is subject to erosion, flooding, land subsidence due to permafrost degradation and severe weather.  Erosion of the Kuskokwim River bank is Napakiak�s most imminent threat. Erosion been on-going since the 1960s and has been forecast by the US Army Corps of Engineers to be 25-50 feet per year. 2018 trip reports by the Natural Resources conservation Service and the Alaska Native Tribal Health Consortium indicate that erosion rates had increased after spring break-up. The community has been actively pursuing the relocation of infrastructure, public buildings, residences and fish camps since the mid-1990s. Community members recently moved the threatened armory building.",Prioritized 2018,No
9,Stony River,19,27,0,46,,,,,Not Completed,Yes,No,100,2020,Fall,,,,
10,Oscarville,25,25,19,69,3,2,2,64,Not Completed,Yes,Partial,23,2020,Fall,,,,
11,Brevig Mission,21,19,29,69,2,2,1,55,Not Completed,No,,34,2020,Fall,,,,
12,Pilot Station,19,28,29,76,3,3,2,83,Completed,No,,37,2020,Fall,,,,
13,Port Heiden,46,27,0,73,3,1,3,35,Completed,No,,100,2020,Fall,,,,
14,Toksook Bay,27,21,32,80,2,3,1,58,Completed,No,,95,2020,Fall,,,,
15,Goodnews Bay,19,22,19,60,,,,,Not Completed,No,,63,2020,Fall,,,,
16,Aleknagik,21,19,0,40,3,2,3,79,Completed,No,,62,2020,Fall,,,,
17,Angoon,19,19,0,38,,,,,Completed,No,,43,2020,Fall,,,,
18,Ivanof Bay,,,,,,,,,Completed,Yes,Completed,100,2020,Fall,,,,
19,Selawik,35,20,41,96,2,2,1,42,Not Completed,,,68,2020,Fall,,,,
20,Akhiok,19,21,0,40,2,2,3,80,Completed,No,,32,2020,Fall,,,,
21,Nikolai,22,24,19,65,2,2,3,57,Completed,No,,52,2020,Fall,,,,
22,Noorvik,23,8,34,65,3,3,1,86,,,,77,2020,Fall,,,,
23,Deering,44,41,28,113,1,1,1,14,,,,43,2020,Fall,"Erosion
Flooding
Permafrost degradation","Deering experiences riverine and coastal erosion on an annual basis. In 2001, the shoreline eroded approximately 61 feet. During a 2006 event, the shoreline eroded approximately 50 feet. 
Storm surges and wind-driven waves cause significant coastal flooding at least once every 40 to 60 years.  Deering experiences flooding impacts annually; mostly due to tidally-influenced storm surge and riverine high-water flow events. A major flood in 1973 caused extensive damage to many homes and a number of residents were temporarily evacuated to a mining camp 22 miles upriver. During high floods events, the road provided ingress and egress to and from the village becomes blocked. ",,
24,Koyukuk,20,40,19,79,1,2,3,29,Completed,No,,30,2020,Fall,,,Yes,Yes
25,Tanacross,19,23,21,63,2,3,2,71,Completed,Yes,Partial,25,2020,Fall,,,,
26,Point Hope,24,40,21,85,2,2,2,46,In Process,No,,35,2020,Fall,,,,
27,Chalkyitsik,19,27,19,65,2,3,3,72,Not Completed,Yes,No,25,2020,Fall,,,,
28,Manokotak,21,19,0,40,,,,,Completed,,,75,2020,Fall,,,,
29,Bethel,32,34,32,98,1,2,2,19,Completed,No,,55,2020,Fall,"Flooding
Riverine erosion
Permafrost degradation","Due to Bethel�s location on the largest oxbow curve in the Kuskokwim River, the community is highly susceptible to riverine erosion.  The US Army Corps of Engineers built a seawall which has stabilized the Kuskokwim banks along the community and protects city dock and harbor infrastructure, residential and commercial buildings and the public road and utility poles nearby.  
Bethel experiences flooding nearly annually, inundating 80 % of the community�s residential and commercial areas.    The USACE has determined that most of Bethel is within the Special Flood Hazard Area, areas where the ground elevation is below 17.1 feet mean lower low water. Areas such as Brown�s Slough are the most flood prone and contain a high density of the residential development.  During breakup, flooding is caused by ice jams, however in late summer and early fall, heavy rains can also flood Bethel.  Poor drainage, frozen ground, permafrost, and low relief contribute to the flooding problems.  
The interaction of flooding and erosion have impacted community infrastructure in several events in 1985, 1990, 1995.  The impacts of degrading permafrost in Bethel include surface subsidence, impacting roads , buildings and residences, resulting in costly projects to repair damage.",Yes,Yes
30,Ambler,19,19,19,57,,,,,Not Completed,,,88,2020,Fall,,,,
31,Portage Creek,,,,,,,,,Completed,Yes,Completed,100,2020,Fall,,,,
32,Chevak,30,23,32,85,3,1,1,41,Not Completed,No,,67,2020,Fall,,,,
