X,Y,ObjectID,CommunityServed,AirportCode,FacilityType,CurrentAirCarrier,Seats,Aircraft,ContractStart,ContractEnd,HubsServed,AsOfDate
-1536776.81507423,472641.033987763,1,Adak,ADK,Airport,Alaska Airlines,124,B-737-700,2023/10/01 08:00:00+00,2025/09/30 08:00:00+00,ANC,2024/03/31 08:00:00+00
-11088.4239924873,770234.226641965,2,Akhiok,AKK,Airport,Island Air,5/9/9,PA-32/BNI/C208,2019/07/01 08:00:00+00,2024/06/30 08:00:00+00,ADQ,2024/03/31 08:00:00+00
-755365.182530086,525113.262489146,3,Akutan,7AK,Airport,Grant Aviation,9,King Air 200,2023/04/01 08:00:00+00,2026/03/31 08:00:00+00,DUT,2024/03/31 08:00:00+00
-766801.335151352,525938.1082954,4,Akutan,KQA,Seaplane Base,Maritime Helicopters,4,Bell 206,2023/04/01 08:00:00+00,2026/03/31 08:00:00+00,7AK,2024/03/31 08:00:00+00
11049.6368631943,829711.829460688,5,Amook Bay,AOS,Seaplane Base,Island Air,5-6,C-206/Beaver,2020/11/01 08:00:00+00,2025/10/31 08:00:00+00,ADQ,2024/03/31 08:00:00+00
1144363.72513199,1001752.3811486,6,Angoon,AGN,Seaplane Base,Alaska Seaplanes,4/6/9,C206/Beaver/C208,2023/01/31 09:00:00+00,2027/01/31 09:00:00+00,JNU,2024/03/31 08:00:00+00
-1365700.79602343,454797.69271264,7,Atka,AKB,Airport,Grant Aviation,9,King Air 200,2022/10/01 08:00:00+00,2025/09/30 08:00:00+00,DUT,2024/03/31 08:00:00+00
424670.823307045,1764536.43494867,8,Central,CEM,Airport,Warbelow's,8,Navajo,2023/12/01 09:00:00+00,2025/11/30 09:00:00+00,FAI,2024/03/31 08:00:00+00
-270043.450849,709138.849407054,9,Chignik,AJC,Airport,Grant Aviation,9,Caravan,2020/03/01 09:00:00+00,2025/02/28 09:00:00+00,AKN,2024/03/31 08:00:00+00
-295434.397569128,704630.562532706,10,Chignik Lake,KCQ,Airport,Grant Aviation,9,Caravan,2020/03/01 09:00:00+00,2025/02/28 09:00:00+00,AKN,2024/03/31 08:00:00+00
619277.254309417,1399867.35959398,11,Chisana,CZN,Airport,40-Mile Air,3/4/4,C-185/C-206/C-207,2023/06/01 08:00:00+00,2025/05/31 08:00:00+00,TKJ,2024/03/31 08:00:00+00
452688.488646564,1797177.94586594,12,Circle,IRC,Airport,Warbelow's,8,Navajo,2023/12/01 09:00:00+00,2025/11/30 09:00:00+00,FAI,2024/03/31 08:00:00+00
-260477.140371128,990772.66432335,13,Clark's Point,CLP,Airport,Grant Aviation,"6, 9",C-207/C-208,2023/09/03 08:00:00+00,2028/08/31 08:00:00+00,DLG,2024/03/31 08:00:00+00
465419.999882759,1197180.97376816,14,Cordova,CDV,Airport,Alaska Airlines,124,B-737-700,2023/05/01 08:00:00+00,2025/04/30 08:00:00+00,ANC/JNU,2024/03/31 08:00:00+00
-680602.51715805,1832523.93180791,15,Diomede,DM2,Heliport,Pathfinder,9,Bell 212/412,2023/07/01 08:00:00+00,2026/06/30 08:00:00+00,OME,2024/03/31 08:00:00+00
-197862.076051648,914476.321400257,16,Egegik,EGX,Airport,Grant Aviation,6,C-207/GA-8,2022/01/11 09:00:00+00,2027/01/31 09:00:00+00,AKN,2024/03/31 08:00:00+00
-196627.53436606,1045510.91608099,17,Ekwok,KEK,Airport,Grant Aviation,6,C-207,2022/03/01 09:00:00+00,2025/02/28 09:00:00+00,DLG,2024/03/31 08:00:00+00
1022780.87601675,1047267.87593324,18,Elfin Cove,ELV,Seaplane Base,Alaska Seaplanes,4/6/9,C206/Beaver/C208,2023/01/31 09:00:00+00,2027/01/31 09:00:00+00,JNU,2024/03/31 08:00:00+00
1066562.92742701,1085647.13006397,19,Excursion Inlet,EXI,Seaplane Base,Ward Air,3 or 4,C-185/206/310,2022/10/01 08:00:00+00,2026/09/30 08:00:00+00,JNU,2024/03/31 08:00:00+00
-602379.533320575,579913.969764388,20,False Pass,KFP,Airport,Grant Aviation,9,Navajo,2021/09/01 08:00:00+00,2026/08/31 08:00:00+00,CDB,2024/03/31 08:00:00+00
442769.512948162,1381755.22772449,21,Gulkana,GKN,Airport,Reeve,7,PA-31,2023/02/01 09:00:00+00,2025/01/31 09:00:00+00,ANC,2024/03/31 08:00:00+00
1051942.61166829,1082039.56475095,22,Gustavus,GST,Airport,Alaska Airlines,124,B-737-700,2023/05/01 08:00:00+00,2025/04/30 08:00:00+00,JNU,2024/03/31 08:00:00+00
453278.478236217,1590824.99250613,23,Healy Lake,HKB,Airport,40-Mile Air,5,C-206/C-207,2022/06/01 08:00:00+00,2024/05/31 08:00:00+00,FAI,2024/03/31 08:00:00+00
1324830.6519617,790068.392635519,24,Hydaburg,HYG,Seaplane Base,Taquan,6 or 7,Otter/Beaver,2020/11/01 08:00:00+00,2025/10/31 08:00:00+00,WFB,2024/03/31 08:00:00+00
