X,Y,OBJECTID,EntityName,EntityType,AlternateName,Address,City,State,Phone,AltPhone,Fax,WebSite,Email,CommunityName,ZIPCode,AltFax,AsOfDate
1394833.01618437,827141.248298324,1092,Organized Village of Saxman,Federally Recognized Tribe,Saxman IRA,Route 2,Ketchikan,AK,+1 (907) 247-2502,,+1 (907) 247-2504,,"lwallace2@ccthita.org; saxmanira@kpunet.net; iragovt@kpunet.net",Saxman,99901,,2023/03/01 09:00:00+00
90120.4148750471,1691441.85128758,1093,Native Village of Tanana,Federally Recognized Tribe,,PO Box 130,Tanana,AK,+1 (907) 366-7160,,+1 (907) 366-7195,,"info@tananatribe.org; executivedirector@tananatribe.org",Tanana,99777,,2023/03/01 09:00:00+00
-215168.893662071,1328137.49475481,1094,Village of Crooked Creek,Federally Recognized Tribe,,PO Box 69,Crooked Creek,AK,+1 (907) 432-2200,,+1 (907) 432-2201,,crookedcreektraditionalcouncil@gmail.com,Crooked Creek,99575,,2023/03/01 09:00:00+00
218081.827119088,1695656.67465434,1095,Native Village of Minto,Federally Recognized Tribe,,PO Box 58026,Minto,AK,+1 (907) 798-7112,,+1 (907) 798-7627,,"mintovillagecouncil@hotmail.com; keith.charlie@tananachiefs.org",Minto,99758-0026,,2023/03/01 09:00:00+00
-10520.5699198308,771139.336261794,1096,Native Village of Akhiok,Federally Recognized Tribe,,PO Box 5030,Akhiok,AK,+1 (907) 836-2312,,+1 (907) 836-2345,,jeanetta.rastopsoff@kodiakhealthcare.org,Akhiok,99615,,2023/03/01 09:00:00+00
-529658.010371663,593925.062444231,1097,Agdaagux Tribe of King Cove,Federally Recognized Tribe,King Cove,PO Box 249,King Cove,AK,+1 (907) 497-2648,,+1 (907) 497-2803,,"ettakuzakin@yahoo.com; atc@arctic.net",King Cove,99612,,2023/03/01 09:00:00+00
-493205.06019154,1478597.59141131,1098,Village of Bill Moore's Slough,Federally Recognized Tribe,,PO Box 20288,Kotlik,AK,+1 (907) 899-4232,,+1 (907) 899-4461,,bms99620@gmail.com,Bill Moore's Slough,99620,,2023/03/01 09:00:00+00
-126723.908380746,1886093.92757466,1099,Native Village of Kobuk,Federally Recognized Tribe,,PO Box 51039,Kobuk,AK,+1 (907) 948-2203,,+1 (907) 948-2123,,tribeadmin@laugvik.org,Kobuk,99751,,2023/03/01 09:00:00+00
-394886.386127338,1816964.99104262,1100,Native Village of Deering,Federally Recognized Tribe,,PO Box 36089,Deering,AK,+1 (907) 363-2138,,+1 (907) 363-2195,,tribeadmin@ipnatchiaq.org,Deering,99736,,2023/03/01 09:00:00+00
-821103.117607516,506511.585367918,1101,Qawalangin Tribe of Unalaska,Federally Recognized Tribe,,PO Box 334,Unalaska,AK,+1 (907) 581-2920,,+1 (907) 581-3644,http://www.qawalangintribe.com,"robin.qawalangin@gmail.com; chris@qawalangin.com",Unalaska,99685,,2023/03/01 09:00:00+00
-402443.958757316,1225580.47820934,1102,Organized Village of Kwethluk,Federally Recognized Tribe,,PO Box 130,Kwethluk,AK,+1 (907) 757-6714,,+1 (907) 757-6328,,"kwethlukira@gmail.com; assistantovk@gmail.com",Kwethluk,99621-0130,,2023/03/01 09:00:00+00
-680552.401707761,1832482.91683757,1103,Native Village of Diomede,Federally Recognized Tribe,Inalik,PO Box 7079,Diomede,AK,+1 (907) 686-2175,,+1 (907) 686-2203,,tc.dio@kawerak.org,Diomede,99762,,2023/03/01 09:00:00+00
-411468.071384623,612220.112308554,1104,Qagan Tayagungin Tribe of Sand Point Village,Federally Recognized Tribe,QTT,PO Box 447,Sand Point,AK,+1 (907) 383-5616,,+1 (907) 383-5814,http://www.qttribe.org,qttadmin@arctic.net,Sand Point,99661,,2023/03/01 09:00:00+00
1041545.37663449,1173105.06431145,1105,Chilkoot Indian Association,Federally Recognized Tribe,Haines,PO Box 490,Haines,AK,+1 (907) 766-2323,,+1 (907) 766-2365,http://chilkoot-nsn.gov,hbrouillette@chilkoot-nsn.gov,Haines,99827-0490,,2023/03/01 09:00:00+00
1115220.67484787,940259.297605514,1106,Sitka Tribe of Alaska,Federally Recognized Tribe,,456 Katlian Street,Sitka,AK,+1 (907) 747-3207,,+1 (907) 747-4915,http://www.sitkatribe.org,"lawrence.widmark@sitkatribe-nsn.gov; lisa.gassman@sitkatribe-nsn.gov",Sitka,99835-7505,,2023/03/01 09:00:00+00
-384326.501339864,1333013.77056371,1107,Iqurmuit Traditional Council,Federally Recognized Tribe,,PO Box 09,Russian Mission,AK,+1 (907) 584-5511,,+1 (907) 584-5593,,iqurmiut71@yahoo.com,Russian Mission,99657,,2023/03/01 09:00:00+00
115433.095413551,2251263.47545772,1108,Native Village of Nuiqsut,Federally Recognized Tribe,Nooiksut,PO Box 89169,Nuiqsut,AK,+1 (907) 480-3010,,+1 (907) 480-3009,,native.village@astacalaska.net,Nuiqsut,99789,,2023/03/01 09:00:00+00
505209.434057254,1318323.36338686,1109,Native Village of Chitina,Federally Recognized Tribe,,PO Box 31,Chitina,AK,+1 (907) 823-2215,,+1 (907) 823-2285,,"chitina_village@outlook.com; ctivc@outlook.com",Chitina,99566,,2023/03/01 09:00:00+00
94892.9302364204,2021732.26164827,1110,Village of Anaktuvuk Pass,Federally Recognized Tribe,Naqsragmiut Tribe,PO Box 21170,Anaktuvuk Pass,AK,+1 (907) 661-2575,,+1 (907) 661-2576,,"julie.morry@inupiatgov.com; karlene.ticket@inupiatgov.com",Anaktuvuk Pass,99721,,2023/03/01 09:00:00+00
-456126.242470982,1241722.19411346,1111,Native Village of Nunapitchuk,Federally Recognized Tribe,,PO Box 130,Nunapitchuk,AK,+1 (907) 527-5705,,+1 (907) 527-5711,,tribaladmin@yupik.org,Nunapitchuk,99641,,2023/03/01 09:00:00+00
-805516.283468307,1625678.8536362,1112,Native Village of Savoonga,Federally Recognized Tribe,,PO Box 120,Savoonga,AK,+1 (907) 984-6414,,+1 (907) 984-6027,,tc.sva@kawerak.org,Savoonga,99769,,2023/03/01 09:00:00+00
514788.504749838,1479498.72464914,1113,Mentasta Traditional Council,Federally Recognized Tribe,,PO Box 6019,Mentasta,AK,+1 (907) 291-2319,,+1 (907) 291-2305,,"mentastatraditionalcouncil@yahoo.com; 907mlv99780ta@gmail.com",Mentasta Lake,99780-6019,,2023/03/01 09:00:00+00
1129707.37880928,1087835.34840785,1114,Douglas Indian Association,Federally Recognized Tribe,,811 W. 12th Street,Juneau,AK,+1 (907) 364-2916,,+1 (907) 364-2917,,"emorrison-dia@gci.net; alaiti@diataku.com",Douglas,99801,,2023/03/01 09:00:00+00
-338183.868432756,1681583.88085712,1115,Native Village of Koyuk,Federally Recognized Tribe,,PO Box 53030,Koyuk,AK,+1 (907) 963-3651,,+1 (907) 963-2353,http://www.kawerak.org/communities/koyuk.html,tc.kka@kawerak.org,Koyuk,99753,,2023/03/01 09:00:00+00
-197747.117891587,917108.463237619,1116,Egegik Village,Federally Recognized Tribe,,PO Box 29,Egegik,AK,+1 (907) 233-2211,,+1 (907) 233-2312,,"egegiktribaloffice@yahoo.com; egegikvillage2013@yahoo.com",Egegik,99579,,2023/03/01 09:00:00+00
-377014.91516036,1906544.53404862,1117,Native Village of Kotzebue,Federally Recognized Tribe,,PO Box 296,Kotzebue,AK,+1 (907) 442-3467,,+1 (907) 442-2162,http://www.kotzebueira.org,"nicole.stoops@qira.org; martinshroyer573@gmail.com; siikauraq@qira.org",Kotzebue,99752-0296,,2023/03/01 09:00:00+00
-637704.863437468,1341749.52325604,1118,Native Village of Hooper Bay,Federally Recognized Tribe,,PO Box 69,Hooper Bay,AK,+1 (907) 758-4915,,+1 (907) 758-4066,,"nvhpb14@yahoo.com; j.olson@nvhpb.org",Hooper Bay,99604,,2023/03/01 09:00:00+00
1128713.59693205,1089945.06693488,1119,Central Council of the Tlingit & Haida Indian Tribes of Alaska,Federally Recognized Tribe,Central Council,9097 Glacier Hwy,Juneau,AK,+1 (907) 586-1432,,+1 (888) 335-8981,http://www.ccthita.org,"rpeterson@ccthita-nsn.gov; cjackson@ccthita-nsn.gov; deptfob@ccthita-nsn.gov; sblue@ccthita-nsn.gov",Juneau,99801,,2023/03/01 09:00:00+00
-621045.111079703,1357895.68851394,1120,Native Village of Paimiut,Federally Recognized Tribe,,PO Box 230,Hooper Bay,AK,+1 (907) 561-9878,,+1 (907) 563-5398,,"hnapoleon@paimiut.org; anganaran@yahoo.com; paimiut@nvptc.org; colleent@nvptc.org",Paimiut,99604,,2023/03/01 09:00:00+00
-173607.166245054,972356.878521707,1121,South Naknek Village,Federally Recognized Tribe,Qinuyang,PO Box 70029,South Naknek,AK,+1 (907) 246-7942,,+1 (907) 246-7641,,aelbie.snvc@gmail.com,South Naknek,99670,,2023/03/01 09:00:00+00
