X,Y,OBJECTID,CommunityName,CDQParticipant,DataYear,AsOfDate,CDQGroup
-766479.910475392,525927.743350198,7,Akutan,Yes,2016,2017/05/01 00:00:00+00,APICDA
-542392.68206103,1456437.72182411,8,Alakanuk,Yes,2016,2017/05/01 00:00:00+00,YDFDA
-262308.612461073,1040822.18417894,11,Aleknagik,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-1366062.6920054,452266.93070329,27,Atka,Yes,2016,2017/05/01 00:00:00+00,APICDA
-578884.171153793,1762943.25312878,47,Brevig Mission,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-566470.863051303,1173895.33647436,61,Chefornak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-611354.424221957,1336742.93808656,65,Chevak,Yes,2016,2017/05/01 00:00:00+00,CVRF
-261536.801805181,990939.243875891,82,Clark's Point,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-255124.356889429,1013454.33727143,104,Dillingham,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-680551.237413938,1832482.86785282,105,Diomede,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-442312.968289999,1163544.89979583,115,Eek,Yes,2016,2017/05/01 00:00:00+00,CVRF
-197745.899534609,917108.324736896,116,Egegik,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-262416.89970698,988920.813784893,119,Ekuk,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-197055.84612121,1044794.93639563,120,Ekwok,Yes,2016,2017/05/01 00:00:00+00,BBEDC
-394183.886304622,1652848.63040226,122,Elim,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-533862.500488994,1465251.0985118,123,Emmonak,Yes,2016,2017/05/01 00:00:00+00,YDFDA
-602750.752160449,580772.977697475,132,False Pass,Yes,2016,2017/05/01 00:00:00+00,APICDA
-861997.814284141,1650244.02734943,149,Gambell,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-431919.643857906,1649447.6365716,158,Golovin,Yes,2016,2017/05/01 00:00:00+00,NSEDC
-431808.216810717,1038370.39728577,159,Goodnews Bay,Yes,2016,2017/05/01 00:00:00+00,CVRF
-307074.484708072,1451345.5736835,160,Grayling,Yes,2016,2017/05/01 00:00:00+00,YDFDA
