X,Y,CommunityName,ReportingPeriod,ReportingYear,GasRetailGal,EntityName,ReportingSeason,ReportingDate,AsOfDate,OBJECTID
-533862.500488994,1465251.0985118,Emmonak,Jan,2016,5,Emmonak Corp. Tank Farm,Winter,2016/01/15 09:00:00+00,,497
-533862.500488994,1465251.0985118,Emmonak,Jan,2018,5.77,Emmonak Corp. Tank Farm,Winter,2018/01/15 09:00:00+00,,125
-533862.500488994,1465251.0985118,Emmonak,Jan,2019,6.7496,Emmonak Corp. Tank Farm,Winter,2019/01/15 09:00:00+00,,25
-533862.500488994,1465251.0985118,Emmonak,Jul,2017,5.55,Emmonak Corp. Tank Farm,Summer,2017/07/15 08:00:00+00,,397
-533862.500488994,1465251.0985118,Emmonak,Jan,2017,4.69,Emmonak Corp. Tank Farm,Winter,2017/01/15 09:00:00+00,,297
-299104.583730028,1371169.35640814,Holy Cross,Jul,2017,6,Holy Cross Oil Company,Summer,2017/07/15 08:00:00+00,,407
-299104.583730028,1371169.35640814,Holy Cross,Jan,2017,6,Holy Cross Oil Company,Winter,2017/01/15 09:00:00+00,,307
-299104.583730028,1371169.35640814,Holy Cross,Jul,2018,5.8,Holy Cross Oil Company,Summer,2018/07/15 08:00:00+00,,207
-299104.583730028,1371169.35640814,Holy Cross,Jan,2018,5.8,Holy Cross Oil Company,Winter,2018/01/15 09:00:00+00,,135
-299104.583730028,1371169.35640814,Holy Cross,Jan,2019,5.8,Holy Cross Oil Company,Winter,2019/01/15 09:00:00+00,,35
1144736.49530355,1001399.30409643,Angoon,Jan,2019,4.55,Angoon Oil and Gas,Winter,2019/01/15 09:00:00+00,,6
1144736.49530355,1001399.30409643,Angoon,Jan,2016,3.55,Angoon Oil and Gas,Winter,2016/01/15 09:00:00+00,,478
1144736.49530355,1001399.30409643,Angoon,Jul,2017,3.97,Angoon Oil and Gas,Summer,2017/07/15 08:00:00+00,,378
1144736.49530355,1001399.30409643,Angoon,Jan,2017,3.49,Angoon Oil and Gas,Winter,2017/01/15 09:00:00+00,,278
1144736.49530355,1001399.30409643,Angoon,Jan,2018,4,Angoon Oil and Gas,Winter,2018/01/15 09:00:00+00,,106
-261536.801805181,990939.243875891,Clark's Point,Jul,2017,6,City of Clark’s Point,Summer,2017/07/15 08:00:00+00,,390
-261536.801805181,990939.243875891,Clark's Point,Jan,2016,6,City of Clark’s Point,Winter,2016/01/15 09:00:00+00,,490
-261536.801805181,990939.243875891,Clark's Point,Jan,2019,4.5,City of Clark’s Point,Winter,2019/01/15 09:00:00+00,,18
-261536.801805181,990939.243875891,Clark's Point,Jan,2017,6,City of Clark's Point,Winter,2017/01/15 09:00:00+00,,290
-261536.801805181,990939.243875891,Clark's Point,Jan,2018,,City of Clark's Point,Winter,2018/01/15 09:00:00+00,,118
-463440.278725839,1359992.70645285,Pilot Station,Jan,2019,6.55,Pilot Station Native Corporation,Winter,2019/01/15 09:00:00+00,,70
-463440.278725839,1359992.70645285,Pilot Station,Jul,2017,5.8,Pilot Station Native Corporation,Summer,2017/07/15 08:00:00+00,,442
-463440.278725839,1359992.70645285,Pilot Station,Jan,2017,6.81,Pilot Station Native Corporation,Winter,2017/01/15 09:00:00+00,,342
-463440.278725839,1359992.70645285,Pilot Station,Jul,2018,6.552,Pilot Station Native Corporation,Summer,2018/07/15 08:00:00+00,,242
-463440.278725839,1359992.70645285,Pilot Station,Jan,2018,5.8,Pilot Station Native Corporation,Winter,2018/01/15 09:00:00+00,,170
-604707.768126036,1222202.94569942,Toksook Bay,Jan,2017,4.85,Nunakauiak Yupik Corporation,Winter,2017/01/15 09:00:00+00,,362
-604707.768126036,1222202.94569942,Toksook Bay,Jul,2018,5.355,Nunakauiak Yupik Corporation,Summer,2018/07/15 08:00:00+00,,262
-604707.768126036,1222202.94569942,Toksook Bay,Jan,2018,5.5,Nunakauiak Yupik Corporation,Winter,2018/01/15 09:00:00+00,,190
-604707.768126036,1222202.94569942,Toksook Bay,Jan,2019,6.15,Nunakauiak Yupik Corporation,Winter,2019/01/15 09:00:00+00,,90
-604707.768126036,1222202.94569942,Toksook Bay,Jul,2017,5.25,Nunakauiak Yupik Corporation,Summer,2017/07/15 08:00:00+00,,462
-821101.945279297,506511.382085757,Unalaska,Jan,2018,3.71,Delta Western,Winter,2018/01/15 09:00:00+00,,193
-821101.945279297,506511.382085757,Unalaska,Jan,2019,4.1612,Delta Western,Winter,2019/01/15 09:00:00+00,,93
-821101.945279297,506511.382085757,Unalaska,Jul,2017,3.51,Delta Western,Summer,2017/07/15 08:00:00+00,,465
-821101.945279297,506511.382085757,Unalaska,Jul,2018,4.0273,Delta Western,Summer,2018/07/15 08:00:00+00,,265
-821101.945279297,506511.382085757,Unalaska,Jan,2017,3.64,Delta Western,Winter,2017/01/15 09:00:00+00,,365
-11727.409237893,1787572.07370767,Hughes,Jan,2018,8,City of Hughes,Winter,2018/01/15 09:00:00+00,,139
-11727.409237893,1787572.07370767,Hughes,Jan,2019,8,City of Hughes,Winter,2019/01/15 09:00:00+00,,39
-11727.409237893,1787572.07370767,Hughes,Jul,2017,7.5,City of Hughes,Summer,2017/07/15 08:00:00+00,,411
-11727.409237893,1787572.07370767,Hughes,Jan,2017,7.5,City of Hughes,Winter,2017/01/15 09:00:00+00,,311
-11727.409237893,1787572.07370767,Hughes,Jul,2018,8,City of Hughes,Summer,2018/07/15 08:00:00+00,,211
57879.5116973947,1844678.29560101,Alatna,Jan,2018,7.5,Everts Fuel,Winter,2018/01/15 09:00:00+00,,103
57879.5116973947,1844678.29560101,Alatna,Jan,2019,7.5,Alatna Traditional Council,Winter,2019/01/15 09:00:00+00,,3
57879.5116973947,1844678.29560101,Alatna,Jan,2016,7.5,Alatna Traditional Council,Winter,2016/01/15 09:00:00+00,,475
57879.5116973947,1844678.29560101,Alatna,Jul,2017,7.5,Alatna Traditional Council,Summer,2017/07/15 08:00:00+00,,375
57879.5116973947,1844678.29560101,Alatna,Jan,2017,7.5,Alatna Traditional Council,Winter,2017/01/15 09:00:00+00,,275
-431808.216810717,1038370.39728577,Goodnews Bay,Jul,2018,5.2,Mumtram Pikkai Village Corporation,Summer,2018/07/15 08:00:00+00,,203
-431808.216810717,1038370.39728577,Goodnews Bay,Jan,2018,5.2,Mumtram Pikkai Village Corporation,Winter,2018/01/15 09:00:00+00,,131
-431808.216810717,1038370.39728577,Goodnews Bay,Jan,2019,5.36,Mumtram Pikkai Village Corporation,Winter,2019/01/15 09:00:00+00,,31
-431808.216810717,1038370.39728577,Goodnews Bay,Jul,2017,5.2,Mumtram Pikkai Village Corporation,Summer,2017/07/15 08:00:00+00,,403
-431808.216810717,1038370.39728577,Goodnews Bay,Jan,2017,5.36,Mumtram Pikkai Village Corporation,Winter,2017/01/15 09:00:00+00,,303
-1366062.6920054,452266.93070329,Atka,Jul,2017,7.35,Alaska Fisherman Association,Summer,2017/07/15 08:00:00+00,,381
-1366062.6920054,452266.93070329,Atka,Jan,2017,6.65,Atka Native Store,Winter,2017/01/15 09:00:00+00,,281
-1366062.6920054,452266.93070329,Atka,Jan,2018,7.35,Atka Native Store,Winter,2018/01/15 09:00:00+00,,109
-1366062.6920054,452266.93070329,Atka,Jan,2019,7.35,Atka Native Store,Winter,2019/01/15 09:00:00+00,,9
-1366062.6920054,452266.93070329,Atka,Jan,2016,7.65,Atka Native Store,Winter,2016/01/15 09:00:00+00,,481
-390087.745779022,1235043.28228904,Akiak,Jan,2018,5.13,Kokarmiut Corporation,Winter,2018/01/15 09:00:00+00,,101
-390087.745779022,1235043.28228904,Akiak,Jan,2019,5.55,Kokarmiut Corporation,Winter,2019/01/15 09:00:00+00,,1
-390087.745779022,1235043.28228904,Akiak,Jan,2016,5.6,Kokarmiut Corporation,Winter,2016/01/15 09:00:00+00,,473
-390087.745779022,1235043.28228904,Akiak,Jul,2017,5.16,Kokarmiut Corporation,Summer,2017/07/15 08:00:00+00,,373
-390087.745779022,1235043.28228904,Akiak,Jan,2017,5.16,Kokarmiut Corporation,Winter,2017/01/15 09:00:00+00,,273
1076331.88668661,1052302.38252826,Hoonah,Jul,2018,3.86595,Hoonah Trading ,Summer,2018/07/15 08:00:00+00,,209
1076331.88668661,1052302.38252826,Hoonah,Jan,2018,3.3,Hoonah Trading ,Winter,2018/01/15 09:00:00+00,,137
1076331.88668661,1052302.38252826,Hoonah,Jan,2017,3.24,Hoonah Trading ,Winter,2017/01/15 09:00:00+00,,309
1076331.88668661,1052302.38252826,Hoonah,Jul,2017,3.39,Hoonah Trading ,Summer,2017/07/15 08:00:00+00,,409
1076331.88668661,1052302.38252826,Hoonah,Jan,2019,3.71,Hoonah Trading,Winter,2019/01/15 09:00:00+00,,37
-394885.190734183,1816964.93492238,Deering,Jul,2017,5.15,Deering IRA,Summer,2017/07/15 08:00:00+00,,393
-394885.190734183,1816964.93492238,Deering,Jan,2017,4.64,Deering IRA,Winter,2017/01/15 09:00:00+00,,293
-394885.190734183,1816964.93492238,Deering,Jan,2018,5,Deering IRA,Winter,2018/01/15 09:00:00+00,,121
-394885.190734183,1816964.93492238,Deering,Jan,2019,4.3775,Deering IRA,Winter,2019/01/15 09:00:00+00,,21
-394885.190734183,1816964.93492238,Deering,Jan,2016,5.15,Deering IRA,Winter,2016/01/15 09:00:00+00,,493
505210.692464188,1318323.26146793,Chitina,Jan,2016,2.95,Chitina Services,Winter,2016/01/15 09:00:00+00,,488
505210.692464188,1318323.26146793,Chitina,Jul,2017,3.18,Chitina Services,Summer,2017/07/15 08:00:00+00,,388
505210.692464188,1318323.26146793,Chitina,Jan,2017,3.05,Chitina Services,Winter,2017/01/15 09:00:00+00,,288
505210.692464188,1318323.26146793,Chitina,Jan,2018,3.44,Chitina Services,Winter,2018/01/15 09:00:00+00,,116
505210.692464188,1318323.26146793,Chitina,Jan,2019,3.15,Chitina Services,Winter,2019/01/15 09:00:00+00,,16
-227607.668616794,2305095.9767901,Wainwright,Jul,2017,5.11,Olgoonik Corporation,Summer,2017/07/15 08:00:00+00,,469
-227607.668616794,2305095.9767901,Wainwright,Jan,2017,5.11,Olgoonik Corporation,Winter,2017/01/15 09:00:00+00,,369
-227607.668616794,2305095.9767901,Wainwright,Jul,2018,5.11,Olgoonik Corporation,Summer,2018/07/15 08:00:00+00,,269
-227607.668616794,2305095.9767901,Wainwright,Jan,2018,5.11,Olgoonik Corporation,Winter,2018/01/15 09:00:00+00,,197
-227607.668616794,2305095.9767901,Wainwright,Jan,2019,5.11,Olgoonik Corporation,Winter,2019/01/15 09:00:00+00,,97
-944349.868773236,843619.420781122,Saint George,Jan,2018,7.5795,Delta Fuel Company,Winter,2018/01/15 09:00:00+00,,177
-944349.868773236,843619.420781122,Saint George,Jan,2019,7.57,Delta Fuel Company,Winter,2019/01/15 09:00:00+00,,77
-944349.868773236,843619.420781122,Saint George,Jul,2017,7.57,Delta Fuel Company,Summer,2017/07/15 08:00:00+00,,449
-944349.868773236,843619.420781122,Saint George,Jan,2017,,Delta Fuel Company,Winter,2017/01/15 09:00:00+00,,349
-944349.868773236,843619.420781122,Saint George,Jul,2018,7.5795,Delta Fuel Company,Summer,2018/07/15 08:00:00+00,,249
297451.122482249,1667250.52584127,Fairbanks,Jan,2017,2.89,Mike's Chevron,Winter,2017/01/15 09:00:00+00,,298
297451.122482249,1667250.52584127,Fairbanks,Jan,2018,3.23,Alaska Petroleum,Winter,2018/01/15 09:00:00+00,,126
297451.122482249,1667250.52584127,Fairbanks,Jan,2019,3.19,Mike's Chevron,Winter,2019/01/15 09:00:00+00,,26
297451.122482249,1667250.52584127,Fairbanks,Jan,2016,2.67,Alaska Petroleum,Winter,2016/01/15 09:00:00+00,,498
297451.122482249,1667250.52584127,Fairbanks,Jul,2017,2.99,Alaska Petroleum,Summer,2017/07/15 08:00:00+00,,398
-255124.356889429,1013454.33727143,Dillingham,Jan,2019,4.97,Delta Western,Winter,2019/01/15 09:00:00+00,,23
-255124.356889429,1013454.33727143,Dillingham,Jan,2017,3.93,Delta Western,Winter,2017/01/15 09:00:00+00,,295
-255124.356889429,1013454.33727143,Dillingham,Jan,2018,4.24,Delta Western,Winter,2018/01/15 09:00:00+00,,123
-255124.356889429,1013454.33727143,Dillingham,Jul,2017,4.12,Delta Western,Summer,2017/07/15 08:00:00+00,,395
-255124.356889429,1013454.33727143,Dillingham,Jan,2016,4.75,Delta Western,Winter,2016/01/15 09:00:00+00,,495
-130178.283503762,2281005.01007065,Atqasuk,Jan,2016,4.1,Atqasuk Corporation,Winter,2016/01/15 09:00:00+00,,483
-130178.283503762,2281005.01007065,Atqasuk,Jul,2017,4.1,North Slope Borough,Summer,2017/07/15 08:00:00+00,,383
-130178.283503762,2281005.01007065,Atqasuk,Jan,2017,4.1,North Slope Borough,Winter,2017/01/15 09:00:00+00,,283
-130178.283503762,2281005.01007065,Atqasuk,Jan,2018,4.1,North Slope Borough,Winter,2018/01/15 09:00:00+00,,111
-130178.283503762,2281005.01007065,Atqasuk,Jan,2019,4.1,North Slope Borough,Winter,2019/01/15 09:00:00+00,,11
399600.549366245,2270028.55604022,Kaktovik,Jul,2018,5.5,Kaktovik Inupiat Corporation,Summer,2018/07/15 08:00:00+00,,215
399600.549366245,2270028.55604022,Kaktovik,Jan,2018,5.5,Kaktovik Inupiat Corporation,Winter,2018/01/15 09:00:00+00,,143
399600.549366245,2270028.55604022,Kaktovik,Jan,2019,5.5,Kaktovik Inupiat Corporation,Winter,2019/01/15 09:00:00+00,,43
