X,Y,OBJECTID,CommunityID,CommunityName,Location,Latitude,Longitude,Sq_Mi_Land,Sq_Mi_Water,Section,Township,Range,Meridian,Climate,AsOfDate,IsMostRecent,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-152.770290024,58.006939609,1,{E9058891-286D-4157-9647-CD6050993960},Afognak,"This traditional Alutiiq (Russian-Aleut) village was located on Afognak Bay, on the southwest coast of Afognak Island, north of Kodiak Island.",58.0069,-152.7703,,,13,025S,022W,S,"Afognak falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers. This zone lacks prolonged periods of freezing weather at low altitudes and is characterized by cloudiness and frequent fog. The Kodiak Archipelago is warmed by the Japanese current. The climate is similar to Southeast Alaska, with slightly less precipitation. The combination of heavy precipitation and low temperatures at high altitudes in the coastal mountains of southern Alaska accounts for the numerous mountain glaciers.",2018/09/17 08:00:00+00,1,{E79B85B4-45CE-466C-B0D2-8EA8F16C45A7},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-152.582272293,57.7055349980001,2,{8BB6EEE9-AF35-4E67-98F1-D901D6743094},Womens Bay,"Womens Bay is on the west coast of Kodiak Island, 8 miles south of Kodiak. It lies at the foot of Old Womens Mountain, along a bay of the same name.",57.7055,-152.5823,,,31,028S,020W,S,"Womens Bay falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers. This zone lacks prolonged periods of freezing weather at low altitudes and is characterized by cloudiness and frequent fog. The Kodiak Archipelago is warmed by the Japanese current. The climate is similar to Southeast Alaska, with slightly less precipitation. The combination of heavy precipitation and low temperatures at high altitudes in the coastal mountains of southern Alaska accounts for the numerous mountain glaciers.",2018/09/17 08:00:00+00,1,{47DA30F4-BA23-47AC-985D-05D724F0FF82},,,GIS_OWNER_CDO,2018/09/18 03:39:51+00
-152.357399426,57.7792462250001,3,{78BB3DD1-BD64-4188-9A64-A24593246190},Woody Island,"Woody Island is located in Chiniak Bay, 2.6 miles east of Kodiak. The local name is Lesnoi Island.",57.775,-152.3399,,,3,028S,019W,S,"Woody Island falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers. This zone lacks prolonged periods of freezing weather at low altitudes and is characterized by cloudiness and frequent fog. The Kodiak Archipelago is warmed by the Japanese current. The climate is similar to Southeast Alaska, with slightly less precipitation. The combination of heavy precipitation and low temperatures at high altitudes in the coastal mountains of southern Alaska accounts for the numerous mountain glaciers.",2018/09/17 08:00:00+00,1,{A51E979F-D0AA-4ACD-8370-CE2E34386666},,,GIS_OWNER_CDO,2018/09/18 03:39:51+00
-176.640295882,51.8682459770001,4,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},Adak,"Adak is located on Kuluk Bay on Adak Island. It lies 1,300 miles southwest of Anchorage and 350 miles west of Unalaska or its port Dutch Harbor in the Aleutian Island Chain. Flight time to Anchorage is three hours. Adak is the southern-most community in Alaska, on the latitude of Vancouver Island in Canada.",51.8745,-176.6347,122.4,4.9,11,096S,195W,S,"Adak falls within the southwest maritime climate zone, characterized by persistently overcast skies, high winds, and frequent cyclonic storms. Winter squalls produce wind gusts in excess of 100 knots. During the summer, extensive fog forms over the Bering Sea and North Pacific.",2018/09/17 08:00:00+00,1,{F078506C-2110-4EF7-B4EC-EF3F4073AA6A},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-176.640295882,51.8682459770001,5,{A497C6A1-5CD2-4D23-8F63-B8F6B7E98F94},Adak Station,,51.8452,-176.6437,,,23,096S,195W,S,"Adak Station falls within the southwest maritime climate zone, characterized by persistently overcast skies, high winds, and frequent cyclonic storms.",2018/09/17 08:00:00+00,1,{BA6F8A07-DBFA-49E0-A29C-4D26D6B7B582},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-154.173245541,56.9468146410001,6,{68670103-A544-40F0-AD9E-7215DEC2434C},Akhiok,Akhiok is located at the southern end of Kodiak Island at Alitak Bay. It lies 80 miles southwest of the City of Kodiak and 340 miles southwest of Anchorage.,56.9468,-154.1732,7.9,2.5,28,037S,031W,S,"Akhiok falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers. There is little or no freezing weather, moderate precipitation, and frequent cloud cover and fog. Severe storms are common from December through February.",2018/09/17 08:00:00+00,1,{D2E98BAE-DEF0-4729-BAD6-FBF728498161},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-161.449094744,60.9138083130001,7,{D381614D-1B3D-4C01-A916-B139441D4A88},Akiachak,"Akiachak is located on the west bank of the Kuskokwim River, on the Yukon-Kuskokwim Delta. It lies 18 miles northeast of Bethel.",60.9138,-161.4491,,,36,010N,069W,S,"Akiachak falls within the western transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers.",2018/09/17 08:00:00+00,1,{82E3AD81-477A-45D8-BE03-120C5F58E2FB},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-161.230001725,60.9074921340001,8,{B9E3D976-5DA3-4850-884A-E7818D521898},Akiak,"Akiak is located on the west bank of the Kuskokwim River, 42 air miles northeast of Bethel, on the Yukon-Kuskokwim Delta.",60.9122,-161.2139,2,1.1,32,010N,067W,S,"Akiak falls within the western transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers.",2018/09/17 08:00:00+00,1,{CC7C8CF4-A763-4189-A595-D46CABB5EA67},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-165.773539254,54.1343181060001,9,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},Akutan,"Akutan is located on Akutan Island in the eastern Aleutians, one of the Krenitzin Islands of the Fox Island group. It is 35 miles east of Unalaska and 766 air miles southwest of Anchorage.",54.1338,-165.7768,65.6,82.3,11,070S,112W,S,"Akutan falls within the southwest maritime climate zone, characterized by persistently overcast skies, high winds, and frequent cyclonic storms. High winds and storms are frequent in the winter, and fog is common in the summer.",2018/09/17 08:00:00+00,1,{5CA6FC38-B2DE-41BF-9C85-505879C06355},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-164.667547588,62.6869771410001,10,{8142710A-7405-430F-9A0B-C44338B4B31A},Alakanuk,"Alakanuk is located at the east entrance of Alakanuk Pass, the major southern channel of the Yukon River, 15 miles from the Bering Sea. It is part of the Yukon Delta National Wildlife Refuge. It lies 8 miles southwest of Emmonak, approximately 162 air miles northwest of Bethel. It is the longest village on the lower Yukon - the development stretches over a 3 mile area along the pass. Approximately 25 homes along the bank are being threatened by erosion.",62.6871,-164.6216,32.4,8.7,14,030N,082W,S,"Alakanuk falls within the transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers. Heavy winds are frequent during the fall and winter. The Yukon River is used as an ice road during freeze-up, from November through May.",2018/09/17 08:00:00+00,1,{10F6BEC7-E810-4F8F-89B9-884F0A768336},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-152.70131499,66.554528029,11,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB},Alatna,"Alatna is on the north bank of the Koyukuk river, southwest of its junction with the Alatna River, approximately 190 air miles northwest of Fairbanks and 57 miles upriver from Hughes. Alatna lies just west of the municipal boundaries of the City of Allakaket.",66.5545,-152.7013,,,16,020N,024W,F,"Alatna falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers. The highest temperature ever recorded in Alatna was 94 °F, and the lowest temperature ever recorded was -75 °F. The Koyukuk River is ice-free from June through October.",2018/09/17 08:00:00+00,1,{1E097E11-2240-4732-8327-C9A3D853AAB3},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-141.010595997,62.6221071940001,12,{3A2BEA63-41B6-445E-BF20-B04461C94803},Alcan Border,"Alcan is located just inside the Alaska border, southeast of Northway along the Alaska-Canadian highway.",62.6221,-141.0106,,,25,010N,023E,C,"Alcan Border falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers.",2018/09/17 08:00:00+00,1,{321B7F33-5692-42C3-89D7-E309446F7BE3},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-158.621625032,59.279207366,13,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},Aleknagik,"Aleknagik is located at the head of Wood River on the southeast end of Lake Aleknagik, 16 miles northwest of Dillingham.",59.2812,-158.6262,25.9,17.4,25,010S,056W,S,"Aleknagik falls within the transitional climate zone, characterized by tundra interspersed with boreal forests, and weather patterns of long, cold winters and shorter, warm summers. Fog and low clouds are common during July and August and may preclude access to the community. The lake and river are ice-free from June through mid-November.",2018/09/17 08:00:00+00,1,{1E304DC7-9FE9-4C9A-8D42-C18D7F20830F},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-152.881038587,58.004102005,14,{29D4602C-A471-4961-BBEC-AB22938F5F26},Aleneva,"Aleneva is located on the southern coast of Afognak Island, north of Kodiak Island. It is on the coast of Raspberry Strait, across from Little Raspberry Island.",58.0041,-152.881,,,17,025S,022W,S,"Aleneva falls within the gulf coast maritime climate zone, characterized by a rainy atmosphere, long, cold winters, and mild summers. The Kodiak Archipelago is warmed by the Japanese current. The climate is similar to Southeast Alaska, with less precipitation.",2018/09/17 08:00:00+00,1,{49C5F1C3-0D2A-461F-8095-A2C88332A1E9},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-160.482114095,55.344510987,15,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},Aleutians East Borough,"Based in Sand Point, the borough comprises the westernmost portion of the Alaska Peninsula and a number of Aleutian islands. There are five incorporated cities and two unincorporated villages within the boundaries of the borough.",56.7921,-158.158,6988.1,8023.5,23,039S,056W,S,"Aleutians East Borough falls within the southwest maritime climate zone, characterized by persistently overcast skies, high winds, and frequent cyclonic storms.",2018/09/17 08:00:00+00,1,{511325BD-2EF3-4764-9016-8B47F90DDAA9},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-150.599060805,61.414211847,16,{F3B878CB-1AAF-4507-AFDB-6F4B0A6C751D},Alexander Creek,,61.4142,-150.5991,,,6,015N,007W,S,"Alexander Creek falls within the transitional climate zone, characterized by a semi-arid atmosphere, long, cold winters, and mild summers.",2018/09/17 08:00:00+00,1,{B7C90E58-F65E-4E03-A417-CF390762FA45},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
-152.649480482,66.5600484240001,17,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},Allakaket,"Allakaket is on the south bank of the Koyukuk River, southwest of its junction with the Alatna River, approximately 190 air miles northwest of Fairbanks and 57 miles upriver from Hughes. The village of Alatna is located directly across the river.",66.5633,-152.6445,3.6,0.7,14,020N,024W,F,"Allakaket falls within the continental climate zone, characterized by extreme temperature differences. The continental climate zone encompasses most of the central part of the state and experiences extremely cold winters and warm summers.",2018/09/17 08:00:00+00,1,{E9D8FFB3-3E98-4EF5-A675-5673633D442E},,,GIS_OWNER_CDO,2018/09/18 03:39:48+00
