X,Y,CommunityName,HFRetailGal,EntityName,ReportingPeriod,ReportingYear,AsOfDate,OBJECTID,ReportingSeason,ReportingDate
-390087.745779022,1235043.28228904,Akiak,5.69,Kokarmiut Corporation,Jan,2019,,1,Winter,2019/01/15 09:00:00+00
-766479.910475392,525927.743350198,Akutan,3.2277,City of Akutan,Jan,2019,,2,Winter,2019/01/15 09:00:00+00
57879.5116973947,1844678.29560101,Alatna,7,Alatna Traditional Council,Jan,2019,,3,Winter,2019/01/15 09:00:00+00
94894.1751459759,2021732.21131396,Anaktuvuk Pass,1.5,Nunamiut Corporation,Jan,2019,,4,Winter,2019/01/15 09:00:00+00
231980.126647679,1606209.55215741,Anderson,3.17,Nenana Heating,Jan,2019,,5,Winter,2019/01/15 09:00:00+00
1144736.49530355,1001399.30409643,Angoon,4.34,Angoon Oil and Gas,Jan,2019,,6,Winter,2019/01/15 09:00:00+00
-316464.020166387,1423712.40568258,Anvik,5,Deloyges Inc.,Jan,2019,,7,Winter,2019/01/15 09:00:00+00
354055.304168875,2041227.33626006,Arctic Village,12,Arctic Village Traditional Council,Jan,2019,,8,Winter,2019/01/15 09:00:00+00
-1366062.6920054,452266.93070329,Atka,6.85,Atka Native Store,Jan,2019,,9,Winter,2019/01/15 09:00:00+00
-446969.846134871,1236061.98697927,Atmautluak,4.96,Atmautluak Limited,Jan,2019,,10,Winter,2019/01/15 09:00:00+00
-130178.283503762,2281005.01007065,Atqasuk,1.4,Atqasuk Corporation,Jan,2019,,11,Winter,2019/01/15 09:00:00+00
-420708.278583235,1225426.14136511,Bethel,4.6,Crowley Fuel,Jan,2019,,12,Winter,2019/01/15 09:00:00+00
-578884.171153793,1762943.25312878,Brevig Mission,4.3466,Brevig Mission Native Store,Jan,2019,,13,Winter,2019/01/15 09:00:00+00
331739.412198896,1134592.127647,Chenega,5.9,Chenega IRA Council,Jan,2019,,14,Winter,2019/01/15 09:00:00+00
-272640.696692714,708170.914671806,Chignik,3.94,City of Chignik,Jan,2019,,15,Winter,2019/01/15 09:00:00+00
505210.692464188,1318323.26146793,Chitina,2.92,Chitina Services,Jan,2019,,16,Winter,2019/01/15 09:00:00+00
453138.587430948,1797102.49217214,Circle,2.69,Steese,Jan,2019,,17,Winter,2019/01/15 09:00:00+00
