X,Y,OBJECTID,CommunityName,EntityName,GradCount,DataYear,AsOfDate,SchoolDistrict,Shape
-19662881.5172757,6777471.9705363,1,Adak,Adak School,0,2013,2014/01/22 09:00:00+00,Aleutian Region Schools,
-19662881.5172757,6777471.9705363,2,Adak,Adak School,1,2014,2015/01/23 09:00:00+00,Aleutian Region Schools,
-19662881.5172757,6777471.9705363,3,Adak,Adak School,1,2015,2016/03/09 09:00:00+00,Aleutian Region Schools,
-19662881.5172757,6777471.9705363,4,Adak,Adak School,1,2016,2017/02/21 09:00:00+00,Aleutian Region Schools,
-19662881.5172757,6777471.9705363,5,Adak,Adak School,2,2017,2018/01/17 09:00:00+00,Aleutian Region Schools,
-17162487.0359533,7749256.44712093,6,Akhiok,Akhiok School,3,2017,2018/01/17 09:00:00+00,Kodiak Island Borough Schools,
-17162487.0359533,7749256.44712093,7,Akhiok,Akhiok School,2,2016,2017/02/21 09:00:00+00,Kodiak Island Borough Schools,
-17162487.0359533,7749256.44712093,8,Akhiok,Akhiok School,2,2014,2015/01/23 09:00:00+00,Kodiak Island Borough Schools,
-17162487.0359533,7749256.44712093,9,Akhiok,Akhiok School,1,2015,2016/03/09 09:00:00+00,Kodiak Island Borough Schools,
-17162487.0359533,7749256.44712093,10,Akhiok,Akhiok School,1,2013,2014/01/22 09:00:00+00,Kodiak Island Borough Schools,
-17972430.5763364,8606059.32079247,11,Akiachak,Akiachak School,2,2013,2014/01/22 09:00:00+00,Yupiit Schools,
-17972430.5763364,8606059.32079247,12,Akiachak,Akiachak School,6,2014,2015/01/23 09:00:00+00,Yupiit Schools,
-17972430.5763364,8606059.32079247,13,Akiachak,Akiachak School,9,2015,2016/03/09 09:00:00+00,Yupiit Schools,
-17972430.5763364,8606059.32079247,14,Akiachak,Akiachak School,12,2016,2017/02/21 09:00:00+00,Yupiit Schools,
-17972430.5763364,8606059.32079247,15,Akiachak,Akiachak School,8,2017,2018/01/17 09:00:00+00,Yupiit Schools,
-17948044.1622485,8604612.85004351,16,Akiak,Akiak School,5,2017,2018/01/17 09:00:00+00,Yupiit Schools,
-17948044.1622485,8604612.85004351,17,Akiak,Akiak School,5,2016,2017/02/21 09:00:00+00,Yupiit Schools,
-17948044.1622485,8604612.85004351,18,Akiak,Akiak School,6,2015,2016/03/09 09:00:00+00,Yupiit Schools,
-17948044.1622485,8604612.85004351,19,Akiak,Akiak School,1,2014,2015/01/23 09:00:00+00,Yupiit Schools,
-17948044.1622485,8604612.85004351,20,Akiak,Akiak School,1,2013,2014/01/22 09:00:00+00,Yupiit Schools,
