X,Y,OBJECTID,CommunityName,EntityName,SchoolDistrict,Graduates,In_Cohort,Rates,Year,IsMostRecent,AsOfDate,shape
547873.063030145,1530947.7511742,1,Tok,Alaska REACH Academy,Alaska Gateway School District,3,8,0.375,2018,0,2020/04/15 08:00:00+00,
489565.694599634,1557989.75129106,2,Dot Lake,Dot Lake School,Alaska Gateway School District,1,1,1,2018,0,2020/04/15 08:00:00+00,
604544.507766191,1705714.58626015,3,Eagle,Eagle Community School,Alaska Gateway School District,0,1,0,2018,0,2020/04/15 08:00:00+00,
514788.504728166,1479498.72464397,4,Mentasta Lake,Mentasta Lake School,Alaska Gateway School District,2,3,0.6667,2018,0,2020/04/15 08:00:00+00,
574649.399671389,1512987.8259776,5,Tetlin,Tetlin School,Alaska Gateway School District,2,3,0.6667,2018,0,2020/04/15 08:00:00+00,
548241.744471799,1529972.79363088,6,Tok,Tok School,Alaska Gateway School District,5,8,0.625,2018,0,2020/04/15 08:00:00+00,
609174.083877631,1499856.29758861,7,Northway,Walter Northway School,Alaska Gateway School District,1,2,0.5,2018,0,2020/04/15 08:00:00+00,
547873.063030145,1530947.7511742,8,Tok,Alaska REACH Academy,Alaska Gateway School District,3,13,0.2308,2017,0,2020/04/15 08:00:00+00,
489565.694599634,1557989.75129106,9,Dot Lake,Dot Lake School,Alaska Gateway School District,1,1,1,2017,0,2020/04/15 08:00:00+00,
604544.507766191,1705714.58626015,10,Eagle,Eagle Community School,Alaska Gateway School District,0,0,,2017,0,2020/04/15 08:00:00+00,
514788.504728166,1479498.72464397,11,Mentasta Lake,Mentasta Lake School,Alaska Gateway School District,2,3,0.6667,2017,0,2020/04/15 08:00:00+00,
574649.399671389,1512987.8259776,12,Tetlin,Tetlin School,Alaska Gateway School District,0,2,0,2017,0,2020/04/15 08:00:00+00,
548241.744471799,1529972.79363088,13,Tok,Tok School,Alaska Gateway School District,10,12,0.8333,2017,0,2020/04/15 08:00:00+00,
609174.083877631,1499856.29758861,14,Northway,Walter Northway School,Alaska Gateway School District,0,1,0,2017,0,2020/04/15 08:00:00+00,
547873.063030145,1530947.7511742,15,Tok,Alaska REACH Academy,Alaska Gateway School District,3,9,0.3333,2016,0,2020/04/15 08:00:00+00,
489565.694599634,1557989.75129106,16,Dot Lake,Dot Lake School,Alaska Gateway School District,3,3,1,2016,0,2020/04/15 08:00:00+00,
