X,Y,OBJECTID,CommunityName,EntityName,SchoolDistrict,Graduates,In_Cohort,Rates,Year,IsMostRecent,AsOfDate,Shape
547873.063030145,1530947.7511742,1,Tok,Alaska REACH Academy,Alaska Gateway School District,1,9,0.1111,2018,0,2020/04/16 08:00:00+00,
489565.694599634,1557989.75129106,2,Dot Lake,Dot Lake School,Alaska Gateway School District,0,0,,2018,0,2020/04/16 08:00:00+00,
604544.507766191,1705714.58626015,3,Eagle,Eagle Community School,Alaska Gateway School District,1,2,0.5,2018,0,2020/04/16 08:00:00+00,
514788.504728166,1479498.72464397,4,Mentasta Lake,Mentasta Lake School,Alaska Gateway School District,0,0,,2018,0,2020/04/16 08:00:00+00,
574649.399671389,1512987.8259776,5,Tetlin,Tetlin School,Alaska Gateway School District,0,0,,2018,0,2020/04/16 08:00:00+00,
548241.744471799,1529972.79363088,6,Tok,Tok School,Alaska Gateway School District,9,11,0.8182,2018,0,2020/04/16 08:00:00+00,
609174.083877631,1499856.29758861,7,Northway,Walter Northway School,Alaska Gateway School District,2,2,1,2018,0,2020/04/16 08:00:00+00,
-1537216.27400056,470927.312990794,8,Adak,Adak School,Aleutian Region School District,0,0,,2018,0,2020/04/16 08:00:00+00,
-1366014.99282288,454008.432826699,9,Atka,Yakov E. Netsvetov School,Aleutian Region School District,1,2,0.5,2018,0,2020/04/16 08:00:00+00,
-766699.373367508,525904.573085489,10,Akutan,Akutan School,Aleutians East Borough School District,1,1,1,2018,0,2020/04/16 08:00:00+00,
-602574.87929918,580727.883559624,11,False Pass,False Pass School,Aleutians East Borough School District,0,0,,2018,0,2020/04/16 08:00:00+00,
-529944.945341079,594094.203676048,12,King Cove,King Cove School,Aleutians East Borough School District,6,6,1,2018,0,2020/04/16 08:00:00+00,
-409931.323029049,613265.44210144,13,Sand Point,Sand Point School,Aleutians East Borough School District,9,11,0.8182,2018,0,2020/04/16 08:00:00+00,
223145.037927103,1252720.02256348,14,Anchorage,Alaska Middle College School,Anchorage School District,55,56,0.9821,2018,0,2020/04/16 08:00:00+00,
226161.649716355,1253036.61003051,15,Anchorage,Alaska State School for Deaf and Hard of Hearing,Anchorage School District,2,3,0.6667,2018,0,2020/04/16 08:00:00+00,
220065.094212104,1255321.53235015,16,Anchorage,AVAIL School,Anchorage School District,34,64,0.5313,2018,0,2020/04/16 08:00:00+00,
228181.682724742,1257443.02964524,17,Anchorage,Bartlett High School,Anchorage School District,239,298,0.802,2018,0,2020/04/16 08:00:00+00,
227155.711807794,1251480.86727054,18,Anchorage,Benson Secondary/S.E.A.R.C.H.,Anchorage School District,65,147,0.4422,2018,0,2020/04/16 08:00:00+00,
237660.414030239,1273502.61579967,19,Chugiak,Chugiak High School,Anchorage School District,207,236,0.8771,2018,0,2020/04/16 08:00:00+00,
227155.711807794,1251480.86727054,20,Anchorage,Crossroads School,Anchorage School District,3,7,0.4286,2018,0,2020/04/16 08:00:00+00,
218019.520717268,1246795.14341924,21,Anchorage,Dimond High School,Anchorage School District,376,422,0.891,2018,0,2020/04/16 08:00:00+00,
236263.273309899,1265372.52238939,22,Eagle River,Eagle River High School,Anchorage School District,201,225,0.8933,2018,0,2020/04/16 08:00:00+00,
224572.875224554,1253574.08673084,23,Anchorage,East High School,Anchorage School District,424,525,0.8076,2018,0,2020/04/16 08:00:00+00,
220173.873663344,1251057.00412073,24,Anchorage,Family Partnership Charter School,Anchorage School District,56,78,0.7179,2018,0,2020/04/16 08:00:00+00,
219998.249344138,1252723.24149547,25,Anchorage,Frontier Charter School,Anchorage School District,36,55,0.6545,2018,0,2020/04/16 08:00:00+00,
226161.649716355,1253036.61003051,26,Anchorage,Highland Academy Charter,Anchorage School District,15,23,0.6522,2018,0,2020/04/16 08:00:00+00,
223214.389288391,1252104.27905667,27,Anchorage,McLaughlin Secondary School,Anchorage School District,5,27,0.1852,2018,0,2020/04/16 08:00:00+00,
219983.371152903,1254220.20660054,28,Anchorage,PAIDEIA Cooperative School,Anchorage School District,19,31,0.6129,2018,0,2020/04/16 08:00:00+00,
222201.546776044,1249510.17000215,29,Anchorage,Polaris K-12 School,Anchorage School District,28,28,1,2018,0,2020/04/16 08:00:00+00,
221079.463792963,1249987.39832448,30,Anchorage,S.A.V.E. High School,Anchorage School District,24,106,0.2264,2018,0,2020/04/16 08:00:00+00,
226267.985951358,1246878.65370738,31,Anchorage,Service High School,Anchorage School District,355,391,0.9079,2018,0,2020/04/16 08:00:00+00,
225008.014205213,1242437.96453754,32,Anchorage,South Anchorage High School,Anchorage School District,293,312,0.9391,2018,0,2020/04/16 08:00:00+00,
