X,Y,OBJECTID,LicenseNumber,LicenseType,LicenseStatus,PhysicalAddress,PhysicalCity,PhysicalState,LicenseeName,Issue_Date,Effective_Date,Expire_Date,CommunityID,CommunityName,created_user,created_date,last_edited_user,last_edited_date,Standardized_Address,Match_Address,Address_Score,Address_Match_Type,Address_Road_Type_Found,Address_Manual_Placement_Flag,Source_Date
-16890169.0632721,8375255.59324763,1,13116,Limited Marijuana Cultivation Facility,Active-Operating,26189 Pepper Road,Anchor Point,AK,GREEN ESCAPE,2023/08/04 08:00:00+00,2023/08/04 08:00:00+00,2024/08/31 08:00:00+00,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83},Anchor Point,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,26189 Pepper Rd,"26189 Pepper Rd, Anchor Point, Alaska, 99556",98.9,A,1,,2024/02/01 09:00:00+00
-16682831.0304092,8676020.96038894,2,10094,Retail Marijuana Store,Active-Operating,1005 E 5th Ave,Anchorage,AK,"ALASKABUDS, LLC",2022/12/21 09:00:00+00,2022/12/21 09:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,1005 E 5Th Ave,"1005 E 5th Ave, Anchorage, Alaska, 99501",100,A,1,,2024/02/01 09:00:00+00
-16684861.6129143,8665887.71051428,3,24238,Retail Marijuana Store,Active-Operating,101 E International Airport Rd,Anchorage,AK,Ganja Guys of Alaska,2024/01/11 09:00:00+00,2024/01/11 09:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,101 E International Airport Rd,"101 E Intl Airport Rd, Anchorage, Alaska, 99518",100,A,1,,2024/02/01 09:00:00+00
-16684861.6129143,8665887.71051428,4,27854,Standard Marijuana Cultivation Facility,Active-Operating,101 E International Airport Rd,Anchorage,AK,Ganja Guys of Alaska,2024/01/09 09:00:00+00,2024/01/09 09:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,101 E International Airport Rd,"101 E Intl Airport Rd, Anchorage, Alaska, 99518",100,A,1,,2024/02/01 09:00:00+00
-16682141.0724279,8676949.53411128,5,10959,Standard Marijuana Cultivation Facility,Active-Operating,101 Post Rd,Anchorage,AK,"GREEN GO, LLC.",2023/11/30 09:00:00+00,2023/11/30 09:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,101 Post Rd,"101 N Post Rd, Anchorage, Alaska, 99501",99.5,A,1,,2024/02/01 09:00:00+00
-16683133.046199,8655294.75179039,6,11778,Limited Marijuana Cultivation Facility,Active-Operating,"10263 Nigh Road, #5",Anchorage,AK,"OLD SCHOOL & BUFFIE, LLC",2023/12/01 09:00:00+00,2023/12/01 09:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,10263 Nigh Rd,"10263 Nigh Rd, Anchorage, Alaska, 99515",100,A,1,,2024/02/01 09:00:00+00
-16683133.046199,8655294.75179039,7,13503,Limited Marijuana Cultivation Facility,Active-Operating,10263 Nigh Road #7,Anchorage,AK,Vital Gardens LLC,2023/10/24 08:00:00+00,2023/10/24 08:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,10263 Nigh Rd,"10263 Nigh Rd, Anchorage, Alaska, 99515",100,A,1,,2024/02/01 09:00:00+00
-16683133.046199,8655294.75179039,8,33144,Standard Marijuana Cultivation Facility,Active-Operating,10263 Nigh Road #6,Anchorage,AK,Hidden Farms LLC,2023/05/16 08:00:00+00,2023/10/03 08:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,10263 Nigh Rd,"10263 Nigh Rd, Anchorage, Alaska, 99515",100,A,1,,2024/02/01 09:00:00+00
-16682689.9646807,8676315.03931321,9,30782,Standard Marijuana Cultivation Facility,Active-Operating,1036 E. 4TH AVE.,Anchorage,AK,Wobbly Moose,2023/10/31 08:00:00+00,2023/10/31 08:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,1036 E 4Th Ave,"1036 E 4th Ave, Anchorage, Alaska, 99501",98.8,A,1,,2024/02/01 09:00:00+00
-16682689.9646807,8676315.03931321,10,30783,Retail Marijuana Store,Active-Operating,1036 E. 4TH AVE.,Anchorage,AK,Wobbly Moose,2023/10/31 08:00:00+00,2023/10/31 08:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,1036 E 4Th Ave,"1036 E 4th Ave, Anchorage, Alaska, 99501",98.8,A,1,,2024/02/01 09:00:00+00
-16682414.5829696,8662520.40125139,11,15016,Retail Marijuana Store,Active-Operating,1133 E 68th Ave,Anchorage,AK,Clear Cut Cannabis,2022/12/27 09:00:00+00,2022/12/27 09:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,1133 E 68Th Ave,"1133 E 68th Ave, Anchorage, Alaska, 99518",100,A,1,,2024/02/01 09:00:00+00
-16682418.5537358,8651121.2107044,12,29095,Retail Marijuana Store,Active-Operating,1150 Huffman Park Drive,Anchorage,AK,Scorpion Grass,2023/10/03 08:00:00+00,2023/10/03 08:00:00+00,2024/08/31 08:00:00+00,{41989645-CCA3-466B-9817-909C7EBD3FF1},Anchorage,GIS_OWNER_CDO,2024/02/12 18:43:14+00,GIS_OWNER_CDO,2024/02/12 18:43:14+00,1150 Huffman Park Dr,"1150 Huffman Park Dr, Anchorage, Alaska, 99515",99.03,A,1,1,2024/02/01 09:00:00+00
