X,Y,OBJECTID,CommunityName,EntityName,LocalityType,IncorporationType,IncorporationDate,BoroughOrCensusArea,PublicEducationPowers,PlanningAndLandUseRegulation,PropertyTax,SalesTax,OtherPowersNotProhibited,CityCouncilAssemblyComposition,ElectionAndTermOfMayor,VoteByMayorForCities,VetoPowerOfTheMayor,PowerOfEminentDomainCitiesOnly,AbilityToAttainHomeRuleStatus,ProvideTransportationSystems,LicenseDayCareFacilitiesBorough,ProvideAdditionalServiceBorough,DataYear,AsOfDate
-176.64029588,51.86824598,1,Adak,City of Adak,Community,2nd Class City,2001,Aleutians West Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-154.17324554,56.9468146400001,2,Akhiok,City of Akhiok,Community,2nd Class City,1974,Kodiak Island Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.23000172,60.90749213,3,Akiak,City of Akiak,Community,2nd Class City,1970,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-165.77353925,54.13431811,4,Akutan,City of Akutan,Community,2nd Class City,1979,Aleutians East Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-164.66754759,62.6869771400001,5,Alakanuk,City of Alakanuk,Community,2nd Class City,1969,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-158.62162503,59.2792073700001,6,Aleknagik,City of Aleknagik,Community,2nd Class City,1973,Dillingham Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.48211409,55.3445109900001,7,Aleutians East Borough,Aleutians East Borough,Borough,2nd Class Borough,1987,Aleutians East Borough,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40; the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon areawide voters' approval or by transfer of powers from all cities and approval of nonareawide voters; may be exercised nonareawide by approval of nonareawide voters; may be exercised on a service area basis with voter approval.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,Does not have veto power.,,Voters may adopt home rule charter.,"May be exercised on an areawide or nonareawide basis by ordinance; approval from voters or property owners required for service area powers.","May be exercised on an areawide basis by ordinance; voter approval required for exercise on a nonareawide or service area basis.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide basis; may be exercised on a service area basis with voter approval.",,2018/05/18 08:00:00+00
-152.64948048,66.56004842,8,Allakaket,City of Allakaket,Community,2nd Class City,1975,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-157.85652784,67.0864707800001,9,Ambler,City of Ambler,Community,2nd Class City,1971,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-151.73586607,68.1418507700001,10,Anaktuvuk Pass,City of Anaktuvuk Pass,Community,2nd Class City,1957,North Slope Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
