X,Y,OBJECTID,CommunityName,EntityName,EntityType,Address,City,State,Zip,Phone,Fax,AsOfDate,LocationID,CommunityID,EntityID
-176.640287,51.8682820000001,1,Adak,Adak Contract Postal Unit,Contract Postal Unit,100 Mechanical St,Adak,AK,99546-9800,+ 1 (907) 532-2464,,2023/08/25 08:00:00+00,1440320,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{92A0B011-A2FA-4C21-8578-7D1C9F556B46}
-154.171677,56.945276,2,Akhiok,Akhiok Post Office,Post Office,165 D St,Akhiok,AK,99615-9800,+ 1 (907) 836-2229,,2023/08/25 08:00:00+00,1439368,{68670103-A544-40F0-AD9E-7215DEC2434C},{8B6EDFFA-CFC0-45EB-B5F0-DC20054C25E2}
-161.416088,60.90101,3,Akiachak,Akiachak Post Office,Post Office,500 Phillips St,Akiachak,AK,99551-9800,+ 1 (907) 825-4012,,2023/08/25 08:00:00+00,1352526,{D381614D-1B3D-4C01-A916-B139441D4A88},{AF21D292-E10C-465A-BB08-0CC75EF44BD7}
-161.220674,60.9103150000001,4,Akiak,Akiak Post Office,Post Office,250 Off Doops St,Akiak,AK,99552-9800,+ 1 (907) 765-7415,+ 1 (907) 765-7418,2023/08/25 08:00:00+00,1352527,{B9E3D976-5DA3-4850-884A-E7818D521898},{56CD287C-B32B-4B51-8C9D-899B9A87FFAD}
-165.776907,54.1337980000001,5,Akutan,Akutan Post Office,Post Office,101 Salmon Berry Rd,Akutan,AK,99553-9800,+ 1 (907) 698-2200,+ 1 (907) 698-2202,2023/08/25 08:00:00+00,1352537,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{45688514-CCF6-4117-9FAF-430A272D74C7}
-164.645411,62.6848640000001,6,Alakanuk,Alakanuk Post Office,Post Office,500 Anderson St,Alakanuk,AK,99554-9800,+ 1 (907) 238-3717,+ 1 (907) 238-3712,2023/08/25 08:00:00+00,1352544,{8142710A-7405-430F-9A0B-C44338B4B31A},{FF1A85DC-A147-4C00-9C8D-C8589723D911}
-158.621658,59.279213,7,Aleknagik,Aleknagik Post Office,Post Office,123 Main St,Aleknagik,AK,99555-9800,+ 1 (907) 842-2410,+ 1 (907) 842-5732,2023/08/25 08:00:00+00,1352649,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{81AADDDC-F103-48EF-B8DC-5561FB744B74}
-152.64537,66.5635370000001,8,Allakaket,Allakaket Post Office,Post Office,21 Allakaket Rd,Allakaket,AK,99720-9800,+ 1 (907) 968-2212,+ 1 (907) 968-2212,2023/08/25 08:00:00+00,1352701,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{461FFC1A-5D4A-4C02-B889-A63931C849E8}
-157.855424,67.0865200000001,9,Ambler,Ambler Post Office,Post Office,9998 Ambler Ave,Ambler,AK,99786-9800,+ 1 (907) 445-2187,+ 1 (907) 445-2287,2023/08/25 08:00:00+00,1352927,{E98663F6-E635-4427-85F1-48E3042D196E},{B6A30FC3-2C54-47FE-A6CC-289C170690B5}
-151.734082,68.1406840000001,10,Anaktuvuk Pass,Anaktuvuk Pass Post Office,Post Office,1104 Summer St,Anaktuvuk Pass,AK,99721-9800,+ 1 (907) 661-3615,+ 1 (907) 661-3925,2023/08/25 08:00:00+00,1353020,{C8F22DE3-2D24-49CD-A867-3855226D712F},{AF4BC84C-3230-4892-9D17-ECBA5D4633FC}
