X,Y,OBJECTID,PCECommunity,CommunityName,EntityName,DataYear,Population,ReportedPeriods,ResidentialCustomers,CommunityFacilitiesCustomers,OtherCustomers,ResidentialkWhEligibleforPCE,FacilitieskWhEligibleforPCE,TotalkWhEligibleforPCECredit,TotalkWhSold,TotalDieselFuelUsed,TotalCostOfFuel,AveragePriceOfFuelPerGallon,TotalNonFuelExpenses,YearToDatePCEDisbursements,TotalDieselGeneratedkWh,TotalNonDieselGeneratedkWh,TotalPurchasedkWhs,ResidentialRateBasedOn500kWh,PCERateApplied,EffectiveResidentialRate,Notes,IsMostRecent,CommunityAggRowPos
-1537200.80409957,470990.071658981,1,Adak PCE,Adak,TDX Adak Generating LLC,2023,179,12,63,12,99,123237,133162,256399,1179549,157434,977217,6.21,625008,195829,2035684,0,0,1.8058,0.7662,1.0396,,1,1
-1537200.80409957,470990.071658981,2,Adak PCE,Adak,TDX Adak Generating LLC,2022,290,11,71,13,101,131224,110624,241848,1153556,164462,689888,4.19,719039,183732,1887633,0,0,1.274,0.7597,0.5143,Only 11 reports filed,,1
-1537200.80409957,470990.071658981,3,Adak PCE,Adak,TDX Adak Generating LLC,2021,298,12,80,11,91,158726,149786,308512,1130990,155605,584114,3.75,432129,232618,2001448,0,0,1.1671,0.754,0.4131,Non-fuel cost = 7 months,,1
-1537200.80409957,470990.071658981,4,Adak PCE,Adak,TDX Adak Generating LLC,2020,296,12,78,7,116,179188,134997,314185,1192410,183988,815346,4.43,,239685,2072822,0,0,1.4012,0.7686,0.6326,,,1
-1537200.80409957,470990.071658981,5,Adak PCE,Adak,TDX Adak Generating LLC,2019,308,12,80,7,132,178969,148274,327243,1259811,178117,760153,4.27,819359,238290,2138300,0,0,1.4186,0.7686,0.65,Fuel gallons & cost estimated April 2019,,1
-1537200.80409957,470990.071658981,6,Adak PCE,Adak,TDX Adak Generating LLC,2018,309,12,101,7,121,171045,147649,318694,1237518,164150,630951,3.84,1625820,202219,2017190,0,0,1.4341,0.7204,0.7137,,,1
-1537200.80409957,470990.071658981,7,Adak PCE,Adak,TDX Adak Generating LLC,2017,275,12,93,7,86,204368,160955,365323,1261444,145214,622055,4.28,724493,204210,1998042,0,0,1.0598,0.4766,0.5832,,,1
-1537200.80409957,470990.071658981,8,Adak PCE,Adak,TDX Adak Generating LLC,2016,247,12,96,7,89,222267,172303,394570,1293736,165375,805236,4.87,736922,270198,1962679,0,0,1.2754,0.732,0.5434,,,1
-1537200.80409957,470990.071658981,9,Adak PCE,Adak,TDX Adak Generating LLC,2015,283,12,94,7,92,216035,188739,404774,1239474,154332,799550,5.18,575806,260068,2054092,0,0,1.2196,0.6449,0.5747,Only 3 months pwrhse data available.,,1
-1537200.80409957,470990.071658981,10,Adak PCE,Adak,TDX Adak Generating LLC,2014,321,12,90,7,105,255567,217817,473384,1258595,170110,843813,4.96,374351,385163,2178268,0,0,1.442,0.8092,0.6328,,,1
-1537200.80409957,470990.071658981,11,Adak PCE,Adak,TDX Adak Generating LLC,2013,331,12,131,7,108,300474,200484,500958,2184054,249115,1215681,4.88,457048,330916,3213377,0,0,1.2,0.8142,0.3858,Powerhouse use not reported Jul-Jun,,1
-1537200.80409957,470990.071658981,12,Adak PCE,Adak,TDX Adak Generating LLC,2012,326,12,138,7,76,275425,127413,402838,2682173,278867,1233415,4.42,542612,290795,3012311,0,0,1.1252,0.7971,0.3281,PCE rptd. kWh generated&sold & fuel gals. adjusted per amounts reported to RCA,,1
-1537200.80409957,470990.071658981,13,Adak PCE,Adak,TDX Adak Generating LLC,2011,165,,101,7,,190514,45045,235559,1313721,149186,521612.04,3.5,368565,142648,947299,0,0,0.7371,0.4173,0.3198,01/11 & 02/11 not reported.  03/11 thru 05/11 kWh generated not reported,,1
-10519.3318614154,771139.191692125,14,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2023,58,12,27,1,15,87897,30676,118573,256370,30360,103546,3.41,36000,35739,296452,0,0,0.8,0.3244,0.4756,Rpt Fuel Used & Powerhouse Consumption = 11 mths,1,1
-10519.3318614154,771139.191692125,15,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2022,63,12,27,10,6,68134,15686,83820,254639,26424,96934,3.67,10500,29197,301245,0,0,0.8,0.3202,0.4798,Reported non-fuel = 4 months,,1
-10519.3318614154,771139.191692125,16,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2021,69,12,27,8,8,66986,5447,72433,223226,26001,99820,3.84,,25713,242824,0,0,0.8,0.3593,0.4407,Fuel Gals. Used & Fuel Cost = 11 months. Powerhouse Consumption = 10 months,,1
-10519.3318614154,771139.191692125,17,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2020,81,12,27,2,14,68479,35329,103808,223379,25188,86863,3.45,13200,34568,262359,0,0,0.8,0.3738,0.4262,Non-fuel cost & Powerhouse Consumption = 11 months,,1
-10519.3318614154,771139.191692125,18,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2019,88,11,27,10,6,62723,26790,89513,218065,25808,87210,3.38,25132,29226,248476,0,0,0.8,0.3265,0.4735,Only reported 11 months non-fuel costs,,1
-10519.3318614154,771139.191692125,19,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2018,97,12,27,8,8,72825,24891,97716,232842,29345,112377,3.83,,33490,282443,0,0,0.8,0.3872,0.4128,Non-fuel costs not provided by utility,,1
-10519.3318614154,771139.191692125,20,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2017,90,12,27,8,8,82218,25421,107639,237236,32699,142577,4.36,,40633,286516,0,0,0.8,0.3224,0.4776,Non-fuel expense not reported,,1
-10519.3318614154,771139.191692125,21,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2016,81,12,28,7,8,91416,18552,109968,211444,35222,171849,4.88,,39502,284843,0,0,0.8,0.3817,0.4183,Non-fuel expense not reported,,1
-10519.3318614154,771139.191692125,22,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2015,85,5,28,7,8,37399,1169,38568,92801,14625,74959,5.13,,11640,132888,0,0,0.45,0.3806,,Eff Rt=$0.1482/kWh (Adj. to corr util error) Unable to verify nonfuel $ as rpted,,1
-10519.3318614154,771139.191692125,23,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2014,87,9,22,4,6,70525,0,70525,177922,19110,93989,4.92,7596,21760,196387,0,0,0.45,0.3018,0.1482,"Re-entered program Oct 13; only 9 reports included",,1
-10519.3318614154,771139.191692125,24,Akhiok PCE,Akhiok,Akhiok/Kaguyak Electric,2001,99,,33,6,,89614,58854,148468,202013,19401,22715.6,0,2013,30656.21,,,,0.37,0.1578,0.2122,Seven months of data reported for the Total Cost of Fuel category. Six months of data reported for Total Cost of Fuel category. Calculations cannot be made for the Average Price of Fuel due to lack of data or other circumstances. Total Disel Generated not reported due to technical difficulties.,,1
