X,Y,OBJECTID,CommunityName,CommunityID,RoadConnection,Description,AsOfDate
660487.360363678,1470329.38068821,10,Alcan Border,{3A2BEA63-41B6-445E-BF20-B04461C94803},Yes,"The Alcan Highway connects through Whitehorse, Yukon, Canada, to the lower 48 states or through Tok to Fairbanks and Anchorage.",2023/08/24 08:00:00+00
121200.627885157,1089266.44100893,19,Anchor Point,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83},Yes,"The Sterling Highway provides access to Anchorage. Nearby Homer offers an airport, state ferry access, and docking and boat launching facilities.",2023/08/24 08:00:00+00
219654.775923324,1255116.01268035,20,Anchorage,{41989645-CCA3-466B-9817-909C7EBD3FF1},Yes,"Controlled airports include the state-owned Ted Stevens Anchorage International Airport and Lake Hood Float Plane Base, the municipality's Merrill Field, and U.S. Army and Air Force facilities. The Port of Anchorage handles 85% of the general cargo for the Alaska Railbelt area. There are five terminal berths, with 3,488 linear feet available. Several barge and trucking companies are available. The Alaska Railroad connects Anchorage to Seward, Whittier, and Fairbanks. Highway networks connect Anchorage with the statewide highway system as well as the rest of the United States and Canada. Anchorage also has one of the busiest airports in the world for air cargo.",2023/08/24 08:00:00+00
231980.126647679,1606209.55215741,21,Anderson,{3999FA6E-F8E0-4528-9406-C991F8BB8C52},Yes,"Anderson is located about 55 air miles (76 driving miles) southwest of Fairbanks. The 6 mile access road runs west from the George Parks Highway at Mile Post 283.5. The Alaska Railroad runs close to Anderson but doesn't have a station there. Most goods are brought in by truck. A state-owned, lighted asphalt runway is located at Clear Airport, 4 miles south of town along the access road. Charters and private aircraft serve the airstrip. A private dirt strip is located at Clear Sky Lodge. Lost Slough, a large slough of the Nenana River, is located less than a mile west of town. It is used for fishing, but the river is too shallow for cargo transportation.",2023/08/24 08:00:00+00
312413.402713213,1664768.66144981,33,Badger,{DAC7203E-0D8F-434C-A2FA-C699EDD5B8CB},Yes,Badger is a CDP in the Fairbanks Northstar Borough and is connected by road to the borough.,2023/08/24 08:00:00+00
254075.683593308,1139939.0694567,34,Bear Creek,{2B076D8C-6D9B-439C-90F1-92FEAE651E60},Yes,"Bear Creek is connected to the Alaska Highway system and is 5 miles north of Seward. The Seward Airport also provides daily air service and charters. The Port of Seward serves cruise ships, the state ferry, cargo barges, and ocean freighters from Seattle and overseas. Its small boat harbor has moorage and two boat launch ramps. The Alaska Railroad provides over 1.4 billion pounds of cargo transit each year, importing cargo for the Interior and exporting coal to the Pacific Rim.",2023/08/24 08:00:00+00
395909.044841519,1600283.06870339,40,Big Delta,{3DD78FBE-F02D-4634-B206-835BAF4DDD8E},Yes,An airstrip is available nearby at Delta Junction for chartered or private aircraft. Big Delta is 8.9 road miles from Delta Junction. ,2023/08/24 08:00:00+00
221335.130288721,1292873.46128974,41,Big Lake,{2AA584CB-3B03-4D75-8F91-A995C37D4C4D},Yes,Big Lake Road is accessible from mile 52 of the George Parks Highway. A state-owned gravel airstrip and float plane dock are available. Several boat launches and a marina support recreational watercraft.,2023/08/24 08:00:00+00
239475.154008878,1277980.59331584,45,Birchwood,{C753E53C-E790-4D8B-9C86-48B540A139F7},Yes,Birchwood is located approximately 18 miles northeast of Anchorage on the Glenn Highway.,2023/08/24 08:00:00+00
245340.214868538,1229431.98961048,46,Bird Creek,{2602E025-8462-49F3-BCA3-9910A76C31B0},Yes,,2023/08/24 08:00:00+00
