OBJECTID,EntityName,Graduates,In_Cohort,Rate,Year,shape
1,Alaska Gateway School District,13,24,0.5417,2018,
2,Alaska Gateway School District,8,25,0.32,2017,
3,Alaska Gateway School District,14,30,0.4667,2016,
4,Alaska Gateway School District,9,21,0.4286,2015,
5,Aleutian Region School District,1,2,0.5,2018,
6,Aleutian Region School District,2,2,1,2017,
7,Aleutian Region School District,2,2,1,2016,
8,Aleutian Region School District,1,2,0.5,2015,
9,Aleutians East Borough School District,16,18,0.8889,2018,
10,Aleutians East Borough School District,15,18,0.8333,2017,
11,Aleutians East Borough School District,11,14,0.7857,2016,
12,Aleutians East Borough School District,14,17,0.8235,2015,
13,Anchorage School District,2866,3551,0.8071,2018,
14,Anchorage School District,2902,3563,0.8145,2017,
15,Anchorage School District,2735,3432,0.7969,2016,
16,Anchorage School District,2763,3446,0.8018,2015,
17,Annette Island School District,27,28,0.9643,2018,
18,Annette Island School District,12,14,0.8571,2017,
19,Annette Island School District,18,21,0.8571,2016,
20,Annette Island School District,15,21,0.7143,2015,
21,Bering Strait School District,81,108,0.75,2018,
22,Bering Strait School District,86,101,0.8515,2017,
23,Bering Strait School District,88,111,0.7928,2016,
24,Bering Strait School District,83,99,0.8384,2015,
25,Bristol Bay Borough School District,16,16,1,2018,
26,Bristol Bay Borough School District,8,10,0.8,2017,
27,Bristol Bay Borough School District,9,14,0.6429,2016,
28,Bristol Bay Borough School District,5,8,0.625,2015,
29,Chatham School District,11,13,0.8462,2018,
30,Chatham School District,7,8,0.875,2017,
31,Chatham School District,9,9,1,2016,
32,Chatham School District,10,15,0.6667,2015,
33,Chugach School District,18,26,0.6923,2018,
34,Chugach School District,27,35,0.7714,2017,
35,Chugach School District,21,24,0.875,2016,
36,Chugach School District,15,20,0.75,2015,
37,Copper River School District,19,38,0.5,2018,
38,Copper River School District,32,41,0.7805,2017,
39,Copper River School District,20,23,0.8696,2016,
40,Copper River School District,27,35,0.7714,2015,
41,Cordova City School District,18,22,0.8182,2018,
42,Cordova City School District,19,25,0.76,2017,
43,Cordova City School District,33,39,0.8462,2016,
44,Cordova City School District,23,25,0.92,2015,
45,Craig City School District,24,37,0.6486,2018,
46,Craig City School District,28,45,0.6222,2017,
47,Craig City School District,24,41,0.5854,2016,
48,Craig City School District,26,46,0.5652,2015,
49,Delta/Greely School District,46,53,0.8679,2018,
50,Delta/Greely School District,43,58,0.7414,2017,
51,Delta/Greely School District,46,57,0.807,2016,
52,Delta/Greely School District,35,50,0.7,2015,
53,Denali Borough School District,33,51,0.6471,2018,
54,Denali Borough School District,23,48,0.4792,2017,
55,Denali Borough School District,20,43,0.4651,2016,
56,Denali Borough School District,23,51,0.451,2015,
57,Dillingham City School District,25,38,0.6579,2018,
58,Dillingham City School District,35,39,0.8974,2017,
59,Dillingham City School District,16,27,0.5926,2016,
60,Dillingham City School District,27,36,0.75,2015,
61,Fairbanks North Star Borough School District,710,908,0.7819,2018,
62,Fairbanks North Star Borough School District,730,948,0.77,2017,
63,Fairbanks North Star Borough School District,706,949,0.7439,2016,
64,Fairbanks North Star Borough School District,712,945,0.7534,2015,
65,Galena City School District,331,412,0.8034,2018,
