X,Y,OBJECTID,CommunityName,EntityName,PreKindergarten,Kindergarten,FirstGrade,SecondGrade,ThirdGrade,FourthGrade,FifthGrade,SixthGrade,SeventhGrade,EighthGrade,NinthGrade,TenthGrade,EleventhGrade,TwelfthGrade,TotalEnrollmentK12,TotalEnrollmentPK12,PeriodStartDate,PeriodEndDate,SchoolYear,DataYear,AsOfDate
-16679307.9562102,8658959.14660887,1,Anchorage,Abbott Loop Elementary,1,59,39,55,54,46,50,59,0,0,0,0,0,0,362,363,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-16679307.9562102,8658959.14660887,2,Anchorage,Abbott Loop Elementary,0,46,55,39,57,58,38,48,0,0,0,0,0,0,341,341,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-16679307.9562102,8658959.14660887,3,Anchorage,Abbott Loop Elementary,6,46,33,38,53,38,53,52,0,0,0,0,0,0,313,319,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-16679307.9562102,8658959.14660887,4,Anchorage,Abbott Loop Elementary,0,61,65,57,48,61,48,55,0,0,0,0,0,0,395,395,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-16679307.9562102,8658959.14660887,5,Anchorage,Abbott Loop Elementary,0,34,46,49,36,55,54,40,0,0,0,0,0,0,314,314,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-16679307.9562102,8658959.14660887,6,Anchorage,Abbott Loop Elementary,0,42,61,57,56,57,59,45,0,0,0,0,0,0,377,377,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-16597077.1449284,8766598.80481468,7,Palmer,Academy Charter School,0,24,24,25,25,26,26,30,28,27,0,0,0,0,235,235,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-16597077.1449284,8766598.80481468,8,Palmer,Academy Charter School,0,26,27,27,27,28,30,30,20,29,0,0,0,0,244,244,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-16597077.1449284,8766598.80481468,9,Palmer,Academy Charter School,0,24,25,24,25,26,28,28,29,29,0,0,0,0,238,238,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-16597077.1449284,8766598.80481468,10,Palmer,Academy Charter School,0,26,26,26,29,28,30,30,30,22,0,0,0,0,247,247,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-16597077.1449284,8766598.80481468,11,Palmer,Academy Charter School,0,26,26,23,26,28,28,24,30,30,0,0,0,0,241,241,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-16597077.1449284,8766598.80481468,12,Palmer,Academy Charter School,0,24,24,23,26,25,26,30,30,26,0,0,0,0,234,234,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-19663497.4946611,6776232.86002589,13,Adak,Adak School,0,2,3,2,5,2,1,2,1,0,1,1,0,1,21,21,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-19663497.4946611,6776232.86002589,14,Adak,Adak School,0,3,3,2,2,4,3,1,1,1,0,2,2,1,25,25,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-19663497.4946611,6776232.86002589,15,Adak,Adak School,0,2,2,3,3,1,3,1,1,0,1,0,2,2,21,21,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-19663497.4946611,6776232.86002589,16,Adak,Adak School,2,3,0,0,2,2,2,0,1,1,1,0,1,0,13,15,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-19663497.4946611,6776232.86002589,17,Adak,Adak School,0,3,1,4,3,1,1,1,0,0,0,1,0,0,15,15,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-19663497.4946611,6776232.86002589,18,Adak,Adak School,0,0,0,2,2,3,1,2,1,1,0,1,0,2,15,15,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-16678985.1158833,8673514.63537657,19,Anchorage,Airport Heights Elementary,0,45,43,52,49,51,37,42,0,0,0,0,0,0,319,319,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-16678985.1158833,8673514.63537657,20,Anchorage,Airport Heights Elementary,0,52,44,41,50,50,34,57,0,0,0,0,0,0,328,328,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-16678985.1158833,8673514.63537657,21,Anchorage,Airport Heights Elementary,16,43,33,41,57,53,45,45,0,0,0,0,0,0,317,333,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-16678985.1158833,8673514.63537657,22,Anchorage,Airport Heights Elementary,0,47,51,51,50,39,47,52,0,0,0,0,0,0,337,337,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-16678985.1158833,8673514.63537657,23,Anchorage,Airport Heights Elementary,0,51,55,49,40,41,48,37,0,0,0,0,0,0,321,321,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-16678985.1158833,8673514.63537657,24,Anchorage,Airport Heights Elementary,0,54,48,35,42,47,48,37,0,0,0,0,0,0,311,311,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-17162487.0359533,7749256.44712093,25,Akhiok,Akhiok School,0,2,4,1,3,3,1,2,2,2,1,4,2,0,27,27,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-17162487.0359533,7749256.44712093,26,Akhiok,Akhiok School,0,2,1,2,1,3,3,1,2,1,2,1,4,2,25,25,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-17162487.0359533,7749256.44712093,27,Akhiok,Akhiok School,0,4,1,2,1,2,1,2,2,1,1,0,1,1,19,19,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-17162487.0359533,7749256.44712093,28,Akhiok,Akhiok School,0,3,3,2,2,1,3,3,1,2,1,2,1,3,27,27,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-17162487.0359533,7749256.44712093,29,Akhiok,Akhiok School,0,2,1,1,2,1,3,1,2,1,4,2,0,2,22,22,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-17162487.0359533,7749256.44712093,30,Akhiok,Akhiok School,0,1,3,1,0,2,1,2,1,3,3,0,2,1,20,20,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-17972430.5763364,8606059.32079247,31,Akiachak,Akiachak School,2,15,21,21,13,14,9,15,17,15,15,15,17,9,196,198,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-17972430.5763364,8606059.32079247,32,Akiachak,Akiachak School,8,18,9,15,19,13,14,17,17,13,13,16,12,5,181,189,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-17972430.5763364,8606059.32079247,33,Akiachak,Akiachak School,8,17,14,9,14,17,14,13,18,16,12,14,17,7,182,190,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-17972430.5763364,8606059.32079247,34,Akiachak,Akiachak School,1,28,16,12,11,16,18,18,17,17,12,13,21,12,211,212,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-17972430.5763364,8606059.32079247,35,Akiachak,Akiachak School,0,23,23,13,12,11,17,20,15,17,17,12,12,18,210,210,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-17972430.5763364,8606059.32079247,36,Akiachak,Akiachak School,3,20,12,21,20,13,12,9,15,17,12,16,18,12,197,200,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-17948044.1622485,8604612.85004351,37,Akiak,Akiak School,2,8,10,12,9,10,6,7,10,10,9,6,9,4,110,112,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-17948044.1622485,8604612.85004351,38,Akiak,Akiak School,0,13,12,7,6,8,10,11,11,11,12,5,3,7,116,116,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-17948044.1622485,8604612.85004351,39,Akiak,Akiak School,0,8,11,6,7,9,11,12,10,14,4,1,6,8,107,107,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-17948044.1622485,8604612.85004351,40,Akiak,Akiak School,1,9,7,8,11,12,11,15,8,2,7,7,4,1,102,103,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-17948044.1622485,8604612.85004351,41,Akiak,Akiak School,0,11,13,11,11,7,10,12,12,11,5,14,5,5,127,127,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-17948044.1622485,8604612.85004351,42,Akiak,Akiak School,0,9,6,8,10,11,12,12,14,8,1,6,7,3,107,107,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,43,Kasigluk,Akiuk Memorial School,10,8,10,7,7,6,6,7,6,5,6,6,2,3,79,89,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,44,Kasigluk,Akiuk Memorial School,10,6,8,9,6,8,8,6,7,7,6,3,7,1,82,92,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,45,Kasigluk,Akiuk Memorial School,4,10,4,6,7,5,7,6,4,8,6,5,2,6,76,80,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,46,Kasigluk,Akiuk Memorial School,9,5,8,8,4,7,10,6,9,11,11,9,3,8,99,108,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,47,Kasigluk,Akiuk Memorial School,10,7,9,3,6,9,7,8,11,5,12,3,7,2,89,99,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,48,Kasigluk,Akiuk Memorial School,8,8,6,7,8,5,9,6,6,5,4,2,3,2,71,79,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-16964890.5759599,7924003.43694781,49,Kodiak,AKTEACH,0,9,11,12,15,9,9,9,8,7,4,7,14,28,142,142,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-16964890.5759599,7924003.43694781,50,Kodiak,AKTEACH,0,13,13,12,14,19,9,10,17,17,10,10,9,32,185,185,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-16964890.5759599,7924003.43694781,51,Kodiak,AKTEACH,0,12,12,8,12,10,7,10,10,8,2,5,7,9,112,112,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-16964890.5759599,7924003.43694781,52,Kodiak,AKTEACH,0,10,7,14,9,8,10,7,3,5,4,5,5,14,101,101,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,53,Kasigluk,Akula Elitnaurvik School,0,8,11,13,9,7,9,10,10,6,9,10,4,5,111,111,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,54,Kasigluk,Akula Elitnaurvik School,1,7,10,10,13,7,6,11,11,11,9,5,4,5,109,110,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,55,Kasigluk,Akula Elitnaurvik School,22,12,14,7,9,11,15,7,7,8,13,7,5,0,115,137,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,56,Kasigluk,Akula Elitnaurvik School,12,12,6,10,10,15,6,6,8,10,10,7,2,6,108,120,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,57,Kasigluk,Akula Elitnaurvik School,0,17,10,8,12,11,12,10,10,8,10,5,6,6,125,125,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-18091584.2061279,8601656.05396914,58,Kasigluk,Akula Elitnaurvik School,0,10,13,8,12,12,9,10,9,8,11,5,3,7,117,117,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-18454186.4723459,7195530.55259793,59,Akutan,Akutan School,5,0,2,3,0,0,1,1,0,0,3,0,2,1,13,18,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-18454186.4723459,7195530.55259793,60,Akutan,Akutan School,0,2,3,0,0,1,1,0,0,3,0,2,1,1,14,14,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-18454186.4723459,7195530.55259793,61,Akutan,Akutan School,0,0,3,3,1,0,2,0,0,0,0,0,0,1,10,10,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-18454186.4723459,7195530.55259793,62,Akutan,Akutan School,0,4,0,3,1,1,0,2,0,0,0,0,1,1,13,13,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-18454186.4723459,7195530.55259793,63,Akutan,Akutan School,0,4,3,1,0,2,0,1,0,1,0,2,2,0,16,16,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-18454186.4723459,7195530.55259793,64,Akutan,Akutan School,3,3,1,0,3,1,1,1,1,0,0,3,0,3,17,20,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-17814935.5124083,11278977.0417298,65,Wainwright,Alak School,19,12,12,15,10,12,11,13,13,7,12,9,9,12,147,166,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-17814935.5124083,11278977.0417298,66,Wainwright,Alak School,17,12,16,10,14,10,13,11,6,13,7,10,6,8,136,153,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-17814935.5124083,11278977.0417298,67,Wainwright,Alak School,22,17,13,15,15,9,13,11,14,13,7,9,7,10,153,175,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-17814935.5124083,11278977.0417298,68,Wainwright,Alak School,19,10,11,12,12,13,15,9,12,12,12,13,6,12,149,168,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-17814935.5124083,11278977.0417298,69,Wainwright,Alak School,20,13,12,12,14,15,9,12,11,13,12,6,9,9,147,167,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-17814935.5124083,11278977.0417298,70,Wainwright,Alak School,19,15,10,12,10,15,11,8,12,7,11,6,9,11,137,156,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-18325590.0650018,9023931.61383108,71,Alakanuk,Alakanuk School,8,19,11,21,23,32,12,14,19,16,16,18,15,9,225,233,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
-18325590.0650018,9023931.61383108,72,Alakanuk,Alakanuk School,2,36,8,22,23,14,15,23,23,15,11,9,7,19,225,227,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-18325590.0650018,9023931.61383108,73,Alakanuk,Alakanuk School,0,17,19,12,20,21,31,11,16,20,12,15,18,14,226,226,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-18325590.0650018,9023931.61383108,74,Alakanuk,Alakanuk School,8,10,23,20,33,11,16,18,16,11,20,12,9,8,207,215,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-18325590.0650018,9023931.61383108,75,Alakanuk,Alakanuk School,4,27,32,15,19,20,18,18,21,21,17,13,10,12,243,247,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-18325590.0650018,9023931.61383108,76,Alakanuk,Alakanuk School,2,24,27,32,14,17,22,17,14,21,16,15,8,13,240,242,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-16679287.9938426,8670263.62882565,77,Anchorage,Alaska Middle College School,0,0,0,0,0,0,0,0,0,0,0,0,58,35,93,93,2014/07/01 08:00:00+00,2015/06/30 08:00:00+00,2014/2015,2015,2014/10/01 08:00:00+00
-16679287.9938426,8670263.62882565,78,Anchorage,Alaska Middle College School,0,0,0,0,0,0,0,0,0,0,0,0,46,37,83,83,2013/07/01 08:00:00+00,2014/06/30 08:00:00+00,2013/2014,2014,2013/10/01 08:00:00+00
-16679287.9938426,8670263.62882565,79,Anchorage,Alaska Middle College School,0,0,0,0,0,0,0,0,0,0,0,0,40,50,90,90,2015/07/01 08:00:00+00,2016/06/30 08:00:00+00,2015/2016,2016,2015/10/01 08:00:00+00
-16679287.9938426,8670263.62882565,80,Anchorage,Alaska Middle College School,0,0,0,0,0,0,0,0,0,0,0,0,96,56,152,152,2017/07/01 08:00:00+00,2018/06/30 08:00:00+00,2017/2018,2018,2017/10/01 08:00:00+00
-16679287.9938426,8670263.62882565,81,Anchorage,Alaska Middle College School,0,0,0,0,0,0,0,0,0,0,0,0,32,5,37,37,2012/07/01 08:00:00+00,2013/06/30 08:00:00+00,2012/2013,2013,2012/10/01 08:00:00+00
-16679287.9938426,8670263.62882565,82,Anchorage,Alaska Middle College School,0,0,0,0,0,0,0,0,0,0,0,0,68,49,117,117,2016/07/01 08:00:00+00,2017/06/30 08:00:00+00,2016/2017,2017,2016/10/01 08:00:00+00
