X,Y,OBJECTID,CommunityName,Resource,DataYear,Units,ReportedNo_inUnits,Reported_Lbs,AvgHH_Lbs,EstNo_inUnits,LowerCIAmt,UpperCLAmt,Estimated_Lbs,LowerCI_Lbs,UpperCI_Lbs,PerCapita_Harvest,CI_95Pcnt,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Percent_HH_AttemptingHarvest,Percent_HH_Using,Percent_Harvest,Percent_HH_GiveAway,Percent_HH_Received,Conversion_Units_to_Pounds
-17162487.1875705,7749255.80747254,1,Akhiok,Fish,1992,Lbs.,17909.47,17909.47,746.228,17909,17909,17909,17909,17909,17909,223.86,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{4498991D-197D-4B87-BD28-490D61411CEF},95.8,100,95.8,70.8,66.7,1
-17162487.1875705,7749255.80747254,2,Akhiok,Salmon,1992,Ind.,2510,15961.2,665.05,2510,2510,2510,15961,15961,15961,199.51,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{0FF4AD11-E5D8-4E1E-88A7-310E05974CCB},95.8,100,95.8,70.8,62.5,
-17162487.1875705,7749255.80747254,3,Akhiok,Chum Salmon,1992,Ind.,228,1653,68.875,228,228,228,1653,1653,1653,20.66,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{37C0232A-722E-4761-8978-FCE72B7F2146},50,70.8,50,41.7,29.2,7.25
-17162487.1875705,7749255.80747254,4,Akhiok,Coho Salmon,1992,Ind.,692,5660.56,235.857,692,692,692,5661,5661,5661,70.76,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{EA2014AD-F2F2-49B5-B39E-C07B7C8CA490},70.8,79.2,70.8,41.7,29.2,8.18
-17162487.1875705,7749255.80747254,5,Akhiok,Chinook Salmon,1992,Ind.,7,100.1,4.171,7,7,7,100,100,100,1.25,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{370332F9-DA92-4886-BE8C-4DF3ABC6A7D5},20.8,37.5,16.7,8.3,20.8,14.3
-17162487.1875705,7749255.80747254,6,Akhiok,Pink Salmon,1992,Ind.,230,862.5,35.938,230,230,230,863,863,863,10.79,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{ABFAFEF7-12E9-475F-890C-C2C1472C80D7},54.2,62.5,54.2,29.2,25,3.75
-17162487.1875705,7749255.80747254,7,Akhiok,Sockeye Salmon,1992,Ind.,1353,7685.04,320.21,1353,1353,1353,7685,7685,7685,96.06,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{87F95054-EDE8-4637-9648-3FCDF101D4D1},83.3,95.8,83.3,66.7,41.7,5.68
-17162487.1875705,7749255.80747254,8,Akhiok,Unknown Salmon,1992, ,0,0,0,0,0,0,0,0,0,0,,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{D89CE89A-0E5E-4440-84DA-90E080F0D90A},0,0,0,0,0,
-17162487.1875705,7749255.80747254,9,Akhiok,Non-Salmon Fish,1992,Lbs.,1948.27,1948.27,81.178,1948,1948,1948,1948,1948,1948,24.35,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{84BE38CA-41AB-4F8A-A6F5-929806D2B2C4},75,87.5,66.7,41.7,45.8,1
-17162487.1875705,7749255.80747254,10,Akhiok,Herring,1992,Gal.,30,180,7.5,30,30,30,180,180,180,2.25,0,,,GIS_OWNER_CDO,2019/04/10 02:49:19+00,{1B334E8F-E1C4-4A66-A754-23B0B1453CDE},4.2,12.5,4.2,4.2,8.3,6
