OBJECTID,CommunityID,CommunityName,SubsistenceAreaIndicator,PeriodStartDate,PeriodEndDate,Year,AsOfDate,IsMostRecent,created_user,created_date,last_edited_user,last_edited_date,x,y,GlobalID
1,{DF0AA24E-FAFB-4033-9E30-014BC53D341A},Fox,NO,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-147.6183,64.9581,{62F5FB10-0BE1-4DF9-8474-DCC8AB6A4156}
2,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9},Skagway,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:25+00,-135.31169114,59.45573152,{C4C56A2F-8C64-4EAB-B80A-66317B10F485}
3,{A3685B4F-070E-4C85-9820-DEE25ABC695E},Tazlina,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-145.4120642,62.04738118,{2818E4B4-C934-4B2A-8860-23D1619BDF92}
4,{1A5924D4-515F-4E65-8236-07D030FB3C05},Lakes,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-149.29644569,61.59111994,{B48D6661-595B-453C-9948-9343158CFF20}
5,{D1F96C65-49BF-4E7B-AA32-F9C4C50BB628},Shishmaref,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:25+00,-166.07076445,66.25510533,{368E3B2A-D6B7-4F80-9FBA-64ECFD88D7B3}
6,{6FD8B74B-4F96-41CE-AFFD-97FF3064D7C4},Ekuk,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-158.56082655,58.81597964,{832ACD05-C6D7-4728-9A2C-15D416296B4B}
7,{A446B551-74BE-4F56-B131-523C342C41BA},Chefornak,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-164.28034055,60.15801495,{D92F7435-E9BE-4D4D-A234-C103E3CE20E6}
8,{DEFFD70D-72D8-4A79-B7DF-81586E965AFF},King Salmon,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-156.66764668,58.68137127,{9A9520F4-7A6D-4499-98CA-445FECC63973}
9,{AED9D55C-5519-4DA0-A4A7-28349D8498CD},Anvik,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-160.1993288,62.65252995,{D47361EF-3833-4934-9892-FA5DBBD88612}
10,{9F0FE231-3223-4A37-89B8-9182CD7AB22F},Cohoe,YES,2017/01/01 09:00:00+00,2017/12/31 09:00:00+00,2017,2018/03/29 08:00:00+00,1,MJGEORGE,2018/04/13 06:42:59+00,GIS_OWNER_CDO,2018/06/26 03:45:24+00,-151.31957957,60.36911853,{B9D40FE7-560B-4817-826B-64835210A7C2}
