X,Y,OBJECTID,CommunityName,TaxYear,AsofDate,IsMostRecent,EntityName,DidCommunityReport,SalesTaxPercentage,TotalSalesTaxRevUSD,BedTaxRate,BedTaxRevUSD,AlcoholTaxRate,AlcoholTaxRevUSD,CarRentalTaxRate,CarRentalTaxRevUSD,RawFishTaxRate,RawFishTaxRevUSD,TobaccoTaxRate,TobaccoTaxRevUSD,MarijuanaTaxRate,MarijuanaTaxRevUSD,OtherSpecialTaxes,TotalRevforSpecialTaxesUSD,EffectivePropertyTaxMillRate,PropertyTaxRevUSD,TotalTaxRevUSD,TaxableDatasetLink,CommunityID,EntityID,Shape
-1537201.88387456,470990.318946767,1,Adak,2023,2024/01/01 09:00:00+00,1,City of Adak,1,4%,524867,5%,27634,0,0,0,0,2%,100200,0,0,0,0,,0,,,652701,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{F9B04BDF-CD55-422C-9226-DF73356B67BD},
-1537201.88387456,470990.318946767,2,Adak,2022,2023/01/01 09:00:00+00,0,City of Adak,1,4%,561452,5%,38496,,,,,2%,87523,,,,,,126019,,,687471,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{F9B04BDF-CD55-422C-9226-DF73356B67BD},
-1537201.88387456,470990.318946767,3,Adak,2021,2022/01/01 09:00:00+00,0,City of Adak,1,4%,343722,5%,17632,,,,,2%,51004,,,,,,68636,,,412359,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{F9B04BDF-CD55-422C-9226-DF73356B67BD},
-1537201.88387456,470990.318946767,4,Adak,2020,2021/01/01 09:00:00+00,0,City of Adak,1,4%,486563,5%,18547,,,,,2%,279113,,,,,,297660,,,784224,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{F9B04BDF-CD55-422C-9226-DF73356B67BD},
-1537201.88387456,470990.318946767,5,Adak,2019,2020/01/01 09:00:00+00,0,City of Adak,1,4%,550992,5%,30227,,,,,2%,330884,,,,,,361111,,,912103,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{F9B04BDF-CD55-422C-9226-DF73356B67BD},
-1537201.88387456,470990.318946767,6,Adak,2018,2019/01/01 09:00:00+00,0,City of Adak,1,4% ,522804,5%,29928,,,,,2%,290839,,,,,,320767,,,843571,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{F9B04BDF-CD55-422C-9226-DF73356B67BD},
-1537201.88387456,470990.318946767,7,Adak,2017,2018/01/01 09:00:00+00,0,City of Adak,1,4%,322433,5%,19423,,,,,2%,108479,,,,,,127902,,,450335,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},{F9B04BDF-CD55-422C-9226-DF73356B67BD},
-10520.5699198308,771139.336261794,8,Akhiok,2023,2024/01/01 09:00:00+00,1,City of Akhiok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,https://www.commerce.alaska.gov/dcra/admin/Taxable,{68670103-A544-40F0-AD9E-7215DEC2434C},{329ED0C0-2AA5-428B-85F5-000C76ED79E8},
-10520.5699198308,771139.336261794,9,Akhiok,2022,2023/01/01 09:00:00+00,0,City of Akhiok,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{68670103-A544-40F0-AD9E-7215DEC2434C},{329ED0C0-2AA5-428B-85F5-000C76ED79E8},
-10520.5699198308,771139.336261794,10,Akhiok,2021,2022/01/01 09:00:00+00,0,City of Akhiok,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{68670103-A544-40F0-AD9E-7215DEC2434C},{329ED0C0-2AA5-428B-85F5-000C76ED79E8},
-10520.5699198308,771139.336261794,11,Akhiok,2020,2021/01/01 09:00:00+00,0,City of Akhiok,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{68670103-A544-40F0-AD9E-7215DEC2434C},{329ED0C0-2AA5-428B-85F5-000C76ED79E8},
-10520.5699198308,771139.336261794,12,Akhiok,2019,2020/01/01 09:00:00+00,0,City of Akhiok,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{68670103-A544-40F0-AD9E-7215DEC2434C},{329ED0C0-2AA5-428B-85F5-000C76ED79E8},
-10520.5699198308,771139.336261794,13,Akhiok,2018,2019/01/01 09:00:00+00,0,City of Akhiok,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{68670103-A544-40F0-AD9E-7215DEC2434C},{329ED0C0-2AA5-428B-85F5-000C76ED79E8},
-10520.5699198308,771139.336261794,14,Akhiok,2017,2018/01/01 09:00:00+00,0,City of Akhiok,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{68670103-A544-40F0-AD9E-7215DEC2434C},{329ED0C0-2AA5-428B-85F5-000C76ED79E8},
-390088.939894051,1235043.39515902,15,Akiak,2023,2024/01/01 09:00:00+00,1,City of Akiak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,https://www.commerce.alaska.gov/dcra/admin/Taxable,{B9E3D976-5DA3-4850-884A-E7818D521898},{F8760390-71AA-486F-B9AC-96B7A36DE68C},
-390088.939894051,1235043.39515902,16,Akiak,2022,2023/01/01 09:00:00+00,0,City of Akiak,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{B9E3D976-5DA3-4850-884A-E7818D521898},{F8760390-71AA-486F-B9AC-96B7A36DE68C},
-390088.939894051,1235043.39515902,17,Akiak,2021,2022/01/01 09:00:00+00,0,City of Akiak,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{B9E3D976-5DA3-4850-884A-E7818D521898},{F8760390-71AA-486F-B9AC-96B7A36DE68C},
-390088.939894051,1235043.39515902,18,Akiak,2020,2021/01/01 09:00:00+00,0,City of Akiak,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{B9E3D976-5DA3-4850-884A-E7818D521898},{F8760390-71AA-486F-B9AC-96B7A36DE68C},
-390088.939894051,1235043.39515902,19,Akiak,2019,2020/01/01 09:00:00+00,0,City of Akiak,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{B9E3D976-5DA3-4850-884A-E7818D521898},{F8760390-71AA-486F-B9AC-96B7A36DE68C},
-390088.939894051,1235043.39515902,20,Akiak,2018,2019/01/01 09:00:00+00,0,City of Akiak,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{B9E3D976-5DA3-4850-884A-E7818D521898},{F8760390-71AA-486F-B9AC-96B7A36DE68C},
-390088.939894051,1235043.39515902,21,Akiak,2017,2018/01/01 09:00:00+00,0,City of Akiak,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{B9E3D976-5DA3-4850-884A-E7818D521898},{F8760390-71AA-486F-B9AC-96B7A36DE68C},
-766481.088033544,525927.941681311,22,Akutan,2023,2024/01/01 09:00:00+00,1,City of Akutan,1,1.5%,1789165,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1789165,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{D2B26CE3-A2BF-4062-B6D0-7ED449F99EB6},
-766481.088033544,525927.941681311,23,Akutan,2022,2023/01/01 09:00:00+00,0,City of Akutan,1,1.5%,2061636,,,,,,,,,,,,,,,,,2061636,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{D2B26CE3-A2BF-4062-B6D0-7ED449F99EB6},
-766481.088033544,525927.941681311,24,Akutan,2021,2022/01/01 09:00:00+00,0,City of Akutan,1,1.5%,1688184,,,,,,,,,,,,,,,,,1688184,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{D2B26CE3-A2BF-4062-B6D0-7ED449F99EB6},
-766481.088033544,525927.941681311,25,Akutan,2020,2021/01/01 09:00:00+00,0,City of Akutan,1,1.5%,1985328,,,,,,,,,,,,,,1985328,,,3970656,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{D2B26CE3-A2BF-4062-B6D0-7ED449F99EB6},
-766481.088033544,525927.941681311,26,Akutan,2019,2020/01/01 09:00:00+00,0,City of Akutan,1,1.5%,1985328,,,,,,,,,,,,,,,,,1985328,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{D2B26CE3-A2BF-4062-B6D0-7ED449F99EB6},
-766481.088033544,525927.941681311,27,Akutan,2018,2019/01/01 09:00:00+00,0,City of Akutan,0,1.5%,3337019,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{D2B26CE3-A2BF-4062-B6D0-7ED449F99EB6},
-766481.088033544,525927.941681311,28,Akutan,2017,2018/01/01 09:00:00+00,0,City of Akutan,1,1.50%,3337019,,,,,,,,,,,,,,,,,3337019,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},{D2B26CE3-A2BF-4062-B6D0-7ED449F99EB6},
-542393.858993326,1456437.81284289,29,Alakanuk,2023,2024/01/01 09:00:00+00,1,City of Alakanuk,1,4%,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,https://www.commerce.alaska.gov/dcra/admin/Taxable,{8142710A-7405-430F-9A0B-C44338B4B31A},{74F36564-63B4-480D-B2E8-2AB8793C3907},
-542393.858993326,1456437.81284289,30,Alakanuk,2022,2023/01/01 09:00:00+00,0,City of Alakanuk,1,4%,60000,,,,,,,,,,,,,,,,,60000,https://www.commerce.alaska.gov/dcra/admin/Taxable,{8142710A-7405-430F-9A0B-C44338B4B31A},{74F36564-63B4-480D-B2E8-2AB8793C3907},
-542393.858993326,1456437.81284289,31,Alakanuk,2021,2022/01/01 09:00:00+00,0,City of Alakanuk,0,4%,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{8142710A-7405-430F-9A0B-C44338B4B31A},{74F36564-63B4-480D-B2E8-2AB8793C3907},
-542393.858993326,1456437.81284289,32,Alakanuk,2020,2021/01/01 09:00:00+00,0,City of Alakanuk,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{8142710A-7405-430F-9A0B-C44338B4B31A},{74F36564-63B4-480D-B2E8-2AB8793C3907},
-542393.858993326,1456437.81284289,33,Alakanuk,2019,2020/01/01 09:00:00+00,0,City of Alakanuk,0,4% ,146535,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{8142710A-7405-430F-9A0B-C44338B4B31A},{74F36564-63B4-480D-B2E8-2AB8793C3907},
-542393.858993326,1456437.81284289,34,Alakanuk,2018,2019/01/01 09:00:00+00,0,City of Alakanuk,0,4%,146535,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{8142710A-7405-430F-9A0B-C44338B4B31A},{74F36564-63B4-480D-B2E8-2AB8793C3907},
-542393.858993326,1456437.81284289,35,Alakanuk,2017,2018/01/01 09:00:00+00,0,City of Alakanuk,1,4%,146535,,,,,,,,,,,,,,,,,146535,https://www.commerce.alaska.gov/dcra/admin/Taxable,{8142710A-7405-430F-9A0B-C44338B4B31A},{74F36564-63B4-480D-B2E8-2AB8793C3907},
-262309.821977796,1040822.31335393,36,Aleknagik,2023,2024/01/01 09:00:00+00,1,City of Aleknagik,1,5%,146085,9%,158230,0,0,0,0,0,0,0,0,0,0,,0,,,304315,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{E901B9E1-BAC6-4BFF-961B-8104E5D6E120},
-262309.821977796,1040822.31335393,37,Aleknagik,2022,2023/01/01 09:00:00+00,0,City of Aleknagik,1,5%,11179,9%,159520,,,,,,,,,,,,159520,,,170700,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{E901B9E1-BAC6-4BFF-961B-8104E5D6E120},
-262309.821977796,1040822.31335393,38,Aleknagik,2021,2022/01/01 09:00:00+00,0,City of Aleknagik,1,5%,65432,9%,103504,,,,,,,,,,,,103504,,,168937,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{E901B9E1-BAC6-4BFF-961B-8104E5D6E120},
-262309.821977796,1040822.31335393,39,Aleknagik,2020,2021/01/01 09:00:00+00,0,City of Aleknagik,1,5%,59056,9%,21249,,,,,,,,,,,Bed tax arrears,450013,,,509069,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{E901B9E1-BAC6-4BFF-961B-8104E5D6E120},
-262309.821977796,1040822.31335393,40,Aleknagik,2019,2020/01/01 09:00:00+00,0,City of Aleknagik,0,5%,105931,9%,139209,,,,,,,,,,,,139209,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{E901B9E1-BAC6-4BFF-961B-8104E5D6E120},
-262309.821977796,1040822.31335393,41,Aleknagik,2018,2019/01/01 09:00:00+00,0,City of Aleknagik,0,5% ,105931,9% Values from 2017,139209,,,,,,,,,,,,139209,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{E901B9E1-BAC6-4BFF-961B-8104E5D6E120},
-262309.821977796,1040822.31335393,42,Aleknagik,2017,2018/01/01 09:00:00+00,0,City of Aleknagik,1,5%,105931,9%,139209,,,,,,,,,,,,139209,,,245140,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},{E901B9E1-BAC6-4BFF-961B-8104E5D6E120},
-410420.502445733,612521.25493188,43,Aleutians East Borough,2023,2024/01/01 09:00:00+00,1,Aleutians East Borough,1,0,0,0,0,0,0,0,0,2%,4824613,0,0,0,0,,0,,,4824613,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0},
-410420.502445733,612521.25493188,44,Aleutians East Borough,2022,2023/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,6054977,,,,,,6054977,,,6054977,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0},
-410420.502445733,612521.25493188,45,Aleutians East Borough,2021,2022/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4057971,,,,,,4057971,,,4057971,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0},
-410420.502445733,612521.25493188,46,Aleutians East Borough,2020,2021/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4714015,,,,,,4714015,,,4714015,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0},
-410420.502445733,612521.25493188,47,Aleutians East Borough,2019,2020/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4530157,,,,,,4530157,,,4530157,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0},
-410420.502445733,612521.25493188,48,Aleutians East Borough,2018,2019/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4951066,,,,,,4951066,,,4951066,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0},
-410420.502445733,612521.25493188,49,Aleutians East Borough,2017,2018/01/01 09:00:00+00,0,Aleutians East Borough,1,,,,,,,,,2%,4714403,,,,,,4714403,,,4714403,https://www.commerce.alaska.gov/dcra/admin/Taxable,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},{26C4BCDA-81D0-454C-8E9E-D7D870F9F0E0},
60175.5883428383,1845337.79990434,50,Allakaket,2023,2024/01/01 09:00:00+00,1,City of Allakaket,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{B656D780-8084-460C-8AD6-A56270EF3CAF},
60175.5883428383,1845337.79990434,51,Allakaket,2022,2023/01/01 09:00:00+00,0,City of Allakaket,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{B656D780-8084-460C-8AD6-A56270EF3CAF},
60175.5883428383,1845337.79990434,52,Allakaket,2021,2022/01/01 09:00:00+00,0,City of Allakaket,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{B656D780-8084-460C-8AD6-A56270EF3CAF},
60175.5883428383,1845337.79990434,53,Allakaket,2020,2021/01/01 09:00:00+00,0,City of Allakaket,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{B656D780-8084-460C-8AD6-A56270EF3CAF},
60175.5883428383,1845337.79990434,54,Allakaket,2019,2020/01/01 09:00:00+00,0,City of Allakaket,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{B656D780-8084-460C-8AD6-A56270EF3CAF},
60175.5883428383,1845337.79990434,55,Allakaket,2018,2019/01/01 09:00:00+00,0,City of Allakaket,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{B656D780-8084-460C-8AD6-A56270EF3CAF},
60175.5883428383,1845337.79990434,56,Allakaket,2017,2018/01/01 09:00:00+00,0,City of Allakaket,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},{B656D780-8084-460C-8AD6-A56270EF3CAF},
-168359.015507785,1908076.91542096,57,Ambler,2023,2024/01/01 09:00:00+00,1,City of Ambler,1,3%,36998,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,36998,https://www.commerce.alaska.gov/dcra/admin/Taxable,{E98663F6-E635-4427-85F1-48E3042D196E},{3C79B076-7DD4-439A-B382-E2E255A1DE25},
-168359.015507785,1908076.91542096,58,Ambler,2022,2023/01/01 09:00:00+00,0,City of Ambler,1,3%,31009,,,,,,,,,,,,,,,,,31009,https://www.commerce.alaska.gov/dcra/admin/Taxable,{E98663F6-E635-4427-85F1-48E3042D196E},{3C79B076-7DD4-439A-B382-E2E255A1DE25},
-168359.015507785,1908076.91542096,59,Ambler,2021,2022/01/01 09:00:00+00,0,City of Ambler,1,3%,36700,,,,,,,,,,,,,,,,,36700,https://www.commerce.alaska.gov/dcra/admin/Taxable,{E98663F6-E635-4427-85F1-48E3042D196E},{3C79B076-7DD4-439A-B382-E2E255A1DE25},
-168359.015507785,1908076.91542096,60,Ambler,2020,2021/01/01 09:00:00+00,0,City of Ambler,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{E98663F6-E635-4427-85F1-48E3042D196E},{3C79B076-7DD4-439A-B382-E2E255A1DE25},
-168359.015507785,1908076.91542096,61,Ambler,2019,2020/01/01 09:00:00+00,0,City of Ambler,0,3% ,30887,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{E98663F6-E635-4427-85F1-48E3042D196E},{3C79B076-7DD4-439A-B382-E2E255A1DE25},
-168359.015507785,1908076.91542096,62,Ambler,2018,2019/01/01 09:00:00+00,0,City of Ambler,0,3% ,30887,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{E98663F6-E635-4427-85F1-48E3042D196E},{3C79B076-7DD4-439A-B382-E2E255A1DE25},
-168359.015507785,1908076.91542096,63,Ambler,2017,2018/01/01 09:00:00+00,0,City of Ambler,1,3%,30887,,,,,,,,,,,,,,,,,30887,https://www.commerce.alaska.gov/dcra/admin/Taxable,{E98663F6-E635-4427-85F1-48E3042D196E},{3C79B076-7DD4-439A-B382-E2E255A1DE25},
94892.9302364204,2021732.26164827,64,Anaktuvuk Pass,2023,2024/01/01 09:00:00+00,1,City of Anaktuvuk Pass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C8F22DE3-2D24-49CD-A867-3855226D712F},{61AB9C54-7E38-40A1-BC6B-66FC1AE4E77B},
94892.9302364204,2021732.26164827,65,Anaktuvuk Pass,2022,2023/01/01 09:00:00+00,0,City of Anaktuvuk Pass,0,,,,,,,,,,,7% + $1/pack (2021),27207,,,,27207,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C8F22DE3-2D24-49CD-A867-3855226D712F},{61AB9C54-7E38-40A1-BC6B-66FC1AE4E77B},
94892.9302364204,2021732.26164827,66,Anaktuvuk Pass,2021,2022/01/01 09:00:00+00,0,City of Anaktuvuk Pass,1,,,,,,,,,,,7% or $1.00 per pack,27207,,,,27207,,,27207,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C8F22DE3-2D24-49CD-A867-3855226D712F},{61AB9C54-7E38-40A1-BC6B-66FC1AE4E77B},
94892.9302364204,2021732.26164827,67,Anaktuvuk Pass,2020,2021/01/01 09:00:00+00,0,City of Anaktuvuk Pass,0,,,,,,,,,,,,,,,,,,,,https://www.commerce.alaska.gov/dcra/admin/Taxable,{C8F22DE3-2D24-49CD-A867-3855226D712F},{61AB9C54-7E38-40A1-BC6B-66FC1AE4E77B},
