X,Y,OBJECTID,CommunityName,UtilityType,FacilityName,FacilityOwner,Class,ResidentsServed,NumberOfServiceConnections,SystemID,NumberOfLiftStations,AsOfDate
1041546.65601907,1173104.96179083,1,Haines,Wastewater Collection,Haines Wastewater Collection System,Haines Borough,WWC 2,1800,550,103,4,2023/07/31 08:00:00+00
138629.431092521,1075412.72159425,2,Homer,Wastewater Collection,Homer Wastewater Collection System,"Homer, City of",WWC 2,5400,1500,111,6,2023/07/31 08:00:00+00
796588.039603731,1148740.78088062,3,Yakutat,Wastewater Collection,Yakutat Wastewater Collection System,"Yakutat, City of",WWC 1,634,266,116,6,2023/07/31 08:00:00+00
1306628.34428561,932518.315928681,4,Wrangell,Wastewater Collection,Wrangell Wastewater Collection System,"Wrangell, City of",WWC 2,1900,1150,120,13,2023/07/31 08:00:00+00
240926.821971153,1297506.21747755,5,Wasilla,Wastewater Collection,Wasilla Wastewater Collection System,"Wasilla, City of",WWC 2,2685,895,123,1,2023/07/31 08:00:00+00
-227607.668616794,2305095.9767901,6,Wainwright,Wastewater Collection,Wainwright Wastewater Collection System,North Slope Borough,WWC 1,556,202,127,2,2023/07/31 08:00:00+00
409518.872278663,1262298.70131742,7,Valdez,Wastewater Collection,Valdez Wastewater Collection System,"Valdez, City of",WWC 2,3800,1103,130,8,2023/07/31 08:00:00+00
329641.524476165,1651455.25649912,8,Eielson AFB,Wastewater Collection,Eielson Wastewater Collection System,US Air Force,WWC 3,9100,716,144,17,2023/07/31 08:00:00+00
1115221.96070411,940259.193283325,9,Sitka,Wastewater Collection,Sitka Wastewater Collection System,"Sitka, City of",WWC 3,8200,2900,15,30,2023/07/31 08:00:00+00
224056.214300624,1259961.58589164,10,JBER,Wastewater Collection,Fort Richardson Wastewater Collection System,"Doyon Utilities, LLC.",WWC 2,15585,750,151,1,2023/07/31 08:00:00+00
301242.361861717,1666283.73876794,11,Fort Wainwright,Wastewater Collection,Fort Wainwright Wastewater Collection System,"Doyon Utilities, LLC.",WWC 3,10180,625,154,18,2023/07/31 08:00:00+00
224056.214300624,1259961.58589164,12,JBER,Wastewater Collection,Elmendorf AFB Wastewater Collection System,US Air Force,WWC 2,18540,795,161,3,2023/07/31 08:00:00+00
95027.5224326542,866747.9369809,13,Kodiak,Wastewater Collection,USCG Kodiak Wastewater Collection System,US Coast Guard,WWC 1,3150,267,165,6,2023/07/31 08:00:00+00
-332652.664299918,1562728.30203533,14,Unalakleet,Wastewater Collection,Unalakleet Wastewater Collection System,"Unalakleet, City of",WWC 1,800,203,172,4,2023/07/31 08:00:00+00
-821101.945279297,506511.382085757,15,Unalaska,Wastewater Collection,Unalaska Wastewater Collection System,"Unalaska, City of",WWC 2,4300,526,176,12,2023/07/31 08:00:00+00
